Date,Open,High,Low,Close,Volume,Adj Close
2001-07-19,15.1,15.29,15.0,15.17,34994300,12.047746
2001-07-20,15.05,15.05,14.8,15.01,9238500,11.920677
2001-07-23,15.0,15.01,14.55,15.0,7501000,11.912735
2001-07-24,14.95,14.97,14.7,14.86,3537300,11.801549
2001-07-25,14.7,14.95,14.65,14.95,4208100,11.873025
2001-07-26,14.95,14.99,14.5,14.5,6335300,11.515643
2001-07-27,14.51,14.59,14.5,14.51,3524000,11.523585
2001-07-30,14.5,14.78,14.5,14.7,3654300,11.67448
2001-07-31,14.71,15.01,14.6,14.96,1429000,11.880967
2001-08-01,15.0,15.5,14.9,15.5,2087900,12.309826
2001-08-02,15.4,15.5,15.1,15.4,1717400,12.230407
2001-08-03,15.4,15.4,14.98,15.15,983600,12.031862
2001-08-06,15.15,15.22,15.02,15.1,777400,11.992153
2001-08-07,15.1,15.55,15.1,15.5,788900,12.309826
2001-08-08,15.4,15.6,15.0,15.0,2190300,11.912735
2001-08-09,15.05,15.5,15.0,15.5,928000,12.309826
2001-08-10,15.4,15.4,15.12,15.19,703300,12.063629
2001-08-13,15.15,15.34,14.9,15.01,1770400,11.920677
2001-08-14,15.05,15.06,14.65,14.7,1000800,11.67448
2001-08-15,14.75,14.9,14.7,14.79,530900,11.745956
2001-08-16,14.78,14.78,14.05,14.05,1522700,11.158261
2001-08-17,14.06,14.8,13.9,14.52,2342400,11.531527
2001-08-20,14.6,15.35,14.49,15.35,1434900,12.190699
2001-08-21,15.25,15.6,15.01,15.46,1038200,12.278058
2001-08-22,15.32,15.39,14.78,15.34,829000,12.182757
2001-08-23,15.45,15.45,15.25,15.25,470000,12.11128
2001-08-24,15.25,15.48,15.0,15.4,689000,12.230407
2001-08-27,15.48,15.65,15.4,15.48,827700,12.293942
2001-08-28,15.42,15.58,15.25,15.36,736900,12.19864
2001-08-29,15.29,15.31,15.0,15.01,397400,11.920677
2001-08-30,14.85,15.04,14.85,14.95,640100,11.873025
2001-08-31,15.0,15.1,14.9,14.9,3337900,11.833316
2001-09-04,15.0,15.65,15.0,15.38,1068600,12.214524
2001-09-05,15.38,15.38,14.9,14.91,1053200,11.841258
2001-09-06,14.75,15.01,14.4,14.5,1384500,11.515643
2001-09-07,14.45,14.64,14.35,14.52,1408500,11.531527
2001-09-10,14.58,15.16,14.55,15.15,622100,12.031862
2001-09-17,15.14,15.14,14.47,14.6,1934300,11.595062
2001-09-18,14.6,15.0,14.35,14.55,902800,11.555353
2001-09-19,14.6,14.69,13.72,13.95,2415400,11.078843
2001-09-20,13.9,13.9,12.84,12.95,3498900,10.284661
2001-09-21,12.85,13.0,12.16,12.75,2051800,10.125824
2001-09-24,13.0,13.28,12.95,13.2,1964200,10.483206
2001-09-25,13.2,13.2,12.7,12.8,1827300,10.165534
2001-09-26,12.8,12.96,12.2,12.2,3327200,9.689024
2001-09-27,12.26,12.26,11.61,11.85,2347500,9.411061
2001-09-28,12.1,13.45,12.1,12.75,2844000,10.125824
2001-10-01,12.65,13.0,12.65,12.7,878800,10.086115
2001-10-02,12.55,12.7,12.12,12.58,1900400,9.990813
2001-10-03,12.62,13.06,12.6,12.95,2539400,10.284661
2001-10-04,12.97,13.8,12.97,13.49,3108500,10.713519
2001-10-05,13.5,13.74,13.32,13.55,2172300,10.76117
