Date,Open,High,Low,Close,Volume,Adj Close
2005-09-15,38.02,38.099998,37.0,37.009998,1529800,29.270795
2005-09-16,37.0,37.0,36.599998,36.599998,62400,28.946531
2005-09-19,36.599998,36.700001,36.450001,36.700001,1162300,29.025621
2005-09-20,36.599998,37.0,36.599998,36.700001,654900,29.025621
2005-09-21,36.599998,36.599998,36.0,36.400002,424300,28.788355
2005-09-22,36.400002,37.200001,36.400002,37.200001,864800,29.421066
2005-09-23,37.200001,38.099998,37.200001,37.68,1249900,29.800692
2005-09-26,37.75,38.150002,37.75,37.75,821400,29.856054
2005-09-27,37.75,37.900002,37.139999,37.25,1514000,29.46061
2005-09-28,37.240002,37.400002,36.799999,37.0,875700,29.262887
2005-09-29,36.91,36.91,36.25,36.599998,2659200,28.946531
2005-09-30,36.599998,36.599998,35.599998,35.799999,4014800,28.31382
2005-10-03,35.299999,35.900002,34.169998,34.700001,10007600,27.443844
2005-10-04,34.0,34.299999,33.25,33.900002,8040300,26.811133
2005-10-05,34.0,34.099998,33.32,33.650002,6304400,26.613411
2005-10-06,33.400002,33.650002,33.209999,33.369999,7552200,26.39196
2005-10-07,33.279999,33.599998,33.130001,33.599998,7055200,26.573864
2005-10-10,33.599998,33.599998,33.0,33.029999,3400800,26.123058
2005-10-11,33.040001,33.389999,32.98,33.0,3675400,26.099332
2005-10-12,32.900002,33.299999,32.720001,32.77,4134500,25.917428
2005-10-13,32.529999,32.700001,32.48,32.549999,3184100,25.743431
2005-10-14,32.52,32.75,32.380001,32.389999,2487500,25.616889
2005-10-17,32.34,32.77,32.0,32.48,1910400,25.688069
2005-10-18,32.299999,32.549999,32.150002,32.43,1737900,25.648526
2005-10-19,32.279999,33.16,32.209999,33.16,1784400,26.225874
2005-10-20,33.16,34.060001,33.099998,33.580002,2789600,26.558049
2005-10-21,33.779999,34.5,33.630001,34.0,2881800,26.890221
2005-10-24,35.25,36.48,34.93,36.290001,4013400,28.701357
2005-10-25,35.34,37.470001,35.279999,37.18,2900400,29.405248
2005-10-26,36.849998,37.720001,36.700001,37.0,2208000,29.262887
2005-10-27,36.950001,37.0,35.799999,36.279999,2033000,28.693446
2005-10-28,36.5,37.200001,36.209999,37.099998,1430200,29.341975
2005-10-31,37.209999,37.599998,36.959999,37.220001,1211600,29.436884
2005-11-01,36.900002,36.959999,36.459999,36.560001,1574900,28.914897
2005-11-02,36.220001,36.900002,36.18,36.799999,1201600,29.192543
2005-11-03,36.720001,37.619999,36.720001,37.419998,1887900,29.684374
2005-11-04,37.330002,37.419998,37.02,37.169998,1731900,29.486055
2005-11-07,37.099998,37.169998,36.82,37.02,1658700,29.367065
2005-11-08,36.650002,37.200001,36.650002,36.959999,2119200,29.319467
2005-11-09,36.959999,38.18,36.900002,37.880001,2152200,30.049283
2005-11-10,37.75,39.299999,37.75,38.919998,2513200,30.874287
2005-11-11,38.5,38.959999,38.470001,38.91,1229800,30.866356
2005-11-14,38.799999,39.400002,38.509998,39.34,1160000,31.207464
2005-11-15,39.0,39.400002,38.470001,39.209999,1793000,31.104338
2005-11-16,39.349998,40.0,39.09,39.830002,2568800,31.596171
2005-11-17,40.099998,41.18,39.779999,40.0,2628100,31.731026
2005-11-18,40.450001,40.869999,39.639999,39.919998,1556000,31.667563
2005-11-21,40.169998,42.0,40.169998,41.580002,2906900,32.984403
2005-11-22,41.400002,42.389999,41.290001,42.150002,2368700,33.43657
2005-11-23,42.200001,43.759998,42.200001,43.470001,2149100,34.483694
2005-11-25,44.099998,44.25,42.950001,43.450001,468300,34.467828
2005-11-28,43.400002,44.200001,43.099998,43.900002,2377400,34.824802
2005-11-29,43.75,43.990002,41.73,42.549999,2962200,33.753878
2005-11-30,42.900002,43.25,41.299999,42.049999,2761100,33.357241
2005-12-01,41.950001,43.880001,41.889999,43.310001,1833000,34.35677
2005-12-02,43.25,43.740002,42.599998,43.23,1057900,34.293306
2005-12-05,43.220001,43.700001,42.91,43.52,1042900,34.523357
2005-12-06,43.700001,43.84,43.48,43.610001,1154900,34.594752
2005-12-07,43.59,44.779999,43.220001,43.360001,2063900,34.396433
2005-12-08,43.650002,44.049999,43.310001,43.650002,1227800,34.626484
2005-12-09,43.639999,44.02,43.360001,43.759998,515400,34.713741
2005-12-12,43.75,43.759998,42.880001,43.130001,1504900,34.21398
2005-12-13,42.900002,43.369999,42.509998,42.830002,1321300,33.975998
2005-12-14,42.830002,43.029999,41.52,41.529999,1701600,32.944737
2005-12-15,41.43,41.900002,41.09,41.189999,1220600,32.675023
2005-12-16,41.439999,42.41,41.41,42.259998,1305600,33.523828
2005-12-19,42.310001,42.630001,41.119999,41.310001,676200,32.770218
2005-12-20,41.25,42.400002,41.0,41.57,1121000,32.976469
2005-12-21,41.57,42.599998,40.970001,41.549999,1313300,32.960603
2005-12-22,41.57,42.389999,41.200001,41.93,808300,33.262048
2005-12-23,39.419998,42.560001,39.419998,41.93,576000,33.262048
2005-12-27,41.900002,42.080002,40.799999,40.900002,941900,32.444975
2005-12-28,40.900002,41.330002,40.799999,41.049999,562800,32.563965
2005-12-29,41.150002,41.169998,40.580002,40.84,718300,32.397378
2005-12-30,40.509998,41.080002,40.459999,41.0,511700,32.524302
2006-01-03,41.299999,42.200001,40.900002,42.099998,1351600,33.396904
2006-01-04,43.0,44.389999,42.880001,43.419998,3492100,34.444027
2006-01-05,43.540001,44.5,43.169998,43.93,1777200,34.8486
2006-01-06,43.939999,44.200001,43.380001,43.599998,2265200,34.586817
2006-01-09,43.599998,45.099998,43.599998,45.09,1310800,35.768799
2006-01-10,44.799999,44.869999,44.459999,44.66,1254200,35.427691
2006-01-11,44.73,44.779999,43.959999,44.200001,915500,35.062785
2006-01-12,44.209999,44.580002,43.950001,44.16,1161500,35.031053
2006-01-13,44.099998,44.25,43.709999,43.880001,907200,34.808937
2006-01-17,43.650002,43.900002,42.970001,43.529999,684400,34.531288
2006-01-18,43.299999,43.900002,42.27,42.32,976600,33.571425
2006-01-19,42.450001,42.91,42.029999,42.599998,947100,33.793542
2006-01-20,42.5,42.549999,41.880001,42.200001,1223300,33.476233
2006-01-23,42.439999,43.900002,42.419998,43.5,1574200,34.507491
2006-01-24,42.099998,43.700001,41.689999,43.48,2090500,34.491625
2006-01-25,43.490002,43.490002,42.939999,43.209999,1058600,34.27744
2006-01-26,43.950001,44.299999,43.009998,43.299999,1300600,34.348835
2006-01-27,42.880001,43.689999,41.759998,42.400002,2305000,33.634889
2006-01-30,42.400002,42.450001,41.5,41.549999,1937300,32.960603
2006-01-31,41.400002,41.450001,40.509998,40.689999,2449400,32.364067
2006-02-01,40.740002,43.119999,40.299999,41.25,1414900,32.809481
2006-02-02,41.299999,42.689999,41.299999,42.509998,1530900,33.811661
2006-02-03,42.150002,43.049999,41.57,42.599998,2156700,33.883245
2006-02-06,42.599998,43.450001,42.389999,43.330002,1148500,34.463876
2006-02-07,43.18,43.799999,43.07,43.549999,773400,34.638858
2006-02-08,43.400002,43.950001,43.400002,43.810001,923500,34.845659
2006-02-09,43.950001,44.240002,43.73,43.919998,514700,34.933148
