Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,39.375,39.625,38.3125,39.0,659800,28.766078
2000-01-04,38.875,38.9375,38.0,38.125,1160500,28.120685
2000-01-05,38.75,39.5,38.1875,39.25,2717300,28.950476
2000-01-06,39.125,40.75,38.9375,40.625,3123600,29.964665
2000-01-07,40.5,42.75,40.5,42.75,1656500,31.532047
2000-01-10,33.0,34.75,28.125,30.125,8579700,22.219951
2000-01-11,29.625,29.625,27.375,28.25,6606700,20.836967
2000-01-12,28.5,28.625,27.5,27.875,3032500,20.56037
2000-01-13,28.375,30.375,27.9375,30.375,2635700,22.404349
2000-01-14,30.25,30.375,29.5,29.9375,1803200,22.081653
2000-01-18,29.25,29.375,28.6875,28.75,1500900,21.205763
2000-01-19,28.25,28.9375,27.0625,27.3125,2813500,20.145474
2000-01-20,27.3125,27.4375,25.625,26.375,1381500,19.453982
2000-01-21,26.75,26.75,25.0625,25.5625,1159600,18.854689
2000-01-24,25.75,26.1875,23.9375,24.25,1436500,17.8866
2000-01-25,24.375,24.625,22.75,23.4375,2220700,17.287306
2000-01-26,23.0,25.25,23.0,25.25,2251400,18.624192
2000-01-27,26.125,27.25,26.0625,26.4375,2533300,19.500082
2000-01-28,26.4375,26.4375,24.8437,25.875,1010200,19.085186
2000-01-31,25.875,25.875,24.9375,25.875,648300,19.085186
2000-02-01,26.125,26.75,25.875,26.3125,820300,19.407883
2000-02-02,26.3125,27.3125,26.25,27.3125,1255700,20.145474
2000-02-03,27.1875,27.625,26.4375,27.3125,1131600,20.145474
2000-02-04,27.1875,27.5625,26.9375,27.1875,656000,20.208656
2000-02-07,27.0625,27.6875,27.0,27.625,871300,20.533852
2000-02-08,27.875,28.4375,25.625,26.5625,1039200,19.744089
2000-02-09,26.375,26.4375,24.25,24.4375,833900,18.164562
2000-02-10,24.5,25.0625,23.4375,23.4375,1069400,17.421255
2000-02-11,24.0,24.1875,23.6875,23.9375,1159600,17.792908
2000-02-14,23.6875,24.9375,23.25,24.375,1587800,18.118105
2000-02-15,24.375,24.6875,23.4375,23.8125,1196500,17.699995
2000-02-16,23.9375,24.0,23.0625,23.375,813400,17.374798
2000-02-17,23.5,23.5,23.0,23.125,1216200,17.188971
2000-02-18,23.0625,23.4375,22.6875,22.6875,1048400,16.863775
