Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,15.75,16.5,14.0,16.4375,7225800,1.251975
2000-01-04,16.125,16.25,14.25,15.9375,4262400,1.213892
2000-01-05,15.8125,16.375,15.75,16.0,3389000,1.218652
2000-01-06,15.875,16.0,15.5625,15.6875,2429000,1.194851
2000-01-07,15.875,16.25,15.5,16.125,15549000,1.228173
2000-01-10,16.25,17.0,15.875,16.9375,10950600,1.290058
2000-01-11,17.0,18.25,16.875,17.6875,10710600,1.347182
2000-01-12,17.25,17.25,16.375,16.9375,2688200,1.290058
2000-01-13,16.875,17.25,16.5,17.125,3267200,1.304339
2000-01-14,16.875,17.125,16.6875,16.9375,2553800,1.290058
2000-01-18,17.0,17.4375,16.9375,17.0,2460800,1.294818
2000-01-19,17.125,17.125,16.6875,16.75,3593600,1.275777
2000-01-20,16.625,17.0,15.625,15.8125,5339600,1.204371
2000-01-21,15.781199,15.8125,14.875,15.125,11460400,1.152007
2000-01-24,15.031199,15.1875,14.75,15.0,5056200,1.142487
2000-01-25,15.125,15.125,13.5937,14.5,6113200,1.104404
2000-01-26,14.75,16.5,14.5,15.875,11746000,1.209132
2000-01-27,17.25,17.625,16.25,17.1875,9348400,1.309099
2000-01-28,16.75,17.0,16.125,16.375,2914000,1.247215
2000-01-31,16.5625,16.625,15.5,15.625,1468800,1.19009
2000-02-01,15.781199,17.5,15.75,16.875,2315600,1.285297
2000-02-02,17.0,17.6875,16.5,17.375,6186800,1.32338
2000-02-03,17.4375,17.625,17.1875,17.5625,6501200,1.337661
2000-02-04,17.5312,17.5625,15.0,15.75,25299200,1.199611
2000-02-07,15.125,15.3125,14.9375,15.0,10279600,1.142487
2000-02-08,15.125,15.25,14.25,14.75,7245000,1.123445
2000-02-09,14.75,14.9375,14.375,14.5312,2530000,1.10678
2000-02-10,14.875,14.875,14.375,14.4375,2599600,1.099643
2000-02-11,14.75,15.0,14.5625,14.875,1787600,1.132966
2000-02-14,14.875,15.0,14.25,14.375,2164400,1.094883
2000-02-15,14.5625,14.5625,14.0,14.0,2474800,1.066321
2000-02-16,14.375,14.6875,14.0,14.015601,2820400,1.067509
2000-02-17,14.375,14.5625,14.0,14.0312,2438400,1.068697
2000-02-18,14.25,14.5,12.625,13.5,5574600,1.028238
2000-02-22,13.5,13.8125,13.0625,13.375,1397200,1.018717
2000-02-23,13.5,13.5,12.875,13.0625,1273800,0.994915
2000-02-24,13.25,13.25,12.75,13.125,1603400,0.999676
2000-02-25,13.25,13.25,12.625,12.75,2985600,0.971114
2000-02-28,12.6875,12.875,12.5,12.5625,2762800,0.956833
2000-02-29,12.5,12.875,12.5,12.6875,2793600,0.966353
