Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,32.000001,32.4375,31.125,31.6875,1188000,8.137707
2000-01-04,31.625001,31.749999,30.5625,31.125,1565700,7.993251
2000-01-05,31.062501,31.6875,30.437499,31.625001,2461800,8.121657
2000-01-06,31.562499,34.374999,31.562499,33.5625,3629700,8.619229
2000-01-07,34.562499,34.562499,33.0,33.812499,1439700,8.683431
2000-01-10,34.062501,34.250001,33.624999,33.999999,748800,8.731583
2000-01-11,33.5625,33.9375,33.249999,33.437499,826200,8.587127
2000-01-12,33.062499,33.812499,33.062499,33.5625,864600,8.619229
2000-01-13,33.9375,34.187499,33.375,33.5625,2897700,8.619229
2000-01-14,33.5625,33.687501,32.8125,33.375,5083800,8.571077
2000-01-18,33.1875,33.687501,32.874999,33.312501,1296600,8.555026
2000-01-19,33.249999,33.5625,33.062499,33.312501,1097400,8.555026
2000-01-20,33.249999,34.437501,33.125001,34.250001,2076900,8.795787
2000-01-21,35.625,36.1875,35.000001,35.375001,2886000,9.084699
2000-01-24,35.4375,36.312501,35.4375,35.8125,1769100,9.197054
2000-01-25,36.062499,39.1875,35.937501,38.499999,4832100,9.887234
2000-01-26,36.75,38.499999,36.125001,38.000001,2701500,9.758829
2000-01-27,37.875,37.875,36.5625,36.875001,1982100,9.469916
2000-01-28,36.75,36.75,35.562501,35.750001,1404900,9.181004
2000-01-31,35.750001,35.874999,35.25,35.687499,1673700,9.164952
2000-02-01,35.687499,35.687499,34.812501,35.000001,1577700,8.988395
2000-02-02,35.000001,36.1875,34.250001,35.562501,7222500,9.132851
2000-02-03,35.8125,36.062499,35.124999,35.375001,800700,9.084699
2000-02-04,35.312499,36.5625,35.312499,36.312501,2298600,9.32546
2000-02-07,36.0,36.437499,35.562501,35.562501,1297500,9.132851
2000-02-08,35.750001,35.8125,35.000001,35.124999,1023900,9.020496
2000-02-09,35.124999,35.124999,33.500001,33.5625,1068300,8.619229
2000-02-10,33.687501,34.6875,33.062499,33.1875,976500,8.522924
2000-02-11,32.937501,33.9375,32.499999,33.0,959700,8.474772
2000-02-14,33.0,33.0,31.625001,31.875,1509300,8.18586
2000-02-15,31.875,32.375001,31.625001,32.187501,2182500,8.266113
2000-02-16,32.124999,33.875001,30.999999,32.25,2101800,8.282164
2000-02-17,32.0625,32.0625,30.812499,30.9375,1389900,7.945099
2000-02-18,30.875001,31.187499,29.499999,29.8125,2033100,7.656186
2000-02-22,30.0,30.312501,29.312499,29.687499,5856000,7.624085
2000-02-23,29.687499,30.500001,28.812501,29.312499,994800,7.52778
2000-02-24,29.4375,29.4375,28.125,28.812501,3215700,7.399375
2000-02-25,28.812501,28.875,27.687501,27.687501,2167500,7.110463
2000-02-28,27.9375,28.125,27.500001,27.875001,2653500,7.158615
2000-02-29,26.874999,27.624999,26.562501,27.1875,2582100,6.982057
2000-03-01,26.750001,27.437499,24.624999,27.1875,5560800,6.982057
2000-03-02,27.1875,27.437499,26.562501,27.375,2813100,7.030209
2000-03-03,27.062499,28.250001,26.937501,27.812499,1230600,7.142564
2000-03-06,29.8125,29.937501,27.500001,27.75,2680500,7.126513
2000-03-07,27.875001,27.999999,26.312499,26.375001,1705800,6.773398
2000-03-08,26.375001,26.4375,25.187499,25.3125,1733100,6.500536
2000-03-09,25.3125,26.375001,24.812499,26.312499,2644800,6.757347
2000-03-10,25.5,27.218699,25.187499,26.25,2575500,6.741296
2000-03-13,25.812501,26.000001,25.3125,25.749999,3209700,6.61289
2000-03-14,25.5,25.625001,24.999999,25.187499,3876900,6.468434
2000-03-15,26.937501,28.3125,25.250001,27.999999,2316600,7.190716
2000-03-16,27.75,30.624999,27.687501,30.437499,3479100,7.816693
2000-03-17,32.000001,32.000001,30.0,30.0,3333000,7.704338
2000-03-20,30.0,30.75,29.0625,29.4375,1453500,7.559882
2000-03-21,29.187501,30.062499,28.625001,30.0,1165200,7.704338
2000-03-22,29.750001,30.375,28.937499,30.125001,1336500,7.73644
2000-03-23,29.874999,31.875,29.625,31.875,1929000,8.18586
2000-03-24,31.625001,34.6875,31.5,33.999999,3634200,8.731583
2000-03-27,33.875001,34.062501,32.000001,32.562501,2235000,8.362418
2000-03-28,32.687499,33.062499,31.5,31.812501,1915800,8.169809
2000-03-29,31.875,33.1875,31.749999,31.812501,2348400,8.185247
2000-03-30,31.937499,33.125001,31.374999,32.8125,1998900,8.442543
2000-03-31,32.25,33.75,31.875,33.437499,1884300,8.603354
2000-04-03,33.437499,34.937499,33.437499,33.75,1803600,8.683759
2000-04-04,33.999999,34.250001,32.000001,32.687499,2103300,8.410381
2000-04-05,32.750001,34.5,32.4375,34.062501,2108700,8.764164
2000-04-06,34.125,35.000001,33.999999,34.749999,1094700,8.941055
2000-04-07,34.5,34.749999,33.687501,33.9375,1113600,8.732002
2000-04-10,33.125001,33.75,32.750001,33.125001,1472400,8.522949
2000-04-11,33.624999,34.374999,33.249999,34.187499,1932600,8.796326
2000-04-12,34.3125,36.249999,34.250001,36.249999,3300000,9.327
2000-04-13,35.625,35.687499,34.749999,34.749999,3443100,8.941055
2000-04-14,34.5,34.5,31.374999,31.812501,2034300,8.185247
2000-04-17,31.062501,31.875,30.75,31.187499,1887300,8.024436
2000-04-18,30.687501,33.249999,30.062499,33.125001,1385100,8.522949
2000-04-19,32.874999,33.875001,31.875,32.750001,1127700,8.426463
2000-04-20,32.124999,33.312501,32.124999,33.312501,871500,8.571192
2000-04-24,33.437499,33.875001,32.8125,33.687501,1726800,8.667678
2000-04-25,33.125001,34.749999,32.8125,34.625001,1438500,8.908894
2000-04-26,33.999999,34.374999,32.750001,33.5625,1425300,8.635516
2000-04-27,32.625,32.8125,30.9375,32.124999,2215800,8.265652
2000-04-28,33.500001,33.500001,31.250001,32.25,2228100,8.297814
2000-05-01,30.999999,33.0,30.999999,31.5,3306600,8.104842
2000-05-02,31.374999,31.875,31.062501,31.625001,1988100,8.137004
2000-05-03,31.374999,32.187501,30.1875,30.75,1858200,7.911869
2000-05-04,30.624999,30.75,29.874999,29.874999,836400,7.686735
2000-05-05,29.874999,31.062501,29.750001,29.750001,821700,7.654573
2000-05-08,30.0,31.187499,29.874999,30.75,1049700,7.911869
2000-05-09,30.500001,31.625001,30.062499,30.5625,779100,7.863626
2000-05-10,30.687501,30.75,29.562501,29.937501,791700,7.702816
2000-05-11,30.249999,30.75,29.874999,30.687501,887400,7.895788
2000-05-12,30.249999,31.437501,30.1875,31.062501,768600,7.992275
2000-05-15,31.875,32.25,31.812501,32.124999,915300,8.265652
2000-05-16,32.0625,32.312499,31.749999,32.187501,1140900,8.281733
2000-05-17,31.5,32.187501,31.187499,31.875,864600,8.201328
2000-05-18,31.749999,33.249999,31.6875,31.875,821100,8.201328
2000-05-19,30.624999,31.562499,29.8125,29.874999,1150800,7.686735
2000-05-22,30.125001,30.75,28.749999,29.687499,1109700,7.638491
2000-05-23,29.874999,30.5625,29.750001,30.249999,1165500,7.783221
2000-05-24,30.437499,31.749999,30.437499,30.9375,1226700,7.960112
2000-05-25,30.687501,31.625001,29.0625,29.4375,1255800,7.574168
2000-05-26,29.687499,30.249999,29.375001,29.562501,2280600,7.60633
2000-05-30,29.499999,30.125001,29.375001,29.937501,931500,7.702816
2000-05-31,29.562501,30.687501,29.375001,30.0,1993800,7.718897
2000-06-01,29.937501,30.999999,29.562501,30.437499,2248500,7.831464
2000-06-02,30.687501,32.8125,30.687501,32.4375,1772100,8.346057
2000-06-05,32.562501,32.937501,31.875,32.000001,1029300,8.23349
2000-06-06,31.749999,31.875,30.999999,31.5,973200,8.104842
2000-06-07,31.437501,33.249999,31.437501,32.625,1508100,8.3943
2000-06-08,32.4375,32.625,30.875001,30.9375,1131000,7.960112
2000-06-09,31.062501,32.375001,30.312501,30.5625,1621200,7.863626
2000-06-12,30.812499,31.125,30.062499,30.1875,672000,7.76714
2000-06-13,30.062499,30.999999,30.062499,30.9375,716700,7.960112
2000-06-14,31.875,31.875,30.9375,30.9375,1812000,7.960112
2000-06-15,30.875001,30.875001,28.187499,29.562501,3807600,7.60633
2000-06-16,29.562501,29.874999,29.25,29.499999,2202000,7.590248
2000-06-19,29.4375,31.5,29.4375,30.75,2607000,7.911869
2000-06-20,30.624999,31.250001,30.500001,30.999999,1754400,7.976193
2000-06-21,30.75,31.125,29.562501,30.0,1288500,7.718897
2000-06-22,29.750001,30.062499,29.499999,29.874999,1170600,7.686735
2000-06-23,29.937501,29.937501,28.625001,29.25,1191600,7.525924
2000-06-26,29.375001,30.812499,29.187501,30.75,2025300,7.911869
2000-06-27,30.812499,31.437501,30.312501,30.687501,864900,7.895788
2000-06-28,30.437499,31.250001,30.312501,30.9062,1196700,7.952059
2000-06-29,30.687501,31.5,30.312501,30.875001,1899600,7.959484
2000-06-30,30.999999,31.749999,30.0,30.375,2346900,7.830585
2000-07-03,30.1875,31.125,30.0,30.999999,966600,7.991708
2000-07-05,31.125,31.812501,30.687501,30.9375,1394400,7.975596
2000-07-06,31.187499,31.437501,30.249999,31.3125,753900,8.07227
2000-07-07,31.5,32.000001,31.5,31.875,1062600,8.217281
2000-07-10,31.749999,32.25,31.250001,32.000001,2220000,8.249506
2000-07-11,31.937499,33.312501,31.937499,32.8125,2159700,8.458965
2000-07-12,33.999999,35.000001,33.5625,34.125,3371100,8.797324
2000-07-13,34.125,35.375001,34.125,35.0625,1735500,9.039009
2000-07-14,35.25,35.874999,35.0625,35.375001,1378200,9.119571
2000-07-17,35.25,35.25,33.624999,34.250001,1667100,8.829549
2000-07-18,34.250001,34.250001,33.062499,33.5625,668700,8.652313
2000-07-19,33.624999,33.624999,32.625,32.874999,756600,8.475078
2000-07-20,32.937501,34.250001,32.8125,33.75,3288300,8.70065
2000-07-21,33.999999,34.625001,33.624999,34.062501,1717500,8.781212
2000-07-24,34.062501,34.250001,33.624999,33.812499,1230300,8.716762
2000-07-25,33.9375,33.999999,33.500001,33.812499,1057200,8.716762
2000-07-26,33.75,33.75,33.125001,33.249999,1364100,8.571751
2000-07-27,33.249999,34.749999,33.249999,34.437501,1022700,8.877886
2000-07-28,34.625001,35.312499,34.437501,34.625001,2727600,8.926223
2000-07-31,34.875,36.1875,34.812501,35.874999,3115800,9.248469
2000-08-01,36.125001,36.437499,35.562501,35.937501,1135200,9.264581
2000-08-02,35.4375,35.937501,35.375001,35.687499,1377300,9.200132
2000-08-03,35.562501,35.625,34.875,35.0625,1346100,9.039009
2000-08-04,35.312499,36.999999,35.312499,36.5625,2085300,9.425704
2000-08-07,36.75,37.937499,36.062499,37.749999,1512600,9.731838
2000-08-08,37.625001,37.625001,36.9375,37.5,1377600,9.667389
2000-08-09,36.500001,36.875001,35.562501,36.249999,1935600,9.345143
2000-08-10,36.624999,36.875001,35.4375,35.562501,1155000,9.167908
2000-08-11,35.8125,36.1875,35.187501,35.4375,1817400,9.135683
2000-08-14,35.625,35.687499,34.749999,35.625,1440000,9.18402
2000-08-15,35.687499,35.687499,34.875,34.875,1246500,8.990672
2000-08-16,34.5,35.124999,34.5,34.625001,1210500,8.926223
2000-08-17,34.875,35.4375,34.749999,35.000001,1249200,9.022897
2000-08-18,34.5,34.937499,34.125,34.437501,1158600,8.877886
2000-08-21,34.250001,36.249999,33.9375,35.8125,1302600,9.232357
2000-08-22,36.0,37.625001,35.8125,36.312501,1608300,9.361255
2000-08-23,36.375,36.687501,35.937501,36.375,1221300,9.377367
2000-08-24,36.500001,36.687501,36.249999,36.249999,1387200,9.345143
2000-08-25,36.375,37.562499,36.375,37.187499,1591800,9.586827
2000-08-28,36.9375,37.374999,36.687501,36.875001,1038000,9.506266
2000-08-29,36.812499,37.3125,36.0,37.062501,849000,9.554603
2000-08-30,36.812499,38.000001,36.812499,37.187499,845700,9.586827
2000-08-31,37.3125,38.4375,37.250001,38.000001,1688100,9.796288
2000-09-01,38.937501,38.937501,37.937499,38.8125,1397100,10.005748
2000-09-05,38.562501,39.437499,38.312499,38.499999,2375700,9.925186
2000-09-06,38.687499,40.562499,38.625,39.437499,1398900,10.166871
2000-09-07,39.687501,39.687501,38.874999,38.937501,1299600,10.037973
2000-09-08,38.4375,39.9375,38.4375,39.875001,1453200,10.279657
2000-09-11,39.875001,42.437499,39.687501,42.406199,2336100,10.932193
