Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,31.125,31.125,30.5,30.6875,59900,13.939804
2000-01-04,30.6875,30.75,30.125,30.1875,95800,13.712678
2000-01-05,30.1875,30.5625,30.125,30.4375,101000,13.826241
2000-01-06,30.5625,31.125,30.3125,31.0,143100,14.081757
2000-01-07,30.9375,32.25,30.9375,32.125,139000,14.592788
2000-01-10,32.125,32.4375,31.9375,32.375,189100,14.706351
2000-01-11,32.375,32.4375,31.875,32.0625,85300,14.564398
2000-01-12,32.1875,32.1875,31.4375,31.5625,61100,14.337272
2000-01-13,31.5625,31.8125,31.5,31.75,40800,14.422444
2000-01-14,31.625,31.875,31.25,31.5625,64400,14.337272
2000-01-18,31.625,31.625,31.125,31.25,73000,14.195319
2000-01-19,31.125,31.375,31.0,31.25,100500,14.195319
2000-01-20,31.0625,31.3125,30.8125,30.875,158700,14.024975
2000-01-21,30.875,31.0,30.25,30.5625,272300,13.883022
2000-01-24,30.75,31.0,30.4375,30.4375,117100,13.826241
2000-01-25,30.6875,30.75,30.4375,30.5625,135300,13.883022
2000-01-26,30.5,31.0,30.5,30.6875,119700,13.939804
2000-01-27,30.625,30.6875,30.5,30.5625,118600,13.883022
2000-01-28,30.5625,30.6875,30.125,30.4375,228200,13.826241
2000-01-31,30.5,30.5,30.0,30.0,127900,13.627506
2000-02-01,30.125,30.4375,29.0,29.8125,2240200,13.542335
2000-02-02,30.125,30.125,29.75,29.9375,428800,13.599116
2000-02-03,30.0,30.25,29.9375,30.1875,149400,13.712678
2000-02-04,30.125,30.5625,29.875,29.9375,506300,13.599116
2000-02-07,29.875,30.1875,29.625,30.0,105800,13.627506
2000-02-08,30.0,30.5625,29.9375,30.5625,76500,13.883022
2000-02-09,30.3125,30.9375,30.3125,30.5625,91700,13.883022
2000-02-10,30.4375,30.5625,30.25,30.3125,68600,13.76946
2000-02-11,30.4375,30.625,29.9375,30.0625,84900,13.655897
2000-02-14,30.125,30.3125,30.0,30.125,124600,13.684288
2000-02-15,30.375,30.375,29.9375,30.0,153100,13.627506
2000-02-16,30.0,30.1875,30.0,30.1875,102300,13.712678
2000-02-17,30.25,30.625,30.25,30.5,144900,13.854632
2000-02-18,30.25,30.4375,29.875,30.125,80000,13.684288
2000-02-22,29.9375,30.1875,29.875,30.0625,93400,13.655897
2000-02-23,30.1875,30.375,30.0,30.375,73300,13.79785
2000-02-24,30.375,30.5,30.375,30.4375,45500,13.826241
2000-02-25,30.5,30.625,30.375,30.5,113900,13.854632
2000-02-28,30.5,30.5,30.3125,30.375,83000,13.79785
2000-02-29,30.5,30.5625,30.3125,30.3125,105900,13.76946
2000-03-01,30.5,30.5,30.3125,30.375,84800,13.79785
2000-03-02,30.3125,30.5,30.3125,30.375,64200,13.79785
2000-03-03,30.375,30.5,30.375,30.375,160000,13.79785
2000-03-06,30.3125,30.5,30.25,30.3125,60600,13.76946
2000-03-07,30.125,30.3125,29.5625,29.875,97100,13.570725
2000-03-08,29.6875,30.125,29.6875,30.0,49100,13.627506
2000-03-09,30.1875,30.6875,30.1875,30.4375,113500,13.826241
2000-03-10,30.4375,30.5,30.125,30.375,132000,13.79785
2000-03-13,29.9375,30.125,29.75,30.0,53100,13.627506
2000-03-14,30.0,30.375,30.0,30.375,51900,13.79785
2000-03-15,30.4375,30.75,30.125,30.625,337200,13.911413
2000-03-16,30.5,31.0,30.5,30.875,102900,14.024975
2000-03-17,30.75,31.125,30.625,31.0,84200,14.081757
2000-03-20,31.0,31.25,30.9375,31.25,149400,14.195319
2000-03-21,31.4375,31.4375,31.0625,31.25,124400,14.195319
2000-03-22,31.25,31.375,31.125,31.25,107100,14.195319
2000-03-23,31.1875,31.5625,31.125,31.25,142700,14.195319
2000-03-24,31.375,31.375,31.0625,31.25,119900,14.195319
2000-03-27,31.375,31.4375,31.1875,31.3125,87100,14.22371
2000-03-28,31.25,31.5,31.25,31.4375,188000,14.280491
2000-03-29,31.0,31.3125,31.0,31.25,34700,14.401464
2000-03-30,31.5,31.625,31.25,31.5,218000,14.516676
2000-03-31,31.5,31.8125,31.4375,31.8125,156600,14.66069
2000-04-03,31.6875,32.0625,31.5,31.75,272400,14.631887
2000-04-04,31.9375,32.25,31.8125,32.0,324600,14.747099
2000-04-05,32.0,32.5,32.0,32.4375,243100,14.948719
2000-04-06,32.5625,34.4375,32.5625,34.125,224400,15.726398
2000-04-07,34.0625,34.3125,33.5625,34.25,180000,15.784004
2000-04-10,34.25,34.4375,34.0625,34.4375,91000,15.870413
2000-04-11,34.625,34.625,34.25,34.3125,125100,15.812807
2000-04-12,34.1875,34.5,34.1875,34.5,141900,15.899216
2000-04-13,34.5,34.75,34.0,34.375,325400,15.84161
2000-04-14,34.5,34.5,33.875,34.0,185600,15.668793
2000-04-17,33.8125,34.25,33.8125,34.0,139400,15.668793
2000-04-18,34.0,34.125,33.8125,34.125,141200,15.726398
2000-04-19,34.125,34.25,33.9375,34.1875,185500,15.755201
2000-04-20,34.125,34.3125,34.125,34.1875,52700,15.755201
2000-04-24,34.1875,34.375,34.125,34.375,115100,15.84161
2000-04-25,34.75,34.75,34.1875,34.3125,161800,15.812807
2000-04-26,34.625,35.1875,34.5625,35.0,349100,16.129639
2000-04-27,35.0,35.125,34.8125,35.0,112500,16.129639
2000-04-28,35.0,35.1875,34.875,34.875,189400,16.072034
2000-05-01,35.0,35.4375,34.5625,35.375,259100,16.302457
2000-05-02,35.375,36.75,35.375,36.1875,558200,16.676895
2000-05-03,36.125,36.25,35.9375,36.0,349500,16.590486
2000-05-04,36.125,36.1875,35.5625,36.0,258500,16.590486
2000-05-05,35.9375,36.25,35.875,36.125,266000,16.648092
2000-05-08,36.0625,36.3125,35.9375,36.3125,181500,16.734501
2000-05-09,36.1875,36.5,36.0,36.375,315900,16.763304
2000-05-10,36.1875,36.4375,36.1875,36.3125,136700,16.734501
2000-05-11,36.5,36.5,36.25,36.4375,138100,16.792107
2000-05-12,36.375,36.6875,36.375,36.625,128700,16.878516
2000-05-15,36.625,36.6875,36.125,36.25,389400,16.705698
2000-05-16,36.1875,36.25,36.0625,36.1875,154500,16.676895
2000-05-17,36.125,36.4375,36.125,36.4375,167100,16.792107
2000-05-18,36.3125,36.5,36.1875,36.375,126300,16.763304
2000-05-19,36.1875,36.625,36.0625,36.5625,71300,16.849713
2000-05-22,36.5,36.5,35.9375,36.375,158100,16.763304
2000-05-23,36.375,36.5,36.0,36.1875,90800,16.676895
2000-05-24,36.25,36.25,35.5625,35.625,233100,16.417669
