Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,48.75,49.624998,48.625002,49.3125,1222600,19.143124
2000-01-04,49.750002,50.500002,48.499998,48.75,1951200,18.924762
2000-01-05,49.000002,52.3125,48.5625,52.187502,2666200,20.259201
2000-01-06,52.187502,54.499998,51.5625,54.0,1876600,20.962813
2000-01-07,55.5,59.25,55.5,58.875,3390300,22.855289
2000-01-10,60.0,60.874998,55.062498,55.999998,2038600,21.739213
2000-01-11,56.500002,57.625002,55.875,56.374998,1683700,21.884788
2000-01-12,56.125002,57.812502,55.999998,57.375,998200,22.272989
2000-01-13,58.000002,60.75,57.874998,58.6875,2816100,22.782502
2000-01-14,59.25,59.749998,58.000002,59.374998,1850500,23.049389
2000-01-18,59.4375,59.4375,55.999998,56.500002,1562700,21.933314
2000-01-19,56.25,58.937502,56.125002,58.3125,2128300,22.636927
2000-01-20,57.75,57.75,51.0,53.500002,3557400,20.768714
2000-01-21,53.500002,53.687502,51.0,52.125,2428500,20.234938
2000-01-24,52.5,52.624998,50.25,51.0,2722500,19.798212
2000-01-25,50.749998,51.0,49.000002,49.437498,3154600,19.191649
2000-01-26,49.5,50.749998,49.125,49.375002,3339300,19.167388
2000-01-27,49.375002,50.749998,48.499998,49.562502,1653100,19.240175
2000-01-28,49.375002,49.5,48.0,48.75,1402800,18.924762
2000-01-31,48.250002,48.312498,45.500001,47.687499,2208100,18.512299
2000-02-01,48.250002,50.187498,47.874999,49.937502,2163900,19.38575
2000-02-02,49.937502,49.937502,47.687499,47.750001,1901100,18.536562
2000-02-03,48.0,48.499998,47.000001,47.8125,1494400,18.560824
2000-02-04,48.0,49.812498,47.937501,49.249998,1431400,19.118861
2000-02-07,49.249998,50.0625,48.499998,49.5,1299300,19.215912
2000-02-08,49.999998,51.250002,49.6875,51.250002,1516800,19.895263
2000-02-09,51.250002,51.250002,49.812498,50.0625,816100,19.434275
2000-02-10,51.0,51.499998,49.062498,49.187502,1386000,19.0946
2000-02-11,49.187502,49.375002,46.562499,47.0625,1478700,18.269674
2000-02-14,47.375001,47.499999,45.249999,45.875001,2202300,17.808687
2000-02-15,45.375,45.812499,43.937499,44.4375,2579500,17.250648
2000-02-16,44.4375,45.9375,44.25,45.1875,1741300,17.541798
2000-02-17,45.1875,45.375,44.562501,44.687499,2049300,17.347698
2000-02-18,44.562501,44.937501,43.374999,44.000001,1364700,17.080811
2000-02-22,44.0625,45.375,43.812501,45.062499,1623700,17.493273
2000-02-23,44.874999,45.500001,44.499999,44.8125,1345300,17.396223
2000-02-24,44.25,44.874999,42.1875,43.6875,1649200,16.959498
2000-02-25,43.6875,44.25,42.437499,43.062501,1029600,16.716873
2000-02-28,43.5,43.625001,41.499999,42.75,1291200,16.59556
2000-02-29,42.125001,42.5625,41.187501,41.8125,2105400,16.231623
2000-03-01,39.999999,40.5,37.250001,39.0,6463300,15.139809
2000-03-02,39.0,39.1875,38.000001,38.8125,3297000,15.067022
2000-03-03,39.0,41.25,38.937501,40.125,2863500,15.576535
2000-03-06,39.9375,39.999999,39.0,39.249999,1906200,15.236859
2000-03-07,38.499999,38.750001,36.999999,37.187499,2455600,14.436196
2000-03-08,38.000001,38.8125,37.125,38.499999,2116500,14.945709
2000-03-09,38.499999,42.75,38.25,40.937499,3212500,15.891947
2000-03-10,41.124999,42.875001,40.875,41.8125,1577800,16.231623
2000-03-13,40.374999,41.750001,39.375,41.000001,2224200,15.91621
2000-03-14,41.000001,41.25,39.375,40.6875,1299000,15.794897
2000-03-15,41.000001,43.5,40.250001,43.250001,2642100,16.789661
2000-03-16,42.999999,49.249998,42.125001,48.625002,3405700,18.876238
2000-03-17,48.375,48.874998,47.000001,48.1875,2208900,18.706399
2000-03-20,48.1875,48.9375,46.812501,46.875,1395100,18.196886
2000-03-21,45.500001,48.499998,45.500001,48.0,1384900,18.633612
2000-03-22,48.0,49.5,47.8125,49.062498,1282800,19.046074
2000-03-23,48.812502,49.999998,48.625002,49.875,1102300,19.361487
2000-03-24,49.937502,50.875002,49.437498,49.562502,2285100,19.240175
2000-03-27,49.5,49.937502,47.562501,47.687499,1661400,18.512299
2000-03-28,47.750001,48.437502,47.000001,47.0625,2037300,18.269674
2000-03-29,47.000001,47.000001,45.75,45.999999,2082700,17.866703
2000-03-30,46.125,46.250001,45.0,45.9375,1621900,17.842428
2000-03-31,45.812499,47.874999,45.5625,45.875001,1679400,17.818153
2000-04-03,46.250001,48.625002,46.187499,48.499998,1452900,18.837719
2000-04-04,48.0,49.812498,47.625,49.000002,2153400,19.031924
2000-04-05,48.499998,49.249998,48.312498,48.812502,1516900,18.959098
2000-04-06,48.874998,49.750002,47.000001,47.874999,1228000,18.594965
2000-04-07,48.874998,49.062498,47.937501,47.937501,1186200,18.619241
2000-04-10,48.062502,48.625002,47.937501,48.1875,1061700,18.716343
2000-04-11,48.250002,48.375,47.625,47.937501,1329300,18.619241
2000-04-12,48.499998,48.9375,48.124998,48.687498,1612900,18.910545
2000-04-13,48.499998,48.625002,47.625,47.750001,1242700,18.546415
2000-04-14,47.499999,47.499999,45.1875,45.875001,1843000,17.818153
2000-04-17,45.75,46.3125,44.750001,45.999999,1656000,17.866703
2000-04-18,45.5625,48.499998,44.750001,47.750001,2478000,18.546415
2000-04-19,49.187502,52.437498,48.812502,51.75,2405200,20.100041
