Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,46.25,46.25,44.5625,45.0,1102400,27.198503
2000-01-04,44.625,44.625,42.9375,43.125,665700,26.065232
2000-01-05,42.625,43.5,42.625,43.0,774000,25.989681
2000-01-06,43.0,44.5,43.0,44.25,573100,26.745195
2000-01-07,44.375,44.5,43.875,44.1875,490800,26.707419
2000-01-10,42.75,44.0,42.4375,42.75,592100,25.838578
2000-01-11,42.25,42.25,41.4375,41.625,646700,25.158616
2000-01-12,41.625,42.5,41.5625,42.375,572700,25.611924
2000-01-13,42.5,43.25,42.4375,42.8125,1152500,25.876354
2000-01-14,43.75,44.375,43.5625,44.0625,698400,26.631868
2000-01-18,44.0,44.0,42.5,43.0625,462200,26.027457
2000-01-19,43.25,44.125,43.125,43.1875,986900,26.103008
2000-01-20,43.1875,43.1875,41.3125,41.3125,734800,24.969737
2000-01-21,41.3125,41.375,40.5625,40.8125,646900,24.667531
2000-01-24,41.0625,41.3125,40.0625,40.4375,491400,24.440877
2000-01-25,40.1875,41.0,40.0625,40.375,513900,24.403102
2000-01-26,40.0,42.375,39.9375,42.1875,501700,25.498597
2000-01-27,42.3125,43.0,42.125,42.875,454100,25.91413
2000-01-28,42.875,43.0625,42.125,42.5,1044000,25.687475
2000-01-31,42.875,44.4375,42.75,44.1875,542400,26.707419
2000-02-01,44.25,44.5,43.875,44.0625,713300,26.631868
2000-02-02,44.0625,44.125,43.5625,43.8125,673800,26.480765
2000-02-03,43.75,44.0625,43.25,44.0,838100,26.594092
2000-02-04,43.75,44.25,43.3125,43.3125,698000,26.178559
2000-02-07,43.3125,43.375,42.25,42.4375,397800,25.6497
2000-02-08,42.6875,43.375,42.625,42.75,344100,25.838578
2000-02-09,42.625,42.75,41.875,41.9375,409300,25.347494
2000-02-10,41.75,41.8125,40.0,40.3125,531800,24.365326
2000-02-11,40.25,41.4375,39.875,40.375,660500,24.403102
2000-02-14,40.375,40.75,39.5,39.8125,390800,24.06312
2000-02-15,39.875,40.9375,39.4375,40.625,414700,24.554204
2000-02-16,40.375,40.9375,39.6875,40.5625,520100,24.516429
2000-02-17,40.875,41.25,39.4375,39.75,490800,24.025345
2000-02-18,39.5,39.5,37.3125,38.0,946500,22.967625
2000-02-22,38.0,38.5,36.875,37.75,1064300,22.816522
2000-02-23,37.125,37.25,36.4375,37.0625,799700,22.40099
2000-02-24,37.1875,37.1875,35.75,36.75,801000,22.212111
2000-02-25,36.5,37.75,35.0,35.3125,1301200,21.34327
2000-02-28,36.25,38.0,36.125,37.625,997700,22.740971
2000-02-29,37.625,37.625,36.1875,36.8125,461200,22.249887
2000-03-01,36.5625,36.6875,35.6875,36.25,483600,21.909905
2000-03-02,35.875,36.0,34.9375,35.8125,457200,21.645476
2000-03-03,36.8125,36.875,35.6875,36.6875,633700,22.174335
2000-03-06,36.375,36.6875,35.875,36.1875,351700,21.87213
2000-03-07,36.125,36.125,34.3125,34.75,412500,21.003289
2000-03-08,35.0,35.0,33.4375,33.8125,605000,20.436653
2000-03-09,33.75,34.375,33.75,34.125,429500,20.625532
2000-03-10,34.3125,34.5625,34.0,34.0625,347300,20.587756
2000-03-13,33.375,34.4375,32.9375,34.0625,426100,20.832393
2000-03-14,33.8125,35.1875,33.3125,34.25,773800,20.947067
2000-03-15,34.1875,37.0,34.1875,37.0,1151200,22.628948
2000-03-16,39.75,43.0,39.375,41.4375,1825200,25.342893
2000-03-17,41.5625,42.625,41.3125,41.5,785500,25.381117
2000-03-20,41.25,41.25,39.375,39.5625,438400,24.196155
2000-03-21,39.75,42.625,39.75,42.125,760700,25.763363
2000-03-22,42.125,43.125,41.75,43.0,696300,26.298507
2000-03-23,43.0,44.3125,42.375,44.1875,703000,27.024774
2000-03-24,44.0,44.5,42.875,43.4375,989700,26.566079
2000-03-27,43.3125,43.375,41.75,42.0625,717400,25.725138
2000-03-28,42.125,43.375,41.75,42.5,692800,25.99271
2000-03-29,42.6875,42.875,41.0,41.75,1366400,25.534016
2000-03-30,41.8125,41.8125,40.5,40.875,873600,24.998872
2000-03-31,40.6875,42.25,40.0,41.875,805200,25.610465
2000-04-03,42.125,44.125,42.125,43.875,687100,26.833651
2000-04-04,42.75,45.125,42.125,43.3125,703200,26.48963
2000-04-05,43.8125,44.6875,43.0,43.1875,638400,26.413181
2000-04-06,43.375,43.375,42.625,42.8125,482100,26.183833
2000-04-07,43.0625,43.3125,41.8125,42.5,585200,25.99271
2000-04-10,42.125,43.6875,41.625,42.9375,588800,26.260282
2000-04-11,43.1875,43.8125,43.0,43.5625,485000,26.642528
2000-04-12,44.0,46.75,44.0,44.9375,902600,27.483469
2000-04-13,45.375,45.375,44.125,44.875,645300,27.445244
2000-04-14,43.875,43.875,40.625,41.0,797100,25.075321
2000-04-17,41.125,42.5,41.0,42.0625,996500,25.725138
2000-04-18,41.9375,43.375,41.6875,42.9375,527600,26.260282
2000-04-19,42.5,42.625,40.75,41.9375,538400,25.648689
2000-04-20,42.5,42.5625,41.5,42.375,415000,25.916261
2000-04-24,42.25,44.125,42.125,43.75,669700,26.757202
2000-04-25,43.75,46.5,43.75,45.5625,748700,27.865715
2000-04-26,45.375,45.375,44.5,44.6875,618500,27.330571
2000-04-27,44.0625,44.0625,42.375,43.0,694400,26.298507
2000-04-28,42.625,42.8125,41.0,42.375,675900,25.916261
2000-05-01,41.875,43.6875,41.5,43.125,679800,26.374956
2000-05-02,42.5,42.8125,42.0,42.625,516900,26.06916
2000-05-03,42.6875,43.125,41.1875,41.4375,375000,25.342893
2000-05-04,41.4375,41.4375,40.4375,40.6875,478000,24.884198
2000-05-05,40.0625,40.5,39.875,40.5,361400,24.769524
2000-05-08,40.5,42.1875,40.25,42.125,411800,25.763363
2000-05-09,42.0,43.3125,41.4375,42.1875,263100,25.801588
2000-05-10,42.0625,42.8125,41.6875,42.0,373500,25.686914
2000-05-11,42.625,44.5,42.625,43.3125,526600,26.48963
2000-05-12,43.3125,45.0625,43.0625,44.6875,730500,27.330571
2000-05-15,44.6875,45.8125,44.625,45.375,685400,27.751041
2000-05-16,45.3125,45.8125,44.5625,44.875,629700,27.445244
2000-05-17,44.25,44.8125,43.75,44.5625,360600,27.254121
2000-05-18,44.6875,46.125,44.625,45.75,424200,27.980388
2000-05-19,46.75,46.75,44.0,44.125,598000,26.986549
2000-05-22,44.375,46.5,44.3125,45.75,475500,27.980388
2000-05-23,45.8125,47.3125,45.8125,46.25,486500,28.286185
2000-05-24,46.625,49.5,46.5625,48.875,1207700,29.891617
2000-05-25,49.75,50.5625,47.8125,48.4375,1439200,29.624045
2000-05-26,48.3125,50.0,48.3125,49.4375,379500,30.235638
2000-05-30,49.375,51.125,49.375,50.75,766800,31.038354
2000-05-31,50.6875,51.5625,49.875,50.625,426500,30.961905
2000-06-01,50.625,54.375,50.625,52.25,1390400,31.955744
2000-06-02,54.0,54.25,53.4375,54.0,998500,33.026032
2000-06-05,53.75,53.75,51.1875,51.5625,780100,31.535274
2000-06-06,51.75,51.75,49.5,50.625,810500,30.961905
2000-06-07,50.0,51.1875,49.8125,51.0,1013100,31.191253
2000-06-08,50.9375,50.9375,48.5625,49.9375,635400,30.541435
2000-06-09,49.9375,50.375,48.6875,49.375,430600,30.197414
2000-06-12,49.375,50.625,49.3125,50.5625,690100,30.923681
2000-06-13,49.75,49.9375,48.875,49.6875,479800,30.630855
2000-06-14,49.8125,50.5,49.5625,50.0625,472400,30.862031
2000-06-15,51.125,51.125,46.5,47.1875,1383800,29.08968
2000-06-16,46.25,46.375,44.0,44.8125,1049500,27.625564
2000-06-19,44.9375,46.4375,44.9375,46.0625,603300,28.396151
2000-06-20,46.0625,46.0625,45.25,46.0625,447500,28.396151
2000-06-21,45.875,45.9375,44.4375,45.359299,392100,27.962649
2000-06-22,45.4375,45.9375,44.6875,45.5625,355500,28.087916
2000-06-23,45.9375,46.5,45.625,46.0,271300,28.357622
2000-06-26,45.75,46.9375,45.625,46.5,573000,28.665857
2000-06-27,46.6875,47.3125,46.625,46.9375,376400,28.935562
2000-06-28,46.9375,48.4375,46.9375,47.359299,730700,29.195589
2000-06-29,47.3125,47.3125,46.3125,46.5,533000,28.665857
2000-06-30,46.25,46.3125,44.0,44.875,678100,27.664093
2000-07-03,45.0,46.6875,45.0,46.4375,531900,28.627327
2000-07-05,47.25,48.0,46.8125,46.9375,368200,28.935562
2000-07-06,47.1875,48.125,46.125,48.0,398800,29.590562
2000-07-07,48.625,49.875,48.5,49.4375,645600,30.476738
2000-07-10,49.75,50.3125,49.625,49.8125,523500,30.707914
2000-07-11,49.625,49.75,48.8125,49.75,385600,30.669384
2000-07-12,49.75,50.4375,48.9375,49.1875,447300,30.32262
2000-07-13,49.4375,49.4375,47.625,48.3125,753800,29.783209
2000-07-14,48.75,50.25,48.75,49.8125,493200,30.707914
2000-07-17,50.0,50.125,48.9375,49.625,415700,30.592326
2000-07-18,49.25,49.625,48.1875,49.5625,581400,30.553796
2000-07-19,50.125,51.1875,49.875,50.6875,806900,31.247325
2000-07-20,50.75,52.3125,50.75,51.75,455600,31.902325
2000-07-21,51.375,52.5,50.6875,51.5,626600,31.748207
2000-07-24,51.375,52.6875,51.1875,51.6875,344100,31.863795
2000-07-25,51.9375,52.875,51.6875,52.875,469500,32.595853
2000-07-26,53.0,53.0,51.5625,51.9375,682500,32.017913
2000-07-27,52.0,53.0625,51.25,51.625,392300,31.825266
2000-07-28,51.6875,51.9375,50.625,51.0625,242800,31.478501
2000-07-31,51.0625,52.1875,50.625,51.0,601000,31.439972
2000-08-01,50.875,51.4375,50.5,51.3125,298500,31.632619
2000-08-02,52.0,52.375,51.375,51.5,390700,31.748207
2000-08-03,51.5,53.5,51.3125,53.3125,667000,32.865559
2000-08-04,55.0,55.9375,54.75,55.625,983800,34.291146
2000-08-07,55.9375,55.9375,54.25,55.5,479000,34.214087
2000-08-08,55.625,55.6875,54.625,55.625,277500,34.291146
2000-08-09,55.5,56.375,53.875,56.0625,763000,34.560852
2000-08-10,56.3125,57.125,55.25,56.4375,450500,34.792028
2000-08-11,56.4375,56.9375,56.0625,56.375,377600,34.753498
2000-08-14,56.3125,56.5,55.375,56.1875,683000,34.63791
2000-08-15,56.1875,56.1875,55.1875,55.6875,382600,34.329675
2000-08-16,55.5,56.3125,54.875,55.0,305600,33.905852
2000-08-17,55.25,55.75,55.0625,55.4375,281400,34.175558
2000-08-18,54.875,55.0,54.375,54.5,367900,33.597617
2000-08-21,54.375,55.5,54.0625,54.875,414600,33.828793
2000-08-22,54.875,55.9375,54.75,55.6875,316100,34.329675
2000-08-23,55.6875,56.4375,55.5,56.25,649700,34.67644
2000-08-24,56.375,56.75,55.3125,55.6875,289400,34.329675
2000-08-25,55.1875,55.75,55.0625,55.25,254900,34.05997
2000-08-28,55.25,55.9375,54.9375,55.0,447700,33.905852
2000-08-29,54.9375,55.0,54.0625,54.5625,197500,33.636146
2000-08-30,54.9375,56.0625,54.6875,55.3125,402400,34.098499
2000-08-31,55.5625,57.375,55.5625,56.328098,487100,34.724585
2000-09-01,56.6875,57.0,55.75,55.875,273600,34.445263
2000-09-05,55.75,57.3125,55.6875,56.1875,522500,34.63791
2000-09-06,56.4375,57.8125,56.4375,56.875,329100,35.061733
2000-09-07,56.75,57.125,56.5,56.9375,529500,35.100263
2000-09-08,57.1875,58.1875,57.125,57.9375,665900,35.716733
2000-09-11,57.9375,58.4375,57.8125,58.3125,824400,35.947909
2000-09-12,58.1875,58.3125,57.0625,58.0625,497800,35.793792
2000-09-13,57.875,58.8125,57.1875,57.5,333300,35.692923
2000-09-14,57.75,58.0,57.0,57.25,323500,35.537737
2000-09-15,57.4375,57.4375,56.0,56.25,590100,34.91699
2000-09-18,56.25,56.25,54.125,54.375,431300,33.753091
2000-09-19,54.625,55.6875,54.25,55.375,327700,34.373837
2000-09-20,55.875,55.875,54.125,55.375,399200,34.373837
2000-09-21,55.4375,55.4375,53.5625,54.3125,325600,33.714294
2000-09-22,53.6875,54.375,53.0,54.0625,581700,33.559107
2000-09-25,54.3125,57.0,54.25,56.6875,761000,35.188567
2000-09-26,57.0,57.25,56.0625,56.5,554900,35.072177
2000-09-27,56.5625,56.8125,55.5,56.8125,415300,35.26616
2000-09-28,57.0,59.1875,57.0,58.25,778600,36.158483
2000-09-29,58.625,59.4375,58.0,58.4375,493800,36.274873
2000-10-02,58.4375,59.8125,57.5625,59.8125,622400,37.1284
2000-10-03,59.875,60.1875,59.5625,59.875,506400,37.167196
2000-10-04,60.5,60.75,58.8125,60.0625,576300,37.283586
2000-10-05,59.9375,61.125,58.8125,59.0,351200,36.624043
2000-10-06,58.9375,58.9375,56.3125,57.0,426700,35.38255
2000-10-09,56.875,57.25,55.8125,56.6875,249400,35.188567
2000-10-10,56.4375,56.875,53.0,53.6875,849900,33.326327
2000-10-11,53.4375,53.4375,51.3125,53.0625,662200,32.938361
2000-10-12,53.125,54.0,50.0625,51.25,808600,31.813258
2000-10-13,51.25,54.0,51.1875,53.75,611700,33.365124
2000-10-16,53.75,55.0,53.25,54.6875,449700,33.947074
2000-10-17,56.0,56.25,53.125,53.5625,684900,33.248734
2000-10-18,52.5625,53.8125,50.875,53.6875,904300,33.326327
2000-10-19,54.375,55.6875,54.25,55.375,639400,34.373837
2000-10-20,55.625,55.875,55.0,55.5625,464100,34.490227
2000-10-23,55.0625,55.1875,54.8125,54.8125,307100,34.024667
2000-10-24,53.125,55.875,53.125,55.75,1043700,34.606617
2000-10-25,56.0,57.1875,56.0,56.8125,510000,35.26616
2000-10-26,56.75,56.9375,55.4375,56.1875,667900,34.878194
2000-10-27,56.3125,58.375,56.3125,57.875,773300,35.925703
2000-10-30,58.4375,60.375,58.4375,60.3125,761600,37.438773
2000-10-31,60.5625,60.625,58.875,60.3125,626000,37.438773
2000-11-01,53.75,55.875,53.5625,55.125,3658500,34.21865
2000-11-02,56.0,56.125,54.4375,54.5625,1703700,33.869481
2000-11-03,54.75,54.75,53.8125,54.0625,930400,33.559107
2000-11-06,54.3125,54.75,53.5625,54.375,534400,33.753091
