Date,Open,High,Low,Close,Volume,Adj Close
2002-12-06,39.000001,43.200002,38.900001,42.9,27551000,5.787948
2002-12-09,42.7,42.800002,41.139998,42.020001,3149500,5.669221
2002-12-10,42.049999,43.299999,41.65,42.750001,1723000,5.767711
2002-12-11,42.7,45.500002,42.3,45.06,2549000,6.07937
2002-12-12,45.06,45.06,43.600001,43.909998,1355500,5.924214
2002-12-13,43.909998,43.969998,43.249998,43.649998,987500,5.889136
2002-12-16,43.499999,43.75,42.950001,43.099999,798000,5.814932
2002-12-17,43.000002,44.000001,42.800002,43.270001,1646000,5.837868
2002-12-18,43.200002,43.200002,42.550001,42.670002,742000,5.756918
2002-12-19,42.550001,42.7,42.17,42.3,684000,5.706998
2002-12-20,42.399998,44.6,41.999998,44.450002,904500,5.99707
2002-12-23,44.349999,44.549999,43.35,43.400002,638500,5.855407
2002-12-24,43.600001,43.600001,42.96,43.049998,218000,5.808186
2002-12-26,43.099999,43.150001,42.550001,42.600002,325000,5.747474
2002-12-27,42.5,42.5,41.750002,41.999998,830500,5.666523
2002-12-30,42.3,42.849998,42.1,42.319999,1076500,5.709696
2002-12-31,42.270002,43.800001,42.270002,43.660002,1778000,5.890486
2003-01-02,43.660002,43.95,43.449998,43.720002,315000,5.898581
2003-01-03,43.720002,45.799999,43.520002,45.799999,861500,6.179208
2003-01-06,45.029998,48.35,45.029998,48.099999,1874500,6.489518
2003-01-07,48.000002,48.600001,47.249999,48.02,1383000,6.478725
2003-01-08,48.03,48.270001,47.670002,48.010001,411000,6.477375
2003-01-09,48.099999,49.200001,47.659998,49.050002,649000,6.61769
2003-01-10,48.850002,49.349999,48.709998,48.990002,844000,6.609594
2003-01-13,49.000001,49.679999,48.870001,49.619999,810000,6.694592
2003-01-14,49.619999,50.0,49.070001,49.099998,554000,6.624435
2003-01-15,48.400002,48.400002,46.760001,47.049999,1459000,6.347855
2003-01-16,46.999998,46.999998,45.27,45.380001,725000,6.122543
2003-01-17,45.250001,45.52,44.8,45.019999,590500,6.073973
2003-01-21,45.050001,45.2,44.260001,44.450002,468000,5.99707
2003-01-22,44.299998,44.400001,44.099998,44.15,163500,5.956595
2003-01-23,44.200001,45.749998,44.130001,45.430002,476000,6.129289
2003-01-24,45.349998,47.1,45.0,46.989999,685000,6.33976
2003-01-27,46.789999,46.900001,46.199999,46.25,209000,6.239921
2003-01-28,46.300001,46.58,45.999999,46.009998,364500,6.207541
2003-01-29,45.900002,46.999998,45.760002,46.500001,401500,6.27365
2003-01-30,46.500001,46.589999,43.800001,44.200001,735000,5.963341
2003-01-31,44.000001,44.050002,42.010002,42.5,2886000,5.733981
2003-02-03,42.449999,42.9,42.160001,42.350001,780000,5.713744
2003-02-04,42.199998,42.199998,41.550002,41.999998,740000,5.666523
2003-02-05,41.950002,41.999998,41.350002,41.739998,1159000,5.631444
2003-02-06,41.700001,42.020001,41.45,41.500001,1077500,5.599064
2003-02-07,41.599998,42.150002,41.550002,42.11,744500,5.681364
2003-02-10,42.11,43.400002,42.049999,43.000002,278500,5.80144
2003-02-11,43.000002,43.530002,42.9,42.909999,222500,5.789297
2003-02-12,42.750001,42.950001,42.480001,42.909999,355500,5.789297
2003-02-13,42.849998,43.720002,42.820001,43.499999,265500,5.868899
2003-02-14,43.699999,44.8,43.699999,44.499998,958000,6.003816
2003-02-18,44.749999,44.8,44.15,44.520001,753500,6.006514
2003-02-19,44.530001,45.0,44.400001,44.770002,420500,6.040244
2003-02-20,44.8,45.100002,44.699998,45.029998,159000,6.075322
2003-02-21,45.040002,45.66,45.0,45.359998,206000,6.119844
2003-02-24,45.0,45.799999,45.0,45.539999,182500,6.14413
2003-02-25,45.500002,45.799999,45.349998,45.72,144500,6.168415
2003-02-26,45.739999,45.999999,45.100002,45.339999,214000,6.117146
2003-02-27,45.240002,45.250001,43.299999,43.299999,945000,5.841915
2003-02-28,43.249998,43.800001,42.870002,43.049998,565000,5.808186
2003-03-03,43.060002,43.559999,43.000002,43.130002,211000,5.81898
2003-03-04,43.099999,43.239999,42.820001,42.820001,151000,5.777155
2003-03-05,42.83,42.96,42.199998,42.249999,269500,5.700252
2003-03-06,42.11,42.649999,42.11,42.340002,352500,5.731387
2003-03-07,42.350001,42.740002,42.210002,42.329998,175500,5.730032
2003-03-10,42.280002,42.659998,42.270002,42.360001,163000,5.734094
2003-03-11,42.37,42.7,42.17,42.270002,104500,5.721911
2003-03-12,42.399998,42.550001,41.900001,42.379999,312000,5.736801
2003-03-13,42.5,42.7,42.410002,42.519999,204000,5.755752
2003-03-14,42.5,43.400002,42.5,43.200002,471500,5.847801
2003-03-17,43.200002,46.19,43.200002,45.949998,607000,6.220056
2003-03-18,45.970001,46.830001,45.700002,46.05,478500,6.233593
2003-03-19,46.100001,46.950002,46.100001,46.950002,149500,6.355423
2003-03-20,46.960001,46.960001,45.549998,45.549998,571000,6.16591
2003-03-21,45.700002,47.129998,45.700002,47.1,632500,6.375727
2003-03-24,46.999998,48.210001,46.729999,48.000002,1112000,6.497557
2003-03-25,47.950001,48.55,47.950001,48.429999,545500,6.555764
2003-03-26,48.400002,48.909998,48.400002,48.499999,1076000,6.565239
2003-03-27,48.400002,48.899999,47.800002,48.899999,777500,6.619385
2003-03-28,48.800001,48.800001,48.400002,48.649998,306500,6.585544
2003-03-31,48.55,48.55,47.76,48.150001,435000,6.517861
2003-04-01,48.16,48.189998,47.579999,47.969999,232000,6.493495
2003-04-02,47.37,48.299999,47.23,48.16,536000,6.519215
2003-04-03,48.200002,49.200001,48.200002,48.280001,633000,6.535459
2003-04-04,48.35,48.800001,48.260002,48.400002,321500,6.551703
2003-04-07,48.699999,48.850002,46.669998,46.700001,1109500,6.321581
2003-04-08,46.599998,46.77,46.149998,46.459999,398000,6.289093
2003-04-09,46.550002,46.900001,46.25,46.750002,390000,6.32835
2003-04-10,46.799998,47.150002,46.550002,47.119999,224500,6.378434
2003-04-11,47.199998,47.199998,46.630001,46.77,178500,6.331057
2003-04-14,46.77,47.600002,46.700001,47.509999,212500,6.431227
2003-04-15,47.470002,47.670002,47.43,47.5,198500,6.429874
2003-04-16,47.550001,47.909999,47.519999,47.610002,280000,6.444764
2003-04-17,48.610001,49.67,48.540001,49.039998,1067500,6.638337
2003-04-21,48.839998,48.889999,48.270001,48.720002,243500,6.59502
2003-04-22,49.01,50.549998,48.179998,49.790001,1607000,6.739861
2003-04-23,50.289998,51.25,50.0,50.500002,1540000,6.835971
2003-04-24,50.500002,51.599998,50.500002,51.599998,644000,6.984873
2003-04-25,51.599998,52.7,51.599998,52.449999,905000,7.099934
2003-04-28,52.649999,56.19,52.649999,55.4,2717500,7.499263
2003-04-29,55.409999,56.12,54.780002,55.650001,1455000,7.533105
2003-04-30,55.599999,56.750002,55.120001,56.539998,885500,7.65358
2003-05-01,56.539998,56.799998,55.780001,55.780001,1156500,7.550702
2003-05-02,55.650001,57.490001,55.650001,56.999998,740500,7.715848
2003-05-05,57.049999,58.000002,56.659999,56.799998,693000,7.688775
2003-05-06,56.799998,56.799998,56.030002,56.500001,661000,7.648166
2003-05-07,56.300001,56.599998,55.300002,55.599999,704500,7.526336
2003-05-08,55.4,55.580001,54.949999,55.380001,707000,7.496556
2003-05-09,55.500002,56.300001,55.050001,55.72,461000,7.54258
2003-05-12,55.650001,57.249999,55.500002,56.700001,457500,7.675239
2003-05-13,56.599998,59.000001,56.599998,58.600001,1083500,7.932434
2003-05-14,58.540001,59.239998,58.340001,58.49,763000,7.917543
2003-05-15,58.449998,58.870001,58.200002,58.62,279500,7.935141
2003-05-16,58.569999,60.0,58.099999,60.0,498000,8.121946
2003-05-19,59.400001,59.489999,58.369999,58.55,547500,7.925665
2003-05-20,58.449998,59.299998,58.449998,58.540001,461500,7.924312
2003-05-21,58.449998,59.200001,58.060002,59.169998,355000,8.009592
2003-05-22,59.419999,60.2,59.299998,59.699998,583000,8.081336
2003-05-23,59.749999,60.229998,59.720001,60.180001,161000,8.146312
2003-05-27,59.650002,59.650002,59.200001,59.530001,409000,8.058324
2003-05-28,59.530001,60.650001,59.530001,60.450001,506500,8.18286
2003-05-29,60.450001,60.619998,59.87,60.240002,856500,8.154434
2003-05-30,60.240002,61.799998,60.2,61.479998,820000,8.322287
2003-06-02,61.550002,62.779999,61.550002,62.049999,704500,8.399445
2003-06-03,61.849999,62.550001,61.849999,62.319999,741000,8.435994
2003-06-04,62.350001,63.460002,62.319999,63.200002,547000,8.555116
2003-06-05,63.200002,63.610001,62.849998,63.010001,363000,8.529397
2003-06-06,62.870002,62.870002,60.999999,60.999999,1028000,8.275699
2003-06-09,60.85,62.189999,60.780001,61.999998,1836500,8.411366
2003-06-10,62.049999,62.750001,61.78,62.199998,1206000,8.438499
2003-06-11,62.1,62.56,62.1,62.350001,1197500,8.45885
2003-06-12,62.5,64.499998,62.290001,64.14,999000,8.701694
2003-06-13,64.14,64.8,64.14,64.520001,723500,8.753247
2003-06-16,64.699998,65.85,64.699998,65.619998,1098500,8.902481
2003-06-17,65.770001,69.499998,65.700002,69.400001,2332000,9.415303
