Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,47.9375,48.125,46.0,47.3125,772000,8.27113
2000-01-04,47.25,47.25,45.5,46.0,667600,8.04168
2000-01-05,46.0,46.875,45.375,46.0625,857600,8.052606
2000-01-06,44.5,48.0,41.625,47.6875,3072000,8.336687
2000-01-07,47.6875,50.0,47.5,48.9375,2006000,8.555211
2000-01-10,48.6875,49.875,47.8125,49.625,1014800,8.675399
2000-01-11,49.25,49.25,46.375,46.8125,769200,8.18372
2000-01-12,46.8125,47.875,46.5,47.0,677600,8.216499
2000-01-13,47.25,49.0,47.1875,47.8125,608400,8.358539
2000-01-14,48.0625,48.25,46.6875,46.6875,443200,8.161868
2000-01-18,46.1875,46.5625,45.5,46.25,511200,8.085385
2000-01-19,46.25,46.25,45.0625,45.1875,1146800,7.899639
2000-01-20,45.4375,45.4375,43.875,44.1875,572400,7.72482
2000-01-21,44.4375,45.0,42.3125,43.0,1079600,7.517222
2000-01-24,43.1875,43.25,41.125,41.6875,1034400,7.287772
2000-01-25,41.5,41.6875,40.1875,40.5625,1258800,7.091101
2000-01-26,40.8125,41.1875,40.0,40.6875,2245200,7.112953
2000-01-27,40.4375,40.4375,39.0,39.8125,1246800,6.959986
2000-01-28,40.5,40.625,38.0,38.625,1690000,6.752389
2000-01-31,38.375,38.9375,37.75,38.25,1202800,6.686832
2000-02-01,37.5,38.25,37.1875,37.25,1048000,6.512012
2000-02-02,37.25,37.8125,36.5625,36.5625,979600,6.391824
2000-02-03,37.0625,37.6875,36.5625,37.375,2487600,6.533865
2000-02-04,37.375,37.8125,37.375,37.5625,1194000,6.566643
2000-02-07,37.625,37.9375,36.375,37.125,1344800,6.49016
2000-02-08,37.375,38.0,36.625,36.9375,1170000,6.457381
2000-02-09,37.0,37.375,36.5625,36.5625,909600,6.391824
2000-02-10,36.5625,36.9375,36.25,36.625,1580800,6.402751
2000-02-11,37.0,37.0,34.875,35.0625,1278800,6.129596
2000-02-14,35.125,35.875,35.0,35.375,1257200,6.184227
2000-02-15,35.375,36.3125,35.375,35.9375,1914800,6.282562
2000-02-16,37.0,37.0625,36.4375,37.0625,1792000,6.479234
2000-02-17,36.0,36.375,35.625,36.0625,1058800,6.304415
2000-02-18,36.625,42.0,36.1875,40.75,2434800,7.123879
2000-02-22,40.5,40.6875,38.5625,40.6875,2058400,7.112953
2000-02-23,40.625,40.625,38.25,38.25,720000,6.686832
2000-02-24,38.1875,38.1875,34.75,35.0,2075600,6.118669
2000-02-25,34.25,34.75,33.75,34.625,2153200,6.053112
2000-02-28,34.0625,34.0625,33.125,33.625,1172800,5.929669
2000-02-29,33.875,33.875,33.0,33.3125,1358000,5.874561
2000-03-01,33.5625,34.5,33.375,33.875,996400,5.973756
2000-03-02,33.0,33.25,32.375,32.9375,1185600,5.808431
2000-03-03,33.1875,34.6875,32.8125,34.625,1090400,6.106017
2000-03-06,34.125,34.375,33.0,33.0,849600,5.819453
2000-03-07,33.5625,33.625,31.25,31.3125,852400,5.521867
2000-03-08,31.8125,32.0,30.125,31.0625,1096400,5.47778
2000-03-09,31.4375,32.25,30.75,32.0,651600,5.643106
2000-03-10,31.0,32.25,30.8125,32.0,1124000,5.643106
2000-03-13,31.5,31.5,30.5625,31.4375,709200,5.54391
2000-03-14,31.6875,32.4375,31.25,31.5,1020800,5.554932
2000-03-15,31.0625,34.0,31.0,33.5,1501200,5.907626
2000-03-16,33.9375,37.25,33.8125,37.1875,1659200,6.557906
2000-03-17,37.1875,37.1875,34.8125,35.5625,1426800,6.271342
2000-03-20,36.5,37.0625,35.8125,35.9375,1358800,6.337472
2000-03-21,36.4375,38.0,35.875,37.25,1124000,6.568928
2000-03-22,37.25,37.25,36.1875,36.75,839200,6.480754
2000-03-23,36.5,38.5,36.5,38.25,1117600,6.745275
2000-03-24,38.25,39.0625,37.5625,38.125,1267600,6.723231
2000-03-27,38.5,39.0,37.375,38.4375,1250000,6.77834
2000-03-28,38.6875,38.75,36.5,37.25,1177200,6.568928
2000-03-29,37.3125,38.625,37.0,37.625,1277600,6.635058
2000-03-30,37.375,37.375,35.8125,36.3125,1808400,6.403602
2000-03-31,35.8125,38.0,35.75,37.5625,1990000,6.624036
2000-04-03,38.0625,38.0625,36.5,37.25,776800,6.568928
2000-04-04,37.9375,39.9375,37.5625,38.375,1860400,6.767318
2000-04-05,39.0,39.0,37.625,37.8125,1022000,6.668123
2000-04-06,37.8125,38.3125,36.75,36.75,1339200,6.480754
2000-04-07,37.0,37.125,36.0625,36.4375,709200,6.425646
2000-04-10,36.375,37.125,35.875,36.125,542000,6.370537
2000-04-11,36.375,36.75,35.8125,36.1875,889600,6.381559
2000-04-12,35.9375,37.5,35.5,35.625,1400400,6.282364
2000-04-13,37.1875,39.75,36.6875,38.625,2063600,6.811405
2000-04-14,37.75,38.0,36.5,36.625,2065600,6.458711
2000-04-17,36.625,38.8125,36.625,36.6875,1160400,6.469732
2000-04-18,36.75,38.3125,36.0,37.4375,1152800,6.601993
2000-04-19,37.1875,37.3125,35.6875,36.1875,717600,6.381559
2000-04-20,35.625,36.8125,35.625,36.125,644000,6.370537
2000-04-24,36.125,36.875,35.875,36.3125,369600,6.403602
2000-04-25,35.8125,37.0,35.5,36.75,688400,6.480754
2000-04-26,37.0,37.5625,35.4375,36.1875,880800,6.381559
2000-04-27,36.3125,36.6875,35.625,35.75,412000,6.304407
2000-04-28,35.5625,35.75,35.0625,35.5625,854400,6.271342
2000-05-01,35.4375,36.0,33.75,35.4375,1057200,6.249298
2000-05-02,34.75,35.1875,34.125,34.6875,824800,6.117038
2000-05-03,34.625,34.625,33.75,33.9375,292400,5.984778
2000-05-04,34.0,34.3125,33.4375,33.8125,480400,5.962735
2000-05-05,33.875,34.375,33.5625,34.125,544000,6.017843
2000-05-08,33.875,34.6875,33.5,34.0,618000,5.9958
2000-05-09,34.375,34.4375,33.0625,33.8125,640400,5.962735
2000-05-10,33.3125,33.6875,32.8125,33.6875,484000,5.940691
2000-05-11,34.125,35.375,33.75,34.625,853600,6.106017
2000-05-12,34.25,34.9375,34.0,34.75,624800,6.12806
2000-05-15,35.75,35.75,33.75,34.1875,530400,6.028865
2000-05-16,34.1875,35.4375,34.0625,34.4375,873200,6.072951
2000-05-17,33.9375,34.5,33.875,34.1875,825600,6.028865
2000-05-18,34.9375,35.5,34.125,34.25,507200,6.039886
2000-05-19,34.0,34.4375,33.75,34.0625,677200,6.006821
2000-05-22,33.8125,34.25,32.8125,33.6875,730000,5.940691
2000-05-23,33.9375,33.9375,33.0,33.25,548400,5.863539
2000-05-24,33.875,34.8125,33.625,33.9062,546400,5.979258
2000-05-25,34.0,34.3125,32.5,32.9687,789200,5.813933
2000-05-26,33.375,33.6875,32.3125,32.625,357200,5.753322
2000-05-30,32.375,33.25,32.0625,33.0312,469200,5.879014
2000-05-31,33.3125,33.3125,32.4375,32.5312,424400,5.790022
2000-06-01,32.625,33.5,32.3125,33.3437,727600,5.934634
2000-06-02,33.75,34.0,32.8125,33.5,536800,5.962453
2000-06-05,33.625,34.1875,32.9375,33.25,1001200,5.917957
2000-06-06,33.5,33.625,32.8125,32.9375,684000,5.862337
2000-06-07,33.375,33.375,32.25,32.375,745200,5.762221
2000-06-08,32.125,32.3125,31.375,31.625,659200,5.628734
2000-06-09,31.8125,32.375,31.8125,32.0,341200,5.695477
2000-06-12,32.25,32.8125,31.625,32.0625,652800,5.706601
2000-06-13,32.0625,32.1875,31.3125,31.8125,465600,5.662106
2000-06-14,31.875,33.0,31.75,32.375,1056400,5.762221
2000-06-15,32.4375,33.125,32.3125,33.125,1219200,5.895709
2000-06-16,33.25,33.3125,32.3125,32.6562,710800,5.81227
2000-06-19,32.875,33.0,31.4375,31.5,680000,5.606486
2000-06-20,31.5625,31.5625,30.875,31.125,871600,5.539742
2000-06-21,31.125,31.4375,30.875,30.9375,854800,5.50637
2000-06-22,31.0,31.0,30.0625,30.375,684800,5.406254
2000-06-23,30.125,30.625,29.8125,29.9375,669600,5.328386
2000-06-26,30.25,30.4375,29.5625,30.0625,1256400,5.350634
2000-06-27,29.6875,30.375,29.6875,29.9375,2015600,5.328386
2000-06-28,30.0,30.0,28.75,29.4062,1608400,5.233824
2000-06-29,29.75,29.875,29.0625,29.1875,2083600,5.194898
2000-06-30,29.5,29.5,27.234301,27.234301,3156400,4.847261
2000-07-03,27.6875,28.5,27.5625,28.3125,1246800,5.039163
2000-07-05,27.75,28.25,27.625,27.8125,1478000,4.950171
2000-07-06,27.875,28.9375,27.8125,28.5625,1872000,5.083659
2000-07-07,28.3125,28.75,27.3125,27.3125,1797200,4.861179
2000-07-10,27.9375,28.5,27.5625,27.9375,1338800,4.972419
2000-07-11,27.8125,30.0,27.0625,30.0,1537200,5.33951
2000-07-12,27.6875,28.9375,27.5,28.5,2036400,5.072535
2000-07-13,28.75,30.0,28.0,29.5625,2312800,5.261642
2000-07-14,30.375,30.625,29.75,30.5625,1855200,5.439626
2000-07-17,34.875,36.25,34.625,36.0312,7188800,6.412965
2000-07-18,36.4375,37.375,35.0625,36.25,3505200,6.451908
2000-07-19,35.4375,35.75,34.1875,34.5,1752000,6.140437
2000-07-20,34.9375,34.9375,33.0,33.125,4338800,5.895709
2000-07-21,33.0625,34.0,32.625,32.625,1360000,5.806717
2000-07-24,32.875,33.5,32.75,33.0,1619200,5.873461
2000-07-25,33.125,33.375,32.1875,32.375,1398000,5.762221
2000-07-26,32.625,32.625,31.375,31.5,2042000,5.606486
2000-07-27,31.3125,32.1875,31.25,31.9375,1160000,5.684354
2000-07-28,32.0,32.375,31.4375,31.5312,973600,5.612039
2000-07-31,32.125,33.6875,31.875,31.9687,1790000,5.689907
2000-08-01,32.25,33.25,32.1875,33.0625,883600,5.884585
2000-08-02,33.4375,33.75,32.5,32.6875,1106800,5.817841
2000-08-03,32.8125,32.875,32.0625,32.625,1160000,5.806717
2000-08-04,32.5,32.8125,32.4375,32.5,1219600,5.784469
2000-08-07,32.5,34.0,32.5,33.0625,1288400,5.884585
2000-08-08,33.3125,34.6875,33.3125,34.4375,1720000,6.129313
2000-08-09,34.5625,34.75,33.8125,33.9375,1695200,6.040321
2000-08-10,33.9375,34.3125,33.5625,34.0,581600,6.051445
2000-08-11,33.875,34.9375,33.8125,34.8125,706400,6.196057
2000-08-14,35.1875,35.625,34.375,34.875,1040800,6.207181
