Date,Open,High,Low,Close,Volume,Adj Close
2004-10-29,12.0,12.01,12.0,12.0,5951800,7.05099
2004-11-01,12.0,12.01,12.0,12.0,764400,7.05099
2004-11-02,12.0,12.01,12.0,12.0,950100,7.05099
2004-11-03,12.02,12.2,12.01,12.15,433600,7.139127
2004-11-04,12.18,12.18,12.05,12.06,311200,7.086246
2004-11-05,12.05,12.1,12.0,12.08,391800,7.097997
2004-11-08,12.13,12.13,12.0,12.01,91100,7.056866
2004-11-09,12.0,12.06,12.0,12.01,97600,7.056866
2004-11-10,12.0,12.04,12.0,12.01,177500,7.056866
2004-11-11,12.0,12.02,12.0,12.02,92700,7.062742
2004-11-12,12.01,12.38,12.01,12.29,354900,7.221389
2004-11-15,12.32,12.45,12.2,12.39,268100,7.280148
2004-11-16,12.49,12.65,12.31,12.5,252500,7.344782
2004-11-17,12.55,12.6,12.35,12.51,425000,7.350658
2004-11-18,12.5,12.74,12.5,12.72,179700,7.47405
2004-11-19,12.72,12.74,12.5,12.71,202600,7.468174
2004-11-22,12.61,12.73,12.51,12.63,105200,7.421167
2004-11-23,12.55,12.95,12.52,12.8,204200,7.521056
2004-11-24,12.75,12.95,12.7,12.79,141700,7.515181
2004-11-26,12.4,12.78,12.4,12.65,42900,7.432919
2004-11-29,12.65,12.75,12.55,12.68,174200,7.450547
2004-11-30,12.66,12.85,12.65,12.76,148800,7.497553
2004-12-01,12.66,13.17,12.66,13.15,162500,7.72671
2004-12-02,13.05,13.07,12.78,12.95,212800,7.609194
2004-12-03,12.9,13.2,12.9,13.15,138300,7.72671
2004-12-06,13.16,13.19,13.05,13.12,126600,7.709083
2004-12-07,13.06,13.2,13.0,13.0,116200,7.638573
2004-12-08,12.8,13.0,12.7,12.86,112300,7.556311
2004-12-09,12.86,12.95,12.5,12.85,139200,7.550436
2004-12-10,12.75,13.05,12.55,12.97,186000,7.620946
2004-12-13,12.87,13.04,12.7,12.91,215700,7.58569
2004-12-14,12.81,13.1,12.79,12.9,169400,7.579814
2004-12-15,13.0,13.14,12.89,13.05,200300,7.667952
2004-12-16,13.03,13.09,12.93,13.05,230000,7.667952
2004-12-17,13.05,13.55,12.94,13.4,887700,7.873606
