Date,Open,High,Low,Close,Volume,Adj Close
2008-05-07,25.200001,25.799999,24.799999,25.5,38943400,20.846373
2008-05-08,25.58,25.83,24.74,25.4,12468400,20.764622
2008-05-09,25.1,25.4,24.940001,25.24,9747000,20.633822
2008-05-12,25.110001,26.85,25.1,25.57,7921800,20.903598
2008-05-13,25.379999,25.92,25.200001,25.9,4518800,21.173375
2008-05-14,25.5,26.309999,24.6,26.17,4295600,21.394101
2008-05-15,25.75,26.41,25.58,26.030001,3969300,21.279651
2008-05-16,25.860001,26.75,25.67,26.5,11418200,21.663878
2008-05-19,26.15,26.450001,25.969999,26.07,5645100,21.31235
2008-05-20,25.700001,25.940001,25.0,25.549999,8338100,20.887248
2008-05-21,25.370001,25.780001,25.26,25.51,1729100,20.854548
2008-05-22,25.139999,26.129999,25.120001,25.719999,7980000,21.026223
2008-05-23,25.52,25.719999,25.26,25.42,2421100,20.780973
2008-05-27,25.360001,25.530001,25.120001,25.379999,1899300,20.748272
2008-05-28,25.219999,25.469999,25.049999,25.209999,5346300,20.609296
2008-05-29,25.01,25.139999,24.85,24.950001,6850900,20.396746
2008-05-30,24.82,25.469999,24.77,25.18,5456400,20.584772
2008-06-02,24.969999,25.07,24.110001,24.120001,2692600,19.718217
2008-06-03,23.799999,24.25,23.59,24.200001,4636400,19.783617
2008-06-04,23.950001,24.190001,23.879999,23.9,2871200,19.538365
2008-06-05,24.799999,26.379999,24.700001,25.559999,10802100,20.895423
2008-06-06,25.120001,25.370001,24.93,24.98,4040900,20.42127
2008-06-09,24.799999,25.299999,24.690001,24.969999,2018400,20.413095
2008-06-10,24.879999,25.1,24.85,24.93,3237600,20.380395
2008-06-11,24.98,24.98,24.059999,24.33,2352300,19.889892
2008-06-12,24.77,24.85,24.0,24.18,1885800,19.767267
2008-06-13,24.15,24.73,24.030001,24.67,2718300,20.167844
2008-06-16,24.73,24.77,23.5,23.709999,2799100,19.383039
2008-06-17,23.719999,23.74,23.219999,23.459999,3945100,19.178662
2008-06-18,23.1,24.0,23.059999,23.790001,1883200,19.44844
2008-06-19,23.85,24.01,23.4,23.889999,2262100,19.53019
2008-06-20,23.35,24.0,23.32,24.0,2339500,19.620116
2008-06-23,24.0,24.0,23.559999,23.6,1562800,19.293114
2008-06-24,23.25,23.25,22.200001,22.540001,4845600,18.426559
2008-06-25,22.33,22.879999,22.290001,22.540001,2268100,18.426559
2008-06-26,22.15,22.559999,22.07,22.17,2938500,18.124082
2008-06-27,22.02,22.08,21.52,21.6,3329000,17.658104
2008-06-30,21.58,21.58,20.620001,20.98,3048100,17.151251
2008-07-01,20.799999,20.84,20.030001,20.6,3516700,16.8406
2008-07-02,20.91,21.49,20.790001,21.34,1593500,17.445553
2008-07-03,21.209999,21.34,20.540001,20.940001,1530400,17.118551
2008-07-07,21.049999,21.57,20.940001,21.32,1491700,17.429203
2008-07-08,21.15,21.91,21.129999,21.5,3116200,17.576354
2008-07-09,21.59,21.780001,21.51,21.65,1155500,17.698979
2008-07-10,21.969999,22.02,21.459999,21.85,1238400,17.862481
2008-07-11,21.42,21.969999,21.23,21.639999,1310900,17.690804
2008-07-14,21.9,22.139999,21.4,21.790001,1323800,17.813431
2008-07-15,21.6,21.73,20.459999,21.0,1486900,17.167601
2008-07-16,20.860001,21.08,20.75,21.030001,1055600,17.192127
2008-07-17,20.870001,20.91,19.370001,20.4,3484300,16.677098
2008-07-18,20.440001,20.48,19.92,20.200001,1702100,16.513598
2008-07-21,20.6,20.879999,20.209999,20.559999,1737700,16.807899
2008-07-22,20.27,20.84,20.15,20.76,1582300,16.9714
2008-07-23,20.700001,20.700001,20.08,20.209999,1757200,16.521772
2008-07-24,20.1,20.610001,20.1,20.450001,912300,16.717974
2008-07-25,20.450001,20.74,20.209999,20.290001,862800,16.587174
2008-07-28,20.09,20.299999,20.07,20.18,1285100,16.497248
2008-07-29,20.4,20.58,20.17,20.25,2786700,16.554473
2008-07-30,20.26,20.709999,20.26,20.67,3516900,16.897825
2008-07-31,20.35,20.860001,20.35,20.67,1119000,16.897825
2008-08-01,20.790001,21.02,20.6,20.92,1795300,17.102201
2008-08-04,20.82,20.860001,20.49,20.719999,2325300,16.938699
2008-08-05,20.85,21.110001,20.700001,21.0,960400,17.167601
2008-08-06,20.98,21.280001,20.93,21.07,1260000,17.224826
2008-08-07,21.290001,21.48,21.049999,21.07,1239900,17.224826
2008-08-08,21.07,22.049999,21.049999,21.950001,2200600,17.944231
2008-08-11,21.889999,22.549999,21.83,21.98,3210200,17.968756
2008-08-12,21.959999,22.110001,21.49,21.66,3140400,17.707154
2008-08-13,22.209999,23.77,22.120001,22.790001,6515600,18.630936
2008-08-14,22.75,23.540001,22.75,23.25,3319000,19.006987
2008-08-15,23.5,24.030001,23.5,23.82,2482400,19.472965
2008-08-18,23.67,24.1,23.530001,23.879999,2105100,19.522014
2008-08-19,23.99,24.07,23.43,23.969999,2280100,19.59559
2008-08-20,23.34,24.32,23.25,23.99,3635400,19.611941
2008-08-21,23.91,24.02,23.059999,24.02,1376900,19.636466
2008-08-22,24.309999,24.41,24.08,24.299999,1353900,19.865367
2008-08-25,24.59,24.65,24.0,24.17,1409900,19.759092
2008-08-26,24.299999,24.299999,23.940001,24.15,2507700,19.742741
2008-08-27,24.34,24.940001,24.1,24.9,1619100,20.35587
2008-08-28,24.860001,24.879999,24.52,24.809999,1380100,20.282294
2008-08-29,24.459999,24.73,24.459999,24.709999,1330200,20.200543
2008-09-02,25.08,25.48,24.59,25.280001,1757800,20.666522
2008-09-03,25.0,25.299999,24.91,25.299999,1610800,20.682871
2008-09-04,25.370001,25.379999,24.92,25.15,2950800,20.560246
2008-09-05,24.879999,25.24,24.76,25.16,2369800,20.568421
2008-09-08,25.549999,26.0,25.389999,25.610001,1414200,20.936299
2008-09-09,25.700001,25.940001,25.5,25.52,1541700,20.862723
2008-09-10,25.549999,25.870001,25.280001,25.43,1395900,20.789148
2008-09-11,25.07,25.959999,24.799999,25.67,1390200,20.985349
2008-09-12,25.280001,26.59,25.280001,26.52,2564000,21.680228
2008-09-15,26.17,26.17,25.049999,25.32,1466700,20.699222
2008-09-16,25.01,25.190001,24.530001,25.049999,2049000,20.478495
2008-09-17,24.389999,25.02,24.389999,24.75,12691600,20.233244
2008-09-18,25.0,25.1,24.360001,24.65,3415500,20.151494
2008-09-19,24.5,25.389999,24.4,25.190001,1550300,20.592947
2008-09-22,25.1,25.48,24.84,25.0,913900,20.437621
2008-09-23,24.700001,25.0,23.93,24.5,2014100,20.028868
2008-09-24,24.5,24.65,24.26,24.440001,1231200,19.979818
2008-09-25,24.379999,24.639999,24.26,24.469999,1093200,20.004342
