Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,31.375,31.375,29.875,30.0625,572300,13.767597
2000-01-04,29.5625,30.125,29.5625,30.125,561200,13.796219
2000-01-05,30.3125,31.4375,30.3125,31.0625,378200,14.225562
2000-01-06,31.0,31.375,30.6875,30.9375,288500,14.168317
2000-01-07,31.0,31.25,30.875,31.25,567300,14.311431
2000-01-10,31.9375,32.125,31.3125,31.4375,632800,14.3973
2000-01-11,31.3125,31.4375,31.0,31.4375,359700,14.3973
2000-01-12,31.3125,31.9375,31.25,31.5625,1021700,14.454545
2000-01-13,31.6875,31.75,31.1875,31.5,321400,14.425922
2000-01-14,31.5625,31.75,31.0,31.1875,409900,14.282808
2000-01-18,31.1875,31.3125,30.5,30.8125,251200,14.111071
2000-01-19,31.0,32.125,30.875,31.875,581500,14.59766
2000-01-20,32.0,34.0625,31.875,33.875,985800,15.513591
2000-01-21,34.75,37.5,33.875,37.1875,1231300,17.030603
2000-01-24,39.0,41.3125,37.375,37.5625,1822600,17.20234
2000-01-25,37.625,38.0,35.25,35.75,773400,16.372277
2000-01-26,35.8125,35.875,35.375,35.875,443300,16.429523
2000-01-27,35.75,35.75,34.5,35.0,963600,16.028803
2000-01-28,34.5,34.6875,33.25,33.25,394300,15.227363
2000-01-31,33.625,35.0,33.375,34.75,906000,15.914311
2000-02-01,34.875,35.3125,34.6875,34.75,637000,15.914311
2000-02-02,34.4375,34.5625,33.625,33.6875,386000,15.427723
2000-02-03,33.6875,34.5625,33.6875,34.25,623600,15.685328
2000-02-04,34.3125,34.375,33.125,33.25,546600,15.227363
2000-02-07,33.25,33.25,32.625,33.0,372800,15.112871
2000-02-08,33.1875,33.25,32.9375,33.0,580600,15.112871
2000-02-09,33.0,33.375,32.375,32.375,521800,14.826642
2000-02-10,32.625,32.6875,31.875,32.1875,662500,14.740774
2000-02-11,32.1875,32.6875,32.1875,32.5,327200,14.883888
2000-02-14,32.75,33.375,32.4375,32.6875,509800,14.969757
2000-02-15,32.8125,33.25,32.625,33.0,517600,15.112871
2000-02-16,33.0625,33.25,32.5,32.5625,377800,14.912511
2000-02-17,33.0,33.1875,32.375,32.5,475400,14.883888
2000-02-18,32.5,32.5625,32.0,32.125,328000,14.712151
2000-02-22,32.375,32.5,31.6875,31.8125,324800,14.569037
2000-02-23,31.5625,31.625,30.75,30.875,302100,14.139694
2000-02-24,31.0625,31.1875,29.8125,30.0625,620100,13.767597
2000-02-25,30.0625,30.1875,29.125,29.4375,451100,13.481368
2000-02-28,29.375,30.1875,29.125,29.75,750600,13.624482
2000-02-29,29.75,30.3125,29.5,30.1875,437900,13.824842
2000-03-01,30.0,30.375,29.1875,29.375,361500,13.452745
2000-03-02,29.75,29.75,29.1875,29.375,608500,13.452745
2000-03-03,29.25,29.625,29.125,29.5,496600,13.509991
2000-03-06,31.0,31.0,29.625,29.8125,1142100,13.653105
2000-03-07,29.8125,30.4375,29.375,29.375,833100,13.452745
2000-03-08,29.3125,30.0,29.125,29.75,572100,13.624482
2000-03-09,29.75,30.25,29.6875,30.25,878900,13.853465
2000-03-10,30.5,31.1875,30.375,30.75,843600,14.082448
2000-03-13,30.0,31.0625,29.9375,30.5625,896700,13.996579
2000-03-14,30.5625,30.9375,29.75,30.0,1096300,13.738974
2000-03-15,30.0625,31.9375,30.0,31.4375,1075200,14.3973
2000-03-16,30.5625,32.3125,30.5,31.875,2414700,14.840776
2000-03-17,31.3125,31.625,30.1875,30.4375,580200,14.171486
2000-03-20,30.625,30.9375,30.375,30.6875,454200,14.287885
2000-03-21,30.9375,30.9375,29.5625,30.0625,397800,13.996889
2000-03-22,30.0,30.0,28.4375,29.25,737400,13.618595
2000-03-23,29.4375,30.25,29.4375,29.875,689300,13.90959
2000-03-24,29.8125,29.9375,29.3125,29.75,541900,13.851391
2000-03-27,29.9375,30.4375,29.75,29.75,349600,13.851391
2000-03-28,29.75,30.25,29.625,30.0,636600,13.967789
2000-03-29,29.8125,30.25,29.75,29.75,578300,13.851391
2000-03-30,29.9375,30.375,29.5,29.625,813400,13.793192
2000-03-31,29.75,29.75,28.875,29.1875,1806800,13.589495
2000-04-03,29.125,29.375,28.875,29.3125,564000,13.647694
2000-04-04,29.25,29.9375,29.0625,29.625,805000,13.793192
2000-04-05,29.625,30.4375,29.4375,29.75,637500,13.851391
2000-04-06,30.0,30.0,29.0625,29.625,535800,13.793192
2000-04-07,29.3125,29.6875,29.0625,29.4375,348200,13.705893
2000-04-10,29.3125,30.1875,29.25,30.125,417500,14.025989
2000-04-11,30.125,30.5625,29.8125,29.8125,376000,13.880491
2000-04-12,29.6875,30.6875,29.6875,29.8125,805400,13.880491
2000-04-13,29.875,30.375,29.625,30.125,553800,14.025989
2000-04-14,29.875,30.375,29.0,29.4375,618500,13.705893
2000-04-17,28.9375,29.875,28.75,29.25,1130200,13.618595
2000-04-18,29.375,30.5,29.3125,30.3125,892200,14.113287
2000-04-19,30.125,30.3125,29.5625,30.125,590800,14.025989
2000-04-20,30.25,31.0,30.1875,30.8125,307600,14.346084
2000-04-24,30.8125,32.25,30.6875,32.0625,546700,14.928075
2000-04-25,31.8125,33.0,31.8125,32.9375,599900,15.335469
2000-04-26,32.5,34.25,32.375,34.1875,701400,15.91746
2000-04-27,33.9375,33.9375,32.75,32.875,666100,15.306369
2000-04-28,32.625,32.75,32.1875,32.625,943100,15.189971
2000-05-01,32.375,32.6875,32.0,32.0625,701800,14.928075
2000-05-02,31.9375,32.3125,31.25,31.3125,313400,14.57888
2000-05-03,31.3125,31.3125,30.75,30.8125,363200,14.346084
2000-05-04,31.0625,33.3125,31.0625,31.25,917000,14.549781
2000-05-05,31.375,31.875,31.1875,31.4375,900700,14.637079
2000-05-08,31.3125,32.875,31.1875,32.5625,710000,15.160871
2000-05-09,32.5625,32.8125,32.125,32.25,767700,15.015374
2000-05-10,32.25,32.25,31.5625,31.6875,771800,14.753478
2000-05-11,31.5625,32.25,31.5625,32.25,792500,15.015374
2000-05-12,32.3125,32.625,31.8125,32.078098,1046200,14.935337
2000-05-15,32.375,33.375,32.375,33.375,1025000,15.539166
2000-05-16,33.25,33.375,32.5625,33.3125,1260900,15.510066
2000-05-17,33.0625,33.125,32.0,32.75,673100,15.24817
2000-05-18,32.8125,33.8125,32.625,33.75,507300,15.713763
2000-05-19,33.5,33.875,33.25,33.6875,309600,15.684664
2000-05-22,33.6875,33.875,33.125,33.1875,432800,15.451867
2000-05-23,33.6875,33.6875,32.1875,32.8125,507800,15.27727
2000-05-24,32.8125,33.8125,32.75,32.9687,799400,15.349995
2000-05-25,32.75,33.875,32.0,33.875,569600,15.771962
2000-05-26,33.375,34.875,33.3125,34.5625,709900,16.092057
2000-05-30,34.375,35.125,33.9375,34.1875,779300,15.91746
2000-05-31,34.25,34.875,34.125,34.5625,429100,16.092057
2000-06-01,34.5,35.1875,34.5,35.0625,510000,16.324854
2000-06-02,35.0,35.75,34.125,35.3125,646800,16.441252
2000-06-05,35.375,35.375,34.0,34.0,496600,15.830161
2000-06-06,34.0,35.125,33.75,35.0,509500,16.295754
2000-06-07,34.75,35.1875,34.5,34.75,364800,16.179356
2000-06-08,34.5625,34.6875,34.0,34.4375,281300,16.033858
2000-06-09,34.5625,35.4375,34.5625,35.3125,225500,16.441252
2000-06-12,35.5625,35.9375,35.4375,35.5625,272800,16.55765
2000-06-13,35.4375,35.9375,35.3125,35.5625,224000,16.55765
2000-06-14,35.5625,35.625,34.125,34.5,508700,16.062958
2000-06-15,34.3125,35.25,34.3125,35.0,1498700,16.295754
2000-06-16,34.1875,34.6875,34.0,34.25,1816600,16.184706
2000-06-19,34.0625,35.0,33.25,33.375,539400,15.771228
2000-06-20,33.5,33.625,32.875,33.3125,430600,15.741694
2000-06-21,33.375,33.6875,33.125,33.25,207600,15.71216
2000-06-22,33.0625,33.125,32.4375,32.75,296500,15.475887
2000-06-23,32.5,33.1875,32.25,32.5,479200,15.35775
2000-06-26,32.6875,32.875,32.3125,32.6875,237600,15.446353
2000-06-27,32.875,32.9375,31.8125,31.9375,416100,15.091943
2000-06-28,31.9375,32.5,31.25,32.4062,403000,15.313426
2000-06-29,32.125,32.4375,31.625,31.6875,502800,14.973806
2000-06-30,31.4375,32.875,30.3125,30.5625,1005400,14.442192
2000-07-03,30.5625,31.3125,30.5625,31.3125,607700,14.796602
2000-07-05,31.5625,32.0,30.75,30.875,319800,14.589863
2000-07-06,31.0,31.4375,30.4375,31.25,404500,14.767068
2000-07-07,31.25,31.625,31.125,31.5,219600,14.885204
2000-07-10,31.3125,31.9375,31.1875,31.625,286100,14.944272
2000-07-11,31.6875,31.8125,31.1875,31.75,188400,15.003341
2000-07-12,31.5,31.75,31.375,31.5,170900,14.885204
2000-07-13,31.625,31.875,31.3125,31.8125,218100,15.032875
2000-07-14,31.9375,32.1875,31.5625,31.6875,394100,14.973806
2000-07-17,31.5,31.9375,31.5,31.6875,246200,14.973806
2000-07-18,31.9375,32.25,31.5625,31.875,331700,15.062409
2000-07-19,32.0625,32.625,31.875,32.25,378800,15.239614
2000-07-20,32.375,32.5,32.125,32.5,252200,15.35775
2000-07-21,32.5,32.6875,32.1875,32.25,280100,15.239614
2000-07-24,32.125,32.3125,31.75,32.0625,302300,15.151011
2000-07-25,32.25,32.5,31.75,31.9375,266400,15.091943
2000-07-26,31.75,31.9375,31.3125,31.7187,374700,14.98855
2000-07-27,31.9375,32.625,31.3125,31.5625,494200,14.914738
2000-07-28,31.75,31.9375,31.375,31.625,441700,14.944272
2000-07-31,31.75,32.125,31.125,31.5,363900,14.885204
2000-08-01,31.375,32.6875,31.3125,32.4375,429700,15.328216
2000-08-02,32.1875,32.8125,32.125,32.5625,312400,15.387284
2000-08-03,32.6875,33.25,32.625,32.703098,224400,15.453724
2000-08-04,32.625,33.0,31.75,32.8125,390900,15.505421
2000-08-07,32.8125,33.875,32.625,33.765598,871800,15.955804
2000-08-08,34.0,34.0625,33.625,33.9375,632300,16.037035
2000-08-09,33.6875,34.125,33.5,33.8125,573800,15.977967
2000-08-10,34.0625,34.375,33.875,34.328098,542400,16.221611
2000-08-11,34.4375,35.0,34.3125,34.578098,299200,16.339748
2000-08-14,34.6875,35.0625,33.9375,34.9375,426500,16.509581
2000-08-15,34.8125,35.5,34.625,35.0625,449000,16.56865
2000-08-16,35.4375,36.125,35.3125,35.375,556500,16.71632
2000-08-17,35.625,35.6875,35.125,35.25,187900,16.657252
2000-08-18,35.5,35.875,35.1875,35.5,308200,16.775389
2000-08-21,35.4375,35.4375,34.8125,35.25,151100,16.657252
2000-08-22,35.0625,35.1875,34.625,34.625,205100,16.361911
2000-08-23,34.375,34.625,33.875,33.9375,897100,16.037035
2000-08-24,34.1875,34.25,33.625,33.75,345300,15.948433
2000-08-25,34.0,34.0,32.875,33.5625,351900,15.859831
2000-08-28,33.4375,34.4375,33.375,34.3125,428800,16.21424
2000-08-29,34.0625,34.375,33.8125,34.1875,245300,16.155172
2000-08-30,34.125,34.6875,34.0,34.5,240400,16.302843
