Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,39.0,39.0,37.5,37.6875,582000,15.335622
2000-01-04,37.625,37.9375,36.0,36.6875,863200,14.928706
2000-01-05,36.9375,38.375,36.75,38.125,613600,15.513647
2000-01-06,37.5,39.875,37.375,39.8125,893600,16.200317
2000-01-07,39.8125,40.75,39.1875,39.8125,900000,16.200317
2000-01-10,40.0,40.6875,39.625,40.625,848600,16.530936
2000-01-11,40.375,40.4375,39.875,40.1875,518000,16.35291
2000-01-12,39.0,39.8125,38.75,39.4375,777800,16.047724
2000-01-13,39.4375,39.875,39.0625,39.125,492200,15.920563
2000-01-14,39.125,39.5,38.875,39.4375,427200,16.047724
2000-01-18,39.1875,39.25,38.3125,38.4375,569600,15.640808
2000-01-19,38.625,38.8125,37.75,37.9375,807200,15.437351
2000-01-20,38.0625,38.1875,37.5,37.8125,684200,15.386486
2000-01-21,38.0,38.0,37.0,37.0625,623800,15.0813
2000-01-24,37.125,37.25,36.0,36.375,417400,14.801545
2000-01-25,36.625,37.5,35.1875,35.625,729200,14.496359
2000-01-26,35.8125,36.75,35.3125,36.1875,801800,14.725249
2000-01-27,35.9375,36.6875,35.5,36.0625,354600,14.674384
2000-01-28,35.8125,35.8125,33.75,34.5,724200,14.038579
2000-01-31,35.0,35.5625,34.8125,35.1875,500200,14.318333
2000-02-01,35.0,35.25,34.625,35.0625,274000,14.267469
2000-02-02,35.1875,35.1875,34.0,34.0625,690400,13.860554
2000-02-03,34.3125,35.1875,34.0,34.75,626800,14.140308
2000-02-04,34.75,35.75,34.5,35.125,754600,14.292901
2000-02-07,34.875,35.375,34.5,34.9375,655800,14.216605
2000-02-08,34.875,34.875,33.875,34.1875,695400,13.911418
2000-02-09,34.125,34.125,32.8125,33.0625,611800,13.453638
2000-02-10,32.8125,33.5,32.625,33.125,441000,13.479071
2000-02-11,33.375,33.5,32.3125,32.5,366600,13.224748
2000-02-14,32.625,32.875,32.1875,32.5,302000,13.224748
2000-02-15,32.5,33.375,32.25,33.375,683400,13.580799
2000-02-16,33.25,33.625,32.5,32.75,408000,13.326477
2000-02-17,32.875,32.875,32.375,32.6875,393000,13.301045
2000-02-18,32.4375,32.6875,30.25,31.0625,849000,12.639808
