Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,50.4375,51.25,48.5625,49.5625,1619000,20.851785
2000-01-04,49.25,49.25,48.5,48.6875,966000,20.483658
2000-01-05,48.125,48.625,46.5,47.046799,952200,19.793387
2000-01-06,47.0,48.5625,46.9375,48.4375,925400,20.378478
2000-01-07,48.6875,50.1875,48.5,50.125,763800,21.088438
2000-01-10,51.25,51.875,50.625,51.75,757200,21.772103
2000-01-11,51.0,51.1875,49.125,50.4375,1092200,21.219912
2000-01-12,50.4375,51.125,49.375,50.1875,1190400,21.114733
2000-01-13,50.1875,50.9375,49.75,50.375,866800,21.193617
2000-01-14,50.375,52.6875,50.375,52.6875,1422600,22.166525
2000-01-18,52.0,54.0,51.625,53.1875,1564400,22.376884
2000-01-19,53.1875,54.0,52.125,53.6875,893000,22.587242
2000-01-20,53.75,54.125,53.0625,53.6875,1044200,22.587242
2000-01-21,53.4375,55.5,52.875,53.5,1159600,22.508358
2000-01-24,54.125,55.875,53.5625,54.0,1682600,22.718716
2000-01-25,54.25,55.375,53.1875,54.125,796400,22.771306
2000-01-26,54.0,55.625,53.5,55.25,953600,23.244613
2000-01-27,55.0,55.1875,51.625,53.1875,1138200,22.376884
2000-01-28,53.0625,53.125,51.4375,51.9375,1344200,21.850988
2000-01-31,51.0,51.9375,49.5,51.125,2393400,21.509155
2000-02-01,51.75,51.9375,50.75,51.75,1458800,21.772103
2000-02-02,51.75,53.9375,50.6875,51.4375,1098200,21.640629
2000-02-03,51.5,53.125,51.4375,51.8125,669600,21.798398
2000-02-04,51.875,52.1875,50.75,50.8125,261200,21.377681
2000-02-07,50.875,50.875,49.1875,50.375,815400,21.193617
2000-02-08,50.0,50.0625,49.0,50.0,1382000,21.035849
2000-02-09,51.0,51.0,48.25,50.4375,913400,21.219912
2000-02-10,50.0,50.3125,49.0,49.875,1710600,20.983259
2000-02-11,50.0,50.125,49.0625,49.75,1317600,20.930669
2000-02-14,49.875,49.875,48.6875,49.375,468200,20.7729
2000-02-15,49.125,50.3125,48.75,49.9375,614800,21.009554
2000-02-16,50.5,51.375,49.4375,49.9375,401800,21.009554
2000-02-17,50.125,51.4375,49.875,51.0,704800,21.456566
2000-02-18,51.0625,51.375,50.875,51.125,718200,21.509155
2000-02-22,50.875,51.625,49.875,51.625,541000,21.719514
2000-02-23,51.625,51.625,50.625,51.0,506600,21.456566
2000-02-24,51.375,51.375,46.8125,48.375,930800,20.352183
2000-02-25,47.875,47.875,46.0625,46.4375,588800,19.537044
2000-02-28,46.1875,47.0,41.5,45.9375,2444200,19.326686
2000-02-29,46.25,46.5625,42.5625,43.375,1811000,18.248599
2000-03-01,45.0,45.5,44.25,45.0,2103400,18.932264
2000-03-02,44.75,46.0,44.3125,44.5625,1237800,18.7482
2000-03-03,45.125,46.0625,44.9375,45.75,783000,19.247801
2000-03-06,46.0,46.375,44.75,45.0625,991000,18.958559
2000-03-07,42.625,42.625,38.125,41.25,3292000,17.354575
2000-03-08,41.75,42.25,40.0,42.125,2600600,17.722702
2000-03-09,42.3125,43.125,41.25,43.0,704600,18.09083
2000-03-10,44.25,44.25,39.75,40.0,2179600,16.828679
2000-03-13,39.5,41.0,39.125,40.25,1294800,16.933858
2000-03-14,40.6875,41.625,40.0625,40.5625,1317600,17.086557
2000-03-15,40.625,45.0625,40.0625,45.0,1352000,18.955811
2000-03-16,45.0,47.9375,42.875,47.1875,1331000,19.877274
2000-03-17,47.1875,47.1875,44.0,44.9375,878600,18.929483
2000-03-20,44.25,45.625,43.0625,44.625,1322400,18.797846
2000-03-21,46.375,46.625,45.625,46.5,1133400,19.587671
2000-03-22,46.875,48.875,46.5625,48.5,2251200,20.430152
2000-03-23,48.5,50.625,47.875,50.375,1509000,21.219977
2000-03-24,50.4375,50.75,46.875,48.5,961800,20.430152
2000-03-27,48.5,48.5,44.5625,45.75,1468800,19.271741
2000-03-28,45.75,48.6875,43.5625,48.5,2732000,20.430152
2000-03-29,48.5,49.125,47.9375,49.0,2154400,20.640772
2000-03-30,49.0,51.0625,49.0,50.5,1788400,21.272632
