Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,47.9375,48.3125,46.375,46.4375,502400,13.382455
2000-01-04,46.4375,47.0625,45.1875,45.3125,412400,13.05825
2000-01-05,45.875,47.75,45.8125,47.5625,598600,13.70666
2000-01-06,47.5625,50.75,47.5,50.5625,506000,14.571206
2000-01-07,50.5625,50.625,49.75,50.4375,830600,14.535184
2000-01-10,50.1875,50.1875,48.5625,48.875,511000,14.084899
2000-01-11,49.125,49.5625,48.25,48.3125,451800,13.922797
2000-01-12,48.375,50.125,48.375,49.875,450800,14.373081
2000-01-13,49.875,49.875,49.3125,49.3125,265200,14.210979
2000-01-14,49.1875,49.1875,48.4375,48.5,279200,13.976831
2000-01-18,48.5625,48.5625,47.1875,47.3125,475000,13.634615
2000-01-19,47.125,47.1875,44.625,45.75,901600,13.18433
2000-01-20,46.0,46.1875,44.0625,44.875,883200,12.932171
2000-01-21,44.25,44.5625,43.375,43.6875,973400,12.589955
2000-01-24,43.75,44.25,43.5,43.625,767600,12.571943
2000-01-25,43.75,43.75,40.25,41.0625,976000,11.833477
2000-01-26,41.5625,42.5,41.4375,42.375,856400,12.211716
2000-01-27,41.0,43.4375,41.0,42.8125,1044400,12.337795
2000-01-28,37.75,41.0,37.6875,39.9375,1261200,11.509272
2000-01-31,40.0,40.0,38.3125,39.875,1067200,11.49126
2000-02-01,40.0625,40.25,39.125,39.6875,1595800,11.437226
2000-02-02,39.6875,39.875,39.5,39.75,700600,11.455238
2000-02-03,39.75,40.5,39.625,40.125,588000,11.563306
2000-02-04,40.1875,40.1875,39.875,40.0625,546200,11.545295
2000-02-07,39.8125,40.1875,39.8125,39.875,564200,11.49126
2000-02-08,39.75,40.1875,39.75,39.9375,630800,11.509272
2000-02-09,40.0,40.5,39.9375,40.0,896600,11.527283
2000-02-10,40.0,40.0,38.4375,38.9375,625000,11.22109
2000-02-11,38.9375,39.125,38.125,38.5625,655000,11.113021
2000-02-14,38.5,38.9375,38.125,38.75,524400,11.167056
2000-02-15,38.6875,40.0625,38.6875,39.5,595000,11.383192
2000-02-16,39.375,39.8125,38.875,39.125,474800,11.275124
2000-02-17,39.125,39.125,38.625,38.625,451000,11.131033
2000-02-18,38.25,38.5,37.0625,37.3125,511200,10.752794
2000-02-22,37.0,40.0,37.0,39.625,685600,11.419215
2000-02-23,39.75,40.25,38.375,38.375,661000,11.058987
2000-02-24,38.4375,38.4375,35.625,36.5,811400,10.518646
2000-02-25,36.4375,36.4375,35.4375,35.8125,842000,10.320521
2000-02-28,36.125,38.5,35.875,37.5,662200,10.806828
2000-02-29,37.5,37.5625,35.6875,35.9375,880200,10.356543
2000-03-01,35.9375,35.9375,33.625,34.6875,1506400,9.996316
2000-03-02,34.6875,34.9375,33.6875,34.4375,1033600,9.92427
2000-03-03,34.375,37.0,34.3125,36.75,864800,10.590691
2000-03-06,36.625,36.9375,35.9375,36.0,453600,10.374555
2000-03-07,36.0,36.0,34.1875,34.1875,687400,9.852225
2000-03-08,34.1875,35.5625,34.1875,35.25,568800,10.158418
2000-03-09,35.125,35.5,34.3125,34.625,767000,9.978305
