Date,Open,High,Low,Close,Volume,Adj Close
2000-08-11,12.75,14.0,12.0,13.125,792500,382.949052
2000-08-14,13.0937,13.125,12.0,12.0,80200,350.124847
2000-08-15,12.1562,12.375,12.0,12.125,48400,353.771981
2000-08-16,12.0625,13.0625,12.0625,12.375,42100,361.066249
2000-08-17,12.25,12.5,11.9375,12.0,47200,350.124847
2000-08-18,12.5312,14.375,12.375,14.3125,60400,417.596823
2000-08-21,15.0625,16.25,13.9375,15.1875,66500,443.12676
2000-08-22,15.375,15.6875,13.5,13.5,33800,393.890453
2000-08-23,13.5625,13.75,12.75,13.0,17900,379.301918
2000-08-24,12.9375,13.0625,12.0625,12.0625,18400,351.948414
2000-08-25,12.5625,12.9375,12.125,12.875,20100,375.654784
2000-08-28,13.4062,13.5468,12.5,13.125,19400,382.949052
2000-08-29,13.4375,13.5,12.625,13.375,22700,390.24332
2000-08-30,13.3437,14.6875,13.25,14.1875,19800,413.949689
2000-08-31,15.0625,16.5,14.875,16.1875,87300,472.303831
2000-09-01,16.125,16.25,15.0,15.75,27700,459.538862
2000-09-05,15.8125,16.25,15.5,15.5625,23000,454.068161
2000-09-06,16.125,16.25,15.25,15.5,20500,452.244595
2000-09-07,16.0,16.0,13.375,14.375,23900,419.42039
2000-09-08,14.2656,14.5,13.75,14.0,15900,408.478989
2000-09-11,13.8125,14.0,13.5,13.875,34500,404.831855
2000-09-12,13.5937,13.8125,12.875,13.0,33800,379.301918
2000-09-13,12.75,13.125,12.375,12.5,10300,364.713383
2000-09-14,13.875,13.875,12.5,12.6875,8100,370.184083
2000-09-15,12.5625,13.0,12.5,12.5625,3600,366.53695
2000-09-18,13.125,13.25,11.9375,12.0625,18600,351.948414
2000-09-19,13.0937,13.125,10.75,11.25,48000,328.242044
2000-09-20,11.5,11.5625,9.75,10.375,24100,302.712108
2000-09-21,10.3125,10.75,10.1875,10.625,25200,310.006375
2000-09-22,9.5937,10.8125,9.4375,10.5625,8400,308.182808
2000-09-25,10.625,10.8125,9.375,9.4375,21000,275.358604
2000-09-26,9.875,9.9375,9.0,9.25,19600,269.887903
2000-09-27,9.4062,9.4375,8.625,9.3437,16700,272.621807
2000-09-28,9.25,10.75,9.125,10.0,22000,291.770706
2000-09-29,10.0937,10.125,8.7187,8.875,19100,258.946502
2000-10-02,9.375,9.4062,8.375,8.5,6800,248.0051
2000-10-03,8.5937,8.875,7.75,7.9375,10100,231.592998
2000-10-04,8.0,8.0625,6.75,7.125,14600,207.886628
2000-10-05,6.9375,8.125,6.5,6.5625,15100,191.474526
2000-10-06,6.9531,7.0,5.9375,6.0937,11400,177.796313
2000-10-09,6.5625,6.6875,5.7812,6.1875,10600,180.533124
2000-10-10,6.3125,6.375,5.5,5.6875,13200,165.944589
2000-10-11,5.25,5.75,4.0625,4.125,42400,120.355416
2000-10-12,5.0937,5.25,4.5,5.1875,37200,151.356054
2000-10-13,5.6875,7.875,5.5312,7.5625,42800,220.651597
2000-10-16,8.125,8.1875,7.375,8.125,38500,237.063699
2000-10-17,8.5,8.5625,7.625,7.8125,11000,227.945864
2000-10-18,7.75,8.375,5.9375,8.0625,19300,235.240132
2000-10-19,8.5,9.3125,6.75,6.9062,25900,201.502683
2000-10-20,7.5,7.5,7.0,7.3125,21700,213.357329
