Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,42.4375,42.5,41.875,42.1875,305200,8.301148
2000-01-04,41.875,41.9375,41.5,41.875,492600,8.239658
2000-01-05,41.5,42.75,41.5,42.75,580400,8.41183
2000-01-06,42.5,43.4375,42.5,43.1875,687600,8.497916
2000-01-07,43.5,44.3125,43.4375,44.0,724400,8.65779
2000-01-10,44.0,44.5,43.875,44.3125,626600,8.71928
2000-01-11,44.375,44.5,43.8125,44.0625,530800,8.670088
2000-01-12,44.0625,44.125,43.75,43.875,430400,8.633194
2000-01-13,43.875,43.9375,43.375,43.375,453200,8.53481
2000-01-14,43.125,43.625,42.625,42.625,437000,8.387234
2000-01-18,42.5,42.5625,41.8125,42.25,669600,8.313446
2000-01-19,42.0,42.5,42.0,42.4375,673600,8.35034
2000-01-20,42.25,42.875,42.1875,42.1875,439600,8.301148
2000-01-21,42.1875,42.625,42.125,42.625,338200,8.387234
2000-01-24,42.5,42.5625,42.0625,42.125,465600,8.28885
2000-01-25,42.0625,42.375,42.0,42.0625,708600,8.276552
2000-01-26,42.0,42.375,41.25,42.125,875400,8.28885
2000-01-27,42.0,42.25,41.6875,42.25,362000,8.313446
2000-01-28,42.3125,42.3125,41.625,41.875,330800,8.239658
2000-01-31,42.0,42.0625,41.5,41.5,419400,8.16587
2000-02-01,41.5,42.0,41.4375,42.0,365800,8.264254
2000-02-02,41.75,42.1875,41.75,41.9375,374400,8.251956
2000-02-03,41.75,42.0625,41.5,41.6875,992000,8.202764
2000-02-04,41.5625,41.9375,41.5625,41.75,290800,8.215062
2000-02-07,41.375,41.875,41.375,41.625,254800,8.190466
2000-02-08,41.6875,42.0,41.5625,41.875,533600,8.239658
2000-02-09,41.9375,42.0,41.625,41.6875,282800,8.202764
2000-02-10,41.5,41.6875,40.875,40.9375,554400,8.055188
2000-02-11,41.0,41.375,40.4375,40.5,921000,7.969102
2000-02-14,39.0,40.5,39.0,40.125,693800,7.895314
2000-02-15,40.0,40.25,39.875,40.1875,665400,7.907612
2000-02-16,39.9375,40.125,39.6875,39.875,741600,7.846122
2000-02-17,39.9375,39.9375,39.625,39.625,1126000,7.79693
2000-02-18,39.625,39.8125,39.5625,39.6875,524000,7.809228
2000-02-22,39.5625,39.8125,39.5625,39.625,489000,7.79693
2000-02-23,39.875,40.0,39.625,39.75,408200,7.821526
2000-02-24,39.75,39.9375,39.5,39.5,468200,7.772334
2000-02-25,39.5625,39.75,39.375,39.5,718600,7.772334
2000-02-28,39.5,39.5,39.25,39.3125,407000,7.73544
2000-02-29,39.25,40.0,39.0,39.9375,1129000,7.85842
2000-03-01,40.0,40.125,39.5625,40.0,338600,7.870718
2000-03-02,39.5,40.25,39.4375,40.0625,580800,7.883016
2000-03-03,40.0,40.25,39.9375,40.0625,715200,7.883016
2000-03-06,39.75,40.125,39.75,40.0625,324800,7.883016
2000-03-07,40.0,40.125,39.75,40.125,1015200,7.895314
2000-03-08,39.8125,40.0,39.25,39.3125,686800,7.73544
2000-03-09,39.3125,39.75,39.3125,39.375,1255400,7.747738
2000-03-10,39.25,39.5625,39.0,39.375,971200,7.747738
2000-03-13,39.125,39.25,38.875,39.1875,373800,7.710844
2000-03-14,39.3125,39.5,39.0,39.0625,648600,7.686248
2000-03-15,39.1875,39.375,39.125,39.3125,1478200,7.73544
2000-03-16,38.6875,39.5,38.6875,39.25,703000,7.875391
2000-03-17,39.3125,39.6875,39.0625,39.6875,898200,7.963174
2000-03-20,39.4375,39.875,39.25,39.5,532800,7.925553
2000-03-21,39.375,40.0,39.125,40.0,270400,8.025876
2000-03-22,40.125,40.1875,39.875,39.9375,564800,8.013336
2000-03-23,39.9375,40.1875,39.875,40.1875,355200,8.063498
2000-03-24,40.0,40.375,40.0,40.375,865400,8.101119
2000-03-27,39.9375,40.375,39.75,39.8125,1166400,7.988255
2000-03-28,39.875,40.1875,39.75,39.875,302200,8.000795
2000-03-29,40.25,40.25,39.9375,40.1875,355800,8.063498
2000-03-30,40.3125,40.4375,40.0,40.4375,947400,8.113659
2000-03-31,40.3125,40.5,40.0,40.1875,678200,8.063498
2000-04-03,40.25,41.0,40.0,40.5625,1209000,8.13874
2000-04-04,40.75,41.4375,40.375,40.875,1061400,8.201442
2000-04-05,40.875,41.625,40.875,41.3125,1692000,8.289225
2000-04-06,41.25,41.6875,41.0,41.4375,963400,8.314306
2000-04-07,42.125,42.25,41.6875,42.125,554400,8.452251
2000-04-10,42.625,43.0,42.125,42.875,1161600,8.602736
2000-04-11,43.125,43.125,42.5625,42.8125,1167400,8.590196
2000-04-12,42.875,43.4375,42.6875,43.375,2401800,8.70306
2000-04-13,43.5,44.1875,43.3125,43.875,1829000,8.803383
2000-04-14,43.9375,44.3125,43.25,43.8125,1112000,8.790843
2000-04-17,44.0,44.0,42.75,43.75,606000,8.778302
2000-04-18,43.75,44.4375,43.6875,44.375,1607000,8.903707
2000-04-19,44.3125,44.4375,43.875,44.375,712800,8.903707
2000-04-20,44.125,44.3125,44.0,44.1875,484200,8.866085
2000-04-24,44.25,44.8125,44.25,44.8125,919800,8.99149
2000-04-25,44.9375,44.9375,44.5625,44.75,452800,8.978949
2000-04-26,44.9375,45.125,44.75,45.125,1246400,9.054192
2000-04-27,44.75,45.5,44.75,45.25,441200,9.079273
2000-04-28,45.0,45.5,45.0,45.5,425000,9.129434
2000-05-01,45.4375,46.0,45.375,45.875,854800,9.204677
2000-05-02,46.0,47.0,45.875,46.375,961000,9.305
2000-05-03,46.8125,46.9375,45.0625,46.0,1188800,9.229758
2000-05-04,46.0,46.3125,45.5,46.3125,731600,9.29246
2000-05-05,46.1875,46.4375,46.0,46.3125,709800,9.29246
2000-05-08,46.25,46.4375,46.0625,46.375,382600,9.305
2000-05-09,46.5,46.6875,46.25,46.5625,711800,9.342622
2000-05-10,46.8125,46.8125,46.1875,46.25,932000,9.279919
2000-05-11,46.4375,46.6875,45.8125,46.0,542800,9.229758
2000-05-12,45.625,45.8125,45.25,45.6875,550000,9.167056
2000-05-15,45.5,45.9375,45.375,45.9375,632600,9.217217
2000-05-16,46.0,46.0625,45.875,45.9375,567600,9.217217
2000-05-17,45.75,46.125,45.6875,45.9375,318800,9.217217
2000-05-18,46.0,46.375,45.75,46.1875,713800,9.267379
2000-05-19,46.0,46.1875,45.8125,45.9375,629000,9.217217
2000-05-22,45.9375,46.0,45.5625,45.875,614800,9.204677
2000-05-23,45.8125,45.9375,45.625,45.75,993200,9.179596
2000-05-24,45.625,45.75,44.75,45.0,770000,9.029111
2000-05-25,45.0,45.0625,44.625,44.75,804800,8.978949
2000-05-26,44.625,44.8125,44.3125,44.5625,466400,8.941328
2000-05-30,44.4375,44.625,44.3125,44.4375,640800,8.916247
2000-05-31,44.5,44.6875,44.3125,44.625,446400,8.953868
2000-06-01,44.375,44.875,44.375,44.5625,279800,8.941328
2000-06-02,44.4375,44.875,44.0625,44.5625,313200,8.941328
2000-06-05,44.75,45.125,44.3125,44.9375,450800,9.01657
2000-06-06,44.8125,45.5625,44.5,45.3125,593800,9.091813
2000-06-07,45.5625,46.25,45.5,46.25,850800,9.279919
2000-06-08,46.4375,46.4375,46.0625,46.375,481200,9.305
2000-06-09,46.375,46.75,46.375,46.5625,692600,9.342622
2000-06-12,46.4375,46.75,46.4375,46.5312,175400,9.336341
2000-06-13,46.8125,46.875,46.375,46.7812,479000,9.386503
2000-06-14,46.9375,48.5,46.875,48.1562,1422800,9.662393
2000-06-15,48.1875,48.375,47.1875,47.375,986200,9.505647
2000-06-16,46.625,46.875,46.0625,46.875,733200,9.558666
2000-06-19,46.9375,46.9375,46.1875,46.375,631000,9.456707
2000-06-20,46.1875,47.25,46.1875,47.25,937200,9.635136
2000-06-21,46.75,47.0,46.5,46.8125,488400,9.545922
2000-06-22,47.0,47.1875,46.75,47.0,421000,9.584156
2000-06-23,46.75,47.0625,46.75,46.9687,294600,9.577774
2000-06-26,46.9375,46.9375,46.5,46.7812,419200,9.539539
2000-06-27,46.875,47.375,46.8125,47.2812,427000,9.641498
2000-06-28,47.4375,47.5625,46.9375,47.2812,432200,9.641498
2000-06-29,47.4375,47.5625,47.0,47.2812,532600,9.641498
2000-06-30,47.5,47.5,45.625,45.984299,1555600,9.377036
2000-07-03,47.125,47.25,46.75,46.8437,478800,9.552284
2000-07-05,47.125,48.25,46.875,48.0937,710000,9.807182
2000-07-06,47.9375,48.25,47.75,48.0,824200,9.788074
2000-07-07,48.0,49.0,48.0,48.7187,748400,9.934631
2000-07-10,48.625,48.75,48.375,48.5312,333800,9.896396
2000-07-11,48.625,48.75,48.5,48.75,475800,9.941013
2000-07-12,48.625,48.6875,48.3125,48.3437,737600,9.858161
2000-07-13,48.5,48.5,48.125,48.2187,252400,9.832671
2000-07-14,48.375,48.375,47.6562,47.6562,375600,9.717967
2000-07-17,47.9375,47.9375,47.25,47.375,702200,9.660626
2000-07-18,47.3125,47.4375,47.125,47.375,303400,9.660626
2000-07-19,47.125,47.375,47.125,47.3125,273000,9.647881
2000-07-20,47.3125,47.4375,47.25,47.3125,743400,9.647881
2000-07-21,47.5,48.375,47.4375,48.25,744400,9.839054
2000-07-24,48.125,48.6875,48.125,48.375,494200,9.864544
2000-07-25,48.25,48.9375,48.125,48.9375,628000,9.979248
2000-07-26,48.75,49.375,48.625,49.375,935600,10.068462
2000-07-27,49.125,49.9375,49.0625,49.9375,1025800,10.183166
2000-07-28,49.8125,50.125,49.75,49.75,586400,10.144931
2000-07-31,49.5,49.875,49.5,49.875,626000,10.170421
2000-08-01,49.6875,51.0,49.5,51.0,1067800,10.399829
2000-08-02,50.875,51.1875,50.5625,51.1875,502600,10.438064
2000-08-03,51.0,51.1875,50.0625,50.375,543400,10.27238
2000-08-04,50.625,50.625,49.625,49.875,526000,10.170421
2000-08-07,50.125,50.125,49.125,49.3125,427200,10.055717
2000-08-08,49.5,50.5,49.5,50.1562,626400,10.227763
2000-08-09,50.4375,50.4375,49.875,50.125,271200,10.221401
2000-08-10,50.0,50.4375,49.9375,50.4375,518000,10.285125
2000-08-11,50.375,50.875,50.0625,50.75,312200,10.34885
2000-08-14,50.5,50.9375,50.375,50.8125,362000,10.361594
2000-08-15,50.75,50.9375,50.75,50.875,233800,10.374339
2000-08-16,50.875,51.0,50.75,50.875,680400,10.374339
2000-08-17,51.125,51.125,50.875,50.9375,234200,10.387084
2000-08-18,50.875,50.9375,50.6875,50.75,314800,10.34885
2000-08-21,50.5,50.75,50.25,50.625,244400,10.32336
2000-08-22,50.5,50.75,50.25,50.25,207600,10.24689
2000-08-23,50.25,50.5,49.0625,49.0625,404600,10.004738
2000-08-24,49.125,49.5,48.25,48.375,492200,9.864544
2000-08-25,48.3125,48.625,48.0,48.5312,388400,9.896396
2000-08-28,48.375,48.5,48.0625,48.3125,369000,9.851799
2000-08-29,48.375,48.5,46.75,46.75,769000,9.533177
2000-08-30,46.8125,48.0,46.8125,48.0,957400,9.788074
2000-08-31,48.625,48.75,48.0,48.0,751200,9.788074
2000-09-01,48.5,48.5625,47.875,47.9062,360400,9.768947
2000-09-05,48.125,48.375,47.875,48.25,260400,9.839054
2000-09-06,48.3125,48.4375,48.0,48.25,493200,9.839054
2000-09-07,48.375,49.125,48.25,49.0625,2010400,10.004738
2000-09-08,49.0625,50.5,49.0,50.5,648800,10.29787
2000-09-11,50.25,50.25,49.625,49.9375,453400,10.183166
2000-09-12,49.8125,50.125,49.5625,49.9375,873800,10.183166
2000-09-13,49.8125,49.875,49.5625,49.75,250200,10.144931
2000-09-14,49.5,49.625,49.3125,49.5,685800,10.093952
2000-09-15,49.625,49.625,49.25,49.375,505400,10.068462
2000-09-18,48.5625,48.6875,47.5625,47.5625,609400,9.861639
2000-09-19,47.8125,48.3125,47.8125,48.0625,3106400,9.96531
2000-09-20,47.625,48.125,47.625,47.75,337000,9.900516
2000-09-21,47.625,47.625,46.9375,46.9375,1678400,9.732051
2000-09-22,46.75,47.5625,46.75,47.5625,1112200,9.861639
2000-09-25,47.3125,47.5,46.75,47.125,449200,9.770928
2000-09-26,47.125,47.5625,47.0,47.5625,1156800,9.861639
2000-09-27,47.8125,48.25,47.4375,48.2187,329800,9.997696
2000-09-28,48.1875,48.625,48.1875,48.375,781800,10.030104
2000-09-29,48.625,48.625,48.0,48.0,472600,9.952351
2000-10-02,48.25,48.25,47.125,47.125,909800,9.770928
2000-10-03,46.875,47.125,46.75,46.75,609200,9.693175
2000-10-04,46.75,46.75,46.0,46.0,427600,9.53767
2000-10-05,45.75,46.375,45.75,46.0,1281400,9.53767
2000-10-06,45.875,46.0,45.8125,46.0,839000,9.53767
2000-10-09,45.9375,46.0,45.5625,45.5625,228600,9.446958
2000-10-10,45.625,45.625,45.375,45.375,883800,9.408082
2000-10-11,45.3125,46.0,45.3125,46.0,1136000,9.53767
