Date,Open,High,Low,Close,Volume,Adj Close
2000-12-01,21.0,28.125,21.0,27.0,23200,11.066424
2000-12-04,27.75,30.0,27.25,30.0,31000,12.296027
2000-12-05,31.0,31.0,30.0,30.25,12800,12.398494
2000-12-06,30.0,30.375,30.0,30.0,10400,12.296027
2000-12-07,30.0,30.0,29.625,29.625,2600,12.142326
2000-12-08,29.875,30.0,29.875,30.0,4200,12.296027
2000-12-11,29.875,30.375,29.625,30.375,32600,12.449727
2000-12-12,29.75,30.25,29.75,30.25,3600,12.398494
2000-12-13,30.5,30.75,30.5,30.75,2400,12.603427
2000-12-14,30.625,30.625,30.5,30.5,2800,12.50096
2000-12-15,30.125,30.25,29.5,29.5,83000,12.091093
2000-12-18,29.5,30.25,29.5,30.25,23200,12.398494
2000-12-19,30.0,30.5,30.0,30.25,3600,12.398494
2000-12-20,30.0,30.0,29.25,29.5,42400,12.091093
2000-12-21,29.375,29.375,28.75,28.875,243400,11.834926
2000-12-22,29.5,33.125,29.5,32.625,585200,13.371929
2000-12-26,32.5625,32.875,32.125,32.3125,278600,13.243845
2000-12-27,32.4375,33.0625,32.4375,33.0625,421000,13.551246
2000-12-28,32.6875,33.25,32.625,33.1875,316200,13.602479
2000-12-29,33.0625,33.3125,31.75,33.0625,539800,13.551246
2001-01-02,33.0,34.625,33.0,34.25,570400,14.037964
2001-01-03,34.875,35.125,34.3125,34.75,824200,14.242898
2001-01-04,34.625,34.75,34.25,34.625,525200,14.191664
2001-01-05,34.4375,34.6875,33.5,33.625,1357600,13.781797
2001-01-08,34.0,34.0625,33.5,33.6875,1843600,13.807413
2001-01-09,33.4375,33.625,33.3125,33.5625,422200,13.75618
2001-01-10,33.3125,33.625,33.25,33.5625,414200,13.75618
2001-01-11,33.5625,33.6875,33.1875,33.4375,523400,13.704946
2001-01-12,33.3125,33.4375,33.25,33.25,802600,13.628096
2001-01-16,32.75,33.125,32.75,33.0,541000,13.525629
2001-01-17,33.0,33.75,32.875,33.4375,410600,13.704946
2001-01-18,33.25,33.5625,33.0625,33.4375,798200,13.704946
2001-01-19,33.1875,33.375,32.8125,32.9375,511200,13.500013
2001-01-22,32.4375,32.875,32.1875,32.4375,368400,13.295079
2001-01-23,32.25,32.625,32.0,32.625,583000,13.371929
2001-01-24,32.5,32.6875,32.0,32.5625,479800,13.346312
2001-01-25,32.5,33.25,32.5,33.1875,408200,13.602479
2001-01-26,33.1875,33.4375,33.0625,33.1875,645400,13.602479
2001-01-29,33.02,33.18,32.75,32.82,772400,13.451853
2001-01-30,32.57,32.57,31.700001,31.82,377200,13.041985
2001-01-31,31.200001,32.540001,31.200001,32.439999,633200,13.296103
2001-02-01,31.6,36.0,31.6,34.509998,1433400,14.144529
2001-02-02,34.400002,35.25,34.099998,34.119999,1039600,13.984681
2001-02-05,33.919998,35.349998,33.700001,33.700001,665000,13.812537
2001-02-06,33.189999,35.189999,33.189999,35.009998,726600,14.349462
2001-02-07,35.009998,36.450001,35.009998,36.220001,829800,14.845403
2001-02-08,36.0,38.009998,35.889999,38.009998,1198400,15.579065
2001-02-09,37.630001,38.52,37.299999,38.52,755000,15.788098
2001-02-12,38.52,39.470001,38.259998,39.400002,781600,16.148782
2001-02-13,38.599998,39.900002,38.459999,39.189999,968800,16.062709
2001-02-14,38.700001,39.099998,38.450001,38.700001,559000,15.861875
2001-02-15,38.900002,39.43,38.860001,39.18,502200,16.058611
2001-02-16,38.0,38.299999,37.240002,37.540001,446000,15.386428
2001-02-20,37.509998,37.889999,36.200001,36.200001,402600,14.837206
2001-02-21,36.200001,36.560001,36.07,36.099998,363600,14.796218
2001-02-22,36.099998,36.75,35.669998,36.709999,635600,15.046238
2001-02-23,36.709999,37.150002,36.700001,37.049999,913000,15.185593
2001-02-26,37.5,40.0,37.5,39.5,2160800,16.189768
2001-02-27,38.5,38.98,38.330002,38.48,835800,15.771703
2001-02-28,38.0,39.200001,37.970001,38.119999,804800,15.624151
2001-03-01,38.75,39.0,37.369999,38.25,734800,15.677434
2001-03-02,38.150002,40.5,38.049999,40.41,1102600,16.562748
2001-03-05,41.0,47.0,40.200001,46.349998,2998800,18.997361
2001-03-06,44.5,45.779999,42.0,43.060001,3856400,17.648897
2001-03-07,42.5,45.299999,42.5,44.799999,2447200,18.362066
2001-03-08,44.700001,47.5,44.700001,46.75,2596400,19.161308
2001-03-09,46.0,46.990002,45.810001,46.84,2293600,19.198196
2001-03-12,46.25,47.0,46.049999,46.209999,1365600,18.939979
2001-03-13,46.25,46.450001,44.099998,45.0,1012200,18.508123
2001-03-14,44.5,45.349998,42.5,42.970001,1622000,17.673202
2001-03-15,43.200001,45.07,43.099998,44.959999,1240600,18.491671
2001-03-16,44.349998,44.349998,43.580002,44.099998,1990600,18.13796
2001-03-19,44.200001,44.849998,43.5,43.639999,776200,17.948766
2001-03-20,43.700001,44.099998,43.450001,43.459999,533000,17.874734
2001-03-21,43.75,43.75,42.150002,42.380001,597000,17.43054
2001-03-22,42.130001,42.59,39.400002,40.32,853000,16.583278
2001-03-23,40.900002,41.75,40.700001,41.41,881000,17.031586
2001-03-26,41.200001,42.150002,41.099998,41.540001,558000,17.085055
2001-03-27,41.599998,41.889999,41.400002,41.880001,676000,17.224894
2001-03-28,42.380001,42.700001,42.040001,42.080002,758400,17.307153
2001-03-29,42.080002,45.490002,42.080002,45.27,3210400,18.619172
2001-03-30,45.75,46.0,44.400002,44.5,3574000,18.302477
2001-04-02,43.700001,44.580002,42.700001,43.23,1173400,17.780137
2001-04-03,43.299999,43.5,41.049999,41.43,673800,17.039812
2001-04-04,41.43,42.5,41.400002,42.220001,965400,17.364733
2001-04-05,42.650002,42.990002,42.139999,42.32,302600,17.405862
2001-04-06,42.25,42.32,40.610001,40.970001,361800,16.850619
2001-04-09,41.0,42.150002,41.0,41.970001,563600,17.26191
2001-04-10,42.110001,43.0,42.049999,42.689999,798800,17.558039
2001-04-11,42.490002,42.650002,41.889999,42.049999,447000,17.294813
2001-04-12,41.900002,42.599998,41.619999,42.16,370000,17.340055
2001-04-16,42.650002,44.099998,42.650002,44.0,641800,18.096832
2001-04-17,43.75,44.540001,43.599998,44.5,950400,18.302477
2001-04-18,44.349998,45.450001,44.349998,45.240002,1656400,18.606834
2001-04-19,45.25,45.330002,44.639999,45.0,452000,18.508123
2001-04-20,45.25,45.490002,44.900002,45.130001,642800,18.561592
2001-04-23,43.75,45.549999,43.75,45.549999,825600,18.734333
2001-04-24,45.799999,48.939999,45.799999,48.200001,2779800,19.824257
2001-04-25,47.5,51.700001,47.5,51.700001,3340000,21.263778
2001-04-26,52.0,54.5,51.959999,54.25,3440400,22.312571
2001-04-27,54.200001,55.23,53.0,55.150002,1261600,22.682734
2001-04-30,54.900002,54.91,52.259998,52.709999,2507000,21.679181
2001-05-01,52.799999,54.799999,51.5,54.650002,1268800,22.477088
2001-05-02,54.0,54.5,51.459999,51.700001,2498000,21.263778
2001-05-03,51.599998,51.599998,50.299999,51.0,1657200,20.975873
2001-05-04,49.950001,52.400002,49.0,52.400002,1734200,21.551682
2001-05-07,52.400002,53.25,51.810001,51.98,1192000,21.378939
2001-05-08,52.200001,52.75,51.799999,52.09,1081600,21.424181
2001-05-09,52.200001,52.450001,51.209999,51.68,718600,21.255552
2001-05-10,51.93,54.889999,51.880001,54.349998,1858000,22.353699
2001-05-11,54.349998,54.799999,53.349998,53.759998,817400,22.111037
2001-05-14,53.509998,54.099998,53.5,53.98,635200,22.201522
2001-05-15,53.400002,53.900002,53.380001,53.709999,573800,22.090473
2001-05-16,53.939999,57.0,53.66,56.900002,3878000,23.402494
2001-05-17,57.0,59.849998,57.0,59.0,3601800,24.266206
2001-05-18,58.799999,59.040001,57.709999,58.5,1690000,24.06056
2001-05-21,58.200001,58.889999,57.900002,58.810001,1559600,24.188061
2001-05-22,58.810001,63.200001,58.799999,62.650002,2849200,25.767421
2001-05-23,62.639999,62.639999,60.27,60.540001,1443000,24.899596
2001-05-24,60.650002,61.060001,57.709999,60.549999,1561200,24.903708
2001-05-25,60.5,60.700001,58.150002,58.25,792400,23.957737
2001-05-29,58.25,59.0,57.400002,58.209999,711600,23.941285
2001-05-30,57.959999,58.73,56.5,58.27,1076400,23.965963
2001-05-31,58.400002,59.5,58.189999,58.32,1059800,23.986528
2001-06-01,58.540001,58.799999,56.950001,57.709999,929400,23.73564
2001-06-04,57.959999,58.549999,57.310001,57.400002,777400,23.60814
2001-06-05,57.5,57.669998,54.5,54.759998,1387800,22.522329
2001-06-06,54.759998,54.759998,52.5,52.799999,1088600,21.716198
2001-06-07,52.25,53.209999,52.0,52.75,1584200,21.695633
2001-06-08,53.0,53.849998,52.580002,53.150002,851200,21.860151
2001-06-11,53.299999,53.490002,51.759998,52.110001,686600,21.432407
2001-06-12,51.860001,52.490002,51.450001,52.139999,923000,21.444745
2001-06-13,52.299999,54.720001,52.299999,54.119999,1151000,22.259103
2001-06-14,54.369999,54.369999,53.099998,53.720001,1173000,22.094587
2001-06-15,52.599998,53.75,52.060001,53.0,1994800,21.798456
2001-06-18,52.650002,53.740002,52.509998,53.18,855000,21.938718
2001-06-19,53.599998,54.849998,52.07,52.07,832600,21.480802
2001-06-20,52.200001,53.09,44.959999,45.0,3978400,18.564165
2001-06-21,45.0,48.84,44.860001,48.779999,4742000,20.123555
2001-06-22,44.0,45.5,43.279999,45.040001,7063200,18.580667
