Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,17.0,17.0,16.4375,16.4375,203700,4.863986
2000-01-04,16.5,17.0,16.125,16.125,111300,4.771515
2000-01-05,16.125,16.5,16.0625,16.375,118200,4.845492
2000-01-06,16.375,16.4375,16.125,16.4375,49800,4.863986
2000-01-07,16.5,16.5625,16.375,16.5625,84300,4.900975
2000-01-10,16.5,16.5,16.0,16.25,93900,4.808503
2000-01-11,16.3125,16.3125,16.0,16.0,66300,4.734526
2000-01-12,16.0625,16.4375,16.0,16.3125,94200,4.826998
2000-01-13,16.3125,16.375,15.8125,16.1875,78900,4.790009
2000-01-14,16.25,16.3125,15.9375,16.0,58800,4.734526
2000-01-18,15.875,16.1875,15.75,16.0,148200,4.734526
2000-01-19,16.0,16.5,16.0,16.375,186000,4.845492
2000-01-20,16.4375,16.4375,15.875,16.3125,96000,4.826998
2000-01-21,16.375,16.4375,16.1875,16.1875,202500,4.790009
2000-01-24,16.125,16.3125,15.375,15.375,266100,4.549584
2000-01-25,15.375,15.625,15.375,15.5625,85200,4.605067
2000-01-26,15.625,15.6875,15.5,15.5625,40200,4.605067
2000-01-27,15.6875,16.125,15.25,15.3125,86400,4.531089
2000-01-28,15.1875,15.6875,15.1875,15.375,143700,4.549584
2000-01-31,15.375,15.5,15.1875,15.3125,139500,4.531089
2000-02-01,15.4375,15.5,15.1875,15.1875,76200,4.494101
2000-02-02,15.3125,15.3125,15.0625,15.0625,134400,4.457113
2000-02-03,15.125,15.1875,14.875,15.125,116400,4.475607
2000-02-04,15.125,15.625,15.125,15.5625,67800,4.605067
2000-02-07,15.75,15.75,15.375,15.4375,45000,4.568078
2000-02-08,15.25,15.6875,15.125,15.125,136800,4.475607
2000-02-09,15.1875,15.1875,14.75,14.8125,161400,4.383136
2000-02-10,15.25,15.25,13.5,13.5625,3353400,4.013251
2000-02-11,13.5625,13.625,12.875,12.9375,366900,3.828308
2000-02-14,12.5625,12.5625,12.3125,12.375,594900,3.66186
2000-02-15,12.375,12.375,12.0,12.0625,1380000,3.569389
2000-02-16,12.0,12.0,11.875,12.0,515400,3.550895
2000-02-17,12.0,12.3125,11.875,12.0,689400,3.550895
2000-02-18,12.0,12.0,11.6875,11.75,355200,3.476918
2000-02-22,11.875,12.0,11.8125,12.0,271800,3.550895
2000-02-23,12.0,12.0,11.8125,11.9375,227100,3.532401
2000-02-24,12.0,12.0,11.4375,11.5625,294300,3.421435
2000-02-25,11.5625,11.5625,11.375,11.5,185400,3.402941
2000-02-28,11.5,11.625,11.4375,11.5,171900,3.402941
2000-02-29,11.5625,11.5625,11.4375,11.5,148500,3.402941
2000-03-01,11.5,11.5625,11.3125,11.5,388200,3.402941
2000-03-02,11.5,11.5,11.1875,11.25,232800,3.328964
2000-03-03,11.1875,11.3125,11.0,11.25,238200,3.328964
2000-03-06,11.5,11.5,11.0,11.0625,273000,3.273481
2000-03-07,11.0625,11.0625,10.5625,10.5625,487200,3.125527
2000-03-08,10.625,11.25,10.625,11.1875,419100,3.31047
2000-03-09,11.25,11.5625,11.1875,11.5625,1980000,3.421435
2000-03-10,11.6875,11.8125,11.375,11.375,1604100,3.365952
2000-03-13,11.375,11.75,11.375,11.5,342600,3.402941
2000-03-14,11.625,11.6875,11.375,11.4375,553200,3.384447
2000-03-15,11.4375,12.0625,11.4375,11.875,900300,3.513906
2000-03-16,11.875,12.25,11.8125,11.9375,1669800,3.532401
2000-03-17,11.875,12.625,11.8125,12.5625,2163900,3.717343
2000-03-20,12.625,12.6875,12.125,12.5625,756300,3.717343
2000-03-21,12.5625,12.625,12.3125,12.5625,164400,3.717343
2000-03-22,12.5625,12.8125,12.375,12.5,733800,3.698849
2000-03-23,12.375,12.6875,12.375,12.6875,402600,3.754331
2000-03-24,12.8125,13.5625,12.5,13.5625,2906700,4.013251
2000-03-27,13.5,13.5625,12.875,13.125,297600,3.883791
2000-03-28,13.1875,13.3125,12.75,12.75,130800,3.772826
2000-03-29,12.875,13.0625,12.8125,13.0625,290100,3.865297
2000-03-30,13.1875,13.5,13.1875,13.375,369900,3.957768
