Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,13.9375,14.125,13.8125,14.0,520400,3.89289
2000-01-04,13.875,14.5625,13.75,14.1875,1243700,3.945027
2000-01-05,14.0625,14.375,14.0,14.3125,624800,3.979785
2000-01-06,14.1875,14.3125,14.125,14.1875,268600,3.945027
2000-01-07,14.1875,14.6875,14.0,14.6875,490800,4.084059
2000-01-10,14.375,14.75,14.1875,14.5625,499100,4.049301
2000-01-11,14.4375,14.625,14.25,14.375,385400,3.997164
2000-01-12,14.3125,15.3125,14.0,15.25,2118000,4.24047
2000-01-13,15.0,15.1875,14.75,14.9375,1071900,4.153575
2000-01-14,15.125,15.25,15.0,15.0625,865400,4.188333
2000-01-18,15.0,15.5,14.9375,15.375,788100,4.275228
2000-01-19,15.375,15.625,15.125,15.4375,741200,4.292607
2000-01-20,15.4375,15.9375,15.375,15.6875,1412400,4.362123
2000-01-21,15.75,16.125,15.625,16.0625,821300,4.466396
2000-01-24,15.9375,16.0,15.25,15.5,641000,4.309986
2000-01-25,15.4375,15.5625,14.375,15.1875,579900,4.223091
2000-01-26,15.0625,15.5625,15.0,15.5625,351700,4.327365
2000-01-27,15.625,15.9375,15.5,15.5625,754700,4.327365
2000-01-28,15.625,15.625,14.75,14.8125,382900,4.118817
2000-01-31,14.9375,15.0,14.5,14.8125,784000,4.118817
2000-02-01,14.8125,15.25,14.8125,14.875,630800,4.136196
2000-02-02,14.875,15.1875,14.8125,15.1875,1448200,4.223091
2000-02-03,15.3125,16.0625,15.0625,16.0625,1063900,4.466396
2000-02-04,16.125,17.0625,16.0625,17.0625,3097000,4.74446
2000-02-07,17.0625,17.0625,16.625,17.0,1174200,4.727081
2000-02-08,17.0,17.0,16.5,16.6875,929600,4.640186
2000-02-09,16.6875,16.75,16.0625,16.125,535300,4.483775
2000-02-10,16.25,16.5,16.125,16.3125,374600,4.535912
2000-02-11,16.3125,16.5,15.75,15.875,558700,4.41426
2000-02-14,15.8125,16.3125,15.6875,16.1875,756500,4.501154
2000-02-15,16.5,16.8125,16.25,16.4375,1688300,4.57067
2000-02-16,16.375,16.4375,16.0,16.125,619900,4.483775
2000-02-17,16.1875,16.75,16.1875,16.5625,1774900,4.605428
2000-02-18,16.4375,16.5,16.125,16.25,564400,4.518533
2000-02-22,16.1875,16.3125,15.625,15.75,509900,4.379502
2000-02-23,15.75,15.75,15.0,15.375,883700,4.275228
2000-02-24,15.375,15.5,15.1875,15.5,821100,4.309986
2000-02-25,15.75,16.0,15.625,15.9375,691900,4.431639
2000-02-28,15.8125,15.8125,15.3125,15.4375,692100,4.292607
2000-02-29,15.5,15.8125,15.0,15.25,842900,4.24047
2000-03-01,15.25,15.375,14.875,15.3125,954700,4.257849
2000-03-02,15.4375,15.8125,15.25,15.6875,959900,4.362123
2000-03-03,15.75,15.9375,15.4375,15.5625,621200,4.327365
2000-03-06,15.8125,16.0625,15.5,15.625,814600,4.344744
2000-03-07,15.625,16.1875,15.5,16.0,1795700,4.449018
2000-03-08,15.9375,16.25,15.75,15.9375,1139500,4.431639
2000-03-09,15.9375,16.25,15.8125,16.25,1057600,4.518533
2000-03-10,16.25,16.625,16.0625,16.1875,944800,4.501154
2000-03-13,15.875,16.0625,15.75,15.9375,746200,4.431639
2000-03-14,15.875,15.9375,15.375,15.5,639800,4.309986
2000-03-15,15.5625,15.625,14.875,15.1875,732400,4.223091
2000-03-16,15.3125,15.75,15.1875,15.6875,986900,4.362123
2000-03-17,15.625,16.75,15.5625,16.5,1532100,4.588049
2000-03-20,16.5625,16.9375,16.3125,16.8125,1729100,4.674944
2000-03-21,16.5,16.75,16.5,16.6875,1788300,4.640186
2000-03-22,16.6875,16.75,16.125,16.4375,1493100,4.57067
2000-03-23,16.125,16.4375,15.875,16.0625,1339700,4.466396
2000-03-24,16.0,16.3125,16.0,16.25,1505800,4.518533
2000-03-27,16.25,16.8125,16.125,16.8125,1937200,4.674944
2000-03-28,16.375,16.625,16.375,16.5,374700,4.588049
2000-03-29,16.375,16.5,15.9375,16.1875,605400,4.501154
2000-03-30,16.0,16.0625,15.6875,15.9375,568600,4.431639
2000-03-31,15.75,16.4375,15.75,16.375,773600,4.553291
2000-04-03,16.25,16.8125,16.1875,16.6875,772400,4.640186
2000-04-04,16.625,16.8125,15.75,16.125,1632700,4.483775
2000-04-05,16.0625,16.625,16.0625,16.5625,575300,4.605428
2000-04-06,16.5,16.8125,16.5,16.8125,932500,4.674944
2000-04-07,16.875,16.9375,16.3125,16.5,1493800,4.588049
2000-04-10,16.8125,16.9375,16.6875,16.8125,499600,4.674944
2000-04-11,16.625,16.6875,16.4375,16.5,346900,4.588049
2000-04-12,16.4375,16.6875,16.375,16.5,1303000,4.588049
2000-04-13,16.5,16.625,15.9375,16.25,1175300,4.518533
2000-04-14,16.0,16.0625,15.375,15.9375,1491100,4.431639
2000-04-17,15.9375,15.9375,14.3125,14.875,1642900,4.136196
2000-04-18,14.875,15.25,14.6875,15.0,657300,4.170954
2000-04-19,15.0,15.5625,15.0,15.5,474000,4.309986
2000-04-20,15.4375,16.0625,15.4375,16.0625,598300,4.466396
2000-04-24,16.0,16.0,15.5625,15.6875,399700,4.362123
2000-04-25,15.8125,15.9375,15.5,15.875,445000,4.41426
2000-04-26,15.9375,16.0,15.625,15.9375,532700,4.431639
2000-04-27,15.75,15.8125,15.6875,15.6875,348400,4.362123
2000-04-28,15.6875,16.125,15.6875,16.0625,485800,4.466396
2000-05-01,15.875,16.4375,15.875,16.25,576800,4.518533
2000-05-02,16.1875,16.25,15.875,16.0,509100,4.449018
2000-05-03,15.9375,16.0,15.3125,15.5625,684800,4.327365
2000-05-04,15.6875,15.6875,14.6875,15.0625,1140100,4.188333
2000-05-05,14.9375,15.25,14.875,15.25,527300,4.24047
2000-05-08,15.25,15.625,15.0625,15.625,337200,4.344744
2000-05-09,15.5,15.5625,15.1875,15.5312,274600,4.318661
2000-05-10,15.25,15.3125,14.8125,15.125,601200,4.205712
2000-05-11,15.0625,15.875,15.0625,15.625,895100,4.344744
2000-05-12,15.4375,15.6875,15.25,15.3125,483400,4.257849
2000-05-15,15.125,15.375,15.0625,15.25,743900,4.24047
2000-05-16,15.125,15.5625,15.125,15.5,349400,4.309986
2000-05-17,15.375,15.75,15.3125,15.625,539500,4.344744
2000-05-18,15.5625,15.625,15.5,15.5625,300900,4.327365
2000-05-19,15.4375,15.5,15.0,15.125,518700,4.205712
2000-05-22,15.0,15.1875,14.9375,15.125,346300,4.205712
2000-05-23,15.0625,15.125,14.875,14.875,734700,4.136196
2000-05-24,14.875,15.0,14.75,14.8125,734900,4.118817
2000-05-25,14.9375,15.0625,14.875,15.0,455300,4.170954
2000-05-26,14.8125,15.5625,14.75,15.5,289100,4.309986
2000-05-30,15.5,15.75,15.4375,15.625,419300,4.344744
2000-05-31,15.25,15.625,15.1875,15.25,364300,4.24047
2000-06-01,15.5,15.9375,15.25,15.875,686600,4.41426
2000-06-02,15.6875,16.0625,15.625,15.875,833600,4.41426
2000-06-05,16.0,16.3125,16.0,16.0,636300,4.449018
2000-06-06,16.25,16.5,16.125,16.375,496700,4.553291
2000-06-07,16.3125,16.4375,16.25,16.25,370700,4.518533
2000-06-08,16.3125,16.5625,16.3125,16.3125,477600,4.535912
2000-06-09,16.3125,16.5,16.25,16.375,432700,4.553291
2000-06-12,16.4375,16.8125,16.375,16.6875,507700,4.640186
2000-06-13,16.5625,16.625,16.4375,16.625,392000,4.622807
2000-06-14,16.625,16.75,16.5625,16.6875,353800,4.640186
2000-06-15,16.625,16.8125,16.5625,16.8125,349900,4.674944
2000-06-16,16.8125,16.875,16.5625,16.75,311400,4.657565
2000-06-19,16.75,17.25,16.625,17.125,893400,4.761839
2000-06-20,17.0625,17.375,17.0625,17.1875,800800,4.779218
2000-06-21,17.125,17.75,17.0625,17.75,933900,4.935629
2000-06-22,17.75,17.75,17.25,17.5,1371000,4.866113
2000-06-23,17.5,17.5,17.125,17.4375,479500,4.848734
2000-06-26,17.375,17.5,17.25,17.4375,463500,4.848734
2000-06-27,17.3125,17.4375,17.0,17.375,410700,4.831355
2000-06-28,17.3125,18.0,17.3125,17.75,617400,4.935629
2000-06-29,17.6875,17.9375,17.5,17.8125,618300,4.953008
2000-06-30,17.625,18.0,17.25,17.25,997000,4.796597
2000-07-03,17.625,17.9375,17.625,17.9375,165800,4.987766
2000-07-05,18.0,18.5625,17.875,18.0,1503700,5.005145
2000-07-06,17.75,18.3125,17.5,18.0,446300,5.005145
2000-07-07,18.0625,18.5,17.9375,18.375,735500,5.109419
2000-07-10,17.9375,18.75,17.9375,18.5625,496400,5.161555
2000-07-11,18.4375,18.75,18.375,18.6875,415900,5.196313
2000-07-12,18.5,18.9375,18.125,18.8125,1039100,5.231071
2000-07-13,18.5,19.0,18.4375,18.875,1301000,5.24845
2000-07-14,18.875,19.0,18.6875,18.8125,917600,5.231071
2000-07-17,18.5625,18.625,18.25,18.3125,456900,5.09204
2000-07-18,18.25,18.3125,17.9375,18.0625,379000,5.022524
2000-07-19,18.0,18.25,18.0,18.1875,634700,5.057282
2000-07-20,18.0625,18.375,18.0625,18.125,290600,5.039903
2000-07-21,18.25,18.25,18.0625,18.1875,175900,5.057282
2000-07-24,18.0,18.0,17.5,17.6875,321600,4.91825
2000-07-25,17.5625,17.6875,17.3125,17.375,396300,4.831355
2000-07-26,17.125,17.875,17.0625,17.75,395800,4.935629
2000-07-27,17.6875,17.75,17.125,17.25,199000,4.796597
2000-07-28,17.125,17.1875,16.625,16.9375,239800,4.709702
2000-07-31,16.6875,16.75,16.25,16.75,508300,4.657565
2000-08-01,16.625,16.75,16.3125,16.375,941900,4.553291
2000-08-02,16.0,17.0625,15.9375,16.75,596800,4.657565
2000-08-03,16.5625,16.625,16.0625,16.3125,362500,4.535912
2000-08-04,16.4375,16.625,16.125,16.375,293700,4.553291
2000-08-07,16.25,16.5625,16.1875,16.375,317100,4.553291
2000-08-08,16.375,16.375,15.9375,15.9375,716400,4.431639
2000-08-09,15.875,15.9375,15.125,15.25,651700,4.24047
2000-08-10,15.25,15.9375,15.25,15.625,357400,4.344744
2000-08-11,15.8125,16.4375,15.6875,16.125,395900,4.483775
2000-08-14,16.1875,16.3125,16.0,16.0625,175700,4.466396
2000-08-15,16.125,16.625,16.0,16.25,330300,4.518533
2000-08-16,16.25,16.3125,16.0,16.0,365300,4.449018
2000-08-17,16.0625,16.1875,16.0625,16.125,150300,4.483775
