Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,129.125004,129.9375,118.812504,121.812504,4650300,33.706079
2000-01-04,119.312496,119.499996,109.062504,110.000004,6012000,30.437506
2000-01-05,110.000004,110.625,103.250004,107.499996,9397200,29.745742
2000-01-06,106.749996,108.249996,104.4375,105.0,7239000,29.053982
2000-01-07,105.999996,116.874996,105.875004,116.874996,11066100,32.339848
2000-01-10,120.75,120.9375,116.124996,117.999996,5444400,32.651141
2000-01-11,114.0,114.624996,107.124996,107.4375,5808300,29.728449
2000-01-12,108.500004,108.624996,102.999996,103.749996,5897100,28.7081
2000-01-13,105.0,117.500004,103.5,116.750004,8186100,32.305262
2000-01-14,117.999996,118.250004,111.375,111.999996,5630100,30.990913
2000-01-18,112.187496,129.125004,111.999996,125.499996,10886700,34.726425
2000-01-19,125.687496,140.000004,124.625004,133.6875,13847700,36.991945
2000-01-20,138.999996,157.875,138.500004,155.750004,18881700,43.096741
2000-01-21,156.9375,163.250004,150.0,162.0,13561200,44.826144
2000-01-24,162.0,175.5,153.999996,155.000004,13180200,42.889212
2000-01-25,152.750004,155.000004,147.437496,151.250004,12115500,41.85157
2000-01-26,153.0,159.75,152.499996,156.0,19947900,43.165916
2000-01-27,158.750004,176.499996,158.4375,162.0,14714100,44.826144
2000-01-28,161.499996,166.5,145.5,147.0,11951700,40.675575
2000-01-31,147.062496,158.499996,144.75,154.250004,9003600,42.681684
2000-02-01,150.0,151.749996,145.062504,147.249996,9310800,40.74475
2000-02-02,147.375,149.937504,146.25,148.250004,7194900,41.021456
2000-02-03,150.0,154.250004,145.250004,154.250004,9299700,42.681684
2000-02-04,158.000004,167.874996,156.999996,164.874996,9867000,45.621668
2000-02-07,164.625,165.624996,158.000004,165.624996,5970600,45.829197
2000-02-08,168.0,170.25,160.250004,169.812504,6993900,46.987899
2000-02-09,169.625004,169.6875,163.187496,165.0,4882500,45.656257
2000-02-10,164.000004,179.750004,160.374996,171.500004,8509800,47.454838
2000-02-11,171.875004,172.875,163.749996,165.75,4733700,45.863786
