Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,94.1875,94.375,87.75,88.3125,1822600,74.13865
2000-01-04,87.0,87.5,82.25,82.75,1647700,69.468912
2000-01-05,80.875,81.875,78.375,78.875,1516600,66.215836
2000-01-06,78.625,84.5,78.625,82.25,1845100,69.04916
2000-01-07,83.0625,83.1875,79.875,82.5625,1127400,69.311505
2000-01-10,81.75,84.875,81.75,84.375,803100,70.833105
2000-01-11,85.0,86.25,84.5625,84.8125,808600,71.200388
2000-01-12,84.125,86.0,83.375,84.375,916100,70.833105
2000-01-13,85.125,85.125,82.875,84.5,711000,70.938043
2000-01-14,85.5,86.9375,85.3125,85.625,607000,71.882484
2000-01-18,85.0,89.125,84.75,86.875,1095700,72.931864
2000-01-19,86.875,89.375,86.75,87.5625,636900,73.509022
2000-01-20,87.0,87.9375,84.875,85.9375,621800,72.243838
2000-01-21,86.1875,86.1875,84.5625,85.6875,542500,72.033674
2000-01-24,87.5,87.5,81.5,81.75,712900,68.723592
2000-01-25,83.0,84.1875,82.375,83.875,749300,70.509986
2000-01-26,84.125,88.5,84.125,88.25,1086600,74.187854
2000-01-27,88.25,89.9375,87.625,89.0,702000,74.818345
2000-01-28,87.5,88.0,86.125,87.0,776800,73.137034
2000-01-31,87.0,91.6875,86.5,91.625,801800,77.025066
2000-02-01,92.875,93.0,90.5,91.25,813100,76.70982
2000-02-02,90.75,91.625,88.625,91.125,964700,76.604738
2000-02-03,90.0,91.125,84.8125,85.375,2213300,71.770969
2000-02-04,87.25,87.25,83.5625,84.6875,1451700,71.193018
2000-02-07,84.4375,86.5,83.5,85.75,929800,72.086215
2000-02-08,85.75,89.625,85.75,89.4375,1024800,75.186132
2000-02-09,89.4375,89.4375,86.5625,86.75,397100,72.92687
2000-02-10,86.75,87.3125,85.5,86.625,503200,72.821788
2000-02-11,86.4375,88.75,85.0,85.125,856900,71.560805
2000-02-14,85.125,86.875,84.625,86.5,627800,72.716706
2000-02-15,86.25,86.625,85.125,86.5,542400,72.716706
2000-02-16,86.75,87.3125,82.875,82.9375,720300,69.721871
2000-02-17,84.75,84.75,81.125,82.125,895500,69.038838
2000-02-18,84.5,84.5,80.75,80.8125,925500,67.935478
2000-02-22,81.25,82.375,80.6875,81.5625,720100,68.56597
