Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,40.4375,40.4375,37.8125,38.3125,3490800,15.058383
2000-01-04,37.5625,39.0,37.5625,38.5,4968200,15.132078
2000-01-05,37.5,37.9375,36.5625,36.8125,7524600,14.468821
2000-01-06,36.8125,38.5,36.8125,38.3125,8868600,15.058383
2000-01-07,39.25,40.875,38.5625,40.6875,8737400,15.991855
2000-01-10,41.3125,41.3125,38.3125,39.0625,5440000,15.353163
2000-01-11,39.4375,40.5,38.75,40.5,5752000,15.91816
2000-01-12,40.0,40.5,37.6875,37.75,5840600,14.837297
2000-01-13,38.3125,39.25,38.0,38.25,7705200,15.033818
2000-01-14,38.5,39.1875,37.4375,38.5625,7083000,15.156643
2000-01-18,38.3125,42.25,38.25,41.6875,12708400,16.384896
2000-01-19,41.6875,42.5,41.0625,42.1875,7712000,16.581417
2000-01-20,42.1875,42.1875,40.8125,40.8125,9798000,16.040985
2000-01-21,41.5,43.5,41.3125,42.375,6455600,16.655112
2000-01-24,42.375,43.5,39.3125,39.875,6052200,15.672509
2000-01-25,39.9375,41.4375,39.125,40.0,5748000,15.721639
2000-01-26,41.0,41.875,38.4375,38.6875,8223000,15.205773
2000-01-27,39.0,39.9375,36.625,37.5,6704000,14.739037
2000-01-28,36.75,37.625,35.25,35.8125,7333400,14.07578
2000-01-31,35.875,36.5,35.5,36.125,5969400,14.198606
2000-02-01,36.3125,36.875,35.5625,36.375,5991200,14.296866
2000-02-02,37.25,37.375,36.25,37.125,6113400,14.591647
2000-02-03,37.375,37.5625,36.5625,37.375,4271800,14.689907
2000-02-04,36.875,37.3125,36.3125,36.8125,4684200,14.468821
2000-02-07,36.8125,38.25,36.5625,37.375,3883400,14.689907
2000-02-08,38.375,38.375,36.4375,36.875,4559600,14.493386
2000-02-09,36.625,37.375,34.625,35.5,6528800,13.952955
2000-02-10,35.0625,36.0,34.9375,35.4375,7606400,13.92839
2000-02-11,35.875,35.9375,34.0,34.25,6207200,13.461654
2000-02-14,34.75,36.25,33.6875,35.9375,6191200,14.12491
2000-02-15,36.0,38.5625,35.9375,38.5,7978600,15.132078
2000-02-16,39.0,39.75,38.625,39.125,7648400,15.377729
2000-02-17,38.5,39.375,37.1875,38.5,5403000,15.132078
2000-02-18,38.0,38.375,36.5625,36.6875,3593800,14.419691
2000-02-22,36.625,36.75,35.25,35.5,3786200,13.952955
2000-02-23,35.25,35.6875,34.3125,34.3125,3688800,13.486219
2000-02-24,34.5,36.5625,34.375,35.4375,6323200,13.92839
2000-02-25,35.4375,35.5625,33.4375,33.6875,7448000,13.240568
2000-02-28,33.8125,35.3125,33.5,35.0,5269400,13.756434
2000-02-29,35.375,38.4375,35.125,38.1875,7824200,15.063049
2000-03-01,38.1875,41.1875,37.5625,40.9375,9905200,16.147786
2000-03-02,40.8125,42.6875,40.4375,42.1875,9536200,16.640848
2000-03-03,42.1875,42.1875,39.25,40.875,7751400,16.123133
2000-03-06,42.0,42.125,41.1875,41.25,5745400,16.271052
2000-03-07,41.3125,45.5,41.3125,44.5,12973200,17.553013
2000-03-08,42.5,42.5,39.75,39.875,11930000,15.728683
2000-03-09,40.875,40.9375,38.875,40.125,6077000,15.827296
2000-03-10,39.5,41.8125,39.3125,39.5625,4364800,15.605418
2000-03-13,38.375,41.4375,38.25,38.875,5174800,15.334234
2000-03-14,38.5625,39.1875,37.0625,38.156239,5844800,15.050718
2000-03-15,38.4375,39.125,37.0,37.875,3436600,14.939784
2000-03-16,37.125,40.0,36.75,39.375,6056800,15.531459
2000-03-17,38.5625,39.0,37.8125,38.375,6463000,15.137009
2000-03-20,37.5,37.5625,35.875,36.1875,7736200,14.27415
2000-03-21,36.875,37.8125,36.5625,37.5,10294200,14.791865
2000-03-22,38.25,39.5,37.75,38.6875,12027000,15.260274
2000-03-23,38.375,38.75,37.25,37.875,8611200,14.939784
2000-03-24,38.9375,40.125,38.25,39.0,7187200,15.38354
2000-03-27,38.0,39.75,37.25,38.125,6980600,15.038396
2000-03-28,37.5625,39.375,37.0,37.6875,10352000,14.865825
2000-03-29,37.25,40.4375,36.75,40.25,9889400,15.876602
2000-03-30,40.125,41.6875,39.5625,40.5625,8744600,15.999868
2000-03-31,40.8125,41.4375,39.625,41.125,4997600,16.221746
2000-04-03,41.0,42.625,40.625,42.5,4905200,16.764114
2000-04-04,42.5,43.25,39.125,40.0,8347600,15.77799
2000-04-05,40.1875,40.25,37.75,38.0,5415000,14.98909
2000-04-06,38.25,39.75,38.125,39.1875,6482600,15.457499
2000-04-07,40.1875,41.3125,39.3125,39.625,9264800,15.630071
2000-04-10,39.625,39.625,38.1875,38.3125,6530400,15.112356
2000-04-11,39.0,40.375,38.3125,40.1875,4892200,15.851949
2000-04-12,40.625,41.25,39.875,40.8125,4344000,16.09848
2000-04-13,40.5625,41.4375,39.25,39.3125,4435600,15.506805
2000-04-14,39.5625,41.0,38.375,38.875,5206400,15.334234
2000-04-17,38.4375,38.875,37.5,38.4375,5687600,15.161662
2000-04-18,39.0,42.0,38.375,41.6875,7238800,16.443624
2000-04-19,41.4375,42.5,40.0625,41.4375,5204000,16.345011
2000-04-20,41.5625,42.5,41.125,42.25,5003000,16.665502
2000-04-24,42.875,43.375,40.4375,41.625,4298200,16.41897
2000-04-25,43.0,43.0,40.1875,41.4375,5953400,16.345011
2000-04-26,41.75,43.625,40.4375,43.625,8123800,17.20787
2000-04-27,43.125,46.4375,42.5,45.5,12422400,17.947463
2000-04-28,45.0625,45.4375,44.1875,44.1875,5453600,17.429748
2000-05-01,44.0625,45.0625,43.0625,44.25,5129200,17.454401
2000-05-02,44.75,47.5,44.625,47.375,8542000,18.687056
2000-05-03,46.875,47.25,44.5625,45.25,6454200,17.848851
2000-05-04,45.0625,47.0,45.0625,47.0,4925800,18.539138
2000-05-05,46.25,47.1875,45.4375,46.875,5838800,18.489832
2000-05-08,47.125,48.9375,47.125,48.375,6446000,19.081506
2000-05-09,48.125,48.9375,47.875,48.9375,5691800,19.303384
2000-05-10,48.25,49.468761,47.8125,49.1875,6895000,19.401997
2000-05-11,49.1875,50.4375,48.9375,50.375,6565400,19.870406
2000-05-12,49.875,50.75,48.875,50.093761,7433600,19.759471
2000-05-15,49.75,52.125,49.3125,51.5625,7906600,20.338815
2000-05-16,51.8125,51.8125,49.5625,51.5,6955200,20.314162
2000-05-17,51.0,52.25,50.25,51.0,8103400,20.116937
2000-05-18,50.75,50.875,49.0,49.625,8104000,19.574568
2000-05-19,50.0,50.9375,49.3125,50.875,5797200,20.067631
2000-05-22,49.75,50.0,40.125,47.375,5941800,18.687056
2000-05-23,47.625,48.875,46.875,48.75,4609800,19.229425
2000-05-24,49.3125,49.6875,47.9375,48.5,4903200,19.130812
2000-05-25,48.5,48.5625,46.125,48.3125,4213400,19.056853
2000-05-26,48.875,49.1875,46.625,46.875,2180400,18.489832
2000-05-30,47.375,49.5625,47.125,49.0,5440600,19.379716
2000-05-31,49.75,51.75,49.625,50.9375,5252600,20.146006
2000-06-01,50.0625,51.1875,49.3125,50.75,5235600,20.071849
2000-06-02,50.0,50.0,47.3125,48.25,6312000,19.083088
2000-06-05,49.25,50.0,45.5,45.5625,6402600,18.02017
2000-06-06,46.25,49.0,45.9375,48.5,5618800,19.181964
2000-06-07,48.6875,49.25,46.9375,47.5,4266800,18.78646
2000-06-08,47.25,48.25,46.625,46.625,6404200,18.440393
2000-06-09,46.875,46.875,45.3125,45.6875,5134000,18.069608
2000-06-12,46.625,48.5,46.625,48.3125,4376200,19.107807
2000-06-13,48.3125,50.0,48.3125,48.4375,5964800,19.157245
2000-06-14,48.4375,49.8125,47.3125,47.6875,3737600,18.860617
2000-06-15,47.6875,48.4375,45.5,46.5,4982400,18.390955
2000-06-16,48.0,49.5,47.8125,48.968761,4974000,19.367361
2000-06-19,49.0,49.0,46.625,48.0,3835000,18.984212
2000-06-20,47.125,47.75,46.125,47.6875,5039200,18.860617
2000-06-21,47.6875,49.9375,47.4375,49.75,7361600,19.676345
2000-06-22,49.125,50.3125,47.0625,47.5625,5734400,18.811179
2000-06-23,48.0,49.25,47.5,47.5625,3438000,18.811179
2000-06-26,47.625,48.5625,46.6875,47.1875,4130800,18.662865
2000-06-27,47.0,48.125,46.0625,47.6875,5793400,18.860617
2000-06-28,47.5625,47.5625,45.6875,46.234379,5090000,18.285901
2000-06-29,46.8125,48.9375,46.4375,48.4375,5534800,19.157245
2000-06-30,48.25,48.6875,46.75,47.1875,5088200,18.662865
2000-07-03,46.75,47.4375,46.75,46.9375,963600,18.563988
2000-07-05,46.25,46.25,44.0625,44.5625,5983400,17.624665
2000-07-06,45.0,46.125,44.25,44.5,5485200,17.599946
2000-07-07,44.5,44.75,43.0,43.6875,4968000,17.278599
2000-07-10,43.875,44.875,41.875,42.0,8191600,16.611185
2000-07-11,43.75,46.9375,43.75,46.5,11754200,18.390955
2000-07-12,46.8125,46.875,45.3125,45.9375,7285600,18.168484
2000-07-13,46.0,46.0,44.0625,45.3125,4990600,17.921294
2000-07-14,45.0625,45.5,44.0,45.125,4630400,17.847137
2000-07-17,44.6875,44.75,42.8125,42.859379,5366400,16.951074
2000-07-18,43.875,45.0625,43.75,44.875,5843200,17.748261
2000-07-19,44.875,45.75,44.3125,44.9375,3343000,17.77298
2000-07-20,45.125,45.6875,44.875,45.125,4030400,17.847137
2000-07-21,45.0,45.1875,41.5,42.25,12768200,16.710062
2000-07-24,42.625,43.25,41.1875,41.6875,5264200,16.48759
2000-07-25,42.625,43.4375,42.0,42.25,6930400,16.710062
2000-07-26,42.25,43.9375,41.875,43.5625,6199800,17.229161
2000-07-27,44.625,45.875,44.5,45.375,10345600,17.946013
2000-07-28,45.375,46.5,44.5,45.453121,4396000,17.97691
2000-07-31,45.4375,46.125,44.5625,46.109379,4512800,18.236463
2000-08-01,46.5,47.625,45.9375,46.8125,5314200,18.51455
2000-08-02,47.5,48.3125,47.375,47.5625,5528800,18.811179
2000-08-03,47.9375,48.1875,46.5625,47.125,5453400,18.638146
2000-08-04,47.375,49.1875,46.875,48.265621,5453800,19.089266
2000-08-07,48.0,49.4375,47.8125,48.703121,4068800,19.262299
2000-08-08,48.75,49.9375,48.6875,49.796879,6499400,19.694885
2000-08-09,51.0,52.9375,50.9375,52.625,16368800,20.81342
2000-08-10,52.4375,52.9375,51.8125,52.140621,6562200,20.621846
2000-08-11,52.0,52.0,50.5,51.0,4074000,20.170725
2000-08-14,51.25,52.8125,51.1875,52.25,5606800,20.665106
2000-08-15,53.0,53.125,50.875,51.4375,4231200,20.343758
2000-08-16,51.0,54.015621,50.625,54.015621,9355400,21.363417
2000-08-17,54.25,54.75,52.9375,53.75,6307800,21.258362
2000-08-18,53.9375,53.9375,52.125,52.6875,5170800,20.838139
2000-08-21,53.125,53.6875,52.0,53.4375,3675200,21.134767
2000-08-22,53.375,53.9375,52.375,53.3125,5384400,21.085329
2000-08-23,53.875,54.25,53.25,53.875,5797200,21.3078
2000-08-24,53.875,53.875,52.8125,53.125,3233600,21.011172
2000-08-25,53.3125,53.3125,51.625,52.6875,3108000,20.838139
2000-08-28,52.875,54.5625,51.875,53.625,4337000,21.208924
2000-08-29,53.625,54.5625,53.25,53.765621,5235000,21.264541
2000-08-30,53.8125,54.3125,51.875,53.046879,5239000,20.980275
2000-08-31,53.5625,53.8125,51.9375,53.015621,4009200,20.967912
2000-09-01,52.875,53.875,52.75,53.640621,1677600,21.265241
2000-09-05,53.875,54.125,52.3125,53.625,3811400,21.259049
2000-09-06,54.125,55.1875,53.5,54.6875,5642800,21.680265
2000-09-07,53.9375,53.9375,52.75,53.4375,2936200,21.184716
2000-09-08,52.75,52.875,51.1875,52.0625,3705200,20.639612
