Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,56.625,57.25,56.375,57.0,391200,13.058422
2000-01-04,57.0,58.0,56.25,56.25,500800,12.8866
2000-01-05,56.5,56.75,55.6875,55.75,260400,12.772053
2000-01-06,55.75,56.375,55.4375,56.0625,239200,12.843645
2000-01-07,56.0,57.0625,56.0,57.0,313600,13.058422
2000-01-10,57.25,57.75,57.125,57.3125,159600,13.130014
2000-01-11,57.25,57.25,55.625,55.9375,383200,12.815008
2000-01-12,55.9375,55.9375,55.0,55.5,158000,12.714779
2000-01-13,55.5,55.625,55.25,55.5,158400,12.714779
2000-01-14,55.25,56.875,55.125,56.1875,272400,12.872282
2000-01-18,56.125,56.5,55.625,56.125,236400,12.857963
2000-01-19,55.875,56.5625,55.625,56.125,193600,12.857963
2000-01-20,56.0,59.625,55.875,59.1875,532000,13.559567
2000-01-21,59.25,59.625,58.4375,59.375,104800,13.602523
2000-01-24,59.5,60.25,59.0,59.125,592000,13.545249
2000-01-25,60.5,61.0,59.25,60.8125,1026800,13.931847
2000-01-26,61.0,62.5,60.875,61.8125,784400,14.160942
2000-01-27,61.8125,62.5,61.375,61.375,316000,14.060713
2000-01-28,61.5625,61.9375,60.625,60.625,398400,13.888891
2000-01-31,60.6875,60.6875,58.375,58.375,385600,13.373427
2000-02-01,58.0,58.125,57.125,57.4375,424400,13.158651
2000-02-02,57.6875,57.8125,57.125,57.25,205600,13.115695
2000-02-03,57.4375,58.0625,57.0,57.1875,402000,13.101377
2000-02-04,57.3125,57.3125,55.75,56.9375,369200,13.044103
2000-02-07,56.8125,58.1875,56.75,57.75,181600,13.241871
2000-02-08,58.0,58.875,58.0,58.875,191200,13.49983
2000-02-09,59.125,61.5,59.125,61.0,511600,13.987085
2000-02-10,60.875,61.125,59.875,60.5,353600,13.872437
2000-02-11,60.75,61.75,60.625,61.5,420400,14.101733
2000-02-14,61.75,62.25,61.0,61.0625,744400,14.001416
2000-02-15,61.0625,61.5,60.625,61.0625,309200,14.001416
2000-02-16,61.0,61.9375,61.0,61.0625,96800,14.001416
2000-02-17,61.3125,63.75,61.0,62.0,191600,14.216381
2000-02-18,62.25,62.25,61.0,61.0,250400,13.987085
2000-02-22,61.625,62.0,59.75,61.8125,244000,14.173388
2000-02-23,61.5625,62.25,60.875,60.875,340400,13.958423
2000-02-24,61.125,62.3125,60.25,60.875,294400,13.958423
2000-02-25,60.75,61.4375,60.0,60.375,516400,13.843775
2000-02-28,60.25,60.25,57.125,58.625,294400,13.442506
2000-02-29,60.0,63.0,60.0,61.9375,610400,14.20205
