Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,68.625,69.1875,63.8125,65.1875,12030800,47.164983
2000-01-04,64.0,64.3125,61.25,61.75,8774500,44.677856
2000-01-05,61.75,63.0,61.0,63.0,6931400,45.582266
2000-01-06,61.625,62.0,60.0,60.0,6603400,43.411682
2000-01-07,61.75,63.5,60.75,63.5,6201600,45.94403
2000-01-10,62.0,63.5625,62.0,63.1875,5453000,45.717927
2000-01-11,63.4375,63.625,61.25,61.5625,4371500,44.542194
2000-01-12,61.5625,62.0625,60.6875,61.0625,4599400,44.18043
2000-01-13,62.125,62.5,61.5,62.125,4538900,44.949179
2000-01-14,62.375,62.4375,61.1875,61.9375,4578000,44.813517
2000-01-18,61.25,61.25,60.125,60.5,5322000,43.773446
2000-01-19,60.125,62.4375,60.125,61.875,5176400,44.768297
2000-01-20,61.5625,61.75,59.875,60.8125,7213400,43.999548
2000-01-21,61.5,61.5,59.4375,60.0,6682900,43.411682
2000-01-24,60.9375,60.9375,56.6875,58.0,7339600,41.964626
2000-01-25,57.0,57.125,54.875,56.125,10252400,40.608011
2000-01-26,55.9375,57.6875,55.0625,57.375,8468400,41.512421
2000-01-27,57.875,59.5,56.1875,58.25,6915900,42.145508
2000-01-28,57.0,57.4375,55.5,55.625,7425100,40.246247
2000-01-31,56.5,56.8125,55.0625,56.625,5958600,40.969775
2000-02-01,56.9375,62.0,56.8125,62.0,10950500,44.858738
2000-02-02,61.0,61.5,59.625,60.75,5862100,43.954328
2000-02-03,60.5,60.625,59.0,60.5,4008800,43.773446
2000-02-04,61.0,61.5,60.3125,61.125,4063900,44.225651
2000-02-07,61.0,61.0,59.0,59.0,3796600,42.688154
2000-02-08,59.75,61.4375,59.5625,61.0,4501700,44.13521
2000-02-09,61.3125,61.3125,58.75,58.75,5289700,42.507272
2000-02-10,59.0,59.9375,58.375,59.5625,3644900,43.095138
2000-02-11,59.5,60.5,59.1875,60.0625,4647100,43.456902
2000-02-14,59.5,60.5,59.4375,60.3125,3173900,43.637784
2000-02-15,60.0625,60.1875,59.0625,59.75,3531100,43.2308
2000-02-16,58.75,59.375,55.75,57.25,6829800,41.42198
2000-02-17,57.25,57.4375,53.5625,54.5,10785700,39.432278
2000-02-18,54.5625,55.8125,52.8125,53.75,10402700,38.889631
2000-02-22,54.125,55.5625,53.125,53.625,8019200,38.79919
2000-02-23,54.1875,55.0,52.875,54.8125,6533700,39.65838
2000-02-24,54.9375,55.1875,52.625,53.0625,7763600,38.392206
2000-02-25,53.5,54.25,52.75,53.0,6155600,38.346985
2000-02-28,53.75,56.875,52.9375,56.8125,8120100,41.105436
2000-02-29,57.4375,58.4375,56.8125,57.5,7119900,41.602862
2000-03-01,57.8125,58.3125,54.3125,55.625,6504000,40.246247
2000-03-02,55.5625,56.25,54.1875,55.125,5352000,39.884483
2000-03-03,55.5,55.8125,54.375,54.5,5832800,39.432278
2000-03-06,54.375,54.6875,53.125,53.875,4821800,38.980072
2000-03-07,55.0,55.0,51.0,52.375,8491900,37.922936
2000-03-08,52.3125,53.75,51.6875,52.5,6631400,38.013444
2000-03-09,53.3125,55.5,51.75,55.3125,5736400,40.049879
2000-03-10,55.625,55.8125,53.375,53.5,4456000,38.73751
2000-03-13,52.625,53.1875,51.8125,53.0,4412500,38.375477
2000-03-14,52.75,53.3125,51.875,52.3125,5094600,37.877682
2000-03-15,52.625,57.25,51.875,57.0,8097100,41.271739
2000-03-16,59.0,61.875,58.625,61.5,12165000,44.530035
2000-03-17,61.5,64.5625,61.5,63.1875,13587500,45.751895
2000-03-20,63.4375,64.125,61.9375,63.625,5350300,46.068674
2000-03-21,63.625,64.6875,61.8125,63.5,5552300,45.978166
2000-03-22,62.375,63.9375,61.125,63.0625,4746500,45.661387
2000-03-23,63.0625,64.3125,62.1875,64.125,5540300,46.430707
2000-03-24,64.0,65.3125,63.5,64.375,5903600,46.611723
2000-03-27,64.375,64.625,63.0,64.375,3828000,46.611723
2000-03-28,63.0625,65.75,63.0,64.0,4848400,46.340199
2000-03-29,64.875,68.5625,64.875,68.5,6944300,49.598494
2000-03-30,68.0,69.5625,65.9375,67.0,7934300,48.512395
2000-03-31,67.0,67.3125,64.25,64.5,5169700,46.702231
2000-04-03,65.5,68.0625,65.4375,68.0,5898500,49.236461
2000-04-04,67.75,68.625,63.4375,64.625,8188500,46.79274
2000-04-05,63.5,64.625,63.0,64.0,5348300,46.340199
2000-04-06,63.9375,67.0,63.25,65.9375,4234800,47.743076
2000-04-07,66.125,67.3125,64.125,64.125,3425100,46.430707
2000-04-10,65.125,67.25,64.25,66.6875,3992300,48.286125
2000-04-11,65.6875,67.375,65.625,67.375,3714600,48.78392
2000-04-12,68.1875,70.0,66.0,66.0,7081600,47.78833
2000-04-13,66.3125,66.3125,60.0,62.5,7953100,45.2541
2000-04-14,60.0,60.25,56.9375,60.25,7695600,43.624953
2000-04-17,56.375,58.1875,55.3125,57.25,8667000,41.452756
2000-04-18,57.0,59.3125,56.0625,58.75,7233700,42.538854
2000-04-19,58.6875,60.0,57.625,58.75,5078400,42.538854
2000-04-20,58.125,59.125,57.25,58.625,4111100,42.448346
2000-04-24,58.0,61.75,57.875,59.5625,4850200,43.127157
2000-04-25,60.25,60.3125,58.6875,59.0,5227700,42.719871
2000-04-26,59.5,60.875,59.4375,60.5,4469400,43.805969
2000-04-27,60.0,60.0,58.25,58.8125,4940000,42.584108
2000-04-28,58.25,58.875,55.5,56.5,6475300,40.909707
2000-05-01,56.5,57.875,56.125,56.125,4360000,40.638182
2000-05-02,57.25,57.9375,56.0625,56.8125,3961700,41.135977
2000-05-03,55.5,55.5625,52.5625,54.0,6666000,39.099542
2000-05-04,53.75,53.8125,51.8125,52.5,6863800,38.013444
2000-05-05,51.8125,53.5,51.1875,53.3125,6345700,38.601747
2000-05-08,53.125,54.125,52.0,53.5625,5133800,38.782764
2000-05-09,53.5625,54.625,51.75,52.5,4821700,38.013444
2000-05-10,52.5,54.25,51.6875,54.0,6547300,39.099542
2000-05-11,54.5,55.25,53.0625,53.875,4413300,39.009034
2000-05-12,53.75,55.25,53.625,54.0,3683400,39.099542
2000-05-15,53.5,56.875,53.5,56.5,5611300,40.909707
2000-05-16,56.5,56.5,52.0,53.4375,13052500,38.692256
2000-05-17,52.75,53.4375,51.5,52.25,7027500,37.832428
2000-05-18,51.875,53.4375,51.3125,51.5,6951400,37.289378
2000-05-19,51.1875,52.25,51.0625,51.5625,5682600,37.334633
2000-05-22,51.6875,52.0,50.0,50.375,5313500,36.474805
2000-05-23,50.625,51.125,48.1875,49.75,6293100,36.022264
2000-05-24,48.0,48.0,44.125,46.75,17769300,33.850067
2000-05-25,48.0,49.8125,46.3125,46.5,8621100,33.66905
2000-05-26,48.5,48.75,46.25,46.875,4711400,33.940575
2000-05-30,47.5,47.8125,46.625,47.25,4767600,34.2121
2000-05-31,46.75,49.125,46.625,49.0,6583700,35.479214
2000-06-01,49.0,50.0625,48.5,49.875,6049000,36.112772
2000-06-02,52.75,54.0,52.0,53.625,8388800,38.828018
2000-06-05,53.5,53.625,52.25,52.375,3858000,37.922936
2000-06-06,52.0625,52.0625,50.0625,50.375,6753000,36.474805
2000-06-07,51.25,51.8125,49.875,50.5625,4581800,36.610567
2000-06-08,51.4375,51.5,49.5,49.875,5036400,36.112772
2000-06-09,50.375,51.25,47.625,48.1875,5466100,34.890911
2000-06-12,47.5625,47.5625,45.0,46.0,12584100,33.307018
2000-06-13,46.125,49.6875,45.9375,49.375,9177000,35.781855
2000-06-14,49.75,51.0,49.0625,51.0,8827700,36.959486
2000-06-15,50.9375,51.25,50.25,50.875,5048400,36.868899
2000-06-16,50.875,51.0,49.5625,49.8125,7158700,36.09891
2000-06-19,49.375,50.0,48.75,50.0,5058600,36.23479
2000-06-20,49.125,49.75,48.375,48.875,5080900,35.419507
2000-06-21,48.875,48.875,47.6875,48.5625,3773900,35.19304
2000-06-22,47.625,48.1875,46.9375,47.875,5537600,34.694812
2000-06-23,48.0625,48.125,47.0625,48.0,3631600,34.785398
2000-06-26,47.625,48.375,47.0625,47.125,3663400,34.15129
2000-06-27,47.625,50.125,47.5,49.5625,6641200,35.917736
2000-06-28,49.8125,49.9375,48.125,48.125,5233400,34.875985
2000-06-29,48.125,48.25,47.125,47.875,5339200,34.694812
2000-06-30,48.0625,50.046799,47.625,49.9375,5055500,36.189497
2000-07-03,49.6875,49.875,48.625,49.6875,1885300,36.008323
2000-07-05,49.9375,50.875,49.625,50.25,4063400,36.415964
2000-07-06,50.375,52.125,50.0,51.25,4646900,37.14066
2000-07-07,53.0,55.875,52.375,55.5,10254800,40.220617
2000-07-10,55.3125,58.125,54.75,57.5,9340900,41.670009
2000-07-11,57.375,58.5625,57.0625,57.625,7711000,41.760596
2000-07-12,57.6875,58.0625,56.375,57.375,5062400,41.579422
2000-07-13,57.625,57.6875,55.75,56.1875,3751500,40.718845
2000-07-14,56.6875,56.6875,55.375,56.4375,3456600,40.900019
2000-07-17,56.875,57.0,55.625,56.875,3686600,41.217074
2000-07-18,56.875,58.1875,56.75,57.375,4019800,41.579422
2000-07-19,57.5625,57.625,56.8125,57.125,2794900,41.398248
2000-07-20,57.125,58.5,57.0,58.0625,4664500,42.07765
2000-07-21,58.375,58.75,57.125,57.125,3611700,41.398248
2000-07-24,56.5,56.6875,54.8125,56.0,3839900,40.582965
2000-07-25,55.75,55.8125,54.125,55.0,4115200,39.858269
2000-07-26,54.5,55.875,53.5625,53.5625,5031400,38.816519
2000-07-27,54.3125,54.8125,53.75,54.75,3319300,39.677095
2000-07-28,54.8125,54.9375,52.25,52.6875,3639900,38.18241
2000-07-31,52.875,52.9375,51.375,51.75,3888800,37.503008
2000-08-01,51.9375,52.5,51.0,52.0,3623600,37.684182
2000-08-02,52.375,53.5,51.875,53.125,3331100,38.499464
2000-08-03,53.1875,53.875,51.4375,51.75,3913800,37.503008
2000-08-04,51.8125,54.0,51.625,54.0,4235200,39.133573
2000-08-07,52.625,55.5,52.625,55.0,4122900,39.858269
