Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,56.625,56.75001,54.12501,54.50001,933600,14.671825
2000-01-04,54.50001,54.62499,53.00001,53.4375,1185000,14.385789
2000-01-05,53.12499,53.49999,52.62501,53.00001,2403000,14.268014
2000-01-06,53.49999,54.68751,53.25,54.12501,4519500,14.570872
2000-01-07,54.75,56.4375,54.75,56.4375,1800600,15.193413
2000-01-10,56.25,56.25,55.37499,55.74999,801600,15.00833
2000-01-11,55.56249,56.00001,54.81249,55.3125,1033500,14.890554
2000-01-12,55.5,56.4375,54.87501,54.9375,1707000,14.789601
2000-01-13,55.5,57.50001,55.5,56.8125,1754100,15.294366
2000-01-14,56.87499,57.31251,56.25,57.06249,1987800,15.361665
2000-01-18,57.1875,58.37499,57.06249,57.75,1319400,15.546748
2000-01-19,58.125,58.25001,57.43749,58.18749,2138100,15.664524
2000-01-20,57.99999,58.25001,56.625,57.43749,1174500,15.462618
2000-01-21,57.99999,59.00001,57.9375,58.56249,3004800,15.765477
2000-01-24,59.625,59.75001,56.68749,56.93751,2499000,15.328019
2000-01-25,55.875,56.87499,54.99999,55.93749,2165700,15.058806
2000-01-26,55.93749,56.75001,54.1875,54.31251,1545000,14.621349
2000-01-27,54.5625,55.25001,53.00001,53.625,1252200,14.436266
2000-01-28,53.31249,53.75001,52.56249,52.74999,966300,14.200707
2000-01-31,52.875,53.4375,52.56249,53.18751,708300,14.31849
2000-02-01,53.37501,53.56251,52.43751,52.81251,614400,14.217537
2000-02-02,53.0625,53.68749,52.37499,53.00001,1350000,14.268014
2000-02-03,53.12499,53.12499,51.50001,51.9375,1580100,13.981978
2000-02-04,52.37499,52.37499,51.50001,51.99999,1376400,13.998801
2000-02-07,51.99999,52.62501,51.81249,52.25001,2233500,14.066108
2000-02-08,52.37499,52.56249,51.12501,51.31251,1460700,13.813726
2000-02-09,51.50001,51.75,49.56249,49.875,1346700,13.426737
2000-02-10,49.875,50.56251,48.99999,50.25,2574600,13.52769
2000-02-11,50.00001,50.0625,47.8125,48.24999,1883400,12.989272
2000-02-14,48.50001,48.99999,48.24999,48.87501,1545900,13.157532
2000-02-15,50.00001,51.0,50.00001,50.4375,1695600,13.578166
2000-02-16,51.0,51.31251,50.75001,51.06249,1622700,13.746418
2000-02-17,51.62499,51.9375,51.1875,51.50001,1843500,13.864202
2000-02-18,51.75,51.75,50.87499,51.24999,2174400,13.796895
2000-02-22,51.24999,51.31251,50.75001,51.0,1962900,13.729596
2000-02-23,51.0,51.06249,50.0625,50.25,1487100,13.52769
2000-02-24,50.31249,50.37501,49.37499,49.6875,1670700,13.37626
2000-02-25,49.6875,50.12499,48.50001,48.75,2069700,13.123878
2000-02-28,48.75,50.00001,48.75,49.875,1077900,13.426737
2000-02-29,50.12499,51.12501,49.93749,50.56251,1150200,13.61182
2000-03-01,51.375,52.5,51.06249,51.9375,2246400,13.981978
2000-03-02,52.62501,54.31251,52.3125,53.31249,1854300,14.352136
2000-03-03,54.50001,54.50001,53.75001,53.8125,1990200,14.486742
2000-03-06,53.8125,54.1875,53.75001,54.0,1321500,14.537219
2000-03-07,54.0,58.43751,53.93751,57.75,2733000,15.546748
2000-03-08,57.99999,58.93749,56.49999,56.49999,3372300,15.210236
2000-03-09,56.49999,57.1875,56.4375,56.93751,2245500,15.368821
2000-03-10,56.87499,59.00001,56.8125,57.24999,1636500,15.453167
2000-03-13,57.0,58.18749,56.56251,56.75001,1947300,15.31821
2000-03-14,56.75001,58.62501,56.49999,57.99999,2195100,15.65561
2000-03-15,57.75,58.06251,56.8125,57.68751,1722000,15.571264
2000-03-16,57.68751,60.24999,57.43749,58.25001,2916000,15.723097
2000-03-17,58.62501,59.00001,57.375,57.75,2451600,15.588132
2000-03-20,57.99999,57.99999,56.87499,57.0,1831800,15.385689
2000-03-21,57.12501,59.00001,57.12501,58.62501,1239600,15.824318
2000-03-22,59.00001,59.75001,57.87501,57.9375,1520100,15.638743
2000-03-23,58.43751,59.00001,57.50001,57.5625,1056300,15.537521
2000-03-24,57.87501,59.56251,57.87501,58.93749,1638900,15.908665
2000-03-27,58.93749,59.37501,57.62499,58.06251,1551000,15.672486
2000-03-28,58.5,59.37501,58.5,58.875,1016100,15.891797
2000-03-29,59.12499,62.31249,59.12499,61.56249,3942300,16.617216
2000-03-30,62.37501,65.25,62.37501,64.56249,3381000,17.426989
2000-03-31,65.00001,65.75001,64.25001,64.62501,2008500,17.443865
2000-04-03,64.62501,65.93751,64.62501,64.875,1672500,17.511343
2000-04-04,64.62501,65.625,63.99999,64.6875,2739000,17.460732
2000-04-05,64.43751,65.625,62.49999,62.49999,2400900,16.87027
2000-04-06,63.0,64.5,63.0,63.99999,1186200,17.275157
2000-04-07,63.99999,63.99999,62.37501,62.625,1184100,16.904013
2000-04-10,62.56251,62.75001,61.06251,62.49999,1657800,16.87027
2000-04-11,62.56251,64.18749,62.56251,63.24999,1366200,17.072713
2000-04-12,63.68751,64.43751,63.62499,63.75,1634700,17.207678
2000-04-13,63.99999,65.12499,63.75,64.25001,1455300,17.342643
2000-04-14,64.125,65.25,63.24999,63.375,1948800,17.106456
2000-04-17,63.375,63.50001,61.5,62.00001,1857900,16.735313
2000-04-18,62.00001,62.68749,61.5,62.00001,1077900,16.735313
2000-04-19,62.25,63.0,61.81251,62.75001,1788300,16.937756
2000-04-20,62.75001,63.1875,62.37501,62.75001,876000,16.937756
2000-04-24,63.0,63.65625,62.625,63.31251,927300,17.089589
2000-04-25,63.5625,64.3125,63.31251,63.75,1846800,17.207678
2000-04-26,63.75,65.49999,63.62499,64.125,1192200,17.3089
2000-04-27,64.125,65.75001,64.06251,64.18749,2250900,17.325767
2000-04-28,64.18749,64.62501,63.12501,63.62499,2116200,17.173935
2000-05-01,63.75,65.37501,63.75,64.18749,1512000,17.325767
2000-05-02,64.18749,65.25,63.9375,64.25001,1343100,17.342643
2000-05-03,64.06251,64.3125,62.00001,62.49999,1191600,16.87027
2000-05-04,62.4375,64.81251,62.31249,64.6875,1939200,17.460732
2000-05-05,64.43751,65.00001,63.87501,64.74999,1172700,17.4776
2000-05-08,64.93749,66.87501,64.56249,66.31251,1661100,17.899362
2000-05-09,66.1875,66.24999,65.4375,65.56251,1323300,17.696919
2000-05-10,65.56251,66.0,64.875,65.25,870000,17.612565
2000-05-11,64.56249,67.62501,64.5,67.3125,2937300,18.169284
2000-05-12,68.12499,70.125,67.37499,70.125,3204600,18.928446
2000-05-15,69.87501,70.125,69.06249,69.81249,1746300,18.844092
2000-05-16,69.5625,69.5625,67.5,67.81251,1892400,18.304248
2000-05-17,67.81251,69.0,66.62499,68.49999,1795200,18.489816
2000-05-18,68.625,68.625,66.99999,67.25001,2198100,18.152416
2000-05-19,66.87501,68.49999,66.81249,67.37499,2054700,18.186151
2000-05-22,67.37499,67.6875,66.0,66.375,2453100,17.91623
2000-05-23,66.0,67.37499,65.75001,66.99999,1932300,18.08493
2000-05-24,67.18749,67.81251,65.31249,65.37501,2350800,17.646308
2000-05-25,65.12499,65.49999,63.75,65.00001,1890300,17.545086
2000-05-26,65.18751,65.625,64.43751,64.5,926400,17.410121
2000-05-30,64.25001,65.31249,64.25001,64.74999,889800,17.4776
2000-05-31,66.24999,66.99999,65.87499,66.62499,1989000,17.983708
2000-06-01,66.99999,66.99999,64.74999,66.31251,2465100,17.899362
2000-06-02,65.93751,65.93751,62.49999,62.8125,2597700,16.954624
