Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,47.125,47.125,45.0625,45.25,571400,31.689086
2000-01-04,44.25,44.5,43.3125,43.75,856900,30.63862
2000-01-05,43.75,44.4375,42.4375,42.4375,797900,29.719461
2000-01-06,42.5,43.0,42.25,42.8125,975700,29.982078
2000-01-07,43.0,45.0,43.0,44.8125,1578200,31.3827
2000-01-10,45.0625,45.0625,44.0,44.0625,395800,30.857467
2000-01-11,43.875,44.625,43.625,44.375,703900,31.076314
2000-01-12,44.375,44.625,43.3125,43.5625,708800,30.507311
2000-01-13,43.125,44.0,42.5625,43.1875,924700,30.244694
2000-01-14,43.375,44.0625,43.25,43.6875,746200,30.59485
2000-01-18,43.3125,43.3125,41.625,41.8125,445700,29.281766
2000-01-19,40.25,41.0625,40.25,40.5,1199100,28.362608
2000-01-20,41.0,41.0,39.25,39.4375,955300,27.618527
2000-01-21,39.6875,39.6875,37.625,37.9375,848000,26.56806
2000-01-24,38.0,39.0,38.0,38.6875,1336500,27.093294
2000-01-25,38.6875,39.1875,37.75,38.0625,753100,26.655599
2000-01-26,38.0,39.3125,37.25,39.0,696100,27.312141
2000-01-27,39.0,39.5625,38.3125,39.0625,750100,27.35591
2000-01-28,39.375,39.375,36.875,37.3125,1286100,26.130365
2000-01-31,37.375,38.5,36.8125,38.125,1228300,26.699368
2000-02-01,38.125,39.0625,37.5,38.8125,577700,27.180832
2000-02-02,38.8125,39.8125,38.4375,39.5625,607500,27.706066
2000-02-03,39.0625,41.25,39.0,40.75,1342000,28.537686
2000-02-04,40.375,41.9375,40.25,41.875,1006000,29.325536
2000-02-07,40.375,40.5625,39.125,39.9375,1282700,27.968683
2000-02-08,39.6875,40.0,37.4375,37.5,641000,26.261674
2000-02-09,37.75,37.75,35.125,35.375,1569900,24.773512
2000-02-10,35.25,35.3125,34.0625,34.625,1235200,24.248279
2000-02-11,34.875,34.9375,34.3125,34.625,1579400,24.248279
2000-02-14,34.625,34.75,33.5,33.75,972800,23.635506
2000-02-15,34.0,36.0,33.75,35.3125,1618800,24.729743
2000-02-16,35.25,35.25,33.25,34.0,1108200,23.810584
2000-02-17,34.375,34.5,32.8125,34.0,1123400,23.810584
2000-02-18,34.0,34.0,32.5625,33.0625,830300,23.154042
2000-02-22,33.0,33.625,32.6875,33.0,1175100,23.110273
2000-02-23,33.25,33.25,32.5,32.6875,658200,22.891426
2000-02-24,33.25,33.25,32.1875,32.5,1347800,22.760117
2000-02-25,32.625,32.875,30.9375,31.0,716600,21.70965
2000-02-28,31.25,31.8125,30.875,31.0,684000,21.879037
2000-02-29,31.0,31.375,30.9375,31.25,700400,22.055481
2000-03-01,31.25,31.875,30.875,31.125,942400,21.967259
2000-03-02,31.0,31.0,29.625,30.625,827500,21.614371
2000-03-03,30.75,31.0625,30.125,31.0,898900,21.879037
2000-03-06,31.0,31.0625,30.125,31.0,1069600,21.879037
2000-03-07,31.0,31.0,29.625,30.0,1316300,21.173261
2000-03-08,29.8125,30.0625,29.375,29.375,725500,20.732152
2000-03-09,29.75,30.375,29.5625,30.125,706000,21.261483
2000-03-10,32.0,32.0,30.25,30.375,1058800,21.437927
2000-03-13,30.375,30.375,29.375,29.5,711100,20.820374
2000-03-14,29.5,30.25,29.4375,30.0,604200,21.173261
2000-03-15,31.0,33.6875,30.875,33.375,1356300,23.555253
2000-03-16,38.0,40.25,37.375,40.25,1938800,28.407459
2000-03-17,39.875,39.9375,35.375,35.8125,1133300,25.275581
2000-03-20,36.0625,37.0,36.0,36.4375,568100,25.71669
2000-03-21,36.3125,40.0,35.8125,40.0,1641500,28.231015
2000-03-22,40.25,40.5,39.625,40.125,1533200,28.319237
2000-03-23,41.0,42.6875,41.0,41.5,1630000,29.289678
2000-03-24,41.5625,43.75,41.0625,43.1875,753900,30.480674
2000-03-27,42.9375,43.3125,41.6875,42.25,959000,29.81901
2000-03-28,42.25,44.0,42.1875,42.3125,961700,29.863121
2000-03-29,43.0,44.4375,42.875,43.875,1096200,30.965895
2000-03-30,44.125,49.25,44.0,46.375,1791100,32.730333
2000-03-31,49.0,54.0,46.75,52.75,2611100,37.229651
2000-04-03,52.0,52.0,49.5,51.0,1852100,35.994544
2000-04-04,50.875,52.0625,48.5,49.875,1324000,35.200547
2000-04-05,49.25,49.375,48.5,48.9375,1816400,34.538883
2000-04-06,49.4375,49.6875,45.5,47.625,1628400,33.612552
2000-04-07,47.875,48.25,46.5,46.5625,591700,32.862666
2000-04-10,47.25,48.625,47.0,47.6875,747000,33.656663
2000-04-11,47.4375,48.5,47.25,47.375,696100,33.436109
2000-04-12,47.375,48.875,47.375,48.375,1297500,34.141884
2000-04-13,48.5,48.625,47.0625,47.375,585500,33.436109
2000-04-14,46.4375,46.5,44.25,44.25,1049600,31.230561
2000-04-17,44.125,47.5625,44.0,46.8125,1107900,33.03911
2000-04-18,45.0,47.5,44.6875,46.625,876700,32.906777
2000-04-19,46.375,46.5,44.75,44.9375,790800,31.715781
2000-04-20,45.0,47.6875,44.8125,47.4375,745000,33.48022
2000-04-24,47.375,51.875,47.25,51.875,1189400,36.612098
2000-04-25,51.0,53.625,51.0,53.625,1125400,37.847205
2000-04-26,53.0,53.125,49.875,51.125,892600,36.082766
2000-04-27,51.125,52.625,49.5,49.9375,1183500,35.244658
2000-04-28,50.0,53.25,49.5,52.0625,993700,36.744431
2000-05-01,52.4375,55.125,52.4375,54.6875,1117200,38.597091
2000-05-02,54.75,55.125,52.75,54.0,697100,38.111871
2000-05-03,52.875,53.6875,51.8125,51.9375,493100,36.656209
2000-05-04,52.1875,52.75,51.125,51.25,737300,36.170988
2000-05-05,51.0,52.0625,50.0625,51.4375,406800,36.303321
2000-05-08,52.4375,53.25,52.0,52.875,464000,37.317873
2000-05-09,53.5,53.75,51.1875,52.5625,574600,37.097318
2000-05-10,52.8125,53.1875,51.125,52.0625,484900,36.744431
2000-05-11,51.5,54.625,51.5,54.0,639200,38.111871
2000-05-12,54.0625,54.0625,52.0625,53.28125,457700,37.604594
2000-05-15,52.5,57.0625,52.4375,56.9375,936200,40.185086
2000-05-16,56.625,57.0,55.375,55.9375,628100,39.47931
2000-05-17,55.625,55.625,53.0625,53.625,431500,37.847205
2000-05-18,54.0625,56.5,54.0625,56.4375,653000,39.832198
2000-05-19,56.1875,56.4375,55.875,56.375,596500,39.788087
2000-05-22,56.3125,59.25,56.0,58.75,996700,41.464304
2000-05-23,58.75,60.125,57.4375,60.125,1398000,42.434745
2000-05-24,59.875,64.0,58.75,64.0,1366000,45.169624
2000-05-25,62.375,62.4375,57.5,59.0625,1382200,41.684858
2000-05-26,58.5,59.4375,58.0625,59.125,539400,41.728969
2000-05-30,59.375,61.1875,58.5625,61.0625,1060300,43.272057
2000-05-31,60.375,60.375,58.5,59.125,609000,41.899044
2000-06-01,58.875,60.5,57.625,60.5,891600,42.87344
2000-06-02,61.25,61.25,59.5,60.0,864200,42.519114
2000-06-05,60.75,60.75,56.25,56.25,626200,39.861669
2000-06-06,55.5,55.5625,53.875,54.9375,2687900,38.931564
2000-06-07,54.8125,56.1875,54.8125,55.75,3761500,39.507343
2000-06-08,55.75,55.875,54.75,55.4375,814900,39.28589
2000-06-09,55.0,55.5,53.625,53.6875,954800,38.045749
2000-06-12,53.875,54.5,53.0625,54.5,1041700,38.621529
2000-06-13,54.875,54.9375,54.0625,54.5,456100,38.621529
2000-06-14,54.0,55.75,53.6875,55.6875,1202200,39.463053
2000-06-15,55.6875,55.9375,54.3125,55.4375,1500800,39.28589
2000-06-16,55.0,55.0,53.375,53.5625,1141600,37.957167
2000-06-19,52.0,55.75,52.0,55.3125,1399400,39.197308
2000-06-20,55.25,55.25,52.25,52.78125,688300,37.403533
2000-06-21,52.375,52.5625,50.5,51.375,976600,36.406991
2000-06-22,50.625,50.875,49.4375,50.8125,858800,36.008375
2000-06-23,52.5625,54.5,51.875,53.3125,1522100,37.780004
2000-06-26,54.625,54.625,52.8125,53.9375,1132500,38.222912
2000-06-27,55.5,56.0,54.8125,55.9375,1403500,39.640216
2000-06-28,55.75,56.0,55.4375,55.859379,768200,39.584855
2000-06-29,55.9375,56.125,55.75,56.0,570600,39.684506
2000-06-30,56.0,56.375,55.8125,55.9375,1594200,39.640216
2000-07-03,55.9375,56.625,55.375,56.625,344500,40.127414
2000-07-05,56.75,58.0,56.125,57.8125,727000,40.968938
2000-07-06,57.8125,58.1875,56.6875,57.375,561900,40.658903
2000-07-07,57.375,59.375,57.375,59.25,732900,41.987625
2000-07-10,59.0,59.625,58.75,59.25,564000,41.987625
2000-07-11,58.375,59.25,58.0,59.25,453000,41.987625
2000-07-12,59.25,59.875,59.0625,59.8125,786400,42.386242
2000-07-13,59.0,59.25,58.0,58.5,789700,41.456136
2000-07-14,58.25,60.0,58.25,60.0,489800,42.519114
2000-07-17,59.75,59.75,58.5625,59.0,1238000,41.810462
2000-07-18,58.9375,58.9375,57.25,57.4375,757900,40.703194
2000-07-19,57.1875,57.1875,56.125,56.375,1458500,39.950251
2000-07-20,56.375,59.0,56.375,58.5,892800,41.456136
2000-07-21,58.0,59.25,57.25,57.875,609300,41.013229
2000-07-24,57.0,58.3125,57.0,58.3125,518100,41.323264
2000-07-25,57.0,61.9375,56.625,61.4375,1914800,43.537801
2000-07-26,60.125,64.625,60.125,64.5,2101700,45.708048
2000-07-27,64.5,66.25,64.0,65.0,2733500,46.062374
2000-07-28,65.0,65.5,63.625,63.6875,1586100,45.132268
2000-07-31,63.1875,65.5,62.875,64.25,754700,45.530885
2000-08-01,64.125,65.125,64.125,65.0,669900,46.062374
2000-08-02,64.75,65.4375,63.1875,63.3125,609800,44.866523
2000-08-03,62.625,65.875,62.5625,65.5,584100,46.416699
2000-08-04,65.5,68.375,65.5,67.1875,1419200,47.61255
2000-08-07,67.0,69.0625,66.8125,68.9375,1130300,48.85269
2000-08-08,68.8125,69.5,67.75,68.1875,811800,48.321201
2000-08-09,67.5,67.5,65.0,65.75,1056600,46.593862
2000-08-10,64.375,65.5,64.0,64.0,627000,45.353722
2000-08-11,64.75,65.875,64.6875,65.625,786400,46.505281
2000-08-14,66.25,66.3125,64.875,64.9375,533600,46.018083
2000-08-15,64.9375,65.125,63.9375,64.625,1162300,45.796629
2000-08-16,64.6875,65.0,64.375,64.375,727500,45.619466
2000-08-17,64.125,65.6875,64.0,65.3125,835900,46.283827
2000-08-18,65.5,65.5625,65.0,65.5,800200,46.416699
2000-08-21,65.5,66.1875,65.3125,66.0625,449200,46.815316
2000-08-22,66.0625,66.3125,64.25,65.0,399300,46.062374
2000-08-23,64.5,65.375,63.1875,63.3125,347600,44.866523
2000-08-24,63.375,63.375,62.25,62.75,543300,44.467907
2000-08-25,63.0,63.625,62.75,63.25,451300,44.822233
2000-08-28,62.875,65.0,62.875,64.625,408300,45.796629
2000-08-29,64.125,64.375,61.5,62.5,534000,44.290744
2000-08-30,63.25,66.375,62.75,65.9375,939800,46.906859
2000-08-31,65.9375,67.75,65.6875,66.640617,872600,47.407045
2000-09-01,66.875,66.875,65.4375,66.0625,759900,46.995782
2000-09-05,65.8125,67.3125,65.625,66.5625,708400,47.351474
2000-09-06,66.625,68.25,66.5625,67.5,692000,48.018396
2000-09-07,66.8125,67.4375,65.4375,66.625,635400,47.395935
2000-09-08,66.5,69.5,66.5,68.5,783500,48.729779
2000-09-11,69.0,71.4375,68.6875,70.875,872500,50.419316
2000-09-12,70.5,70.5,69.0625,69.125,895000,49.174394
2000-09-13,70.0,71.4375,68.875,69.5,1205000,49.441163
2000-09-14,69.5,71.1875,68.625,70.125,931600,49.885778
2000-09-15,70.0,70.5625,68.25,68.6875,1214700,48.863164
2000-09-18,68.6875,68.6875,66.625,67.0625,653600,47.707165
2000-09-19,67.3125,69.0625,67.1875,68.5625,690200,48.774241
2000-09-20,68.9375,68.9375,67.3125,67.484383,891500,48.007286
2000-09-21,67.625,67.75,66.0,66.4375,728400,47.262551
2000-09-22,66.4375,68.9375,65.6875,68.9375,966500,49.04101
