Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,57.6875,58.5,56.5,56.6875,2100800,38.086752
2000-01-04,56.375,56.4375,54.0625,55.6875,2670300,37.41488
2000-01-05,55.75,56.25,54.6875,54.9375,2975700,36.910976
2000-01-06,55.5,56.125,54.5,56.0,2388000,37.62484
2000-01-07,56.75,59.375,56.4375,59.0,3943400,39.640456
2000-01-10,59.4375,59.875,58.3125,59.3125,1467400,39.850416
2000-01-11,59.9375,60.1875,58.75,58.875,2641000,39.556472
2000-01-12,59.375,59.75,59.0625,59.4375,2046200,39.9344
2000-01-13,59.9375,60.0,59.5,59.875,1543900,40.228344
2000-01-14,60.0,60.5,59.25,59.875,2549000,40.228344
2000-01-18,59.75,60.375,57.625,59.0,3184300,39.640456
2000-01-19,59.0,59.0,52.5,54.25,11410700,36.449064
2000-01-20,54.5,55.25,52.5625,52.875,5193200,35.525239
2000-01-21,53.0,53.125,49.9375,51.3125,5065300,34.475439
2000-01-24,51.4375,51.4375,47.0,47.75,6944600,32.081895
2000-01-25,46.25,47.9375,45.0,47.5625,5044200,31.955919
2000-01-26,47.9375,48.5,46.125,47.625,4770500,31.997911
2000-01-27,47.125,48.1875,44.625,46.25,4691000,31.074086
2000-01-28,45.125,46.625,44.8125,45.1875,3140100,30.360222
2000-01-31,45.1875,48.0,45.1875,48.0,3392700,32.249863
2000-02-01,48.0,48.375,47.125,47.5,2850600,31.913927
2000-02-02,48.0,49.0,47.75,48.25,2598900,32.417831
2000-02-03,48.25,49.0,46.75,47.5,2445100,31.913927
2000-02-04,47.5,47.6875,46.25,47.375,3652000,31.829943
2000-02-07,47.0,47.0,44.5,45.0,2656600,30.234246
2000-02-08,46.0,46.9375,44.9375,45.25,4497100,30.402214
2000-02-09,44.5,44.9375,42.5,43.75,3706600,29.394406
2000-02-10,43.25,44.4375,42.375,43.25,3168200,29.05847
2000-02-11,42.5,44.4375,42.25,42.25,3240000,28.386598
2000-02-14,43.25,44.875,42.625,42.625,3246700,28.63855
2000-02-15,42.875,46.625,42.75,46.3125,3409900,31.116078
2000-02-16,46.125,46.125,44.625,44.875,2729000,30.273151
2000-02-17,46.25,46.875,45.4375,46.4375,2385000,31.32723
2000-02-18,46.1875,46.375,43.9375,44.3125,2392600,29.893683
2000-02-22,44.0625,47.25,43.0,47.25,2469800,31.875352
2000-02-23,47.25,47.25,43.9375,45.1875,2193600,30.483967
2000-02-24,45.1875,46.0625,42.5625,45.75,3503600,30.863436
2000-02-25,45.75,46.75,44.375,46.5625,2572500,31.411557
2000-02-28,46.625,48.75,45.4375,48.0,2908400,32.38131
2000-02-29,49.0,49.875,47.8125,48.125,2672500,32.465636
2000-03-01,49.0,49.6875,46.5625,48.125,2278600,32.465636
2000-03-02,48.125,48.125,45.0,45.875,2279400,30.947762
2000-03-03,46.125,48.4375,44.75,45.5,3157700,30.694783
2000-03-06,45.75,45.75,44.0,44.3125,2306400,29.893683
2000-03-07,43.5,43.625,41.1875,41.8125,3169400,28.207156
2000-03-08,41.6875,43.125,40.3125,42.6875,4356400,28.797441
2000-03-09,44.375,45.125,42.8125,44.0,4679200,29.682867
2000-03-10,45.5,45.625,43.875,45.375,3238600,30.610457
2000-03-13,44.875,45.4375,43.875,44.625,2134300,30.104499
2000-03-14,44.6875,46.0,44.25,45.0,2332600,30.357478
2000-03-15,44.125,46.5,43.5,45.9375,3996600,30.989925
2000-03-16,47.875,50.3125,46.5625,49.75,3976100,33.561878
2000-03-17,48.625,49.625,46.875,46.875,4364800,31.622373
2000-03-20,47.75,49.875,46.25,47.5,3410000,32.044004
2000-03-21,47.0,50.0,46.9375,50.0,3067400,33.730531
2000-03-22,49.375,49.375,46.25,46.25,2866900,31.200741
2000-03-23,46.75,47.625,45.875,46.25,3263500,31.200741
2000-03-24,46.3125,49.6875,46.0,49.625,3008800,33.477552
2000-03-27,48.75,49.3125,47.0,48.0,2897400,32.38131
2000-03-28,47.375,48.625,46.625,46.8125,2313100,31.580209
2000-03-29,46.625,49.625,46.625,49.0,2489200,33.05592
2000-03-30,49.0625,52.25,49.0,51.5,4947800,34.742447
2000-03-31,53.0,54.0,51.125,52.6875,4039700,35.543547
2000-04-03,55.0,55.0,53.3125,54.375,3333100,36.681952
2000-04-04,54.875,55.25,51.875,53.75,2848400,36.260321
