Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,47.0,47.5,46.0625,46.375,906400,15.725211
2000-01-04,45.75,46.0,44.4375,44.625,1060000,15.131807
2000-01-05,44.75,46.5,44.375,44.8125,1087400,15.195386
2000-01-06,45.0625,47.3125,44.875,46.0,1002400,15.598053
2000-01-07,46.0625,46.9375,45.25,46.125,805800,15.640439
2000-01-10,46.0,46.8125,45.6875,46.25,659200,15.682825
2000-01-11,46.25,46.5,44.75,45.3125,813200,15.36493
2000-01-12,45.5625,46.5625,44.6875,45.0,684000,15.258965
2000-01-13,45.0,45.4375,44.5625,44.6875,500600,15.153
2000-01-14,44.875,44.875,40.0,42.5625,9517000,14.432438
2000-01-18,42.5625,43.0,41.625,43.0,1003400,14.580789
2000-01-19,42.5,43.375,42.125,43.125,1031400,14.623175
2000-01-20,43.0625,43.125,42.0,42.1875,1087400,14.30528
2000-01-21,42.1875,42.4375,40.75,41.25,960200,13.987385
2000-01-24,41.625,41.625,40.125,40.125,665800,13.60591
2000-01-25,40.375,41.1875,39.3125,39.8125,641600,13.499945
2000-01-26,40.0,40.4375,39.25,40.1875,998200,13.627104
2000-01-27,40.125,40.125,39.0,39.4375,623600,13.372787
2000-01-28,39.25,39.25,37.75,37.75,1407600,12.800576
2000-01-31,38.5,42.8125,38.4375,42.5,1982400,14.411245
2000-02-01,42.25,42.5,40.25,40.5625,1198400,13.754262
2000-02-02,40.5,41.5,40.375,40.6875,1300000,13.796648
2000-02-03,40.9375,41.8125,40.9375,41.375,975200,14.029771
2000-02-04,41.625,41.875,41.0,41.5,786800,14.072157
2000-02-07,41.125,41.5,40.875,41.0,627800,13.902613
2000-02-08,41.0,42.1875,41.0,42.1875,887600,14.30528
2000-02-09,41.875,42.3125,41.5625,41.75,911200,14.156929
2000-02-10,41.5,42.125,41.1875,42.0,1077600,14.241701
2000-02-11,42.0,45.4375,41.875,42.75,2209200,14.496017
2000-02-14,42.75,43.0,41.5625,42.4375,885200,14.390052
2000-02-15,42.25,44.125,42.25,43.8125,1211400,14.856298
2000-02-16,44.25,45.1875,43.25,44.1875,1650000,14.983456
2000-02-17,44.0625,45.0625,44.0,44.5625,838400,15.110614
2000-02-18,44.5,45.375,44.5,45.125,1215400,15.301351
2000-02-22,44.9375,47.25,44.375,46.6875,1636000,15.831176
2000-02-23,46.125,47.375,45.5,46.125,1850200,15.728027
2000-02-24,45.3125,45.3125,43.6875,44.75,2772800,15.259169
2000-02-25,44.8125,45.3125,44.1875,45.125,1627400,15.38704
2000-02-28,45.0,45.0625,43.9375,44.125,1047200,15.046053
2000-02-29,43.0,43.9375,41.875,43.9375,2147800,14.982117
2000-03-01,43.9375,45.0,43.0,44.8125,1485800,15.280481
2000-03-02,44.5625,44.625,42.9375,43.6875,850200,14.896871
2000-03-03,43.4375,43.4375,42.875,43.125,828000,14.705066
2000-03-06,42.5,42.75,41.5625,42.1875,889200,14.38539
2000-03-07,41.1875,41.25,39.625,40.0,1308200,13.639481
2000-03-08,40.0,43.125,39.75,41.8125,1841600,14.25752
2000-03-09,40.4375,41.625,40.3125,41.125,1652600,14.023091
2000-03-10,40.6875,41.0,39.75,40.0,1022000,13.639481
2000-03-13,39.375,40.0,39.1875,40.0,825800,13.639481
2000-03-14,40.0,41.125,40.0,40.9375,1069800,13.959156
2000-03-15,41.0,43.875,40.625,43.75,1606600,14.918182
2000-03-16,44.0,48.3125,44.0,47.6875,1892200,16.260819
2000-03-17,46.5,47.0,46.125,46.125,1529400,15.728027
2000-03-20,46.125,48.0,46.125,47.0,1459200,16.02639
2000-03-21,47.25,47.25,46.0,46.9375,707800,16.005079
2000-03-22,46.25,46.5,44.25,45.0625,1051600,15.365728
2000-03-23,44.625,45.4375,43.8125,45.3125,746600,15.450975
2000-03-24,44.8125,45.0,43.75,44.0,974000,15.003429
2000-03-27,43.125,43.9375,43.0,43.1875,736400,14.726377
2000-03-28,43.0,43.5625,41.8125,42.0,2338600,14.321455
2000-03-29,42.1875,47.0,42.1875,46.8125,2919000,15.962455
2000-03-30,46.8125,49.8125,46.75,49.0,1623000,16.708364
2000-03-31,49.625,50.6875,48.75,48.75,1573200,16.623118
2000-04-03,48.5,48.875,47.0,47.0,1619400,16.02639
2000-04-04,47.25,50.0625,47.25,48.6875,1582200,16.601806
2000-04-05,48.0,49.625,47.4375,48.0,627200,16.367377
2000-04-06,47.5,47.625,46.75,47.5625,746200,16.218195
2000-04-07,47.25,47.4375,45.9375,46.1875,744400,15.749338
2000-04-10,46.1875,46.5625,45.8125,46.4375,672000,15.834585
2000-04-11,46.625,48.375,46.375,47.9375,1034800,16.346066
2000-04-12,47.9375,50.375,47.875,49.125,1346400,16.750988
2000-04-13,49.375,49.375,48.0,48.3125,985600,16.473936
2000-04-14,48.3125,49.25,46.4375,47.0625,1104800,16.047702
2000-04-17,47.1875,47.9375,45.875,46.8125,1290600,15.962455
2000-04-18,46.875,47.1875,46.125,46.5625,503200,15.877208
2000-04-19,46.75,48.5,46.4375,47.5625,1016000,16.218195
2000-04-20,47.5,48.375,47.25,47.6875,539800,16.260819
2000-04-24,47.0,50.4375,47.0,49.125,1721400,16.750988
2000-04-25,48.0,49.9375,47.5625,49.125,861400,16.750988
2000-04-26,48.875,48.875,47.125,47.625,1187800,16.239507
2000-04-27,47.375,47.6875,46.625,47.0625,924800,16.047702
2000-04-28,46.75,46.75,45.0,45.5,1145800,15.51491
2000-05-01,45.375,45.875,45.0,45.3125,646400,15.450975
2000-05-02,45.3125,46.3125,45.0,45.875,753600,15.64278
2000-05-03,47.25,48.75,46.875,47.0625,1131200,16.047702
2000-05-04,47.3125,48.125,46.5312,47.25,658800,16.111637
2000-05-05,47.0625,47.875,46.125,46.375,475800,15.813273
2000-05-08,46.1875,48.625,46.0625,48.25,744200,16.452624
2000-05-09,48.0625,49.0,48.0,48.6875,530400,16.601806
2000-05-10,48.4375,50.25,48.4375,50.0,1012200,17.049351
2000-05-11,49.5,50.5625,49.4375,50.0,659400,17.049351
2000-05-12,49.8125,50.3125,49.0625,49.375,891600,16.836234
2000-05-15,49.75,51.9375,49.6875,51.5625,1414200,17.582144
2000-05-16,51.75,51.9375,50.5,51.375,564400,17.518208
2000-05-17,51.125,51.125,49.625,50.25,396800,17.134598
