Date,Open,High,Low,Close,Volume,Adj Close
2005-11-16,39.000001,44.21,38.559999,39.25,97759000,7.536194
2005-11-17,40.300002,41.750002,34.000001,35.250001,34308500,6.768174
2005-11-18,36.199999,36.949999,34.560001,35.0,12810000,6.720173
2005-11-21,35.250001,35.96,34.820001,35.899999,6404000,6.892977
2005-11-22,35.450001,35.46,34.300001,34.949999,6533000,6.710573
2005-11-23,34.7,34.949999,31.55,33.95,12421000,6.518568
2005-11-25,33.75,34.449999,33.65,34.15,1316000,6.556969
2005-11-28,33.900001,33.900001,32.550001,33.299999,3155000,6.393764
2005-11-29,33.299999,33.49,31.270001,31.97,4477500,6.138398
2005-11-30,32.1,32.409999,31.600001,32.3,3894500,6.20176
2005-12-01,32.3,35.2,32.149999,35.0,5688500,6.720173
2005-12-02,35.0,36.300001,34.9,36.099999,5120000,6.931378
2005-12-05,36.18,37.449999,36.18,36.81,4592500,7.067702
2005-12-06,36.81,37.609999,36.45,36.58,3202500,7.023541
2005-12-07,36.65,36.65,34.5,35.450001,2473000,6.806575
2005-12-08,35.699999,36.28,35.550001,35.999999,1823500,6.912178
2005-12-09,35.999999,36.459999,35.780001,36.199999,808000,6.950579
2005-12-12,36.45,36.500001,36.05,36.45,953500,6.99858
2005-12-13,36.440001,36.440001,35.510001,35.59,1843000,6.833456
2005-12-14,35.5,35.699999,34.8,35.0,1422000,6.720173
2005-12-15,34.949999,34.949999,33.65,34.000001,3273000,6.528168
2005-12-16,33.85,34.489999,33.499999,34.189999,8170500,6.564649
2005-12-19,34.000001,34.400001,33.859999,34.37,2242000,6.59921
2005-12-20,34.619999,35.409999,34.400001,34.94,2423500,6.708653
2005-12-21,34.9,35.0,34.549999,34.790001,916500,6.679852
2005-12-22,34.790001,34.790001,34.300001,34.7,1171000,6.662572
2005-12-23,34.449999,34.690001,34.059999,34.25,985000,6.576169
2005-12-27,34.5,35.450001,34.5,35.250001,1214000,6.768174
2005-12-28,35.250001,35.450001,35.03,35.079999,581000,6.735533
2005-12-29,34.9,36.22,34.9,36.140001,1076500,6.939059
2005-12-30,36.25,36.35,35.450001,36.35,923500,6.97938
2006-01-03,36.500001,38.25,35.999999,37.86,2993000,7.269307
2006-01-04,37.9,37.9,36.359999,36.900001,1196500,7.084983
2006-01-05,38.199999,39.74,38.199999,39.31,3478500,7.547714
2006-01-06,39.25,40.4,39.100001,40.320001,2306500,7.741639
2006-01-09,40.999999,44.289999,40.900002,43.610001,8702000,8.373336
2006-01-10,43.36,46.799998,43.36,46.009998,8667500,8.834147
2006-01-11,46.490002,48.200002,45.349998,46.919999,7560000,9.008872
2006-01-12,47.340002,47.849998,43.260002,43.959999,4841500,8.440537
2006-01-13,43.709998,44.61,43.000002,44.549999,2010500,8.55382
2006-01-17,45.500002,46.999998,45.0,46.38,2609500,8.905189
2006-01-18,46.350002,46.350002,45.0,45.780001,1397500,8.789986
2006-01-19,45.700002,47.800002,44.000001,47.449999,3307000,9.110634
2006-01-20,48.000002,48.410001,46.240001,46.300001,2309500,8.889829
2006-01-23,46.300001,47.820001,46.129999,47.77,1744500,9.172076
2006-01-24,47.740002,53.390002,46.91,52.779999,5615000,10.134021
2006-01-25,53.499999,55.170002,50.149999,53.000002,7019000,10.176262
2006-01-26,53.249998,54.15,52.210002,52.449999,2424000,10.070659
2006-01-27,50.050001,52.579999,48.559999,51.009998,6929000,9.794172
2006-01-30,50.250001,51.199999,48.299999,49.120002,2970000,9.431283
2006-01-31,49.120002,50.999999,46.069999,50.819998,6552500,9.757691
2006-02-01,52.5,57.020001,51.900001,55.630002,7184500,10.681235
2006-02-02,55.4,57.989998,53.060002,55.2,10589500,10.598673
2006-02-03,56.199999,58.400002,55.310001,55.510001,5790500,10.658195
2006-02-06,57.3,57.3,54.720001,55.710001,3958000,10.696596
2006-02-07,55.549998,56.149998,51.409998,53.449998,3575000,10.262664
2006-02-08,54.499998,54.8,52.600002,53.48,1954000,10.268424
2006-02-09,53.730001,54.330001,52.779999,52.989998,2131500,10.174342
2006-02-10,53.239999,53.239999,48.959999,51.729999,3580500,9.932415
2006-02-13,50.999999,53.649998,50.999999,52.740002,1660500,10.126341
2006-02-14,52.740002,52.989998,51.71,51.98,1478000,9.980417
2006-02-15,51.999998,52.309999,51.58,51.98,882000,9.980417
2006-02-16,52.23,52.350001,51.079998,51.570001,848000,9.901695
2006-02-17,51.750002,51.929998,50.149999,51.360002,1626500,9.861374
2006-02-21,51.370001,51.389999,48.75,49.640002,2389500,9.531126
2006-02-22,49.14,49.840002,48.150001,49.229999,3314500,9.452403
2006-02-23,50.2,51.900001,48.990002,49.899998,7781500,9.581046
2006-02-24,51.799998,55.749998,51.799998,54.499998,11018000,10.464269
2006-02-27,55.0,57.199998,54.320002,56.849999,4822000,10.915481
2006-02-28,56.599998,57.9,54.050002,54.749999,4038000,10.51227
2006-03-01,55.0,56.849999,55.0,56.760001,3081000,10.898201
2006-03-02,56.599998,59.419999,55.79,59.359999,4253000,11.397413
2006-03-03,60.500002,62.96,60.0,60.599999,6878500,11.635499
2006-03-06,61.500001,63.000002,60.07,61.31,4600500,11.771823
2006-03-07,61.31,61.31,59.169998,60.0,3193000,11.520297
2006-03-08,60.999999,61.020002,58.75,59.190001,5132500,11.364773
2006-03-09,59.439998,64.499998,59.439998,63.990002,5446500,12.286397
2006-03-10,63.990002,67.379999,62.680001,67.140002,7088000,12.891212
2006-03-13,68.249998,71.500001,67.420001,71.279998,9415500,13.686112
2006-03-14,71.500001,72.199998,68.03,68.62,9242500,13.175379
2006-03-15,68.75,71.090002,67.5,69.289999,5496000,13.304022
2006-03-16,69.299998,70.190001,65.100002,66.789999,7085500,12.82401
2006-03-17,66.789999,68.410001,64.400001,68.099999,5977000,13.075537
2006-03-20,69.050002,71.170001,69.050002,71.170001,5575500,13.664992
2006-03-21,71.700001,73.590002,69.61,70.250001,6876500,13.488347
2006-03-22,68.530002,69.050002,65.66,67.989998,6843500,13.054416
2006-03-23,67.750001,69.299998,66.300001,67.049999,2925500,12.873931
2006-03-24,65.999999,68.29,65.770001,67.199998,2114000,12.902732
2006-03-27,67.849998,70.679998,67.259998,69.850001,5238500,13.411546
2006-03-28,69.850001,70.760002,67.7,68.600001,3080000,13.171539
2006-03-29,68.600001,69.699998,67.509999,67.750001,1981000,13.008335
2006-03-30,69.499998,71.810002,69.27,71.32,5514000,13.693792
2006-03-31,71.750002,73.140001,67.319999,69.050002,9687000,13.257942
2006-04-03,69.949999,70.100002,62.160001,63.099999,10266000,12.115512
2006-04-04,64.050002,66.220002,60.619998,65.0,9966500,12.480321
2006-04-05,65.749998,65.879998,61.91,62.83,9132500,12.063671
2006-04-06,62.83,64.450002,58.730001,59.8,12852000,11.481896
2006-04-07,58.000002,58.000002,52.350001,53.000002,24447000,10.176262
2006-04-10,53.249998,54.899998,52.610002,54.559999,7960000,10.475789
2006-04-11,54.850001,56.750002,54.660001,56.609998,9023500,10.869399
2006-04-12,56.859999,57.870002,54.549999,57.639999,7027000,11.067165
2006-04-13,57.639999,59.190001,56.599998,58.75,4786000,11.28029
2006-04-17,59.250002,59.949999,57.519999,57.870002,4060000,11.111326
2006-04-18,59.000001,66.399999,58.920002,66.160002,13185500,12.703047
2006-04-19,66.259999,69.569998,64.41,69.28,11672500,13.302102
2006-04-20,69.530001,70.4,67.280002,70.0,8156500,13.440346
2006-04-21,70.0,70.500002,68.400002,69.000001,4925500,13.248341
2006-04-24,68.099999,68.400002,66.750002,67.249999,6188500,12.912332
2006-04-25,66.500001,69.809999,66.360002,69.809999,5205000,13.403865
2006-04-26,69.749999,70.479999,68.62,70.310001,4119000,13.499868
2006-04-27,69.809999,72.750001,68.280001,71.599998,4162500,13.747554
2006-04-28,70.999999,72.329998,70.619998,71.31,4768000,13.691873
2006-05-01,71.32,71.32,65.799999,66.960001,7722000,12.856651
