Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,93.125,93.75,91.5625,92.1875,4642400,30.026025
2000-01-04,91.125,91.5625,88.75,88.8125,7822200,28.926767
2000-01-05,88.8125,90.8125,88.4375,89.75,8229600,29.232117
2000-01-06,90.3125,93.9375,90.125,92.5625,5356400,30.148165
2000-01-07,94.125,96.9375,93.625,96.5,9863800,31.430632
2000-01-10,96.6875,96.9375,94.0625,94.0625,4928600,30.636724
2000-01-11,93.0,94.9375,92.9375,94.375,6153000,30.738507
2000-01-12,93.875,95.0625,93.1875,93.5,5163200,30.453514
2000-01-13,93.9375,96.0,93.0625,93.375,4659200,30.412801
2000-01-14,93.9375,94.375,92.8125,93.6875,5404800,30.514584
2000-01-18,92.0,93.0625,91.0625,91.3125,4870000,29.741032
2000-01-19,91.0,92.0625,90.625,91.625,5507400,29.842815
2000-01-20,92.25,92.3125,90.0625,91.9375,4823400,29.944599
2000-01-21,91.75,91.75,89.625,89.875,8538000,29.27283
2000-01-24,90.125,90.1875,83.5625,83.6875,11304200,27.257524
2000-01-25,83.875,86.9375,83.5625,85.25,12956800,27.766439
2000-01-26,86.25,86.875,83.0625,83.5,9491400,27.196454
2000-01-27,83.75,83.9375,80.5,80.5,12406600,26.219336
2000-01-28,80.875,85.1875,80.875,84.5,12340000,27.52216
2000-01-31,85.1875,86.75,82.8125,86.0625,9055200,28.031076
2000-02-01,85.4375,85.5,84.375,84.8125,6079200,27.623943
2000-02-02,85.5,86.3125,84.9375,85.375,5791600,27.807153
2000-02-03,85.0,85.0,81.875,83.3125,10237200,27.135384
2000-02-04,83.125,83.625,81.8125,82.125,6906000,26.748608
2000-02-07,81.5625,82.0,81.0,81.4375,5822000,26.524685
2000-02-08,82.4375,83.0,81.25,82.0625,6125400,26.728251
2000-02-09,82.0625,82.125,79.6875,80.0,12422600,26.056483
2000-02-10,79.8125,80.375,77.5,78.0,11344800,25.405071
2000-02-11,77.75,78.4375,75.9375,77.4375,10233200,25.312727
2000-02-14,76.9375,78.25,76.6875,77.625,7373000,25.374017
2000-02-15,77.6875,80.25,77.5,79.6875,9863400,26.048206
2000-02-16,80.25,80.625,78.9375,79.8125,9247200,26.089065
2000-02-17,80.9375,81.125,78.75,79.1875,5774400,25.884766
2000-02-18,78.5,78.9375,76.875,77.4375,8246200,25.312727
2000-02-22,78.0,79.0625,76.75,78.625,7307400,25.700896
2000-02-23,78.125,78.3125,76.125,76.125,8293200,24.883698
2000-02-24,75.0,75.25,72.0,73.75,18512800,24.107359
2000-02-25,72.5625,72.625,70.3125,72.0,13221400,23.53532
2000-02-28,72.0,72.9375,70.0625,72.75,13537800,23.780479
2000-02-29,73.25,73.4375,71.25,72.0,10183200,23.53532
2000-03-01,72.25,73.375,71.0625,73.375,9397200,23.984779
2000-03-02,73.0,74.9375,72.625,73.6875,6793000,24.086929
2000-03-03,74.25,74.25,72.25,73.5,5794600,24.025639
2000-03-06,72.9375,72.9375,70.25,70.5,7631400,23.045001
2000-03-07,70.5,70.5,66.125,68.5,16526400,22.391242
2000-03-08,67.6875,71.75,67.25,71.0,12836800,23.20844
2000-03-09,71.0,73.0,69.9375,72.6875,9665400,23.760049
2000-03-10,72.6875,73.75,69.875,70.875,8722200,23.16758
2000-03-13,69.625,71.5625,69.3125,70.0,5762600,22.881561
2000-03-14,71.8125,74.625,71.75,72.75,10342200,23.780479
2000-03-15,72.25,78.1875,71.8125,76.9375,12020200,25.149287
2000-03-16,79.875,80.5,78.9375,79.8125,15359000,26.089065
2000-03-17,79.3125,79.9375,78.1875,79.5625,11004200,26.007346
2000-03-20,79.6875,79.9375,78.5625,79.3125,6755200,25.925626
2000-03-21,78.125,81.0,78.125,80.25,8027600,26.232075
2000-03-22,80.875,82.25,79.6875,82.25,9983000,26.885834
2000-03-23,81.25,81.9375,79.9375,80.0,10390000,26.150355
2000-03-24,73.0,74.0,70.1875,72.25,38763600,23.61704
2000-03-27,71.0,71.25,68.625,69.75,22607600,22.799841
2000-03-28,69.4375,72.0,69.375,72.0,18375600,23.53532
2000-03-29,70.0625,72.125,70.0625,71.0625,14696000,23.22887
2000-03-30,70.5625,71.625,70.3125,70.75,10338200,23.126721
2000-03-31,71.0,71.125,70.0625,70.25,8013400,22.963281
2000-04-03,70.625,72.75,70.0,72.25,11106800,23.61704
2000-04-04,73.1875,76.75,73.0625,76.75,22024200,25.087997
2000-04-05,76.0,77.5,74.75,77.5,14044800,25.333157
2000-04-06,77.25,77.3125,74.3125,74.875,8297000,24.475098
2000-04-07,76.25,76.375,73.8125,74.0625,6315000,24.209509
2000-04-10,74.8125,76.5,74.6875,76.0,8393600,24.842838
2000-04-11,76.0,78.375,75.625,78.25,8903800,25.578316
2000-04-12,77.6875,79.375,76.0625,77.0,7528200,25.169717
2000-04-13,76.0625,76.9375,74.75,76.25,7071400,24.924557
2000-04-14,75.125,75.625,72.5625,73.3125,8469200,23.964349
