Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,26.1875,26.375,25.5,25.75,882200,8.637422
2000-01-04,25.25,25.5,24.6875,24.75,696800,8.301988
2000-01-05,24.6875,24.9375,24.1875,24.3125,556200,8.155236
2000-01-06,24.625,25.9375,24.3125,25.5,1264800,8.553564
2000-01-07,26.25,26.375,25.25,25.5,869800,8.553564
2000-01-10,25.375,25.4375,25.0,25.25,444600,8.469705
2000-01-11,25.125,25.25,24.6875,24.9375,1162800,8.364882
2000-01-12,24.875,24.9375,23.8125,23.9375,762800,8.029448
2000-01-13,23.75,23.75,22.5625,22.875,1588200,7.67305
2000-01-14,23.125,23.6875,22.9375,23.1875,954600,7.777873
2000-01-18,22.6875,23.0,22.25,22.5,989800,7.547262
2000-01-19,22.5,23.5625,22.3125,23.25,943000,7.798837
2000-01-20,23.25,23.375,22.625,22.6875,785800,7.610156
2000-01-21,23.0,23.25,22.25,22.3125,748600,7.484368
2000-01-24,22.5,22.625,21.875,21.875,828600,7.337616
2000-01-25,21.75,22.3125,21.6875,21.9375,800000,7.358581
2000-01-26,22.0625,23.0625,21.875,22.875,860400,7.67305
2000-01-27,22.875,23.125,22.25,22.5,1138400,7.547262
2000-01-28,22.25,22.375,21.625,21.8125,892200,7.316651
2000-01-31,21.8125,22.0,21.3125,22.0,898200,7.379545
2000-02-01,21.9375,22.3125,21.375,22.0625,852000,7.40051
2000-02-02,22.0,22.5,21.875,22.125,578000,7.421474
2000-02-03,22.1875,23.375,22.1875,22.5,1094000,7.547262
2000-02-04,22.625,23.0,22.375,23.0,1251000,7.714979
2000-02-07,22.9375,23.25,22.5625,22.625,1569800,7.589191
2000-02-08,22.625,24.25,22.625,23.75,1053000,7.966554
2000-02-09,23.5,23.6875,22.875,22.875,1945400,7.67305
2000-02-10,22.875,23.3125,22.875,22.9375,1234000,7.694014
2000-02-11,22.9375,22.9375,22.0,22.0,1961600,7.379545
2000-02-14,21.25,21.375,19.0,21.0,4257000,7.044111
2000-02-15,20.5,20.5625,20.25,20.4375,993200,6.85543
2000-02-16,20.5625,20.5625,19.25,19.5625,1363200,6.561925
2000-02-17,19.5,19.875,18.25,19.875,2174200,6.666748
2000-02-18,20.6875,21.4375,20.0625,21.0,2130000,7.044111
2000-02-22,21.0625,21.75,21.0,21.25,1613000,7.12797
2000-02-23,21.0,21.25,21.0,21.0,865000,7.044111
