Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,73.5,73.5625,70.0625,70.5,1258900,4.181893
2000-01-04,69.0,69.875,66.375,66.875,785200,3.966866
2000-01-05,66.0,66.4375,63.875,64.8125,578600,3.844524
2000-01-06,64.875,68.375,64.625,66.875,648500,3.966866
2000-01-07,66.6875,67.0625,65.5,66.875,412900,3.966866
2000-01-10,71.5,71.5,69.125,70.0,863600,4.152234
2000-01-11,69.125,69.5,67.5,67.625,710100,4.011355
2000-01-12,67.75,67.8125,65.5,65.6875,572300,3.896427
2000-01-13,66.6875,68.9375,66.3125,68.625,666200,4.070672
2000-01-14,69.75,71.0,69.0,69.8125,926500,4.141112
2000-01-18,69.625,69.8125,67.875,68.5625,602700,4.066965
2000-01-19,68.5625,69.4375,68.5625,68.8125,443700,4.081794
2000-01-20,69.375,69.6875,67.0,68.375,540900,4.055843
2000-01-21,69.25,71.0625,68.125,70.1875,529900,4.163356
2000-01-24,71.0,74.9375,71.0,71.625,1073200,4.248625
2000-01-25,71.625,71.875,69.4375,70.25,347500,4.167063
2000-01-26,70.75,71.0625,68.125,70.4375,452800,4.178186
2000-01-27,74.0,77.0625,72.875,73.75,1099900,4.374675
2000-01-28,72.75,73.125,68.75,69.3125,514600,4.111453
2000-01-31,68.1875,69.1875,65.9375,69.1875,765500,4.104039
2000-02-01,66.75,68.75,66.3125,68.5,559600,4.063258
2000-02-02,68.75,70.4375,68.5,70.0625,248100,4.155941
2000-02-03,70.4375,73.4375,70.1875,70.9375,580900,4.207844
2000-02-04,71.375,74.3125,70.75,73.5625,614100,4.363553
2000-02-07,73.875,74.8125,73.3125,73.5,389300,4.359846
2000-02-08,73.25,74.625,73.25,74.5625,501200,4.422871
2000-02-09,75.125,76.25,72.875,73.375,501300,4.352431
2000-02-10,73.375,73.875,71.375,72.0625,315800,4.274577
2000-02-11,72.3125,72.375,70.125,70.4375,271200,4.178186
2000-02-14,70.4375,72.25,70.4375,71.25,388700,4.226381
2000-02-15,71.5,73.4375,70.9375,73.375,383000,4.352431
2000-02-16,73.5,73.6875,70.5,71.25,576100,4.226381
2000-02-17,72.0,73.5,71.25,71.9375,431400,4.267162
2000-02-18,71.6875,71.75,70.25,70.5625,379500,4.1856
2000-02-22,70.1875,72.0,68.0625,71.375,772800,4.233796
2000-02-23,71.375,73.5,70.5,73.0,916500,4.330187
2000-02-24,75.0,77.0,74.625,76.5,924700,4.537799
2000-02-25,76.5,82.0,76.375,78.625,1354400,4.663849
2000-02-28,78.875,79.875,77.5,78.0625,624300,4.630482
2000-02-29,78.375,79.4375,78.125,78.75,699000,4.671263
2000-03-01,79.25,85.0,79.25,85.0,1284200,5.041999
2000-03-02,85.0,85.875,83.4375,85.25,782500,5.056828
2000-03-03,85.125,90.0,85.125,90.0,758500,5.338587
2000-03-06,89.125,90.5,88.125,88.5625,778200,5.253318
2000-03-07,88.75,88.75,84.8125,84.875,399000,5.034584
2000-03-08,85.375,85.375,81.4375,84.625,858800,5.019754
2000-03-09,84.875,86.125,82.6875,86.125,386700,5.108731
2000-03-10,88.375,90.375,87.25,87.6875,466000,5.201415
2000-03-13,83.0,86.5,82.3125,85.1875,581500,5.053121
2000-03-14,84.9375,84.9375,80.0625,80.75,505500,4.789899
2000-03-15,80.25,80.375,77.625,77.9375,809000,4.623068
2000-03-16,78.875,81.125,75.0,81.0,1520900,4.804728
2000-03-17,80.75,83.75,80.5625,82.9375,666600,4.919656
2000-03-20,82.6875,83.0,80.3125,80.3125,347200,4.763947
2000-03-21,80.0625,81.25,77.75,81.25,510700,4.819557
2000-03-22,83.0,85.5,82.625,84.8125,505100,5.030876
2000-03-23,86.6875,89.125,86.25,88.9375,524200,5.275562
2000-03-24,89.9375,93.875,89.25,91.1875,908000,5.409026
2000-03-27,90.625,90.625,86.0625,86.9375,594700,5.156926
2000-03-28,85.1875,92.625,85.1875,91.0,1354600,5.397904
2000-03-29,89.75,92.5,89.0625,91.3125,1325100,5.416441
2000-03-30,91.25,91.25,86.6875,87.75,968600,5.205122
2000-03-31,87.75,88.1875,85.0625,85.9375,868200,5.097609
2000-04-03,86.3125,87.375,81.6875,82.1875,1100600,4.875168
