Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,41.5,41.5,39.5,39.9375,414200,15.942128
2000-01-04,39.6875,39.75,38.625,39.25,163200,15.667694
2000-01-05,39.625,40.125,38.8125,40.0625,282400,15.992026
2000-01-06,40.0,40.0,39.25,39.8125,143200,15.892231
2000-01-07,39.8125,39.8125,38.8125,39.5,171400,15.767489
2000-01-10,40.0,40.625,39.625,40.0,306000,15.967077
2000-01-11,40.0,40.0,38.375,38.5625,155600,15.39326
2000-01-12,38.5625,39.25,38.0,38.9375,291600,15.542952
2000-01-13,39.1875,39.3125,37.1875,37.25,133600,14.86934
2000-01-14,37.5,39.125,37.5,38.8125,515200,15.493054
2000-01-18,38.9375,38.9375,38.0625,38.125,124200,15.21862
2000-01-19,38.25,38.4375,37.5,37.6875,159600,15.04398
2000-01-20,37.875,37.9375,36.875,37.0,191600,14.769546
2000-01-21,37.0,37.0,35.875,35.9375,114600,14.345421
2000-01-24,36.0625,36.9375,36.0625,36.375,120200,14.520061
2000-01-25,36.375,36.9375,35.6875,35.6875,116000,14.245627
2000-01-26,36.0,38.0,36.0,37.75,726400,15.068929
2000-01-27,40.5,40.875,39.1875,39.6875,1898200,15.842334
2000-01-28,39.75,41.25,39.5,41.156239,3074600,16.428621
2000-01-31,40.9375,41.0,39.75,40.25,547800,16.066871
2000-02-01,40.5,41.8125,40.25,41.0,215800,16.366254
2000-02-02,42.75,44.25,42.125,43.25,575000,17.264402
2000-02-03,43.5,44.0,42.5,44.0,553000,17.563785
2000-02-04,44.0,44.5,43.75,44.25,335200,17.663579
2000-02-07,44.75,45.0,43.5625,45.0,224800,17.962962
2000-02-08,45.25,46.625,45.25,45.9375,290200,18.33719
2000-02-09,45.875,46.4375,45.6875,46.0,274600,18.362139
2000-02-10,46.25,46.875,45.0,45.25,217800,18.062756
2000-02-11,44.5,45.25,44.5,44.875,317200,17.913065
2000-02-14,44.875,45.125,43.8125,44.0,179400,17.563785
2000-02-15,43.75,44.75,43.625,43.8125,349600,17.488939
2000-02-16,43.9375,44.625,43.75,44.0,185600,17.563785
2000-02-17,44.0,44.0625,43.625,44.0,440400,17.563785
2000-02-18,44.1875,44.1875,42.375,42.625,181800,17.014916
2000-02-22,42.75,43.0,42.0,42.9375,126200,17.139659
2000-02-23,42.875,43.0,42.625,42.875,164400,17.114711
2000-02-24,42.75,43.1875,42.5625,42.9375,454200,17.139659
2000-02-25,43.0,43.6875,42.8125,43.1875,120200,17.239453
2000-02-28,43.125,43.125,41.125,42.0,221000,16.765431
2000-02-29,42.25,43.0,41.75,42.5625,143000,16.989968
2000-03-01,42.3125,43.5,41.75,43.125,118800,17.214505
2000-03-02,43.125,44.75,42.75,44.0,196800,17.563785
2000-03-03,44.375,45.875,44.125,44.25,331000,17.663579
2000-03-06,44.75,45.125,44.125,44.125,211400,17.613682
2000-03-07,44.375,48.9375,44.25,47.0625,309400,18.786264
2000-03-08,47.0,47.4375,42.5,42.8125,240000,17.089762
2000-03-09,43.0,44.9375,43.0,43.625,231000,17.414093
2000-03-10,43.625,45.6875,43.625,44.5625,377600,17.788322
2000-03-13,44.6875,44.6875,43.75,43.9375,185600,17.538836
2000-03-14,44.0,44.75,43.0625,43.9375,255400,17.538836
2000-03-15,44.125,44.125,43.75,44.0625,296600,17.588733
2000-03-16,44.125,46.5625,44.125,46.5,206600,18.561727
2000-03-17,46.5,47.6875,46.375,47.625,526200,19.010801
2000-03-20,48.125,49.5,48.125,49.375,403400,19.709361
2000-03-21,49.625,49.75,48.1875,48.8125,414800,19.484824
2000-03-22,49.0625,50.25,49.0625,49.875,430400,19.908949
2000-03-23,50.125,50.1875,49.625,49.875,143800,19.908949
2000-03-24,49.8125,49.875,49.0,49.5625,121400,19.784206
2000-03-27,49.75,50.0625,48.5,48.5,249400,19.360081
2000-03-28,48.5,48.5625,46.0,46.0,155600,18.362139
2000-03-29,46.0,46.4375,44.75,46.4375,143400,18.536778
2000-03-30,46.5,47.5,46.0,46.25,239200,18.461933
2000-03-31,46.5,52.0,46.5,51.9375,417000,20.732252
2000-04-03,51.8125,52.0,45.8125,46.25,689000,18.461933
2000-04-04,46.375,47.625,44.125,45.625,316600,18.212447
2000-04-05,45.8125,47.125,45.8125,46.8125,311800,18.68647
2000-04-06,47.0625,50.125,47.0625,50.0,599200,19.958846
2000-04-07,50.0,50.375,49.5,50.125,250200,20.008743
2000-04-10,50.1875,50.1875,48.5625,48.5625,115200,19.385029
