Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,22.0,22.3125,20.25,20.25,3011300,13.294385
2000-01-04,20.0,21.3125,20.0,20.9375,3593500,13.745738
2000-01-05,21.25,21.625,20.5,21.0625,1721200,13.827802
2000-01-06,21.0,21.75,21.0,21.375,1750700,14.032962
2000-01-07,21.75,22.0625,21.1875,21.4375,2203200,14.073994
2000-01-10,21.375,21.5,20.5625,20.625,1361000,13.540578
2000-01-11,20.5,20.75,19.75,19.9375,2236100,13.089225
2000-01-12,20.0,21.25,20.0,21.1875,3562400,13.909866
2000-01-13,21.4375,21.4375,20.5625,20.75,2871700,13.622642
2000-01-14,20.75,20.9375,20.5,20.5,1609300,13.458514
2000-01-18,21.0,21.25,19.75,20.0,3763800,13.130257
2000-01-19,20.0625,20.75,20.0,20.6875,2270500,13.58161
2000-01-20,20.5,20.6875,20.375,20.5625,2321600,13.499546
2000-01-21,20.75,21.1875,20.625,21.0,2340600,13.78677
2000-01-24,20.9375,21.0625,19.5625,19.5625,1917000,12.843033
2000-01-25,19.5625,19.9375,19.125,19.25,2022500,12.637872
2000-01-26,19.4375,20.0625,19.25,20.0625,2020300,13.171289
2000-01-27,19.9375,20.0,19.0,19.4375,2236300,12.760969
2000-01-28,19.0,19.9375,18.3125,18.875,2213200,12.39168
2000-01-31,18.3125,18.875,18.1875,18.5,1528600,12.145488
2000-02-01,18.75,18.875,18.375,18.6875,737300,12.268584
2000-02-02,18.4375,18.8125,18.1875,18.6875,1633700,12.268584
2000-02-03,18.625,18.9375,18.5,18.625,1830200,12.227552
2000-02-04,18.75,19.3125,18.375,19.125,2012900,12.555808
2000-02-07,19.25,19.5,18.25,18.75,1633700,12.309616
2000-02-08,18.3125,18.375,17.875,18.375,2110300,12.063424
2000-02-09,17.875,18.5,17.875,18.375,1863800,12.063424
2000-02-10,18.0625,18.5,18.0625,18.3125,1814500,12.022392
2000-02-11,18.125,18.3125,17.375,17.5,1821000,11.488975
2000-02-14,17.75,18.125,17.5,18.0625,1839400,11.858263
2000-02-15,18.0,18.1875,17.8125,18.125,1273200,11.899296
2000-02-16,17.5,18.0625,17.5,17.75,1630600,11.653103
2000-02-17,17.9375,18.25,17.8125,18.0,4412100,11.817231
2000-02-18,17.75,17.875,17.0,17.4375,1651200,11.447943
2000-02-22,17.0625,18.0,17.0625,18.0,1411100,11.817231
2000-02-23,17.9375,17.9375,17.5,17.8125,1358100,11.694135
2000-02-24,17.625,17.6875,17.1875,17.5625,1248100,11.530007
2000-02-25,17.625,17.9375,17.5625,17.75,1691300,11.653103
2000-02-28,17.5625,17.625,17.125,17.5,1022400,11.488975
2000-02-29,17.4375,17.875,17.125,17.4375,1285400,11.447943
2000-03-01,17.4375,17.6875,17.375,17.6875,1331700,11.612071
2000-03-02,17.5,17.5625,17.0,17.125,1398200,11.313141
2000-03-03,17.0625,17.1875,16.875,17.0,1733200,11.230563
2000-03-06,17.75,18.25,17.75,18.0,3775600,11.891184
2000-03-07,18.0,18.0,17.3125,17.3125,1289900,11.437007
2000-03-08,17.25,17.625,17.25,17.625,2051400,11.643451
2000-03-09,17.5,17.5,17.0,17.125,1706700,11.313141
2000-03-10,17.125,17.125,16.6875,16.8125,2631700,11.106696
2000-03-13,16.8125,17.0,16.625,16.9375,1434800,11.189274
2000-03-14,17.0,17.0,16.5,16.625,1853600,10.98283
2000-03-15,16.625,17.1875,16.5,17.125,4062700,11.313141
2000-03-16,17.1875,18.25,17.0,18.0625,3771400,11.932473
2000-03-17,18.0625,18.75,17.625,18.0,6524300,11.891184
2000-03-20,18.0,18.0,17.625,17.7656,1103600,11.736335
2000-03-21,17.25,17.625,17.0625,17.3125,1439200,11.437007
2000-03-22,17.25,17.3125,16.9375,17.125,1424500,11.313141
2000-03-23,17.0625,17.375,16.9375,17.0625,918700,11.271852
2000-03-24,17.0625,17.75,17.0625,17.5,2166100,11.560874
2000-03-27,17.5,17.875,17.25,17.8125,1698000,11.767318
2000-03-28,18.25,19.1875,18.0625,18.75,3675900,12.38665
2000-03-29,18.5625,19.25,18.3125,19.25,3296200,12.716961
2000-03-30,19.75,21.25,19.5,20.875,4674400,13.790471
2000-03-31,21.0625,21.0625,19.6875,20.4375,2365800,13.501449
2000-04-03,20.0625,20.875,20.0625,20.4375,1050100,13.501449
2000-04-04,21.0,21.6875,20.125,20.3125,2551700,13.418871
2000-04-05,20.3125,21.625,20.3125,20.9375,1390500,13.831759
2000-04-06,21.75,22.0625,20.625,21.1875,2202200,13.996915
2000-04-07,21.3125,21.5,20.6875,21.0625,1330000,13.914337
2000-04-10,20.5,21.1875,20.3125,21.125,1263400,13.955626
2000-04-11,20.9375,21.1875,20.875,20.875,1365200,13.790471
2000-04-12,20.9375,22.1875,20.9375,22.0625,2865000,14.574958
2000-04-13,21.375,22.0,21.0625,21.625,3730500,14.285937
2000-04-14,21.1875,21.25,20.375,20.6875,2415400,13.666604
2000-04-17,20.625,21.3125,19.8125,21.3125,2157200,14.079492
2000-04-18,21.125,21.125,20.625,21.0,1432900,13.873048
2000-04-19,20.9375,21.25,20.8125,20.875,1112900,13.790471
2000-04-20,21.75,22.875,21.5625,22.6875,2877000,14.987847
2000-04-24,22.375,25.9375,22.3125,25.875,5205300,17.093577
2000-04-25,25.875,26.4375,24.5,25.5625,5013300,16.887133
2000-04-26,24.75,24.875,23.8125,24.125,3442200,15.93749
2000-04-27,24.0,24.4375,23.375,23.875,1761100,15.772335
2000-04-28,24.0,26.0625,24.0,24.875,3415700,16.432956
2000-05-01,24.25,27.3125,24.125,27.0,2702000,17.836776
2000-05-02,26.25,26.6875,26.0,26.0625,2304900,17.217444
2000-05-03,25.8125,26.3125,25.375,25.5625,1438500,16.887133
2000-05-04,25.5625,27.125,25.5,26.3125,1659000,17.382599
2000-05-05,25.75,26.1875,25.625,26.1875,1751900,17.300021
2000-05-08,26.0,26.25,25.75,26.0625,1038600,17.217444
2000-05-09,25.8125,26.25,25.75,26.0,765900,17.176155
2000-05-10,25.8125,26.25,25.75,26.0625,1188300,17.217444
2000-05-11,26.0,26.4375,25.9375,26.1875,846200,17.300021
2000-05-12,25.625,26.125,25.5625,25.8125,814300,17.052288
2000-05-15,25.6875,25.9375,25.375,25.625,682000,16.928422
2000-05-16,24.75,25.375,24.6875,25.1875,1051600,16.6394
2000-05-17,24.9375,25.375,24.5,24.5625,2000700,16.226512
2000-05-18,24.4375,25.1875,24.4375,24.875,2073900,16.432956
2000-05-19,24.125,24.5625,23.625,24.3125,1286300,16.061356
2000-05-22,24.375,24.6875,23.25,23.5625,1283800,15.56589
2000-05-23,24.25,25.3125,23.625,25.125,1109300,16.598111
2000-05-24,25.0,25.3125,24.5,25.0625,2029800,16.556822
2000-05-25,24.8125,25.0625,24.0625,24.3125,822600,16.061356
2000-05-26,24.5625,24.75,23.875,24.0625,501000,15.896201
2000-05-30,24.3125,25.0,24.1875,24.75,1195400,16.425465
2000-05-31,24.875,24.9375,23.8125,24.6875,947700,16.383987
2000-06-01,24.375,25.0625,24.1875,25.0625,876900,16.632857
2000-06-02,25.3125,26.0625,25.3125,25.9375,1608900,17.213556
2000-06-05,25.9375,25.9375,25.5,25.875,1070800,17.172077
2000-06-06,26.0,26.25,25.6875,25.9375,937000,17.213556
2000-06-07,25.9375,25.9375,24.875,25.375,514400,16.84025
2000-06-08,24.875,25.5,24.25,24.75,1071100,16.425465
2000-06-09,24.875,25.4375,24.8125,25.3125,891100,16.798771
2000-06-12,25.4375,25.9375,25.3125,25.5625,744500,16.964685
2000-06-13,25.3125,25.375,24.8125,25.25,479200,16.757293
2000-06-14,25.375,25.5,24.625,24.6875,668000,16.383987
2000-06-15,25.125,25.3125,24.875,25.0,1635700,16.591379
2000-06-16,25.0,25.0,24.3125,24.3125,878600,16.135116
2000-06-19,24.4375,24.6875,23.9375,24.6875,731600,16.383987
2000-06-20,24.6875,24.6875,23.75,24.5,812000,16.259551
2000-06-21,24.4375,24.875,24.0,24.0,475900,15.927724
2000-06-22,24.1875,24.1875,22.8125,23.6875,318500,15.720332
2000-06-23,23.875,24.4375,23.6875,24.1875,1210100,16.052159
2000-06-26,23.9375,25.1875,23.8125,24.8125,1024200,16.466944
2000-06-27,24.9375,25.0625,24.25,24.3125,1267100,16.135116
2000-06-28,23.5,23.6875,22.4375,23.6875,2307000,15.720332
2000-06-29,23.0625,25.0,22.75,25.0,2140000,16.591379
2000-06-30,24.5,25.125,24.125,24.8125,1432400,16.466944
2000-07-03,24.625,24.625,24.0625,24.3125,691800,16.135116
2000-07-05,24.1875,25.375,24.1875,25.0,1005500,16.591379
2000-07-06,24.5,25.5,24.5,25.25,982000,16.757293
2000-07-07,25.125,25.375,24.8125,25.3125,744700,16.798771
2000-07-10,25.3125,25.4375,25.0,25.1875,612000,16.715814
2000-07-11,24.9375,25.0625,24.5625,24.75,620000,16.425465
2000-07-12,24.1875,25.1875,24.1875,25.0625,521500,16.632857
2000-07-13,25.0625,26.0625,25.0,25.0,836100,16.591379
2000-07-14,25.875,26.5625,25.8125,26.375,1902000,17.503905
2000-07-17,26.5,26.5,25.25,25.375,1216800,16.84025
2000-07-18,25.5,25.5,24.9375,25.3125,1261200,16.798771
2000-07-19,25.25,25.4375,24.875,25.375,900000,16.84025
2000-07-20,25.6875,27.0625,25.5,26.75,1874000,17.752776
2000-07-21,26.5,26.6875,26.1875,26.3125,1237100,17.462426
2000-07-24,26.375,26.9375,26.375,26.5625,1501800,17.62834
2000-07-25,26.75,27.8125,26.625,27.1875,1639700,18.043125
2000-07-26,27.3125,27.75,26.6875,27.5,1401900,18.250517
2000-07-27,27.125,27.5,26.75,27.1875,773200,18.043125
2000-07-28,27.1875,28.0,27.0625,28.0,1397300,18.582345
2000-07-31,27.75,28.1875,27.75,28.125,1235900,18.665301
2000-08-01,28.3125,29.25,28.3125,29.125,2133400,19.328957
2000-08-02,29.5,30.5625,28.5625,28.75,4871600,19.080086
2000-08-03,28.4375,29.375,28.25,28.375,3564500,18.831215
2000-08-04,28.9375,29.875,28.8125,28.8125,1693900,19.121564
2000-08-07,29.375,30.0625,29.0625,29.4375,2267400,19.536349
2000-08-08,29.5,29.6875,28.875,29.1875,2136500,19.370435
2000-08-09,29.5,29.8125,29.3125,29.5,2286100,19.577827
2000-08-10,29.625,29.875,29.4375,29.625,750600,19.660784
2000-08-11,29.25,29.875,29.25,29.625,685100,19.660784
2000-08-14,29.625,30.0,28.875,29.25,1772500,19.411913
2000-08-15,29.0,29.3125,28.8125,28.8125,924700,19.121564
2000-08-16,28.5,28.5,27.75,28.0,1765300,18.582345
2000-08-17,27.75,28.2812,27.4375,27.6875,979900,18.374952
2000-08-18,27.5625,28.0,27.5,27.9375,522200,18.540866
2000-08-21,27.9375,28.875,27.6875,28.4375,390000,18.872694
2000-08-22,28.0625,29.3125,28.0625,29.1875,876900,19.370435
