Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,23.000004,23.000004,21.062486,21.750012,477100,6.224594
2000-01-04,21.062486,21.562502,21.062486,21.31251,292900,6.099386
2000-01-05,21.31251,21.437507,21.000004,21.249996,300000,6.081495
2000-01-06,21.499989,21.750012,21.437507,21.562502,111500,6.170931
2000-01-07,21.750012,22.125,21.687499,22.125,122600,6.331911
2000-01-10,22.000005,22.187513,21.875008,21.937492,159500,6.278248
2000-01-11,21.812495,21.937492,21.625015,21.937492,183000,6.278248
2000-01-12,21.937492,22.000005,21.687499,22.000005,190400,6.296139
2000-01-13,22.000005,22.000005,21.750012,21.812495,92400,6.242475
2000-01-14,21.937492,22.000005,21.562502,21.562502,223800,6.170931
2000-01-18,21.499989,21.812495,21.437507,21.812495,178600,6.242475
2000-01-19,21.812495,22.187513,21.812495,22.062487,80300,6.31402
2000-01-20,22.062487,22.062487,21.31251,21.31251,411200,6.099386
2000-01-21,21.125001,21.249996,21.000004,21.249996,156100,6.081495
2000-01-24,21.062486,21.249996,21.000004,21.000004,175000,6.00995
2000-01-25,20.937491,21.249996,20.937491,21.125001,1031100,6.045723
2000-01-26,21.187514,21.687499,21.187514,21.31251,399500,6.099386
2000-01-27,21.249996,21.499989,21.187514,21.31251,91800,6.099386
2000-01-28,21.000004,21.625015,21.000004,21.187514,564600,6.063613
2000-01-31,21.249996,21.625015,21.187514,21.249996,209000,6.081495
2000-02-01,21.31251,21.750012,21.187514,21.499989,652500,6.15304
2000-02-02,21.562502,21.562502,21.125001,21.249996,793600,6.081495
2000-02-03,21.125001,21.812495,21.125001,21.750012,600700,6.224594
2000-02-04,21.750012,22.812495,21.750012,22.812495,505400,6.528664
2000-02-07,22.625016,22.750012,22.374993,22.374993,248300,6.403456
2000-02-08,22.31251,22.31251,21.750012,21.875008,96700,6.260366
2000-02-09,22.000005,22.000005,21.499989,21.687499,266100,6.206703
2000-02-10,21.687499,21.750012,21.499989,21.562502,167600,6.170931
2000-02-11,21.562502,21.625015,21.499989,21.562502,327400,6.170931
2000-02-14,21.499989,21.687499,21.374992,21.687499,255700,6.206703
2000-02-15,21.562502,21.625015,21.437507,21.499989,211300,6.15304
2000-02-16,21.499989,21.625015,21.437507,21.625015,687600,6.188821
2000-02-17,21.687499,21.687499,21.499989,21.625015,531100,6.188821
2000-02-18,21.499989,21.625015,21.437507,21.499989,752300,6.15304
2000-02-22,21.499989,21.750012,21.499989,21.625015,255300,6.188821
2000-02-23,21.750012,21.750012,21.437507,21.562502,755400,6.170931
2000-02-24,21.499989,21.687499,21.437507,21.499989,308700,6.15304
2000-02-25,21.437507,21.437507,21.31251,21.437507,405600,6.135158
2000-02-28,21.31251,21.437507,21.125001,21.249996,310100,6.081495
2000-02-29,21.249996,21.374992,21.000004,21.374992,706300,6.117267
2000-03-01,21.374992,21.437507,21.249996,21.437507,181100,6.135158
2000-03-02,21.31251,21.499989,21.249996,21.437507,320000,6.135158
2000-03-03,21.499989,21.499989,21.249996,21.499989,358000,6.15304
2000-03-06,21.374992,21.625015,21.374992,21.374992,82100,6.117267
2000-03-07,21.249996,21.374992,21.000004,21.249996,719900,6.081495
2000-03-08,21.249996,21.31251,21.062486,21.187514,553900,6.063613
2000-03-09,21.187514,21.187514,21.000004,21.187514,499300,6.063613
2000-03-10,21.125001,21.249996,21.125001,21.187514,160200,6.063613
2000-03-13,21.062486,21.125001,20.937491,21.125001,123400,6.045723
2000-03-14,21.000004,21.625015,21.000004,21.437507,179500,6.135158
2000-03-15,21.31251,21.437507,20.625016,21.374992,178200,6.117267
2000-03-16,21.374992,22.812495,20.875009,22.687498,312400,6.492891
2000-03-17,22.125,22.187513,21.499989,21.750012,222600,6.224594
2000-03-20,21.499989,21.687499,21.249996,21.562502,113300,6.170931
2000-03-21,21.31251,21.499989,21.000004,21.499989,157300,6.15304
2000-03-22,21.499989,21.750012,21.374992,21.750012,110900,6.224594
2000-03-23,21.750012,21.750012,21.000004,21.750012,294100,6.224594
2000-03-24,21.499989,22.374993,21.249996,22.187513,178600,6.349801
2000-03-27,22.437506,22.437506,22.000005,22.249997,127100,6.367683
2000-03-28,21.875008,22.562503,21.750012,22.437506,210300,6.421346
2000-03-29,22.31251,22.49999,22.125,22.49999,204100,6.439228
2000-03-30,22.374993,23.000004,22.374993,22.562503,236000,6.457119
2000-03-31,22.562503,24.187515,22.437506,23.750012,599500,6.79697
2000-04-03,23.624986,23.624986,23.000004,23.249997,81500,6.653871
2000-04-04,23.125001,23.125001,22.437506,22.687498,209700,6.492891
2000-04-05,22.31251,22.750012,22.125,22.562503,245400,6.457119
2000-04-06,22.687498,22.750012,22.437506,22.625016,107400,6.475009
2000-04-07,22.437506,22.750012,22.249997,22.750012,152400,6.510782
2000-04-10,23.000004,23.187514,22.750012,22.750012,300000,6.510782
2000-04-11,23.000004,24.000005,23.000004,24.000005,366000,6.868515
2000-04-12,23.875009,24.437507,23.875009,24.437507,308700,6.993723
2000-04-13,24.249997,24.624985,24.125,24.31251,328400,6.95795
2000-04-14,24.062487,24.249997,22.875009,22.937491,316700,6.564436
2000-04-17,22.937491,23.562502,22.750012,23.562502,179900,6.743307
2000-04-18,23.562502,23.687499,23.062488,23.687499,149700,6.779079
2000-04-19,23.562502,23.562502,22.31251,22.687498,194700,6.492891
2000-04-20,22.687498,24.000005,22.374993,23.812495,242100,6.814852
2000-04-24,23.624986,23.624986,22.625016,22.937491,148000,6.564436
2000-04-25,23.187514,24.187515,23.000004,24.187515,127100,6.922178
2000-04-26,24.125,24.125,23.249997,23.499989,133300,6.725416
2000-04-27,23.499989,23.499989,22.750012,23.125001,120900,6.618099
2000-04-28,22.875009,23.437507,22.875009,23.31251,77200,6.671762
2000-05-01,23.499989,23.937492,23.437507,23.624986,93000,6.761189
2000-05-02,23.875009,23.875009,22.750012,23.125001,93800,6.618099
2000-05-03,23.125001,23.125001,22.49999,22.750012,59900,6.510782
2000-05-04,23.000004,23.875009,22.750012,23.812495,218300,6.814852
2000-05-05,24.062487,24.062487,23.562502,24.000005,58700,6.868515
