Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,41.125,41.3125,40.25,40.5,147600,31.422321
2000-01-04,40.25,40.5,39.25,39.9375,145100,30.9859
2000-01-05,39.9375,42.5,39.9375,42.0,429900,32.58611
2000-01-06,42.0625,45.375,41.625,45.125,481300,35.010672
2000-01-07,44.875,48.375,44.4375,47.0,464500,36.465409
2000-01-10,47.5,48.0625,46.1875,46.3125,238800,35.932006
2000-01-11,46.5625,47.375,45.25,45.875,188100,35.592567
2000-01-12,45.875,47.75,45.875,47.4375,337100,36.804848
2000-01-13,47.75,49.625,47.75,49.375,363300,38.308076
2000-01-14,49.4375,50.0,46.5,47.1875,172100,36.610883
2000-01-18,47.0625,47.9375,45.75,46.6875,194200,36.222953
2000-01-19,46.9375,47.1875,45.8125,46.375,117800,35.980497
2000-01-20,46.375,46.375,44.0625,44.25,174600,34.331795
2000-01-21,44.625,44.9375,43.625,43.875,74500,34.040848
2000-01-24,44.25,44.9375,43.25,44.875,125700,34.816707
2000-01-25,43.75,44.3125,42.625,42.9375,128600,33.313479
2000-01-26,43.1875,44.5625,42.375,43.25,265600,33.555935
2000-01-27,43.3125,44.0625,42.3125,43.75,189100,33.943865
2000-01-28,43.8125,44.6875,42.75,44.0,261000,34.13783
2000-01-31,43.875,43.875,41.6875,42.0,153800,32.58611
2000-02-01,42.125,42.625,41.8125,42.125,190500,32.683093
2000-02-02,42.3125,43.5,42.3125,43.375,191600,33.652918
2000-02-03,43.375,44.5,43.125,44.375,191100,34.428777
2000-02-04,44.1875,44.75,43.0,43.8125,168800,33.992356
2000-02-07,43.5625,43.75,43.0,43.375,70900,33.652918
2000-02-08,43.5625,43.75,42.0,42.0,134900,32.58611
2000-02-09,42.5,42.5,40.875,41.0,120000,31.810251
2000-02-10,41.0,41.0,39.5,40.0,159300,31.034391
2000-02-11,40.125,40.375,39.375,39.625,97000,30.743444
2000-02-14,39.375,39.5625,38.3125,39.0,141400,30.258531
2000-02-15,39.125,40.25,38.6875,39.5,175400,30.646461
2000-02-16,39.75,40.625,39.3125,39.5,121200,30.646461
2000-02-17,39.375,40.0,39.125,39.8125,138700,30.888917
2000-02-18,39.5625,39.75,38.375,38.625,102800,29.967584
2000-02-22,38.6875,38.6875,38.0,38.5625,184300,29.919093
2000-02-23,38.4375,38.4375,37.5,38.0,222000,29.482671
2000-02-24,37.9375,37.9375,35.875,36.5625,590900,28.367373
2000-02-25,36.5625,37.75,36.1875,36.6875,157200,28.464355
2000-02-28,36.25,36.875,35.8125,36.75,122800,28.614239
2000-02-29,36.625,37.75,35.5,35.5,273200,27.640966
2000-03-01,35.5625,37.0,35.5625,36.625,160200,28.516912
2000-03-02,37.5,38.4375,36.6875,36.8125,257200,28.662903
2000-03-03,37.0,37.6875,36.875,37.4375,363200,29.14954
2000-03-06,37.4375,37.5,37.0625,37.0625,84100,28.857558
2000-03-07,37.125,37.3125,36.5,37.125,107400,28.906221
2000-03-08,37.125,39.125,37.125,38.5625,156400,30.025486
2000-03-09,38.5625,39.0625,38.125,38.6875,128000,30.122813
2000-03-10,38.5625,40.25,38.5625,39.75,70900,30.950095
2000-03-13,39.5,40.125,38.9375,39.3125,87800,30.60945
2000-03-14,38.875,39.1875,37.0,37.6875,153400,29.344194
2000-03-15,37.6875,43.5,37.6875,42.6875,246200,33.237288
2000-03-16,42.9375,49.125,42.9375,47.5625,463800,37.033054
2000-03-17,47.0,47.375,44.9375,45.6875,200700,35.573144
2000-03-20,45.8125,48.5,45.8125,47.0,216700,36.595081
2000-03-21,47.25,47.625,46.0,46.0,179500,35.816463
2000-03-22,46.375,46.5,45.0,45.25,193200,35.232499
2000-03-23,45.75,47.4375,45.625,46.625,298900,36.303099
2000-03-24,46.5625,47.125,44.8125,45.5625,206400,35.475817
2000-03-27,45.3125,46.625,44.9375,45.5,137800,35.427153
2000-03-28,45.625,46.4375,44.875,45.375,135300,35.329826
2000-03-29,44.875,45.5,43.875,45.0625,235300,35.086508
2000-03-30,45.1875,46.8125,44.625,45.0,202200,35.037844
2000-03-31,45.375,47.5,45.375,47.5,240300,36.984391
2000-04-03,47.5,48.0,46.4375,46.75,203600,36.400427
2000-04-04,47.0,47.125,44.25,45.0,157800,35.037844
2000-04-05,44.375,46.75,44.375,46.0625,145300,35.865126
2000-04-06,45.875,46.0625,44.375,45.6875,199400,35.573144
2000-04-07,45.4375,45.75,45.0625,45.375,136300,35.329826
2000-04-10,45.375,47.4375,45.25,46.0,216900,35.816463
2000-04-11,46.0,48.25,45.5625,47.9375,148400,37.325036
2000-04-12,47.875,49.625,47.875,48.4375,328300,37.714346
2000-04-13,48.5,48.875,48.375,48.4375,102300,37.714346
2000-04-14,48.25,48.4375,46.4375,47.0,149200,36.595081
2000-04-17,47.0625,48.125,46.3125,47.4375,203300,36.935727
2000-04-18,47.4375,50.75,46.625,50.0625,307000,38.979601
2000-04-19,50.0625,54.1875,50.0,54.0,272700,42.045413
2000-04-20,53.6875,55.0,51.625,53.0,262700,41.266794
2000-04-24,53.3125,53.3125,52.0625,52.625,230500,40.974812
2000-04-25,52.6875,55.25,52.0625,54.25,256300,42.240067
2000-04-26,54.5,54.75,52.5,52.6875,161200,41.023476
2000-04-27,52.9375,52.9375,51.6875,52.125,104400,40.585502
2000-04-28,52.375,53.375,52.375,53.0,132100,41.266794
2000-05-01,53.0,54.875,53.0,54.0625,164600,42.094076
2000-05-02,52.875,53.5,51.125,52.5625,214600,40.926148
