Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,17.0,17.0625,16.5,16.75,816800,13.732685
2000-01-04,16.375,16.625,16.1875,16.375,484600,13.425236
2000-01-05,16.375,17.1875,16.3125,17.0,703600,13.93765
2000-01-06,17.25,17.8125,17.0,17.25,871300,14.142616
2000-01-07,17.5,17.9375,17.375,17.5,890200,14.347581
2000-01-10,17.75,18.8125,17.75,18.625,900900,15.269925
2000-01-11,18.5,18.75,18.1875,18.1875,367900,14.911236
2000-01-12,18.125,18.375,17.9375,18.0,318600,14.757512
2000-01-13,19.375,19.375,18.5,18.75,1169700,15.372408
2000-01-14,18.6875,18.75,18.0625,18.125,692900,14.859995
2000-01-18,18.125,18.6875,18.125,18.375,578200,15.06496
2000-01-19,18.4375,18.625,17.6875,17.8125,465300,14.603788
2000-01-20,17.875,17.9375,17.25,17.25,314900,14.142616
2000-01-21,17.5,18.0,17.125,17.1875,646700,14.091374
2000-01-24,17.5,17.875,16.9375,17.3125,500900,14.193857
2000-01-25,17.0625,17.375,16.75,17.125,407800,14.040133
2000-01-26,17.25,17.25,16.875,16.9375,374300,13.886409
2000-01-27,16.8125,16.9375,16.1875,16.3125,542600,13.373995
2000-01-28,16.5,16.9375,16.3125,16.875,335800,13.835167
2000-01-31,16.875,16.875,15.875,16.375,821100,13.425236
2000-02-01,17.25,17.4375,17.0,17.25,622500,14.142616
2000-02-02,17.0625,17.4375,17.0625,17.1875,720000,14.091374
2000-02-03,17.125,17.3125,16.4375,16.6875,542600,13.681443
2000-02-04,16.6875,16.875,16.25,16.375,336700,13.425236
2000-02-07,16.75,16.875,16.4375,16.5625,377700,13.578961
2000-02-08,16.5,17.0,16.25,16.9375,903300,13.886409
2000-02-09,16.875,16.9375,15.875,15.9375,505600,13.066547
2000-02-10,16.0625,16.125,15.4375,15.625,509500,12.81034
2000-02-11,15.625,15.875,15.0,15.0,676200,12.297927
2000-02-14,15.25,16.125,15.125,15.875,290400,13.015306
2000-02-15,15.9375,16.4375,15.9375,16.0,475500,13.117788
2000-02-16,16.0,16.1875,15.5625,15.625,516900,12.81034
2000-02-17,15.875,16.1875,15.5,15.5,487800,12.707857
2000-02-18,15.375,15.5625,14.5,15.0,701600,12.297927
2000-02-22,14.9375,15.375,14.6875,15.375,464300,12.605375
2000-02-23,15.3125,15.375,14.5625,15.0,608300,12.297927
2000-02-24,15.0,15.125,14.6875,14.75,295000,12.092961
2000-02-25,14.9375,15.0625,14.75,14.75,282800,12.092961
2000-02-28,14.125,15.0,14.125,14.5625,451500,11.939237
2000-02-29,14.625,14.9375,13.5,13.5,2301000,11.068134
2000-03-01,13.625,13.875,13.5,13.75,343000,11.273099
2000-03-02,13.6875,13.9375,13.5,13.8125,214100,11.324341
2000-03-03,13.8125,14.25,13.75,13.875,222600,11.375582
2000-03-06,13.8125,13.875,12.9375,13.0625,514900,10.709444
2000-03-07,13.0,13.25,12.6875,12.9375,699100,10.606962
2000-03-08,13.0625,13.625,12.75,13.0,384400,10.658203
2000-03-09,13.125,13.625,12.6875,12.875,1273500,10.55572
2000-03-10,12.875,13.0,12.8125,12.9375,950200,10.606962
2000-03-13,12.8125,12.8125,12.625,12.625,337200,10.415158
2000-03-14,12.6875,13.3125,12.625,13.3125,684400,10.98232
2000-03-15,13.25,15.875,13.25,15.0,2080600,12.374445
2000-03-16,15.5,15.625,15.0,15.4375,1329100,12.735366
2000-03-17,15.4375,15.5,14.8125,14.9375,320000,12.322884
2000-03-20,15.0,15.375,14.8125,15.1875,277300,12.529125
2000-03-21,15.0625,15.375,15.0,15.25,188900,12.580685
2000-03-22,15.4375,15.8125,15.375,15.6875,261000,12.941607
2000-03-23,15.5625,15.5625,15.125,15.4375,232500,12.735366
2000-03-24,15.3125,15.375,15.0625,15.1875,106700,12.529125
2000-03-27,15.125,15.375,14.8125,15.0625,209600,12.426005
2000-03-28,15.0,15.375,14.8125,15.0625,349900,12.426005
2000-03-29,15.0625,15.25,14.25,14.4375,620900,11.910403
2000-03-30,14.5625,15.1875,14.4375,15.0625,635800,12.426005
2000-03-31,15.1875,15.6875,14.5,14.6875,778300,12.116644
2000-04-03,14.75,15.375,14.75,14.875,351100,12.271324
2000-04-04,15.125,15.25,14.25,14.8125,509400,12.219764
2000-04-05,14.6875,14.875,14.0,14.1875,310700,11.704162
2000-04-06,14.0625,14.625,14.0,14.0,591700,11.549482
2000-04-07,14.375,14.4375,13.75,13.75,627300,11.343241
2000-04-10,14.125,14.3125,13.75,13.9375,321000,11.497921
2000-04-11,13.625,13.8125,13.25,13.6875,501300,11.291681
2000-04-12,14.0,14.5625,13.6875,14.5,682600,11.961963
2000-04-13,14.5,14.6875,14.1875,14.25,208300,11.755722
2000-04-14,14.375,14.5625,13.625,13.625,502500,11.240121
2000-04-17,13.75,14.125,13.75,14.125,568100,11.652602
2000-04-18,14.0625,14.4375,14.0625,14.3125,421700,11.807283
2000-04-19,14.3125,14.5,13.375,13.625,488300,11.240121
2000-04-20,13.75,14.6875,13.625,14.25,416100,11.755722
2000-04-24,13.875,14.375,13.875,14.1875,308700,11.704162
2000-04-25,14.25,15.25,14.0625,15.0,540200,12.374445
2000-04-26,15.625,15.625,15.0,15.3125,669600,12.632246
2000-04-27,15.5625,16.0,15.5625,15.625,774600,12.890046
2000-04-28,15.75,15.9375,15.375,15.4375,481800,12.735366
2000-05-01,15.625,16.0,15.375,15.8125,476900,13.044727
2000-05-02,15.8125,16.5625,15.625,16.25,461600,13.405648
2000-05-03,16.5,16.5,15.1875,15.1875,517500,12.529125
2000-05-04,15.4375,16.5,15.4375,16.4375,951700,13.560329
2000-05-05,16.375,16.75,16.3125,16.6875,538000,13.76657
2000-05-08,16.625,17.375,16.5,17.25,492700,14.230611
2000-05-09,17.3125,17.3125,17.125,17.25,291200,14.230611
2000-05-10,17.125,17.1875,16.5,16.6875,387100,13.76657
2000-05-11,16.9375,17.4375,16.9375,17.1875,789600,14.179051
2000-05-12,17.1875,17.75,17.0,17.1875,444200,14.179051
2000-05-15,17.125,17.75,16.625,16.625,390400,13.715009
2000-05-16,17.0,17.1875,16.75,16.9375,298900,13.97281
2000-05-17,16.75,17.0,16.625,17.0,265000,14.024371
2000-05-18,17.0625,17.1875,16.9375,17.0625,340900,14.075931
2000-05-19,16.625,17.0625,16.625,17.0625,387600,14.075931
2000-05-22,17.0625,17.0625,16.625,16.6875,441600,13.76657
2000-05-23,16.75,17.25,16.625,17.25,512800,14.230611
2000-05-24,17.1875,17.25,16.875,17.125,379000,14.127491
2000-05-25,16.75,16.75,15.9375,16.4375,794400,13.560329
2000-05-26,16.5,16.5,15.125,15.5,411000,12.786926
2000-05-30,15.75,16.1875,15.625,16.0625,470200,13.250968
2000-05-31,16.0625,16.0625,15.375,15.375,395900,12.683806
2000-06-01,15.5,15.8125,15.5,15.625,195700,12.890046
2000-06-02,15.75,15.875,15.4375,15.5,349100,12.786926
2000-06-05,15.5,15.5,15.1875,15.375,208000,12.683806
2000-06-06,15.5,15.5,15.125,15.4375,257800,12.735366
2000-06-07,15.5625,15.5625,14.9375,15.125,401100,12.477565
2000-06-08,15.1875,15.4375,14.6875,14.875,321500,12.271324
2000-06-09,14.9375,14.9375,14.5,14.625,365400,12.065083
2000-06-12,14.75,15.0,14.5625,14.625,273500,12.065083
2000-06-13,14.625,15.0625,14.5,14.9375,307700,12.390663
2000-06-14,14.625,14.75,14.1875,14.75,423000,12.235131
2000-06-15,14.875,14.875,14.5625,14.75,322600,12.235131
2000-06-16,14.625,14.9375,14.5,14.875,499700,12.338819
2000-06-19,14.75,14.875,14.1875,14.1875,471600,11.768537
2000-06-20,14.1875,14.1875,13.5625,13.8125,282300,11.457475
2000-06-21,13.9375,13.9375,13.625,13.875,116000,11.509319
2000-06-22,14.0,14.0,13.4375,13.4375,276800,11.146412
2000-06-23,13.6875,13.6875,13.3125,13.3125,199900,11.042725
2000-06-26,13.375,13.8125,13.1875,13.6875,366000,11.353787
2000-06-27,14.25,15.125,13.875,13.9375,770000,11.561162
2000-06-28,14.0,14.25,13.875,13.9375,333700,11.561162
2000-06-29,13.9375,14.0625,13.75,13.8125,277000,11.457475
2000-06-30,13.75,14.125,13.0,13.01562,413100,10.796463
2000-07-03,13.25,13.875,13.125,13.875,297000,11.509319
2000-07-05,13.75,14.0,13.6875,14.0,264300,11.613006
2000-07-06,13.875,14.375,13.6875,13.8125,234000,11.457475
2000-07-07,13.75,14.125,13.75,14.0,163600,11.613006
2000-07-10,14.0,14.3125,14.0,14.1875,181200,11.768537
2000-07-11,14.1875,14.9375,14.1875,14.6875,425600,12.183288
2000-07-12,14.625,14.6875,14.1875,14.375,311400,11.924069
2000-07-13,14.3125,14.6875,14.3125,14.4375,411000,11.975913
2000-07-14,14.5625,14.5625,14.25,14.5,194600,12.027756
2000-07-17,14.5625,14.5625,14.0,14.0625,442300,11.66485
2000-07-18,14.0625,14.25,13.375,13.5625,509400,11.2501
2000-07-19,13.6875,13.6875,13.125,13.1875,467700,10.939037
2000-07-20,13.125,13.5,13.0,13.125,313600,10.887193
2000-07-21,13.25,13.4375,13.0,13.1875,182600,10.939037
2000-07-24,13.3125,13.5,13.0625,13.25,140800,10.990881
2000-07-25,13.125,13.4375,13.125,13.375,160100,11.094568
2000-07-26,13.375,13.4375,12.9375,13.125,523600,10.887193
2000-07-27,13.25,13.4375,12.9375,13.1875,264100,10.939037
2000-07-28,13.25,13.4375,13.0,13.375,297200,11.094568
2000-07-31,14.0,14.125,13.6875,13.8125,540600,11.457475
2000-08-01,13.75,14.3125,13.5,14.3125,250700,11.872225
2000-08-02,14.1875,14.4375,14.0625,14.3125,255800,11.872225
2000-08-03,14.375,14.5625,14.3125,14.4375,193100,11.975913
2000-08-04,14.5625,14.5625,14.375,14.375,161900,11.924069
2000-08-07,14.375,14.5625,14.3125,14.5,139100,12.027756
2000-08-08,14.375,14.75,14.25,14.6875,240300,12.183288
2000-08-09,14.625,15.0625,14.5,15.0,338000,12.442507
2000-08-10,15.0,15.0,14.625,14.75,455400,12.235131
2000-08-11,14.8125,16.0,14.75,15.4375,681000,12.805413
2000-08-14,15.5,15.875,15.25,15.25,230800,12.649882
2000-08-15,15.3125,15.5625,15.0,15.0,266200,12.442507
2000-08-16,15.125,15.5,15.125,15.375,280300,12.753569
2000-08-17,15.25,15.375,14.75,15.0625,190100,12.49435
2000-08-18,14.9375,15.125,14.875,14.9375,248700,12.390663
2000-08-21,14.9375,15.3125,14.75,15.25,411000,12.649882
2000-08-22,15.25,15.25,14.875,15.0625,316800,12.49435
2000-08-23,15.0,15.0,14.8125,14.875,264800,12.338819
2000-08-24,15.0,15.0,14.375,14.8125,289400,12.286975
2000-08-25,14.8125,14.875,14.625,14.75,246000,12.235131
2000-08-28,14.875,15.25,14.6875,15.1875,663600,12.598038
2000-08-29,15.375,15.5625,15.125,15.1875,340100,12.598038
2000-08-30,15.125,15.125,14.75,14.875,238600,12.338819
2000-08-31,14.8125,15.0,14.6875,14.6875,149700,12.183288
2000-09-01,14.8125,14.9375,14.5,14.75,211100,12.235131
2000-09-05,14.8125,14.9375,14.4375,14.5625,172500,12.0796
2000-09-06,14.625,15.1875,14.5,15.0625,273200,12.49435
2000-09-07,15.0,15.0,14.75,14.9375,376100,12.390663
2000-09-08,14.8125,14.875,14.5625,14.6875,298100,12.183288
2000-09-11,14.6875,14.875,14.5,14.8125,223500,12.286975
2000-09-12,14.8125,15.0,14.4375,14.8125,211700,12.286975
2000-09-13,14.75,14.8125,14.5625,14.6875,479100,12.249445
2000-09-14,14.625,14.875,14.5625,14.6875,241400,12.249445
2000-09-15,14.375,14.5625,14.0,14.0625,612700,11.728192
2000-09-18,14.125,14.3125,14.125,14.25,235000,11.884568
2000-09-19,14.4375,14.625,14.375,14.5625,301900,12.145194
2000-09-20,14.5625,14.5625,14.125,14.375,360300,11.988818
2000-09-21,14.375,14.875,14.375,14.5625,270900,12.145194
2000-09-22,14.4375,14.4375,14.125,14.1875,100200,11.832443
2000-09-25,14.1875,14.25,13.75,13.8125,188800,11.519691
2000-09-26,13.8125,14.3125,13.8125,13.9375,409000,11.623941
2000-09-27,13.9375,14.0625,13.25,13.625,289100,11.363315
2000-09-28,13.6875,14.0,13.5,13.9375,292600,11.623941
2000-09-29,13.8125,14.625,13.8125,14.5,406800,12.093069
2000-10-02,14.5625,14.5625,14.1875,14.4375,270600,12.040944
2000-10-03,14.5625,14.5625,14.1875,14.25,339800,11.884568
2000-10-04,14.0,14.375,13.875,14.125,1110800,11.780317
2000-10-05,14.1875,14.875,14.125,14.6875,229700,12.249445
2000-10-06,14.6875,15.125,14.5,14.5,497800,12.093069
2000-10-09,14.4375,14.875,14.4375,14.4375,119300,12.040944
2000-10-10,14.5625,14.5625,13.9375,14.0,195900,11.676067
2000-10-11,14.0,14.0,13.625,13.6875,328300,11.41544
2000-10-12,13.75,13.75,13.0,13.375,227300,11.154814
2000-10-13,13.4375,13.75,13.0625,13.0625,437700,10.894187
2000-10-16,13.0,13.25,12.96875,13.1875,774300,10.998438
