Date,Open,High,Low,Close,Volume,Adj Close
2011-01-27,24.9,25.85,24.9,25.4,5809300,23.221843
2011-01-28,25.4,25.4,25.0,25.0,2611900,22.856145
2011-01-31,24.98,26.5,24.75,26.07,2505300,23.834387
2011-02-01,26.450001,26.629999,25.5,25.75,2155300,23.541829
2011-02-02,25.98,26.33,25.74,25.950001,1173100,23.724679
2011-02-03,25.76,26.08,25.75,25.950001,668300,23.724679
2011-02-04,26.049999,27.1,25.75,26.08,720200,23.84353
2011-02-07,26.049999,26.200001,25.639999,25.790001,1204800,23.5784
2011-02-08,25.700001,26.059999,25.65,26.030001,3632000,23.797818
2011-02-09,25.969999,26.200001,25.530001,25.58,873200,23.386407
2011-02-10,25.5,25.639999,25.0,25.4,1149600,23.221843
2011-02-11,26.02,26.02,25.110001,25.219999,2107900,23.057278
2011-02-14,25.469999,25.469999,25.110001,25.370001,1122500,23.194416
2011-02-15,25.32,25.42,25.059999,25.379999,887500,23.203557
2011-02-16,25.309999,26.0,25.309999,26.0,853400,23.77039
2011-02-17,25.879999,27.209999,25.879999,27.01,1733100,24.693779
2011-02-18,27.08,27.84,26.9,27.690001,1360800,25.315466
2011-02-22,27.15,27.49,26.209999,26.42,1109400,24.154374
2011-02-23,26.15,26.719999,25.969999,26.66,1125400,24.373792
2011-02-24,26.459999,26.52,25.940001,25.950001,496900,23.724679
2011-02-25,26.040001,26.16,25.780001,25.99,556100,23.761248
2011-02-28,26.110001,26.74,25.959999,26.59,872400,24.309796
2011-03-01,26.0,27.5,25.92,27.129999,1033500,24.803487
2011-03-02,27.049999,27.25,26.74,26.92,419700,24.611497
2011-03-03,26.84,26.940001,26.07,26.74,2173600,24.446932
2011-03-04,26.52,27.040001,26.32,26.549999,719100,24.273225
2011-03-07,27.27,27.84,26.85,27.0,1476600,24.684636
2011-03-08,27.0,27.49,26.9,27.1,921300,24.776061
2011-03-09,27.0,27.18,26.68,26.969999,470800,24.657208
2011-03-10,26.469999,26.940001,25.870001,26.02,1128300,23.788676
2011-03-11,25.809999,26.48,25.809999,26.0,706900,23.77039
2011-03-14,25.790001,26.76,25.77,26.459999,786600,24.190943
2011-03-15,25.9,26.58,25.809999,26.34,859600,24.081234
2011-03-16,26.32,26.379999,25.709999,26.030001,1261100,23.797818
2011-03-17,26.43,26.49,26.040001,26.09,363600,23.852673
2011-03-18,26.200001,26.66,26.200001,26.639999,663900,24.355507
2011-03-21,26.65,27.059999,26.440001,27.0,377600,24.684636
2011-03-22,26.91,27.469999,26.82,27.15,720600,24.821773
2011-03-23,27.01,27.379999,26.629999,26.780001,812000,24.483503
2011-03-24,26.85,27.139999,26.43,27.059999,225200,24.73949
2011-03-25,27.209999,28.15,27.209999,27.620001,475200,25.251469
2011-03-28,27.58,28.02,27.34,27.49,605300,25.132616
2011-03-29,27.52,27.940001,27.309999,27.940001,410800,25.544028
2011-03-30,28.01,28.15,27.620001,27.82,912000,25.434317
2011-03-31,27.84,27.950001,27.15,27.309999,5847400,24.968052
2011-04-01,27.4,27.66,27.01,27.290001,609800,24.949768
2011-04-04,27.280001,28.0,27.280001,27.75,945500,25.370321
2011-04-05,27.639999,27.639999,27.17,27.41,273400,25.059477
2011-04-06,27.49,27.530001,27.059999,27.5,653900,25.141759
2011-04-07,27.389999,27.610001,26.940001,27.48,242400,25.123474
2011-04-08,27.77,27.77,26.91,27.030001,446100,24.712064
2011-04-11,27.0,27.969999,26.879999,27.65,483700,25.278896
2011-04-12,27.48,28.26,27.32,28.08,1260300,25.672022
2011-04-13,28.18,28.42,27.93,28.07,1031600,25.662879
2011-04-14,27.969999,28.049999,27.48,27.66,161600,25.288038
2011-04-15,27.629999,28.030001,27.540001,28.02,246800,25.617167
2011-04-18,27.700001,27.879999,27.219999,27.299999,311500,24.958909
2011-04-19,27.299999,28.190001,27.27,27.6,371200,25.233184
2011-04-20,27.92,28.0,27.139999,27.280001,1493500,24.940626
2011-04-21,27.48,29.23,27.48,28.75,1009500,26.284566
2011-04-25,28.870001,29.059999,27.809999,28.6,1074200,26.14743
2011-04-26,28.6,28.74,28.09,28.469999,491200,26.028577
2011-04-27,28.57,29.110001,28.52,28.719999,848500,26.257138
2011-04-28,28.77,31.5,28.65,29.32,2091200,26.805686
2011-04-29,29.379999,30.1,29.27,29.889999,1065600,27.326806
2011-05-02,29.889999,30.15,29.74,29.83,437800,27.271952
2011-05-03,29.85,29.950001,29.26,29.35,470700,26.833114
2011-05-04,29.5,29.58,28.58,28.85,599000,26.375991
2011-05-05,28.77,29.83,28.75,29.77,415600,27.217097
2011-05-06,29.940001,30.129999,29.6,29.83,198500,27.271952
2011-05-09,29.9,30.780001,29.780001,30.290001,742200,27.692506
2011-05-10,30.43,30.85,30.09,30.219999,328500,27.628507
2011-05-11,30.41,30.5,30.040001,30.190001,701900,27.601081
2011-05-12,30.08,30.52,29.35,30.27,657000,27.67422
2011-05-13,30.370001,30.719999,29.91,30.6,383700,27.975921
2011-05-16,30.49,31.469999,30.200001,30.9,694400,28.250194
2011-05-17,30.889999,32.619999,30.889999,32.060001,1846300,29.310721
2011-05-18,31.129999,32.330002,30.73,32.029999,1327400,29.283291
2011-05-19,31.9,32.150002,31.35,31.700001,643200,28.981592
2011-05-20,31.73,32.07,31.5,31.940001,599400,29.201011
2011-05-23,31.690001,32.029999,31.209999,31.450001,732900,28.753031
2011-05-24,31.74,31.75,30.129999,30.610001,1721400,27.985064
2011-05-25,30.610001,31.860001,30.33,30.74,1114400,28.103915
2011-05-26,30.77,31.200001,30.540001,31.02,669100,28.359905
2011-05-27,31.309999,31.83,31.09,31.360001,1110200,28.670748
2011-05-31,31.780001,33.0,31.25,31.49,4236000,28.7896
2011-06-01,31.59,31.690001,30.700001,30.83,618100,28.186197
2011-06-02,30.9,32.110001,30.85,32.0,597600,29.255865
2011-06-03,31.65,31.959999,31.139999,31.620001,360400,28.908452
2011-06-06,31.639999,31.790001,31.07,31.15,281200,28.478756
2011-06-07,31.18,32.060001,31.15,31.77,782900,29.045589
2011-06-08,31.639999,31.85,31.379999,31.440001,397200,28.743888
2011-06-09,31.549999,31.549999,31.129999,31.49,153200,28.7896
2011-06-10,31.43,31.43,30.290001,30.559999,280900,27.939351
2011-06-13,30.540001,31.27,30.48,30.639999,508900,28.01249
2011-06-14,30.82,31.200001,30.57,30.610001,242200,27.985064
2011-06-15,30.360001,31.16,29.719999,29.74,848200,27.189669
2011-06-16,29.709999,29.9,28.59,29.129999,1063300,26.631979
2011-06-17,29.27,31.17,29.27,30.280001,1302500,27.683363
2011-06-20,30.16,30.25,29.389999,29.540001,515400,27.006821
2011-06-21,29.5,30.74,29.32,30.549999,291000,27.930208
2011-06-22,30.379999,30.5,29.940001,30.01,345900,27.436516
2011-06-23,29.780001,30.93,29.530001,30.75,927900,28.113058
2011-06-24,30.67,30.780001,29.66,29.969999,1285600,27.399946
2011-06-27,29.92,30.15,29.34,29.4,285800,26.878826
2011-06-28,29.700001,30.08,29.129999,29.93,435400,27.363377
2011-06-29,29.969999,30.719999,29.73,30.5,629500,27.884496
2011-06-30,30.629999,31.68,30.43,31.16,779500,28.487898
2011-07-01,31.110001,31.290001,30.17,30.84,628000,28.19534
2011-07-05,30.74,30.950001,30.200001,30.9,190400,28.250194
2011-07-06,30.91,31.200001,30.41,30.690001,307200,28.058204
2011-07-07,30.84,31.799999,30.719999,31.360001,210400,28.670748
2011-07-08,30.93,31.01,30.309999,30.620001,150200,27.994207
2011-07-11,30.32,30.51,30.0,30.08,106500,27.500513
2011-07-12,29.84,30.360001,29.75,30.049999,289700,27.473085
2011-07-13,30.309999,31.120001,29.969999,30.1,197800,27.518798
2011-07-14,30.1,30.440001,29.610001,30.299999,504500,27.701647
2011-07-15,30.68,31.48,30.68,31.040001,517000,28.37819
2011-07-18,30.99,31.120001,30.139999,30.530001,347400,27.911924
2011-07-19,30.629999,31.34,30.629999,30.84,287000,28.19534
2011-07-20,30.809999,31.0,30.1,30.219999,441800,27.628507
2011-07-21,30.5,30.74,30.33,30.51,1398100,27.893639
2011-07-22,30.620001,31.35,30.459999,30.940001,754100,28.286765
2011-07-25,30.58,31.09,30.24,30.379999,719400,27.774786
2011-07-26,30.4,30.57,30.16,30.290001,432600,27.692506
2011-07-27,30.059999,30.65,29.889999,30.389999,1087900,27.783929
2011-07-28,30.76,31.83,30.32,30.389999,824400,27.783929
2011-07-29,30.030001,30.139999,29.68,29.959999,1750000,27.390803
2011-08-01,30.219999,30.48,29.700001,29.889999,502600,27.326806
2011-08-02,29.67,30.0,28.940001,29.0,436400,26.513128
2011-08-03,28.92,29.15,28.41,29.110001,608000,26.613695
2011-08-04,28.66,28.99,28.110001,28.120001,909100,25.708592
2011-08-05,28.33,28.530001,26.74,27.65,1560600,25.278896
2011-08-08,26.75,27.440001,26.059999,26.120001,1136300,23.880101
2011-08-09,26.360001,27.059999,25.790001,27.049999,1107200,24.730348
2011-08-10,26.59,27.41,26.370001,26.469999,1437800,24.200085
2011-08-11,26.700001,27.639999,26.42,27.43,944900,25.077762
2011-08-12,27.49,27.790001,26.959999,27.049999,289600,24.730348
2011-08-15,27.18,28.01,27.110001,27.879999,808000,25.489172
2011-08-16,27.709999,28.200001,27.549999,27.870001,517500,25.480031
2011-08-17,27.92,28.790001,27.92,28.51,547400,26.065148
2011-08-18,28.08,28.08,26.73,27.41,1153000,25.059477
2011-08-19,26.959999,27.57,26.51,26.559999,1435200,24.282368
2011-08-22,26.92,27.85,26.799999,27.68,1520900,25.306324
2011-08-23,27.84,27.870001,26.709999,27.440001,847500,25.086905
2011-08-24,27.18,28.23,27.17,27.75,857000,25.370321
2011-08-25,27.76,27.85,27.23,27.52,670100,25.160044
2011-08-26,27.4,28.85,27.049999,28.290001,772400,25.864014
2011-08-29,28.57,29.68,28.23,29.549999,462700,27.015962
2011-08-30,29.370001,29.68,28.92,29.43,465300,26.906254
2011-08-31,29.52,29.870001,29.34,29.66,583800,27.11653
2011-09-01,29.629999,29.889999,29.34,29.389999,294700,26.869683
2011-09-02,29.040001,29.549999,28.889999,29.51,532000,26.979393
2011-09-06,28.76,29.129999,28.370001,28.83,575500,26.357706
2011-09-07,29.16,29.5,28.83,29.07,849800,26.577125
2011-09-08,28.84,29.280001,28.84,29.129999,401100,26.631979
2011-09-09,28.969999,29.15,27.870001,28.33,450800,25.900583
2011-09-12,28.01,28.27,27.48,27.799999,323300,25.416032
2011-09-13,27.879999,27.879999,27.440001,27.610001,566200,25.242327
2011-09-14,27.76,27.76,27.030001,27.059999,889700,24.73949
2011-09-15,27.389999,27.879999,27.120001,27.719999,641100,25.342893
2011-09-16,27.879999,28.34,27.620001,28.280001,359200,25.854871
2011-09-19,27.98,28.59,27.549999,28.26,605600,25.836586
2011-09-20,28.280001,28.34,27.48,27.67,1251900,25.297181
2011-09-21,27.67,28.719999,27.5,28.59,1314000,26.138287
2011-09-22,27.860001,27.879999,25.700001,26.120001,1613800,23.880101
2011-09-23,25.25,26.690001,24.67,26.620001,1210800,24.337224
2011-09-26,26.469999,26.98,25.83,26.76,1182000,24.465217
2011-09-27,27.049999,27.809999,26.91,27.4,1738600,25.050334
2011-09-28,27.5,28.309999,27.26,27.35,1368500,25.004623
2011-09-29,27.73,28.01,26.32,26.75,923900,24.456075
2011-09-30,26.43,26.889999,25.950001,26.08,539600,23.84353
2011-10-03,25.969999,26.530001,24.99,25.049999,745200,22.901856
2011-10-04,24.860001,25.51,24.379999,25.120001,660200,22.965855
2011-10-05,26.209999,26.93,26.049999,26.530001,1000300,24.254941
2011-10-06,26.6,27.700001,26.26,27.379999,1575400,25.032049
2011-10-07,27.719999,27.74,27.040001,27.290001,333800,24.949768
2011-10-10,27.620001,27.780001,27.030001,27.5,704100,25.141759
2011-10-11,27.35,27.48,26.9,27.08,652000,24.757776
2011-10-12,27.290001,27.84,27.129999,27.700001,616200,25.324609
2011-10-13,27.559999,28.08,27.450001,27.950001,594000,25.55317
2011-10-14,28.299999,28.440001,27.9,28.219999,497700,25.800015
2011-10-17,28.02,28.219999,27.629999,28.040001,278500,25.635453
2011-10-18,27.91,28.690001,27.15,28.299999,467200,25.873155
2011-10-19,28.110001,28.469999,27.860001,28.18,769000,25.763446
2011-10-20,28.08,28.82,27.389999,28.809999,518900,26.339421
