Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,20.875,20.875,20.375,20.75,98800,3.725323
2000-01-04,20.5625,20.8125,20.1875,20.5,119800,3.68044
2000-01-05,20.375,20.625,20.1875,20.375,96400,3.657998
2000-01-06,20.5,20.625,20.25,20.625,64600,3.702882
2000-01-07,20.75,21.0,20.375,21.0,137600,3.770207
2000-01-10,21.0,21.4375,21.0,21.375,116000,3.837532
2000-01-11,21.3125,21.75,21.3125,21.4375,145000,3.848753
2000-01-12,21.5625,21.875,21.375,21.5625,99800,3.871195
2000-01-13,21.6875,21.6875,21.25,21.5625,71200,3.871195
2000-01-14,21.5625,22.0,21.5,21.6875,114600,3.893636
2000-01-18,21.6875,22.0,21.5,22.0,82400,3.949741
2000-01-19,21.75,21.9375,21.5625,21.8125,119000,3.916078
2000-01-20,21.875,21.875,21.625,21.75,66400,3.904857
2000-01-21,21.625,21.9375,21.5,21.6875,96800,3.893636
2000-01-24,21.8125,22.0,21.6875,21.75,93000,3.904857
2000-01-25,21.75,21.9375,21.75,21.9375,65400,3.93852
2000-01-26,22.0,22.0,21.3125,21.5,85600,3.859974
2000-01-27,21.375,21.875,21.375,21.875,78600,3.927299
2000-01-28,21.5625,21.75,21.5625,21.6875,72200,3.925941
2000-01-31,21.625,21.625,21.25,21.25,94400,3.846743
2000-02-01,21.25,21.625,21.1875,21.625,51200,3.914627
2000-02-02,21.5,21.625,21.375,21.5625,51600,3.903313
2000-02-03,21.1875,21.9375,21.1875,21.625,118800,3.914627
2000-02-04,21.75,21.75,21.5,21.5625,66800,3.903313
2000-02-07,21.5,21.625,21.375,21.5,63400,3.891999
2000-02-08,21.75,21.75,21.25,21.375,71200,3.869371
2000-02-09,21.5,21.625,21.375,21.5,71200,3.891999
2000-02-10,21.375,21.5,21.125,21.3125,138800,3.858057
2000-02-11,21.25,21.375,21.0625,21.3125,101400,3.858057
2000-02-14,21.5625,21.5625,21.0,21.0625,117200,3.812801
2000-02-15,21.1875,21.3125,21.0,21.25,65200,3.846743
2000-02-16,21.0625,21.4375,21.0625,21.0625,102800,3.812801
2000-02-17,21.125,21.5,21.0,21.5,86000,3.891999
2000-02-18,21.375,21.5,21.0,21.375,86600,3.869371
2000-02-22,21.0,21.25,20.875,21.25,153600,3.846743
2000-02-23,21.375,21.375,21.0,21.1875,42200,3.835429
2000-02-24,21.125,21.25,20.9375,21.125,53000,3.824115
2000-02-25,21.0625,21.3125,20.9375,21.0625,67800,3.812801
2000-02-28,20.8125,20.9375,20.625,20.8125,77600,3.800021
2000-02-29,20.9375,20.9375,20.625,20.8125,74200,3.800021
2000-03-01,20.6875,21.0,20.625,20.75,67800,3.788609
2000-03-02,20.625,20.875,20.5625,20.875,61800,3.811432
2000-03-03,20.75,20.9375,20.75,20.75,75000,3.788609
2000-03-06,20.875,21.25,20.625,21.125,96000,3.857078
2000-03-07,21.0,21.0,20.5625,20.625,90600,3.765786
2000-03-08,20.75,20.9375,20.25,20.9375,119800,3.822844
2000-03-09,20.8125,20.8125,20.5,20.625,83800,3.765786
2000-03-10,20.6875,20.9375,20.625,20.6875,57200,3.777198
2000-03-13,20.6875,20.6875,20.375,20.5,57400,3.742963
2000-03-14,20.6875,20.6875,20.25,20.25,91600,3.697317
2000-03-15,20.1875,20.375,20.125,20.1875,103600,3.685906
2000-03-16,20.1875,20.9375,20.0625,20.875,114200,3.811432
2000-03-17,20.625,21.25,20.625,21.25,79800,3.879901
2000-03-20,21.25,21.25,20.875,21.0,74000,3.834255
2000-03-21,21.0,21.0,20.625,20.8125,105400,3.800021
2000-03-22,20.75,20.9375,20.625,20.75,57000,3.788609
2000-03-23,20.625,21.0,20.5,20.875,91200,3.811432
2000-03-24,20.875,20.9375,20.625,20.625,75800,3.765786
2000-03-27,20.5625,21.0625,20.5625,20.8125,100600,3.800021
2000-03-28,21.0625,21.0625,20.625,20.625,99400,3.765786
2000-03-29,20.875,20.875,20.6875,20.6875,89800,3.777198
2000-03-30,20.75,20.75,20.25,20.25,105800,3.729952
2000-03-31,20.5,20.5,19.25,19.25,417200,3.545757
2000-04-03,19.5,20.0,19.375,19.875,223400,3.660879
2000-04-04,19.875,20.0,19.5625,20.0,129600,3.683903
2000-04-05,19.875,20.4375,19.75,20.1875,123800,3.71844
2000-04-06,20.1875,20.4375,20.125,20.25,107200,3.729952
2000-04-07,20.375,20.5,20.1875,20.4375,56800,3.764488
2000-04-10,20.4375,21.0,20.25,20.5625,150600,3.787513
2000-04-11,20.5625,20.5625,20.0,20.1875,113600,3.71844
2000-04-12,20.3125,20.875,20.25,20.625,112800,3.799025
2000-04-13,20.5,20.8125,20.375,20.5625,96600,3.787513
2000-04-14,20.8125,20.9375,20.5625,20.9375,157600,3.856586
2000-04-17,20.75,20.875,20.5,20.625,71000,3.799025
2000-04-18,20.75,20.75,20.625,20.75,71800,3.822049
2000-04-19,20.75,21.0,20.625,20.9375,52800,3.856586
2000-04-20,20.9375,21.0625,20.8125,21.0,61200,3.868098
2000-04-24,21.0,21.25,20.625,21.25,89400,3.914147
2000-04-25,21.125,21.375,21.0625,21.3125,110800,3.925659
2000-04-26,21.5,21.6875,21.3125,21.5,85000,3.960196
2000-04-27,21.3125,21.625,21.0,21.4375,61400,3.982208
2000-04-28,21.6875,21.8125,21.0,21.8125,104600,4.051868
2000-05-01,21.875,21.9375,21.6875,21.9375,61200,4.075088
2000-05-02,21.8125,21.9375,21.625,21.875,63000,4.063478
2000-05-03,21.9375,21.9375,21.3125,21.375,111000,3.970598
2000-05-04,21.625,21.75,21.3125,21.5625,105800,4.005428
2000-05-05,21.625,22.0,21.5,21.9375,84200,4.075088
2000-05-08,22.0,22.0,21.6875,21.75,82400,4.040258
2000-05-09,22.0,22.25,21.75,22.0,90200,4.086698
2000-05-10,22.0625,22.3125,22.0,22.25,57000,4.133137
2000-05-11,22.375,22.5,22.3125,22.5,80600,4.179577
2000-05-12,22.625,22.875,22.5,22.875,84200,4.249237
2000-05-15,23.0,23.0,22.5625,22.9375,84200,4.260847
2000-05-16,22.9375,23.375,22.5625,22.9375,104000,4.260847
2000-05-17,22.6875,22.875,22.3125,22.5625,104000,4.191187
2000-05-18,22.5,22.9375,22.5,22.5625,100800,4.191187
2000-05-19,22.6875,22.75,22.3125,22.5,60400,4.179577
2000-05-22,22.5,22.9375,22.125,22.875,74800,4.249237
2000-05-23,22.9375,23.0,22.6875,22.875,61200,4.249237
2000-05-24,23.0,23.625,22.75,23.4375,114000,4.353726
2000-05-25,23.5,23.75,23.0,23.4375,106200,4.353726
2000-05-26,23.4375,24.25,23.3125,24.0625,132800,4.469825
2000-05-30,24.0,24.0,23.25,23.625,66000,4.421817
2000-05-31,23.5,23.75,23.375,23.625,129400,4.421817
2000-06-01,23.75,23.9375,23.25,23.375,38400,4.375025
2000-06-02,23.5,23.75,23.25,23.6875,87800,4.433515
2000-06-05,23.6875,23.9375,23.375,23.625,71400,4.421817
2000-06-06,23.5,23.625,23.3125,23.625,78400,4.421817
2000-06-07,23.5,23.5625,23.25,23.5,55400,4.398421
2000-06-08,23.375,23.5625,23.0625,23.3125,79600,4.363327
2000-06-09,23.3125,23.5625,23.3125,23.5,81000,4.398421
2000-06-12,23.5625,23.75,23.4375,23.5,57800,4.398421
2000-06-13,23.625,23.6875,23.1875,23.6875,62800,4.433515
2000-06-14,23.6875,23.9375,23.5625,23.9375,73400,4.480307
2000-06-15,24.0,24.0,23.625,24.0,68000,4.492005
2000-06-16,24.0,24.1875,23.875,24.0,113000,4.492005
2000-06-19,23.625,24.125,23.625,23.9375,114600,4.480307
2000-06-20,24.0625,24.125,23.8125,23.8125,37800,4.456911
2000-06-21,23.75,24.0,23.5625,23.75,68400,4.445213
2000-06-22,23.75,24.625,23.625,24.625,118400,4.608984
2000-06-23,24.4375,24.4375,23.625,23.75,118000,4.445213
2000-06-26,23.875,24.0625,23.625,24.0,51600,4.492005
2000-06-27,23.875,24.0625,23.8125,23.875,53200,4.468609
2000-06-28,24.0,24.125,23.8125,24.0,64200,4.492005
2000-06-29,24.0,24.4375,23.8125,24.3125,75600,4.585458
2000-06-30,24.4375,24.4375,23.5,23.578119,129000,4.44695
2000-07-03,23.5,23.875,23.5,23.8125,29600,4.491156
2000-07-05,23.8125,24.4375,23.75,24.4375,66800,4.609034
2000-07-06,24.3125,24.4375,24.0,24.3125,57000,4.585458
2000-07-07,24.3125,24.375,24.0,24.1875,60800,4.561883
2000-07-10,24.1875,24.25,23.8125,23.875,71600,4.502944
2000-07-11,23.9375,24.0,23.8125,23.875,46200,4.502944
2000-07-12,24.0,24.0,23.75,23.875,65200,4.502944
2000-07-13,23.875,24.0,23.75,23.875,48600,4.502944
2000-07-14,24.0,24.1875,23.875,24.1875,51800,4.561883
2000-07-17,24.0625,24.125,23.875,23.875,49200,4.502944
2000-07-18,24.0,24.625,23.875,24.0,99800,4.526519
2000-07-19,24.0,24.25,24.0,24.125,41200,4.550095
2000-07-20,24.0,24.5,24.0,24.375,38200,4.597246
2000-07-21,24.125,24.375,24.125,24.3125,90400,4.585458
2000-07-24,24.25,24.375,24.0,24.0,45400,4.526519
2000-07-25,24.0,24.375,24.0,24.125,55200,4.550095
2000-07-26,23.9375,24.5,23.9375,24.4375,85200,4.609034
2000-07-27,24.4375,24.4375,24.125,24.1875,42400,4.561883
2000-07-28,23.8125,24.1875,23.75,24.0,74400,4.561027
2000-07-31,23.875,24.3125,23.8125,24.25,74600,4.608538
2000-08-01,24.25,24.3125,24.0625,24.1875,35800,4.59666
2000-08-02,24.125,24.375,24.125,24.375,43200,4.632293
2000-08-03,24.375,24.4375,24.125,24.4375,96200,4.644171
2000-08-04,24.4375,24.5,24.125,24.25,59400,4.608538
2000-08-07,24.25,24.5,24.1875,24.1875,146600,4.59666
2000-08-08,24.3125,24.3125,24.0,24.1875,63000,4.59666
2000-08-09,24.3125,24.3125,24.125,24.3125,31800,4.620416
2000-08-10,24.3125,24.3125,23.875,24.0,62200,4.561027
2000-08-11,23.875,24.0625,23.875,24.0625,93000,4.572905
2000-08-14,24.125,24.125,24.0,24.125,44800,4.584783
2000-08-15,24.0,24.0625,24.0,24.0625,39200,4.572905
2000-08-16,24.25,24.25,23.9375,23.9375,53200,4.54915
2000-08-17,24.0625,24.125,23.75,23.875,56000,4.537272
2000-08-18,23.75,23.8125,23.75,23.75,41400,4.513517
2000-08-21,23.625,23.75,23.0,23.0,118400,4.370985
2000-08-22,23.25,23.4375,23.125,23.375,54600,4.442251
2000-08-23,23.25,23.3125,22.8125,22.8125,89000,4.335352
2000-08-24,23.0625,23.0625,22.75,22.875,87000,4.347229
2000-08-25,22.875,23.125,22.875,23.0625,84200,4.382862
2000-08-28,23.0,23.125,22.75,23.0,92400,4.370985
2000-08-29,22.875,23.125,22.75,22.875,65600,4.347229
2000-08-30,22.1875,22.6875,22.1875,22.5,70600,4.310447
2000-08-31,22.4375,22.75,22.4375,22.625,67400,4.334394
2000-09-01,22.875,22.9375,22.5625,22.8125,52000,4.370314
2000-09-05,22.625,23.0625,22.5625,22.75,49600,4.358341
2000-09-06,23.0,23.125,22.8125,23.0625,65400,4.418208
2000-09-07,23.0,23.4375,23.0,23.375,45000,4.478076
2000-09-08,23.375,23.375,22.875,22.9375,94200,4.394261
2000-09-11,22.9375,23.0,22.5625,22.625,105200,4.334394
2000-09-12,22.75,22.875,22.625,22.75,102800,4.358341
2000-09-13,22.625,22.6875,22.5625,22.6875,72200,4.346367
2000-09-14,22.625,22.875,22.5625,22.75,119000,4.358341
2000-09-15,22.5625,22.8125,22.5625,22.625,94200,4.334394
2000-09-18,22.6875,22.75,22.25,22.3125,126000,4.274527
2000-09-19,22.4375,22.5625,22.125,22.375,101000,4.2865
2000-09-20,22.25,22.875,22.25,22.8125,73800,4.370314
2000-09-21,22.625,22.875,22.625,22.75,75000,4.358341
2000-09-22,22.625,22.875,22.5625,22.8125,71400,4.370314
2000-09-25,22.75,22.9375,22.75,22.875,72000,4.382288
2000-09-26,23.0625,23.1875,22.875,23.0,95400,4.406235
2000-09-27,23.125,23.375,23.0,23.375,85800,4.478076
2000-09-28,23.3125,23.625,23.125,23.25,69000,4.489468
2000-09-29,23.1875,23.375,23.0625,23.3125,98200,4.501537
2000-10-02,23.3125,23.375,23.25,23.3125,48200,4.501537
2000-10-03,23.375,23.375,23.125,23.25,89000,4.489468
2000-10-04,23.125,23.25,23.125,23.125,39600,4.465331
2000-10-05,23.0625,23.3125,22.75,23.0625,129000,4.453263
2000-10-06,23.0625,23.125,22.8125,23.0,37000,4.441194
2000-10-09,23.0,23.0625,22.6875,22.875,40200,4.417057
2000-10-10,23.0,23.0,22.6875,22.75,42000,4.39292
2000-10-11,22.875,23.0,22.625,22.8125,57400,4.404989
2000-10-12,22.75,22.75,22.5,22.625,47600,4.368783
2000-10-13,22.625,22.875,22.625,22.875,70400,4.417057
2000-10-16,22.9375,22.9375,22.625,22.6875,91200,4.380852
2000-10-17,22.8125,22.875,22.6875,22.75,67600,4.39292
2000-10-18,22.75,22.75,22.6875,22.6875,45800,4.380852
2000-10-19,22.8125,22.9375,22.75,22.875,98000,4.417057
2000-10-20,22.9375,23.3125,22.875,23.1875,201000,4.4774
2000-10-23,23.3125,23.3125,23.125,23.125,42200,4.465331
2000-10-24,23.0625,23.375,23.0625,23.3125,92800,4.501537
2000-10-25,23.1875,23.25,23.0,23.0625,52800,4.453263
2000-10-26,23.1875,23.25,23.0625,23.1875,54800,4.4774
2000-10-27,23.1875,23.25,23.125,23.25,75000,4.489468
2000-10-30,23.1875,23.3125,23.0,23.25,54600,4.525281
2000-10-31,23.3125,23.3125,23.0,23.0,51200,4.476622
2000-11-01,23.125,23.3125,23.0,23.25,34000,4.525281
2000-11-02,23.25,23.3125,23.125,23.25,32800,4.525281
2000-11-03,23.0,23.25,22.9375,23.25,37600,4.525281
2000-11-06,23.25,23.5,23.25,23.4375,43600,4.561775
2000-11-07,23.3125,23.5,23.1875,23.5,34800,4.57394
2000-11-08,23.5,23.5,23.3125,23.3125,42000,4.537446
2000-11-09,23.1875,23.625,23.125,23.625,61200,4.59827
2000-11-10,23.625,23.625,23.3125,23.4375,41200,4.561775
2000-11-13,23.4375,23.5,22.875,23.5,67400,4.57394
2000-11-14,23.6875,23.6875,23.5,23.6875,48000,4.610434
2000-11-15,23.5625,23.9375,23.5,23.9375,97800,4.659093
2000-11-16,23.9375,24.0,23.875,23.875,66400,4.646929
2000-11-17,24.0,24.0,23.8125,24.0,38000,4.671258
2000-11-20,23.875,24.0,23.75,23.875,29800,4.646929
2000-11-21,24.0,24.125,23.875,24.0,84600,4.671258
2000-11-22,23.875,24.0,23.75,23.8125,35600,4.634764
2000-11-24,23.75,24.125,23.75,24.0625,29000,4.683423
2000-11-27,23.9375,24.5,23.9375,24.1875,55800,4.707752
2000-11-28,24.3125,24.4375,24.0625,24.3125,40800,4.732082
2000-11-29,24.25,24.3125,24.0,24.1875,37000,4.743456
2000-11-30,24.25,24.375,24.0,24.0,95600,4.706685
2000-12-01,24.125,24.4375,24.125,24.375,57400,4.780227
2000-12-04,24.25,24.5,24.0,24.1875,48400,4.743456
2000-12-05,23.75,24.5625,23.75,24.375,69800,4.780227
2000-12-06,24.5,24.5,23.875,23.9375,55800,4.694428
2000-12-07,24.0625,24.1875,23.875,24.0,73400,4.706685
2000-12-08,24.0,24.875,24.0,24.875,77800,4.878283
2000-12-11,24.75,24.9375,24.5625,24.6875,66400,4.841512
2000-12-12,24.8125,24.8125,24.375,24.625,74000,4.829255
2000-12-13,24.8125,24.8125,24.625,24.75,53400,4.853769
2000-12-14,24.75,24.75,24.375,24.5625,72000,4.816998
2000-12-15,24.3125,24.375,23.75,23.9375,115600,4.694428
2000-12-18,24.0,24.625,24.0,24.625,92600,4.829255
2000-12-19,24.75,24.8125,24.5,24.625,105800,4.829255
2000-12-20,24.6875,24.6875,24.25,24.3125,82200,4.76797
2000-12-21,24.5,24.8125,24.375,24.8125,72800,4.866026
2000-12-22,24.8125,24.875,24.625,24.75,54000,4.853769
2000-12-26,24.75,25.0,24.625,24.875,67600,4.878283
2000-12-27,25.0,25.375,24.875,25.375,74200,4.976339
2000-12-28,25.3125,25.5,25.1875,25.5,56800,5.03758
2000-12-29,25.5,25.5,24.875,24.875,33200,4.91411
2001-01-02,24.9375,24.9375,24.3125,24.4375,60400,4.827681
2001-01-03,24.3125,25.375,24.3125,25.25,82200,4.988192
2001-01-04,25.25,25.4375,24.875,25.4375,79800,5.025233
2001-01-05,25.5,25.5,25.0625,25.125,56000,4.963498
2001-01-08,25.25,25.4375,25.0,25.3125,41000,5.000539
2001-01-09,25.1875,25.4375,25.1875,25.4375,52400,5.025233
2001-01-10,25.5,25.5,25.125,25.5,70800,5.03758
2001-01-11,25.5,25.875,25.3125,25.8125,108400,5.099315
2001-01-12,25.9375,25.9375,25.375,25.625,83400,5.062274
2001-01-16,25.8125,26.0,25.375,26.0,96800,5.136356
2001-01-17,26.125,26.25,25.5625,25.6875,99200,5.074621
2001-01-18,25.6875,26.125,25.5,26.0625,51800,5.148703
2001-01-19,26.0625,26.125,25.75,25.9375,52000,5.124009
2001-01-22,26.0625,26.1875,25.625,26.125,56000,5.16105
2001-01-23,26.0625,26.375,26.0,26.125,49200,5.16105
2001-01-24,25.75,26.125,25.75,26.0625,66000,5.148703
2001-01-25,26.125,26.4375,26.125,26.25,51000,5.185744
2001-01-26,26.375,26.375,25.875,26.0625,52600,5.148703
2001-01-29,26.26,26.299999,25.940001,26.280001,52800,5.191671
2001-01-30,26.02,26.34,26.0,26.08,51000,5.188687
2001-01-31,26.18,26.299999,25.9,26.01,47000,5.17476
2001-02-01,26.110001,26.200001,25.91,26.15,54200,5.202613
2001-02-02,26.049999,26.27,25.9,25.950001,46600,5.162823
2001-02-05,26.0,26.25,25.9,26.059999,37600,5.184707
2001-02-06,25.959999,26.24,25.959999,26.110001,52000,5.194655
2001-02-07,26.5,26.75,26.450001,26.690001,79200,5.310048
2001-02-08,26.690001,26.75,25.719999,25.99,141000,5.170781
2001-02-09,25.639999,25.75,25.23,25.700001,100600,5.113085
2001-02-12,25.799999,26.209999,25.530001,26.1,88600,5.192666
2001-02-13,26.0,26.450001,26.0,26.030001,56000,5.178739
2001-02-14,26.18,26.18,25.799999,26.049999,48600,5.182718
2001-02-15,26.200001,26.25,25.75,26.15,72600,5.202613
2001-02-16,26.200001,26.35,25.99,26.049999,44000,5.182718
2001-02-20,26.15,26.15,25.65,25.700001,62600,5.113085
2001-02-21,25.700001,25.99,25.51,25.51,47600,5.075284
2001-02-22,25.5,25.5,25.200001,25.24,52200,5.021566
2001-02-23,25.24,25.49,24.75,24.98,139400,4.969838
2001-02-26,25.0,25.6,25.0,25.6,70200,5.093189
2001-02-27,25.15,25.549999,24.799999,25.17,96200,5.044091
2001-02-28,25.35,25.450001,24.790001,25.200001,76200,5.050103
2001-03-01,25.35,25.35,24.9,25.23,61600,5.056115
2001-03-02,25.299999,25.75,25.299999,25.549999,69200,5.120243
2001-03-05,25.4,25.799999,25.1,25.360001,92400,5.082167
2001-03-06,25.5,25.879999,25.450001,25.700001,49400,5.150303
2001-03-07,25.6,26.0,25.6,25.879999,68200,5.186375
2001-03-08,25.799999,25.98,25.780001,25.799999,24600,5.170343
2001-03-09,25.799999,25.82,25.4,25.65,52800,5.140283
2001-03-12,25.65,25.959999,25.35,25.4,95600,5.090183
2001-03-13,25.4,25.5,25.209999,25.5,72800,5.110223
2001-03-14,25.4,25.6,25.110001,25.110001,74600,5.032067
2001-03-15,25.25,25.25,24.85,25.15,60600,5.040083
2001-03-16,25.25,25.25,24.299999,24.450001,141800,4.899802
2001-03-19,24.35,24.700001,24.35,24.6,101600,4.929862
2001-03-20,24.719999,25.24,24.719999,24.9,82000,4.989982
2001-03-21,25.0,25.389999,24.959999,25.35,89000,5.080163
2001-03-22,25.549999,25.549999,25.0,25.42,124200,5.094191
2001-03-23,25.200001,25.59,25.200001,25.25,50000,5.060123
2001-03-26,25.120001,25.959999,25.030001,25.959999,73200,5.202407
2001-03-27,25.84,26.25,25.709999,26.25,80600,5.260524
2001-03-28,26.35,26.389999,26.0,26.1,101400,5.230464
2001-03-29,25.76,26.200001,25.76,26.139999,72400,5.276079
2001-03-30,26.1,26.5,26.1,26.5,94200,5.348741
2001-04-02,26.4,26.65,26.1,26.4,99400,5.328557
2001-04-03,26.5,26.629999,26.200001,26.290001,79600,5.306355
2001-04-04,26.35,26.65,26.200001,26.549999,118600,5.358833
2001-04-05,26.450001,26.75,26.42,26.75,74600,5.399201
2001-04-06,26.85,26.85,26.5,26.6,50800,5.368925
2001-04-09,26.6,26.99,26.5,26.65,60800,5.379017
2001-04-10,26.799999,27.0,26.469999,26.879999,75200,5.42544
2001-04-11,26.9,27.0,26.51,26.57,60000,5.36287
2001-04-12,26.200001,26.799999,26.200001,26.700001,72800,5.389109
2001-04-16,27.0,27.08,26.700001,26.85,73600,5.419385
2001-04-17,27.0,27.25,26.950001,27.0,60800,5.449661
2001-04-18,27.1,27.9,26.9,27.549999,108400,5.560673
2001-04-19,27.51,27.85,27.51,27.65,64800,5.580857
2001-04-20,27.35,27.700001,27.299999,27.450001,96000,5.540489
2001-04-23,27.35,27.75,27.35,27.639999,98400,5.578838
2001-04-24,27.5,27.75,27.35,27.75,85000,5.601041
2001-04-25,28.0,28.1,27.549999,27.75,142200,5.601041
2001-04-26,28.1,28.299999,27.65,28.23,118000,5.697923
2001-04-27,28.059999,28.4,28.0,28.4,77200,5.770255
2001-04-30,28.280001,28.709999,28.1,28.610001,86200,5.812922
2001-05-01,28.75,28.75,27.75,27.799999,327200,5.648348
2001-05-02,27.5,27.799999,27.25,27.799999,1632600,5.648348
2001-05-03,27.6,27.780001,27.200001,27.75,701000,5.638189
2001-05-04,27.73,27.73,27.299999,27.6,360800,5.607713
2001-05-07,27.6,27.799999,27.450001,27.75,183400,5.638189
2001-05-08,27.73,27.790001,27.5,27.75,332400,5.638189
2001-05-09,27.75,27.799999,27.65,27.66,199000,5.619903
2001-05-10,27.780001,27.790001,27.6,27.65,156600,5.617871
2001-05-11,27.549999,27.799999,27.549999,27.75,102400,5.638189
2001-05-14,27.700001,27.719999,27.450001,27.65,79000,5.617871
2001-05-15,27.75,27.799999,27.450001,27.66,145400,5.619903
2001-05-16,27.75,27.75,27.450001,27.49,157400,5.585363
2001-05-17,27.6,27.65,27.459999,27.559999,105800,5.599585
2001-05-18,27.559999,27.75,27.5,27.6,122200,5.607713
2001-05-21,27.549999,27.76,27.5,27.75,146200,5.638189
2001-05-22,27.65,27.799999,27.469999,27.65,109400,5.617871
2001-05-23,27.77,27.799999,27.469999,27.620001,107200,5.611776
2001-05-24,27.629999,27.73,27.469999,27.73,98000,5.634126
2001-05-25,27.700001,27.799999,27.530001,27.65,64200,5.617871
2001-05-29,27.75,27.75,27.51,27.51,103000,5.589427
2001-05-30,27.309999,27.35,26.950001,26.950001,157200,5.512921
2001-05-31,27.0,27.07,26.799999,26.799999,138400,5.482237
2001-06-01,26.9,27.389999,26.6,27.33,160600,5.590654
2001-06-04,27.43,27.469999,27.0,27.370001,106600,5.598837
2001-06-05,27.4,27.59,27.200001,27.530001,122400,5.631566
2001-06-06,27.5,27.690001,27.5,27.530001,144800,5.631566
2001-06-07,27.65,27.709999,27.450001,27.690001,145200,5.664296
2001-06-08,27.700001,27.73,27.48,27.65,137800,5.656113
2001-06-11,27.5,27.719999,27.48,27.68,123400,5.66225
2001-06-12,27.700001,27.85,27.51,27.799999,187000,5.686798
2001-06-13,27.799999,27.85,27.700001,27.82,225800,5.690889
2001-06-14,27.75,27.9,27.75,27.889999,230400,5.705208
2001-06-15,27.799999,28.0,27.799999,27.9,301400,5.707254
2001-06-18,27.98,28.15,27.9,28.15,266000,5.758394
2001-06-19,28.15,28.35,27.700001,27.700001,278000,5.666342
2001-06-20,27.75,28.049999,27.700001,28.0,213000,5.72771
2001-06-21,28.1,28.33,28.01,28.299999,124800,5.789078
2001-06-22,28.5,28.5,28.25,28.299999,170200,5.789078
2001-06-25,28.42,28.5,28.23,28.25,139800,5.77885
2001-06-26,28.23,28.780001,28.23,28.549999,247000,5.840218
2001-06-27,28.65,28.75,28.5,28.540001,165800,5.838173
2001-06-28,28.299999,28.700001,28.299999,28.5,117000,5.868649
2001-06-29,28.4,29.559999,28.4,29.559999,299800,6.086921
2001-07-02,29.4,29.4,28.6,28.68,206600,5.905714
2001-07-03,28.75,28.969999,28.700001,28.83,61800,5.936601
2001-07-05,29.0,29.1,28.719999,28.799999,108200,5.930424
2001-07-06,28.75,28.98,28.5,28.969999,100200,5.96543
2001-07-09,28.9,28.950001,28.299999,28.450001,157600,5.858353
2001-07-10,28.5,28.6,28.25,28.299999,82400,5.827465
2001-07-11,28.450001,28.6,27.950001,28.24,110400,5.81511
2001-07-12,27.9,28.4,27.9,28.4,85000,5.848057
2001-07-13,28.5,28.65,28.450001,28.52,69400,5.872767
2001-07-16,28.65,28.799999,28.6,28.67,82200,5.903655
2001-07-17,28.799999,28.92,28.700001,28.92,169000,5.955134
2001-07-18,28.98,29.1,28.75,29.0,155000,5.971607
2001-07-19,29.1,29.190001,29.0,29.15,83800,6.002495
2001-07-20,29.0,29.5,28.969999,29.5,97800,6.074566
2001-07-23,29.6,29.6,28.9,29.0,118600,5.971607
2001-07-24,29.1,29.1,28.450001,28.57,160000,5.883063
2001-07-25,28.77,28.799999,28.4,28.790001,73400,5.928365
2001-07-26,28.799999,29.15,28.549999,29.110001,92400,5.994258
2001-07-27,29.15,29.299999,28.950001,29.110001,114600,5.994258
2001-07-30,29.0,29.950001,28.9,29.0,188200,6.010424
2001-07-31,28.85,28.950001,28.6,28.67,131400,5.94203
2001-08-01,28.549999,28.610001,28.42,28.6,106200,5.927522
2001-08-02,28.57,28.620001,28.35,28.57,99000,5.921304
2001-08-03,28.549999,28.6,28.4,28.5,84600,5.906796
2001-08-06,28.549999,28.85,28.450001,28.75,117800,5.95861
2001-08-07,28.780001,29.1,28.780001,29.0,202400,6.010424
2001-08-08,29.1,29.25,28.9,29.1,235200,6.03115
2001-08-09,29.15,29.4,29.049999,29.35,134000,6.082964
