Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,22.5,22.5,20.125,21.125,923600,4.745147
2000-01-04,20.875,20.875,20.0,20.125,196400,4.520525
2000-01-05,20.125,20.25,19.562481,19.75,1044800,4.436291
2000-01-06,19.812481,19.812481,19.437519,19.625,469200,4.408214
2000-01-07,19.5,20.125,19.5,19.937519,509600,4.478412
2000-01-10,19.812481,20.062481,19.562481,19.562481,1116400,4.394171
2000-01-11,19.75,19.875,18.5,18.75,1533200,4.211669
2000-01-12,19.0,19.0,17.875,18.125,1540400,4.07128
2000-01-13,18.187519,19.0,18.187519,19.0,1454800,4.267825
2000-01-14,19.25,19.375,18.437519,18.875,692800,4.239747
2000-01-18,18.75,18.812481,18.562481,18.687519,354400,4.197635
2000-01-19,18.812481,18.812481,17.812481,17.937519,973600,4.029168
2000-01-20,18.0,18.437519,17.312481,18.125,1896800,4.07128
2000-01-21,19.25,19.375,18.125,18.375,1245200,4.127436
2000-01-24,18.5,18.812481,17.687519,17.875,1358800,4.015125
2000-01-25,18.125,18.125,16.75,17.0,1631600,3.81858
2000-01-26,17.187519,17.687519,17.125,17.437519,2785600,3.916857
2000-01-27,17.5,18.0,17.375,17.937519,1858800,4.029168
2000-01-28,18.062481,18.25,17.75,17.75,1246400,3.987047
2000-01-31,17.937519,17.937519,17.312481,17.437519,1228000,3.916857
2000-02-01,17.625,17.75,17.125,17.187519,798800,3.860701
2000-02-02,17.437519,17.437519,16.937519,17.0,1172400,3.81858
2000-02-03,17.25,17.437519,17.0,17.25,999600,3.874736
2000-02-04,17.312481,17.562481,17.062481,17.25,4247200,3.874736
2000-02-07,17.25,17.312481,16.437519,16.562481,1506400,3.720303
2000-02-08,17.0,18.062481,16.937519,17.812481,1397600,4.001081
2000-02-09,17.75,17.875,17.5,17.687519,860400,3.973012
2000-02-10,17.687519,17.937519,17.312481,17.437519,937200,3.916857
2000-02-11,17.437519,17.937519,17.375,17.625,785200,3.958969
2000-02-14,17.687519,17.812481,17.5,17.562481,664800,3.944926
2000-02-15,17.437519,19.125,17.437519,18.5,1352400,4.155514
2000-02-16,18.5,18.5,17.562481,17.687519,676000,3.973012
2000-02-17,17.875,18.25,17.562481,17.687519,1258400,3.973012
2000-02-18,17.625,17.75,16.875,17.75,796000,3.987047
2000-02-22,17.625,18.0,17.25,17.312481,324400,3.88877
2000-02-23,17.625,17.625,17.0,17.062481,383600,3.832615
2000-02-24,17.25,17.5,16.562481,16.812481,634800,3.776459
2000-02-25,16.75,16.937519,16.125,16.187519,810800,3.636079
2000-02-28,16.0,16.437519,16.0,16.375,594400,3.678191
2000-02-29,16.562481,17.187519,16.312481,16.812481,741200,3.776459
2000-03-01,16.812481,17.312481,16.562481,17.062481,714400,3.832615
2000-03-02,17.062481,17.125,16.0,16.625,1325600,3.734347
2000-03-03,16.812481,17.0,16.187519,16.5,523600,3.706269
2000-03-06,16.5,16.687519,16.125,16.187519,433600,3.636079
2000-03-07,16.312481,16.375,15.625,15.93752,606000,3.579923
2000-03-08,15.75,16.0,15.375,15.68752,416800,3.523768
2000-03-09,15.5,16.25,15.25,16.187519,943600,3.636079
2000-03-10,16.0,16.187519,15.81248,15.875,1440000,3.56588
2000-03-13,16.062481,16.25,15.81248,16.187519,1011600,3.636079
2000-03-14,16.062481,16.312481,15.56248,15.75,613600,3.537802
2000-03-15,15.75,17.437519,15.75,17.125,1652400,3.856452
2000-03-16,17.125,19.312481,17.125,19.25,2527600,4.33499
2000-03-17,18.0,19.375,18.0,18.812481,1604800,4.236463
2000-03-20,18.875,19.5,18.75,19.312481,944000,4.34906
2000-03-21,19.187519,19.312481,19.062481,19.25,624000,4.33499
2000-03-22,19.187519,19.187519,18.75,19.0,1052400,4.278691
2000-03-23,18.875,20.125,18.687519,19.5,1113600,4.391288
2000-03-24,19.562481,19.937519,19.0,19.437519,1296400,4.377218
2000-03-27,19.437519,19.875,19.062481,19.312481,350400,4.34906
2000-03-28,19.125,19.312481,18.687519,18.937519,610000,4.264621
2000-03-29,19.25,20.0,19.0,19.812481,842800,4.461657
2000-03-30,19.875,20.937519,19.875,20.437519,1167200,4.602412
