Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,19.9375,19.9375,19.75,19.8125,36200,9.551943
2000-01-04,19.9375,19.9375,19.0,19.5,148500,9.401281
2000-01-05,19.0,19.25,18.8125,19.25,178700,9.280752
2000-01-06,19.375,19.8125,19.375,19.625,452800,9.461546
2000-01-07,19.75,20.0,19.75,20.0,290700,9.64234
2000-01-10,20.0,20.1875,19.9375,20.125,158200,9.702605
2000-01-11,20.125,20.3125,20.0,20.1875,146000,9.732737
2000-01-12,20.25,20.25,20.0,20.0,120000,9.64234
2000-01-13,20.0,20.1875,19.9375,19.9375,85400,9.612208
2000-01-14,20.0,20.0,19.75,19.75,80500,9.521811
2000-01-18,19.875,20.6875,19.75,20.0625,548000,9.672472
2000-01-19,20.125,20.3125,20.0625,20.1875,77100,9.732737
2000-01-20,20.25,20.3125,20.125,20.3125,271000,9.793002
2000-01-21,20.375,20.5,20.3125,20.4375,95000,9.853266
2000-01-24,20.5,20.5,20.375,20.375,34600,9.823134
2000-01-25,20.375,20.5625,20.375,20.4375,100400,9.853266
2000-01-26,20.5,20.5625,20.4375,20.5,151100,9.883398
2000-01-27,20.5,20.625,20.5,20.5625,59100,9.913531
2000-01-28,20.625,20.625,20.4375,20.5,118700,9.883398
2000-01-31,20.5,20.5,20.4375,20.4375,94800,9.853266
2000-02-01,20.5,20.625,20.4375,20.5625,366600,9.913531
2000-02-02,20.625,20.625,20.5,20.5,238200,9.883398
2000-02-03,20.5625,20.625,20.5,20.5625,380400,9.913531
2000-02-04,20.5625,20.5625,20.4375,20.5,101300,9.883398
2000-02-07,20.375,20.625,20.375,20.5625,230300,9.913531
2000-02-08,20.5,20.5625,20.375,20.4375,88000,9.853266
2000-02-09,20.375,20.6875,20.25,20.4375,143500,9.853266
2000-02-10,20.4375,20.5625,20.375,20.4375,93300,9.853266
2000-02-11,20.5,20.6875,20.0625,20.0625,43200,9.672472
2000-02-14,20.0625,20.375,20.0,20.3125,153200,9.793002
2000-02-15,20.5625,20.625,20.375,20.625,144800,9.943663
2000-02-16,20.625,20.6875,20.5,20.625,117900,9.943663
2000-02-17,20.5,20.5625,20.4375,20.5625,102100,9.913531
2000-02-18,20.5625,20.5625,20.3125,20.5,79300,9.883398
2000-02-22,20.25,20.5625,20.25,20.5625,195500,9.913531
2000-02-23,20.625,20.625,20.4375,20.5,103200,9.883398
2000-02-24,20.5,20.5,20.1875,20.4375,235900,9.853266
2000-02-25,20.25,20.25,20.125,20.25,43400,9.762869
