Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,22.9375,23.0,22.125,22.1875,1548600,5.525984
2000-01-04,22.3125,23.25,22.3125,22.75,912800,5.66608
2000-01-05,22.75,23.6875,22.6875,23.25,850400,5.790609
2000-01-06,23.375,23.5,22.75,22.9375,656400,5.712778
2000-01-07,23.1875,23.625,23.125,23.375,471400,5.821741
2000-01-10,23.3125,23.8125,23.0625,23.125,440000,5.759476
2000-01-11,23.3125,23.75,22.75,22.9375,648600,5.712778
2000-01-12,22.875,23.3125,22.875,23.0625,564800,5.74391
2000-01-13,23.125,23.75,23.125,23.1875,621600,5.775043
2000-01-14,23.375,23.5625,22.9375,23.0625,687600,5.74391
2000-01-18,22.9375,23.0625,22.4375,22.875,756400,5.697212
2000-01-19,22.875,23.25,22.8125,23.0,661600,5.728344
2000-01-20,23.0,23.3125,23.0,23.125,497800,5.759476
2000-01-21,23.5625,24.0,23.375,23.625,1027000,5.884006
2000-01-24,23.625,23.8125,23.3125,23.5,1057800,5.852873
2000-01-25,23.375,23.5625,22.6875,22.8125,667600,5.681646
2000-01-26,22.8125,23.1875,22.625,22.625,918400,5.634947
2000-01-27,22.875,23.5625,22.875,23.1875,967800,5.775043
2000-01-28,23.0,23.0625,22.0625,22.1875,793800,5.525984
2000-01-31,23.0,23.375,22.6875,23.1875,776600,5.775043
2000-02-01,23.25,23.25,22.9375,23.0625,471600,5.74391
2000-02-02,22.875,23.1875,22.8125,23.0625,367800,5.74391
2000-02-03,22.875,23.5625,22.75,23.5,808000,5.852873
2000-02-04,23.3125,23.4375,22.125,22.4375,442600,5.588249
2000-02-07,22.5,22.75,22.1875,22.25,390800,5.54155
2000-02-08,22.375,22.9375,22.25,22.3125,372200,5.557116
2000-02-09,22.1875,22.5,21.5625,22.125,631200,5.510418
2000-02-10,22.0625,22.3125,21.6875,22.0625,564400,5.494852
2000-02-11,21.9375,22.0,21.5625,21.8125,315200,5.432587
2000-02-14,21.9375,22.375,21.875,22.125,539800,5.510418
2000-02-15,22.375,22.75,22.375,22.5,641800,5.603815
2000-02-16,22.4375,22.5,21.8125,22.125,465400,5.510418
2000-02-17,22.125,22.125,21.5,21.75,532600,5.417021
2000-02-18,21.5,21.5625,20.9375,21.0625,642200,5.245793
2000-02-22,21.1875,21.4375,20.9375,21.0,237800,5.230227
2000-02-23,21.0,21.0,20.5,20.625,302200,5.13683
2000-02-24,20.8125,20.8125,19.3125,20.3125,648600,5.059
2000-02-25,20.0,20.5625,19.8125,19.9375,634800,4.965603
2000-02-28,19.625,20.4375,19.625,20.3125,646400,5.059
2000-02-29,20.375,20.375,19.75,20.125,472000,5.012301
2000-03-01,19.9375,20.375,19.8125,20.1875,513800,5.027867
2000-03-02,20.1875,20.375,19.9375,20.3125,598200,5.059
2000-03-03,20.3125,20.6875,20.1875,20.5625,218400,5.121264
2000-03-06,20.25,20.3125,19.5,19.5625,374400,4.872206
2000-03-07,19.5,20.0,18.8125,19.3125,801600,4.809941
2000-03-08,18.5625,19.375,18.375,18.625,5703000,4.70325
2000-03-09,19.0,19.1875,18.6875,19.1875,570400,4.845294
2000-03-10,18.875,19.5,18.75,19.25,498000,4.861077
2000-03-13,18.875,19.0625,18.5625,18.6875,442000,4.719033
2000-03-14,18.5625,18.6875,18.4375,18.5,325400,4.671684
2000-03-15,18.75,20.0625,18.6875,19.9375,927600,5.034687
2000-03-16,19.9375,21.5,19.625,21.25,771800,5.366124
2000-03-17,20.375,20.875,20.25,20.375,634200,5.145166
2000-03-20,20.125,20.875,20.125,20.6875,554600,5.22408
2000-03-21,20.5,20.75,20.1875,20.4375,274200,5.160949
2000-03-22,20.1875,20.25,19.625,19.8125,526200,5.003121
2000-03-23,19.875,20.75,19.6875,20.6875,826600,5.22408
2000-03-24,20.6875,21.0,20.6875,21.0,518000,5.302993
2000-03-27,20.8125,20.9375,20.75,20.8125,319600,5.255645
2000-03-28,20.75,20.875,19.9375,20.125,412400,5.082035
2000-03-29,20.125,20.9375,20.125,20.4375,469000,5.160949
2000-03-30,20.5625,21.0,20.3125,20.8125,393200,5.255645
2000-03-31,20.5625,21.125,20.0625,20.9375,770400,5.28721
2000-04-03,20.9375,21.0,20.375,20.8125,518200,5.255645
2000-04-04,20.9375,21.4375,20.375,21.125,637600,5.334559
2000-04-05,20.875,21.9375,20.75,21.1875,461400,5.350341
2000-04-06,21.5,21.5625,21.125,21.3125,339200,5.381907
2000-04-07,21.0625,21.375,20.875,21.25,541400,5.366124
2000-04-10,21.0,21.5,20.8125,21.4375,274600,5.413472
2000-04-11,21.6875,21.875,21.375,21.8125,494800,5.508168
2000-04-12,21.5625,22.5625,21.5625,22.1875,642000,5.602865
2000-04-13,21.9375,22.9375,21.8125,22.75,317400,5.744909
2000-04-14,22.75,23.1875,22.0625,22.1875,387600,5.602865
2000-04-17,21.9375,22.375,21.5,22.375,582400,5.650213
2000-04-18,22.125,22.1875,21.6875,21.75,625200,5.492386
2000-04-19,21.9375,21.9375,21.125,21.6875,403400,5.476603
2000-04-20,21.5625,22.375,21.5625,22.375,496800,5.650213
2000-04-24,22.125,24.125,22.0625,23.8125,1144000,6.013215
2000-04-25,23.4375,24.25,23.0,24.25,1023400,6.123694
2000-04-26,24.0625,25.0,23.5625,24.9375,516000,6.297304
2000-04-27,24.5,24.75,23.875,24.3125,482600,6.139477
2000-04-28,24.0,24.25,23.4375,23.875,582400,6.028998
2000-05-01,23.625,23.875,23.5625,23.75,496800,5.997433
2000-05-02,23.5,23.6875,22.5,22.6875,436400,5.729126
2000-05-03,22.6875,23.125,22.375,22.9375,359800,5.792257
2000-05-04,22.8125,23.625,22.5,23.375,337600,5.902736
2000-05-05,23.125,23.125,22.375,22.375,438400,5.650213
2000-05-08,22.625,23.6875,22.4375,23.125,376600,5.839606
2000-05-09,23.125,23.5,22.625,23.5,477800,5.934302
2000-05-10,23.5,24.0625,23.1875,23.6875,377000,5.98165
