Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,8.5,8.5,8.0625,8.125,442500,7.457681
2000-01-04,8.09375,8.1875,7.70312,8.0625,2393500,7.400314
2000-01-05,8.09375,8.125,8.0,8.0625,319600,7.400314
2000-01-06,8.0625,8.125,8.0,8.125,1003300,7.457681
2000-01-07,8.0625,8.4375,8.0625,8.34375,192200,7.658464
2000-01-10,8.5,8.5625,8.125,8.5,1484800,7.801881
2000-01-11,8.375,8.5625,8.25,8.25,216500,7.572414
2000-01-12,8.375,8.5,8.25,8.48438,57000,7.787544
2000-01-13,8.5,8.6875,8.375,8.5625,200400,7.859248
2000-01-14,8.5,8.625,8.125,8.1875,274800,7.515047
2000-01-18,8.34375,8.5625,8.125,8.125,206900,7.457681
2000-01-19,8.125,8.5,8.125,8.4375,174800,7.744514
2000-01-20,8.375,8.625,8.3125,8.5625,3940800,7.859248
2000-01-21,8.65625,8.75,8.5,8.625,311800,7.916615
2000-01-24,8.625,8.6875,8.3125,8.375,386600,7.687148
2000-01-25,8.5,8.5,8.3125,8.46875,232200,7.773198
2000-01-26,8.5,8.75,8.375,8.625,168200,7.916615
2000-01-27,8.71875,9.125,8.6875,8.875,256500,8.146082
2000-01-28,8.8125,8.9375,8.5,8.5625,239700,7.859248
2000-01-31,8.8125,8.875,8.5625,8.59375,170600,7.887931
2000-02-01,8.6875,8.75,8.5,8.6875,141900,7.973982
2000-02-02,8.875,9.0625,8.5,9.03125,223100,8.289499
2000-02-03,9.03125,9.125,8.625,8.75,125100,8.031348
2000-02-04,8.9375,9.0625,8.5,8.65625,119300,7.945298
2000-02-07,8.84375,9.125,8.8125,9.0625,140000,8.318182
2000-02-08,8.9375,9.0625,8.75,9.03125,179100,8.289499
2000-02-09,9.0,9.4375,8.875,8.875,356200,8.146082
2000-02-10,8.875,8.9375,8.875,8.875,152400,8.146082
2000-02-11,9.0,9.0,8.4375,8.4375,1448800,7.744514
2000-02-14,8.5,8.5,7.5625,7.875,360700,7.228213
2000-02-15,7.9375,8.625,7.875,8.375,308800,7.687148
2000-02-16,8.25,8.5,8.25,8.46875,939400,7.773198
2000-02-17,8.375,8.4375,8.125,8.125,358600,7.457681
2000-02-18,8.125,8.4375,8.125,8.1875,329800,7.515047
2000-02-22,8.0625,8.25,7.9375,8.125,398900,7.457681
2000-02-23,8.0,8.0,7.5,7.5625,280000,6.94138
2000-02-24,7.59375,7.625,7.5,7.59375,222800,6.970063
2000-02-25,7.59375,7.75,7.5,7.5625,278000,6.94138
2000-02-28,7.5625,7.59375,7.40625,7.45312,188800,6.840983
2000-02-29,7.4375,7.5,7.28125,7.34375,353800,6.740596
2000-03-01,7.34375,7.5,7.34375,7.46875,304300,6.855329
2000-03-02,7.46875,9.0,7.46875,7.6875,1263800,7.056113
2000-03-03,7.75,7.75,7.5,7.6875,349800,7.056113
2000-03-06,7.6875,7.8125,7.5,7.65625,484500,7.02743
2000-03-07,7.6875,7.75,7.5625,7.6875,210000,7.056113
2000-03-08,7.71875,7.71875,7.3125,7.625,294900,6.998746
2000-03-09,7.6875,7.75,7.40625,7.5625,201600,6.94138
2000-03-10,7.54688,7.59375,7.375,7.40625,176300,6.797963
2000-03-13,7.4375,7.5625,7.25,7.28125,153500,6.683229
2000-03-14,7.3125,7.34375,6.84375,6.95312,679300,6.382049
2000-03-15,7.03125,7.09375,6.78125,6.90625,314700,6.339028
2000-03-16,7.0,7.125,6.9375,7.0625,977300,6.482445
2000-03-17,6.875,7.4375,6.875,7.34375,1553500,6.740596
2000-03-20,7.4375,7.5625,7.25,7.34375,463200,6.740596
2000-03-21,7.375,7.625,7.0,7.4375,941200,6.826646
2000-03-22,7.59375,7.625,7.375,7.4375,114200,6.826646
2000-03-23,7.46875,7.5625,7.25,7.40625,158800,6.797963
2000-03-24,7.375,7.4375,7.25,7.3125,263300,6.711912
2000-03-27,7.3125,7.4375,7.1875,7.375,167600,6.769279
2000-03-28,7.375,7.375,7.125,7.21875,263000,6.625862
2000-03-29,7.25,7.375,7.03125,7.3125,206000,6.711912
2000-03-30,7.1875,7.3125,7.125,7.28125,216800,6.683229
2000-03-31,7.3125,7.875,7.0,7.59375,961100,6.970063
2000-04-03,7.5,7.5625,7.25,7.3125,179200,6.711912
2000-04-04,7.25,7.34375,7.0,7.125,243500,6.539812
2000-04-05,7.0,7.375,7.0,7.1875,252100,6.597179
2000-04-06,7.3125,7.3125,7.0625,7.25,236400,6.654546
2000-04-07,7.1875,7.3125,7.0625,7.25,100400,6.654546
2000-04-10,7.3125,7.4375,7.25,7.28125,147600,6.683229
2000-04-11,7.25,7.375,7.125,7.3125,132700,6.711912
2000-04-12,7.125,7.3125,7.0625,7.125,167800,6.539812
2000-04-13,7.10938,7.125,7.0,7.0625,367400,6.482445
2000-04-14,7.125,7.25,7.0,7.0625,437300,6.482445
2000-04-17,7.0625,7.25,7.0625,7.25,612500,6.654546
2000-04-18,7.25,7.25,6.875,6.96875,628400,6.396395
2000-04-19,6.90625,7.1875,6.90625,6.9375,138100,6.367712
2000-04-20,6.9375,6.96875,6.90625,6.90625,83500,6.339028
2000-04-24,6.96875,7.0,6.90625,7.0,134900,6.425079
2000-04-25,7.0,7.0,6.6875,6.75,347800,6.195612
2000-04-26,6.65625,6.6875,5.625,5.8125,2214700,5.33511
2000-04-27,5.67188,5.6875,5.0,5.15625,3125900,4.732759
2000-04-28,5.1875,5.875,5.125,5.6875,552800,5.220376
2000-05-01,5.75,5.84375,5.5,5.53125,251600,5.076959
2000-05-02,5.53125,5.6875,5.375,5.40625,207200,4.962226
2000-05-03,5.375,5.4375,5.0625,5.15625,392500,4.732759
2000-05-04,5.125,5.53125,5.125,5.40625,392200,4.962226
2000-05-05,5.53125,5.5625,5.375,5.4375,200000,4.990909
2000-05-08,5.4375,5.4375,5.3125,5.375,333600,4.933543
2000-05-09,5.375,5.375,5.25,5.28125,275900,4.847492
2000-05-10,5.25,5.3125,5.21875,5.28125,129900,4.847492
2000-05-11,5.25,5.375,5.125,5.28125,664000,4.847492
2000-05-12,5.3125,5.375,5.03125,5.21875,689600,4.790126
2000-05-15,5.3125,5.5,5.28125,5.5,302800,5.048276
2000-05-16,5.46875,5.875,5.375,5.875,187400,5.392477
2000-05-17,5.875,6.0,5.6875,5.90625,366300,5.42116
2000-05-18,5.96875,5.96875,5.5,5.71875,263400,5.24906
2000-05-19,5.70312,5.70312,5.5,5.5,56700,5.048276
2000-05-22,5.5,5.75,5.5,5.75,203300,5.277743
2000-05-23,5.6875,5.75,5.53125,5.59375,128300,5.134326
2000-05-24,5.59375,5.875,5.25,5.84375,496400,5.363793
2000-05-25,5.875,6.03125,5.75,5.8125,237400,5.33511
2000-05-26,5.8125,6.0625,5.75,5.9375,278300,5.449843
2000-05-30,6.0,6.4375,5.875,6.40625,239500,5.880094
2000-05-31,6.1875,6.4375,6.0,6.0,382700,5.50721
2000-06-01,6.15625,6.375,5.9375,6.1875,325900,5.679311
2000-06-02,6.1875,6.40625,6.125,6.15625,155200,5.650627
2000-06-05,6.17188,6.5625,6.0,6.25,331700,5.736677
2000-06-06,6.3125,6.375,6.125,6.3125,79300,5.794044
2000-06-07,6.34375,6.40625,6.15625,6.375,77000,5.851411
2000-06-08,6.34375,6.40625,6.15625,6.375,63400,5.851411
2000-06-09,6.375,6.40625,6.25,6.3125,51000,5.794044
2000-06-12,6.25,6.375,6.125,6.21875,60700,5.707994
2000-06-13,6.0625,6.09375,5.75,5.78125,126000,5.306427
2000-06-14,5.8125,6.125,5.8125,6.03125,256400,5.535894
2000-06-15,6.03125,6.625,6.0,6.5625,134600,6.023511
2000-06-16,6.6875,6.875,6.4375,6.71875,455100,6.166928
2000-06-19,6.625,6.6875,6.4375,6.5,116200,5.966144
2000-06-20,6.46875,6.64062,6.0,6.375,215400,5.851411
2000-06-21,6.40625,6.6875,6.375,6.5625,158100,6.023511
2000-06-22,6.5,6.59375,6.4375,6.4375,61100,5.908778
2000-06-23,6.4375,6.65625,6.125,6.3125,198800,5.794044
2000-06-26,6.25,6.5,6.1875,6.5,50700,5.966144
2000-06-27,6.4375,6.70312,6.40625,6.46875,80600,5.937461
2000-06-28,6.4375,6.46875,6.03125,6.15625,76300,5.650627
2000-06-29,6.125,6.75,6.125,6.71875,199700,6.166928
2000-06-30,6.5625,6.75,6.25,6.3125,256300,5.794044
2000-07-03,6.3125,6.8125,6.25,6.3125,86400,5.794044
2000-07-05,6.34375,6.75,6.3125,6.71875,164200,6.166928
