Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,8.1875,8.1875,7.75,7.8125,30100,7.09498
2000-01-04,7.75,7.875,7.4375,7.5,17500,6.811181
2000-01-05,7.5,7.5625,7.375,7.375,26800,6.697661
2000-01-06,7.375,7.6875,7.25,7.5625,48400,6.867941
2000-01-07,7.5625,7.875,7.375,7.375,20900,6.697661
2000-01-10,7.5,7.5,7.0,7.0625,84300,6.413862
2000-01-11,7.1875,7.25,6.8125,6.875,31500,6.243583
2000-01-12,7.0,7.125,6.8125,7.125,28200,6.470622
2000-01-13,7.25,7.25,7.125,7.125,17900,6.470622
2000-01-14,7.1875,7.1875,6.9375,6.9375,29100,6.300342
2000-01-18,7.0625,7.25,7.0625,7.25,50100,6.584142
2000-01-19,7.25,7.375,7.25,7.375,12800,6.697661
2000-01-20,7.3125,7.625,7.3125,7.625,27200,6.924701
2000-01-21,7.5,7.75,7.4375,7.75,43000,7.03822
2000-01-24,7.8125,7.875,7.4375,7.4375,88400,6.754421
2000-01-25,7.375,7.375,7.0,7.1875,969200,6.527382
2000-01-26,7.25,7.25,7.125,7.125,9200,6.470622
2000-01-27,7.125,7.1875,7.0625,7.0625,9600,6.413862
2000-01-28,7.125,7.125,7.0,7.0,26300,6.357102
2000-01-31,7.0,7.0625,6.75,6.75,16400,6.130063
2000-02-01,6.8125,6.8125,6.625,6.625,43900,6.016543
2000-02-02,6.75,6.8125,6.6875,6.8125,40500,6.186823
2000-02-03,6.75,7.0,6.75,7.0,34500,6.357102
2000-02-04,7.0,7.0,6.6875,6.6875,70400,6.073303
2000-02-07,6.6875,6.6875,6.4375,6.4375,20100,5.846264
2000-02-08,6.375,6.4375,6.0,6.0,39000,5.448945
2000-02-09,5.875,5.9375,5.8125,5.875,128200,5.335425
2000-02-10,6.0,6.5,5.9375,6.4375,132800,5.846264
2000-02-11,6.5,6.5,6.3125,6.375,19500,5.789504
2000-02-14,6.25,6.5625,6.25,6.4375,19900,5.846264
2000-02-15,6.5,6.5,6.125,6.375,66900,5.789504
2000-02-16,6.375,6.6875,6.25,6.6875,40600,6.073303
2000-02-17,6.75,7.3125,6.75,6.9375,68600,6.300342
2000-02-18,7.0,7.125,6.9375,7.0,31400,6.357102
2000-02-22,7.0,7.1875,6.9375,7.0,24500,6.357102
2000-02-23,7.0,7.0625,7.0,7.0,12700,6.357102
2000-02-24,7.0,7.0,6.9375,6.9375,24800,6.300342
2000-02-25,7.0,7.125,6.9375,6.9375,17000,6.300342
2000-02-28,6.9375,7.0,6.75,7.0,97300,6.357102
2000-02-29,7.0,7.0625,6.8125,6.9375,29000,6.300342
2000-03-01,6.875,7.0,6.75,6.9375,83800,6.300342
2000-03-02,6.9375,7.0,6.75,6.875,52400,6.243583
2000-03-03,6.75,6.8125,6.625,6.8125,81000,6.186823
2000-03-06,6.875,7.0625,6.875,7.0625,76500,6.413862
2000-03-07,7.1875,7.1875,6.875,7.125,32700,6.470622
2000-03-08,7.125,7.125,6.625,6.875,32000,6.243583
2000-03-09,6.875,7.25,6.875,7.125,45200,6.506585
2000-03-10,7.125,7.125,6.6875,6.875,16600,6.278284
2000-03-13,6.8125,6.9375,6.8125,6.9375,11400,6.335359
2000-03-14,6.8125,6.9375,6.75,6.75,71200,6.164134
2000-03-15,6.75,6.75,6.5625,6.625,36900,6.049983
2000-03-16,6.625,6.6875,6.625,6.625,27200,6.049983
2000-03-17,6.5625,6.75,6.5625,6.6875,39100,6.107058
2000-03-20,6.8125,7.0625,6.6875,7.0,94400,6.392435
2000-03-21,7.0,7.375,6.875,7.3125,105500,6.677811
2000-03-22,7.3125,7.5625,7.3125,7.4375,60900,6.791962
2000-03-23,7.375,7.5,7.375,7.375,17100,6.734887
2000-03-24,7.375,7.375,6.8125,6.9375,55200,6.335359
2000-03-27,6.9375,7.3125,6.9375,7.0,90600,6.392435
2000-03-28,7.0,7.1875,6.9375,7.0625,84900,6.44951
2000-03-29,7.0,7.5,7.0,7.4375,70900,6.791962
2000-03-30,7.5,7.5,7.375,7.375,19300,6.734887
2000-03-31,7.5,7.9375,7.4375,7.6875,72700,7.020263
2000-04-03,7.75,7.8125,7.625,7.8125,43600,7.134414
2000-04-04,7.6875,7.75,7.5625,7.625,86100,6.963188
2000-04-05,7.5,7.5625,7.3125,7.4375,52500,6.791962
2000-04-06,7.4375,7.6875,7.4375,7.625,31400,6.963188
2000-04-07,7.625,7.9375,7.5625,7.75,96900,7.077339
2000-04-10,7.6875,8.125,7.625,8.125,79100,7.41979
2000-04-11,8.25,8.25,7.8125,8.125,100300,7.41979
2000-04-12,8.125,8.125,7.75,7.8125,50800,7.134414
2000-04-13,7.875,8.0625,7.75,8.0,45800,7.30564
2000-04-14,8.0625,8.25,7.25,7.25,90600,6.620736
2000-04-17,7.25,7.625,7.25,7.3125,26600,6.677811
2000-04-18,7.4375,7.4375,7.3125,7.375,25500,6.734887
2000-04-19,7.25,7.625,7.25,7.625,17500,6.963188
2000-04-20,7.625,7.8125,7.625,7.75,12900,7.077339
2000-04-24,7.875,7.9375,7.5625,7.5625,7700,6.906113
2000-04-25,7.625,7.6875,7.5625,7.625,7100,6.963188
2000-04-26,7.6875,8.3125,7.6875,8.25,66500,7.533941
2000-04-27,8.125,8.1875,8.0,8.0,28500,7.30564
2000-04-28,8.0,8.4375,7.9375,8.4375,32400,7.705167
2000-05-01,8.375,8.375,8.0625,8.25,20400,7.533941
2000-05-02,8.25,8.4375,8.25,8.3125,59800,7.591016
2000-05-03,8.3125,8.3125,7.9375,8.125,118400,7.41979
2000-05-04,8.1875,8.375,8.0625,8.125,63200,7.41979
2000-05-05,8.125,8.3125,8.125,8.3125,45900,7.591016
2000-05-08,8.3125,8.375,8.1875,8.3125,21600,7.591016
2000-05-09,8.3125,8.3125,8.125,8.1875,38700,7.476866
2000-05-10,8.125,8.125,7.75,7.875,47900,7.191489
