Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,50.3125,52.125,49.5,49.8125,1369400,18.103864
2000-01-04,49.3125,49.5625,48.625,48.9375,983600,17.785854
2000-01-05,48.9375,50.6875,48.9375,49.8125,3410600,18.103864
2000-01-06,49.8125,53.6875,49.6875,53.5,2463600,19.44405
2000-01-07,53.25,53.9375,52.4375,53.5625,2128400,19.466765
2000-01-10,53.1875,53.75,52.9375,53.625,1391600,19.48948
2000-01-11,53.375,54.9375,53.375,54.5,2303600,19.80749
2000-01-12,54.25,54.875,52.5625,53.5625,1497600,19.466765
2000-01-13,53.5,54.5625,52.8125,52.8125,1135200,19.194185
2000-01-14,53.4375,54.0,53.3125,53.4375,995200,19.421335
2000-01-18,52.4375,52.5625,50.375,51.125,1185000,18.580879
2000-01-19,50.375,50.4375,48.625,49.1875,1538400,17.876714
2000-01-20,48.9375,48.9375,45.5,47.375,1869400,17.217979
2000-01-21,47.625,47.75,46.6875,46.875,1574400,17.036259
2000-01-24,46.625,49.0,46.25,48.75,2158000,17.717709
2000-01-25,46.75,47.0,42.375,43.9375,3920200,15.968653
2000-01-26,43.9375,44.75,42.25,42.9375,2475200,15.605213
2000-01-27,42.25,44.0,42.125,43.75,2670800,15.900508
2000-01-28,43.375,43.5,40.0,40.8125,2028200,14.832903
2000-01-31,41.0,41.0,38.5,40.75,2810000,14.810188
2000-02-01,40.5,41.25,39.5625,41.0,2200800,14.901048
2000-02-02,41.0,41.0,38.0,39.0,3565200,14.174167
2000-02-03,39.875,41.5625,39.75,40.5,3135600,14.719328
2000-02-04,40.25,41.75,40.1875,41.375,2354600,15.037338
2000-02-07,41.625,42.375,41.25,42.0,3286000,15.264488
2000-02-08,41.125,42.0,40.625,40.6875,1675600,14.787473
2000-02-09,40.4375,40.4375,39.0625,39.375,2568400,14.310457
2000-02-10,39.375,39.875,37.75,38.4375,2178600,13.969732
2000-02-11,38.1875,38.25,37.125,37.625,2328800,13.674437
2000-02-14,37.375,39.0,37.0,38.8125,1752400,14.106022
2000-02-15,38.375,40.625,38.25,40.25,3780000,14.628467
2000-02-16,40.375,41.625,39.875,41.0625,2291200,14.923763
2000-02-17,40.8125,42.0,40.75,40.875,1514200,14.855618
2000-02-18,40.5,40.75,39.375,39.625,1340400,14.401317
2000-02-22,39.375,39.75,39.125,39.5,1890800,14.355887
2000-02-23,39.75,40.5,38.375,38.375,2666000,13.947017
2000-02-24,38.4375,38.4375,35.125,35.9375,2292200,13.061132
2000-02-25,35.8125,36.25,35.125,35.5,1495200,12.902127
2000-02-28,35.125,36.125,34.875,35.3125,1979200,12.833982
2000-02-29,35.125,35.375,33.375,33.75,2777800,12.266106
2000-03-01,34.0,34.125,33.0,33.3125,1595600,12.107101
2000-03-02,33.375,33.875,32.375,32.6875,1540400,11.879951
2000-03-03,33.0,34.875,33.0,34.125,3211600,12.461487
2000-03-06,33.75,34.5,33.625,33.875,2260200,12.370194
2000-03-07,33.6875,33.75,31.875,32.0625,1034800,11.708321
2000-03-08,32.25,33.0,31.875,32.125,2256400,11.731144
2000-03-09,32.125,32.125,31.375,31.8125,1279000,11.617028
2000-03-10,31.75,34.5,31.75,33.5,2692200,12.233255
2000-03-13,33.25,34.0,32.25,33.375,1626000,12.187608
2000-03-14,33.625,34.375,33.375,33.625,1874600,12.278901
2000-03-15,33.875,39.0,33.875,37.25,2931400,13.602649
2000-03-16,37.625,40.5,37.5,40.0625,3434000,14.629695
2000-03-17,39.5,39.5625,35.9375,37.0,2063200,13.511356
2000-03-20,37.5,39.75,37.5,38.0,1126600,13.876528
2000-03-21,38.125,39.25,37.75,38.9375,1242000,14.218877
2000-03-22,38.4375,38.5,37.125,37.625,1736600,13.739589
2000-03-23,37.5625,39.375,37.5625,37.75,1291000,13.785235
2000-03-24,37.0,39.125,37.0,38.8125,1361400,14.17323
2000-03-27,38.8125,39.5625,38.0625,38.1875,1354400,13.944998
2000-03-28,38.0625,40.5625,38.0625,38.75,1548000,14.150407
2000-03-29,39.25,40.5,39.25,39.8125,1575000,14.538402
2000-03-30,40.0,43.1875,39.625,41.4375,2351400,15.131806
2000-03-31,41.5,42.75,40.25,41.625,1894400,15.200276
2000-04-03,41.375,42.125,40.75,41.6875,1019000,15.223099
2000-04-04,42.125,43.125,40.468761,41.875,2181200,15.291569
2000-04-05,41.625,42.5,39.625,41.0,1260000,14.972043
2000-04-06,41.25,42.25,41.0625,41.9375,1317800,15.314392
2000-04-07,41.3125,41.6875,41.125,41.375,929400,15.108983
2000-04-10,41.625,42.125,41.25,41.5,963400,15.154629
2000-04-11,41.125,44.75,41.0625,44.5625,2230200,16.272968
2000-04-12,43.5625,45.125,43.5,44.3125,1629800,16.181675
2000-04-13,44.5,44.5,42.625,42.875,832400,15.656741
2000-04-14,42.0,42.25,39.75,39.875,1966200,14.561225
2000-04-17,40.0,40.625,38.875,39.9375,1165600,14.584048
2000-04-18,39.6875,39.75,37.5,38.0625,1422200,13.899351
2000-04-19,38.625,39.1875,37.9375,38.5,1347400,14.059114
2000-04-20,38.25,43.625,38.25,42.0625,2534000,15.360038
2000-04-24,42.0,43.3125,41.5,42.1875,2424200,15.405685
2000-04-25,41.5,43.0,41.5,42.75,1858200,15.611094
2000-04-26,42.75,44.25,42.25,43.5,2848400,15.884973
2000-04-27,42.0,43.9375,42.0,43.625,1737800,15.930619
2000-04-28,43.625,45.3125,43.4375,44.4375,2131200,16.227321
2000-05-01,44.0,45.0625,43.375,45.0,1605400,16.432731
2000-05-02,45.0,47.125,44.6875,46.75,1765200,17.071781
2000-05-03,46.125,46.625,45.8125,45.875,1554200,16.752256
