Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,199.25,200.0,174.0,179.3125,91334000,71.069846
2000-01-04,172.5625,175.3125,160.0,162.0625,63567400,64.232872
2000-01-05,159.875,163.25,139.0,156.4375,93778400,62.003424
2000-01-06,148.5,156.0,139.75,140.0625,58782600,55.513254
2000-01-07,134.0,150.5,132.921799,150.0,68198600,59.451945
2000-01-10,162.0,163.0,152.5,159.375,35360800,63.167692
2000-01-11,156.0,157.875,141.5,144.4375,30575800,57.247269
2000-01-12,145.0,147.5,136.0625,138.25,34455600,54.794876
2000-01-13,144.375,145.625,137.625,143.125,25146800,56.727064
2000-01-14,147.625,148.9375,139.5,140.4375,26209200,55.661884
2000-01-18,137.4375,141.25,135.0,139.0625,28503000,55.116907
2000-01-19,137.125,147.0,137.0,146.625,30728400,58.114276
2000-01-20,149.25,156.0,147.125,155.625,39224000,61.681393
2000-01-21,158.25,160.4375,151.0,154.9375,34955000,61.408905
2000-01-24,155.75,157.0,139.625,140.0625,32170600,55.513254
2000-01-25,143.625,149.9375,140.0,149.0,39671400,59.055599
2000-01-26,129.0,130.875,120.0,124.625,136953200,49.394658
2000-01-27,126.6875,128.0,117.375,120.0,62571000,47.561556
2000-01-28,121.0625,121.375,105.625,110.5625,85675000,43.821038
2000-01-31,112.625,127.5,112.1875,127.0,80518000,50.33598
2000-02-01,131.5,140.0,130.921799,136.0625,69648400,53.927869
2000-02-02,136.875,145.5,136.0,142.0625,57368200,56.305946
2000-02-03,145.125,148.0,132.0,139.1875,52571000,55.166451
2000-02-04,141.875,141.875,135.0,137.4375,30028800,54.472845
2000-02-07,134.4375,135.25,130.25,133.4375,20868400,52.88746
2000-02-08,133.5,139.625,133.4375,139.0625,21450800,55.116907
2000-02-09,139.5,140.0,133.0,133.3125,20141200,52.837916
2000-02-10,134.5625,137.125,133.0,136.9375,15072200,54.274672
2000-02-11,135.078094,136.5,131.5,132.0,12419400,52.317712
2000-02-14,129.375,130.0,125.0,127.125,23353600,50.385523
2000-02-15,124.359299,127.6875,120.0625,126.625,30036000,50.18735
2000-02-16,125.375,131.5,121.0,121.875,30052000,48.304705
2000-02-17,125.125,131.0,122.0,130.0,34971600,51.525019
2000-02-18,132.015594,138.75,131.75,134.5,42991600,53.308577
2000-02-22,132.5,135.75,126.25,130.5625,24472000,51.747964
2000-02-23,133.375,147.5,130.75,146.875,52349200,58.213363
2000-02-24,136.875,142.25,135.0,139.6875,51715400,55.364624
2000-02-25,136.25,142.0,133.375,133.5625,23405600,52.937003
2000-02-28,137.5,147.5,137.5,143.25,36400800,56.776608
2000-02-29,146.0,148.0,138.25,142.4375,31323400,56.454576
2000-03-01,140.5,141.3125,136.531204,139.0,20865400,55.092136
2000-03-02,138.875,139.125,132.0,132.1875,20560800,52.392027
2000-03-03,131.0,135.0,126.0,131.875,33932600,52.268168
2000-03-06,129.5,138.0,128.0,133.25,23576200,52.813145
2000-03-07,134.5,134.75,127.5,128.0,21447000,50.732327
2000-03-08,130.625,131.625,124.984299,129.125,22876000,51.178216
2000-03-09,127.1875,129.25,124.75,127.0,17427800,50.33598
2000-03-10,125.1875,145.5,122.0,136.125,83012800,53.95264
2000-03-13,128.375,136.0,127.125,130.1875,35140400,51.599334
2000-03-14,132.125,134.0,125.0,125.125,24239800,49.592831
2000-03-15,126.0,133.0,125.5,128.0,31392000,50.732327
2000-03-16,130.4375,134.0,126.5,132.875,23705600,52.664515
2000-03-17,132.75,137.5,132.625,136.25,31121600,54.002183
2000-03-20,134.3125,135.9375,128.0,129.625,18187800,51.376389
2000-03-21,127.75,135.0,125.75,134.625,18525200,53.358121
2000-03-22,133.6875,135.75,130.5,134.875,19331800,53.457207
2000-03-23,132.5625,144.625,132.25,144.125,42424400,57.123411
2000-03-24,143.5,152.421799,142.375,146.0,50165800,57.86656
2000-03-27,147.6875,156.0,146.5,148.9375,37870000,59.030827
2000-03-28,149.75,157.0,147.0,154.8125,41268000,61.359362
2000-03-29,158.25,162.5625,152.1875,157.5,50245600,62.424542
2000-03-30,151.875,157.25,139.25,145.234299,41385600,57.563077
2000-03-31,149.8125,153.5,145.0,149.3125,34407000,59.179457
2000-04-03,148.6875,152.0,138.0625,140.75,26965400,55.785742
2000-04-04,141.875,147.5,124.0,146.625,42759000,58.114276
2000-04-05,140.75,145.0,137.125,141.25,23548800,55.983915
2000-04-06,141.375,143.0,137.0,139.125,16193600,55.141679
2000-04-07,141.875,152.75,140.0,152.25,31462600,60.343724
2000-04-10,151.375,151.8125,140.25,141.1875,20188800,55.959143
2000-04-11,135.5,147.5,133.9375,137.4375,22864800,54.472845
2000-04-12,137.9375,141.0,125.0,125.125,31838800,49.592831
2000-04-13,128.0,135.625,123.0,126.5,30230600,50.137807
2000-04-14,123.0,130.75,103.0,105.1875,66002600,41.690677
2000-04-17,98.4375,117.4375,98.125,116.875,64758800,46.322974
2000-04-18,115.515602,121.25,107.0,112.1875,44492400,44.465101
2000-04-19,119.25,125.875,113.0,114.75,59833800,45.480738
2000-04-20,115.9375,118.5,106.5,109.5,38979800,43.39992
2000-04-24,103.0,104.0,92.25,99.625,64246400,39.486
2000-04-25,104.5,108.3125,101.5,104.9375,47791400,41.59159
2000-04-26,104.9375,105.25,97.0,97.25,31038600,38.544678
2000-04-27,94.875,104.0,94.5,103.5,41750800,41.021842
2000-04-28,105.875,110.0,104.5,108.4375,31301200,42.978802
2000-05-01,109.625,111.9375,107.25,109.75,22545000,43.499007
2000-05-02,110.8125,120.0,110.125,113.6875,52975000,45.05962
2000-05-03,111.625,114.0,108.125,110.9375,32021800,43.969668
2000-05-04,110.859299,112.25,105.6875,106.6875,20103200,42.285196
2000-05-05,105.3125,111.375,105.0,109.75,15971000,43.499007
2000-05-08,106.5,107.718697,102.8125,103.0,16030200,40.823669
2000-05-09,104.5,107.875,102.0,105.0,23062400,41.616362
2000-05-10,102.25,104.0,97.0,97.3125,34484800,38.569449
2000-05-11,100.75,101.25,95.0,99.3125,32332200,39.362142
2000-05-12,101.75,102.5,97.5,98.0,17078000,38.841937
2000-05-15,98.3125,104.5,96.625,104.3125,21605400,41.343874
2000-05-16,105.359299,109.0,105.0,108.6875,23164200,43.077889
2000-05-17,104.5,106.25,102.4375,103.156197,18169600,40.885577
2000-05-18,103.125,103.1875,96.0,96.9375,27271200,38.42082
2000-05-19,95.0,96.625,89.031197,89.1875,50833400,35.349136
2000-05-22,90.0,90.125,77.75,88.4375,51737000,35.051876
2000-05-23,86.75,87.375,79.25,79.375,37273800,31.459988
2000-05-24,76.3125,78.5,69.781197,76.75,82046200,30.419579
2000-05-25,79.5625,82.25,68.625,69.0,60416400,27.347895
2000-05-26,69.8125,70.0,62.375,66.0625,76242600,26.183627
2000-05-30,63.328098,76.625,60.0,76.375,114359800,30.270949
2000-05-31,70.75,72.0,66.0,66.375,109686200,26.307486
2000-06-01,71.25,72.0,68.25,69.0,64625400,27.347895
2000-06-02,74.1875,74.75,68.3125,72.6875,75612600,28.809422
2000-06-05,65.0625,69.875,64.875,67.25,59490200,26.654289
2000-06-06,67.75,72.875,67.625,68.875,47774000,27.298351
2000-06-07,71.625,74.8125,70.5,74.6875,45259200,29.602114
2000-06-08,78.125,80.0,75.5,77.4375,43289400,30.692067
2000-06-09,80.5,81.0,78.5,79.0625,29512400,31.336129
2000-06-12,83.25,84.3125,80.0,81.6875,30566000,32.376538
2000-06-13,80.9375,82.8125,76.8125,81.375,38326000,32.25268
2000-06-14,81.6875,82.0,69.0,70.5,83876600,27.942414
2000-06-15,62.875,63.6875,59.984299,61.4375,122278000,24.350526
2000-06-16,64.375,67.5,63.75,65.75,55383200,26.059769
2000-06-19,65.8125,66.25,63.25,65.1875,26381800,25.836824
2000-06-20,65.4375,65.6875,62.5,62.9375,28998800,24.945045
2000-06-21,62.25,67.5,61.875,64.5,38151600,25.564336
2000-06-22,65.25,73.875,64.375,68.25,84558800,27.050635
2000-06-23,71.5625,74.75,65.5,66.375,58846800,26.307486
2000-06-26,68.1875,68.359299,62.9062,64.75,34292400,25.663423
2000-06-27,64.375,67.5,62.875,63.6875,29835800,25.242305
2000-06-28,60.125,66.0,57.5,63.5625,77099400,25.192762
2000-06-29,61.875,63.2187,61.0,61.5,23910000,24.375298
2000-06-30,62.0,62.125,58.0,60.0,37016200,23.780778
2000-07-03,59.9375,61.875,59.5,60.25,8696800,23.879865
2000-07-05,61.0,63.0,58.25,58.4375,20386800,23.161487
2000-07-06,59.375,62.625,57.5625,61.6875,24744200,24.449612
2000-07-07,57.375,59.265598,56.0625,56.625,56752800,22.443109
2000-07-10,55.9375,57.5,54.0,54.875,35357000,21.749503
2000-07-11,53.5625,55.875,51.5,53.0,36054000,21.006354
2000-07-12,55.3125,61.5,53.9375,61.0,48357000,24.177124
2000-07-13,61.625,63.0,59.375,62.0,32298800,24.573471
2000-07-14,63.4375,64.875,61.0,63.0625,22639000,24.994589
2000-07-17,64.875,70.9375,64.625,69.8125,50497000,27.669926
