Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,20.75,20.8125,19.75,20.125,574100,14.744719
2000-01-04,20.0,20.0625,18.875,19.375,646800,14.195226
2000-01-05,19.4375,19.8125,19.375,19.4375,622800,14.241017
2000-01-06,20.0625,20.25,19.5625,19.75,583600,14.469973
2000-01-07,19.625,20.0625,19.125,19.5,949500,14.286808
2000-01-10,19.5,20.0,19.0625,19.0625,1067900,13.966271
2000-01-11,19.375,19.6875,19.25,19.3125,1181500,14.149435
2000-01-12,19.375,19.75,19.25,19.3125,709000,14.149435
2000-01-13,19.3125,19.375,19.0,19.125,813500,14.012062
2000-01-14,19.3125,19.375,18.75,18.875,937800,13.828898
2000-01-18,18.625,18.875,18.25,18.5625,691400,13.599943
2000-01-19,18.5625,18.6875,18.3125,18.375,642000,13.462569
2000-01-20,18.375,18.375,17.375,17.625,858700,12.913077
2000-01-21,18.0,18.25,17.6875,17.875,1121300,13.096241
2000-01-24,17.875,18.3125,17.6562,17.9375,651600,13.142032
2000-01-25,17.875,18.4375,17.625,18.0,835000,13.187823
2000-01-26,18.0,18.375,17.75,17.8125,526000,13.05045
2000-01-27,17.8125,18.1875,17.6875,17.9375,501700,13.142032
2000-01-28,17.875,17.9375,17.4375,17.4375,476100,12.775704
2000-01-31,17.4375,18.125,17.375,17.625,668900,12.913077
2000-02-01,17.5,18.5,17.5,18.4375,746000,13.50836
2000-02-02,18.25,18.375,17.4375,17.5,1205500,12.821495
2000-02-03,17.625,19.6875,17.125,19.625,2110800,14.37839
2000-02-04,20.625,20.6875,20.125,20.125,1715100,14.744719
2000-02-07,20.1875,20.1875,20.0,20.1875,577100,14.79051
2000-02-08,20.0,20.0,19.125,19.375,710700,14.195226
2000-02-09,19.375,19.4375,18.75,19.1875,763500,14.057853
2000-02-10,19.1875,19.6875,19.125,19.375,450400,14.195226
2000-02-11,19.375,19.4375,18.5625,18.6875,492800,13.691525
2000-02-14,19.0,19.125,18.5625,18.9375,735400,13.874689
2000-02-15,19.0,20.0,18.9375,20.0,1031700,14.653137
