Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,20.75,20.875,20.0625,20.625,8016900,10.178368
2000-01-04,20.25,21.5,20.125,20.75,10140400,10.240055
2000-01-05,20.875,23.75,20.8125,22.5,12676900,11.103674
2000-01-06,22.6875,24.062499,22.5625,23.9375,11216400,11.813075
2000-01-07,24.390601,25.3125,24.062499,25.3125,14809200,12.491633
2000-01-10,25.812501,27.312501,25.6875,27.312501,16479300,13.478627
2000-01-11,26.874999,27.062499,26.625,26.874999,14162400,13.262721
2000-01-12,26.4375,26.562501,24.812499,26.000001,7990900,12.830913
2000-01-13,26.000001,28.3125,25.3125,27.875001,15644700,13.756219
2000-01-14,28.250001,28.749999,25.625001,25.937499,13848700,12.800068
2000-01-18,25.625001,25.6875,23.75,24.1875,16580500,11.936449
2000-01-19,24.375,26.000001,24.312501,25.562499,5231700,12.615007
2000-01-20,25.749999,25.875,24.375,24.375,7637200,12.02898
2000-01-21,24.437499,24.5625,23.0,23.6875,11468100,11.689701
2000-01-24,23.625,24.1875,22.0,22.125,10575000,10.918613
2000-01-25,22.5,24.624999,22.1875,24.125001,5819500,11.905606
2000-01-26,23.9375,24.624999,23.1875,23.6875,4342200,11.689701
2000-01-27,23.625,24.0,22.25,22.8125,5490900,11.257891
2000-01-28,22.6875,23.8125,21.25,21.5,7121100,10.610177
2000-01-31,22.125,24.125001,21.625,23.8125,10753600,11.751388
2000-02-01,24.0,24.500001,22.6875,23.5625,6158400,11.628014
2000-02-02,24.0,25.250001,23.8125,24.75,9066000,12.214041
2000-02-03,24.9375,25.062501,23.8125,24.875001,6126000,12.275729
2000-02-04,24.875001,26.937501,24.875001,26.000001,9024300,12.830913
2000-02-07,25.937499,25.937499,24.999999,25.812501,3835200,12.738382
2000-02-08,26.000001,27.0,24.812499,26.750001,6544000,13.201035
2000-02-09,26.625,27.312501,25.812501,25.875,5763300,12.769225
2000-02-10,25.749999,28.125,25.250001,27.812499,8275800,13.725374
2000-02-11,27.500001,28.6875,23.375,28.062501,9594600,13.848749
2000-02-14,27.75,27.875001,26.375001,27.1875,4641600,13.416939
2000-02-15,26.687499,26.687499,24.812499,24.999999,9761400,12.337415
2000-02-16,24.875001,25.125,23.75,24.375,9830100,12.02898
2000-02-17,24.624999,25.125,22.875,23.875,8257600,11.782232
2000-02-18,24.0,24.0,22.75,22.9375,8646700,11.319579
2000-02-22,23.4375,23.875,22.9375,23.375,7929000,11.535483
2000-02-23,23.3125,23.5625,22.0,22.5625,7954600,11.134518
2000-02-24,22.8125,22.8125,21.375,22.25,8650900,10.980299
2000-02-25,22.625,23.125,21.5,21.875,5073000,10.795238
2000-02-28,21.875,25.125,21.875,24.875001,6915000,12.275729
2000-02-29,24.9375,27.1875,24.875001,27.0,16158600,13.324409
2000-03-01,26.750001,26.937501,25.562499,26.312499,5982700,12.985129
2000-03-02,24.624999,24.999999,21.5,21.625,23097900,10.671865
2000-03-03,22.25,22.5625,21.0,21.75,15071700,10.733551
2000-03-06,21.75,21.75,20.125,20.1875,9928200,9.962463
2000-03-07,20.6875,20.75,18.875,19.375,13795300,9.561497
