Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,17.25,17.5625,16.875,17.3125,512400,9.495108
2000-01-04,17.25,17.75,17.25,17.5,731100,9.597943
2000-01-05,17.75,18.1875,17.6875,17.875,1481700,9.803613
2000-01-06,18.0,18.5,17.75,18.375,427300,10.07784
2000-01-07,18.4375,18.5,17.875,18.0,460000,9.87217
2000-01-10,18.125,18.1875,17.75,17.8125,427700,9.769335
2000-01-11,17.0625,17.0625,16.25,16.875,1899000,9.255159
2000-01-12,16.8125,17.625,16.75,17.625,864200,9.666499
2000-01-13,17.4375,17.6875,17.1875,17.5,437400,9.597943
2000-01-14,17.375,17.4375,16.875,17.4375,726000,9.563664
2000-01-18,17.3125,17.4375,17.0625,17.3125,699000,9.495108
2000-01-19,17.375,17.375,17.0,17.25,2051500,9.460829
2000-01-20,17.0625,17.1875,17.0625,17.1875,545900,9.426551
2000-01-21,17.1875,17.4375,17.0,17.4375,824500,9.563664
2000-01-24,17.1875,17.375,17.125,17.1875,559400,9.426551
2000-01-25,17.125,17.4375,16.9375,17.25,570200,9.460829
2000-01-26,18.8125,19.125,18.0,18.625,4601100,10.214953
2000-01-27,18.5,18.5,18.0625,18.3125,1234600,10.043561
2000-01-28,18.25,18.3125,17.9375,18.125,899100,9.940726
2000-01-31,18.125,18.6875,18.0625,18.5625,636700,10.180675
2000-02-01,18.4375,18.6875,18.4375,18.6875,484400,10.249232
2000-02-02,18.5625,19.0,18.5625,18.75,657700,10.28351
2000-02-03,18.875,19.25,18.8125,19.0,838600,10.420623
2000-02-04,19.0,19.0625,18.875,19.0,956100,10.420623
2000-02-07,19.0,19.1875,18.9375,19.0625,967300,10.454902
2000-02-08,19.0,19.125,19.0,19.0625,886200,10.454902
2000-02-09,19.0625,19.1875,18.75,18.75,840600,10.28351
2000-02-10,18.875,19.0,18.625,18.75,1013500,10.28351
2000-02-11,18.75,18.875,18.625,18.8125,536000,10.317788
2000-02-14,18.8125,19.0,18.75,18.8125,2229700,10.317788
2000-02-15,18.8125,18.9375,18.75,18.875,684900,10.352067
2000-02-16,18.8125,19.0,18.8125,18.9375,1193600,10.386345
2000-02-17,18.9375,19.0625,18.75,18.75,1382500,10.28351
2000-02-18,18.75,18.9375,18.625,18.734301,1003600,10.2749
2000-02-22,18.625,18.75,18.5,18.5625,1211300,10.180675
2000-02-23,18.5,18.5625,18.375,18.375,1479500,10.07784
2000-02-24,18.375,18.5,18.125,18.25,2563500,10.009283
2000-02-25,18.1875,18.75,18.125,18.75,2577900,10.28351
2000-02-28,18.6875,18.6875,17.75,18.125,2517600,9.940726
2000-02-29,18.0,18.0625,17.8125,18.0,853100,9.87217
2000-03-01,18.0,18.0,17.5625,18.0,779500,9.87217
2000-03-02,17.875,17.875,17.3125,17.5625,482400,9.632221
2000-03-03,17.625,17.75,17.5,17.625,853900,9.666499
2000-03-06,17.625,17.6875,17.0625,17.375,483200,9.529386
2000-03-07,17.25,17.4375,17.125,17.25,748700,9.460829
2000-03-08,17.0,17.3125,16.9375,17.0,824800,9.323716
2000-03-09,17.0625,17.25,17.0,17.0625,755300,9.357994
2000-03-10,17.375,17.6875,17.25,17.4375,991200,9.563664
2000-03-13,17.25,17.5,17.1875,17.25,559900,9.460829
2000-03-14,17.0625,17.25,16.875,17.0,917200,9.323716
2000-03-15,17.0,17.8125,17.0,17.8125,3784100,9.769335
2000-03-16,17.5625,18.5,17.5625,18.4375,1589400,10.256062
2000-03-17,18.25,18.3125,17.5625,17.625,1188000,9.8041
2000-03-20,17.8125,17.9375,17.1875,17.375,637200,9.665035
2000-03-21,17.4375,17.4375,17.0,17.375,504200,9.665035
2000-03-22,17.1875,17.25,16.8125,17.0,505900,9.456437
2000-03-23,16.75,17.375,16.75,17.171801,336500,9.552003
2000-03-24,17.1875,17.4375,17.0,17.375,529100,9.665035
2000-03-27,17.375,17.6875,17.25,17.4375,566600,9.699801
2000-03-28,17.125,17.4375,17.0,17.125,420600,9.52597
2000-03-29,16.875,17.5625,16.8125,17.5,573100,9.734568
2000-03-30,17.625,17.625,17.0,17.3125,381900,9.630269
2000-03-31,17.1875,17.1875,16.6875,16.75,469400,9.317372
2000-04-03,16.9375,16.9375,16.1875,16.625,442400,9.247839
2000-04-04,16.8125,17.1875,16.5,16.625,666100,9.247839
2000-04-05,16.625,17.25,16.5625,17.0,541500,9.456437
2000-04-06,17.25,17.25,16.875,17.0,302300,9.456437
2000-04-07,17.25,17.3125,16.8125,17.125,302400,9.52597
2000-04-10,17.375,17.5625,17.0,17.3125,424100,9.630269
2000-04-11,17.5,17.75,17.25,17.6875,1235300,9.838866
2000-04-12,17.6875,18.4375,17.6875,18.3125,1157400,10.18653
2000-04-13,18.25,19.0,18.0625,18.6875,812400,10.395127
2000-04-14,18.4375,19.1875,18.1875,18.4375,655400,10.256062
