Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,68.0,68.0625,63.5,64.6875,900600,42.876491
2000-01-04,62.375,63.25,61.625,62.3125,787100,41.302282
2000-01-05,62.4375,62.75,61.25,61.625,914500,40.84659
2000-01-06,61.25,62.8125,61.0,62.4375,1279900,41.385135
2000-01-07,62.125,62.375,61.4375,62.3125,719000,41.302282
2000-01-10,62.5,62.5,59.375,59.5,631000,39.438087
2000-01-11,59.5,59.5,58.0625,59.125,1103500,39.189527
2000-01-12,59.25,61.3125,59.25,60.125,988600,39.852352
2000-01-13,60.9375,62.125,60.75,61.5,647000,40.763737
2000-01-14,63.0,63.75,62.5625,63.0,592300,41.757974
2000-01-18,62.5,62.75,61.375,61.75,755800,40.929443
2000-01-19,61.6875,63.125,60.125,60.1875,981600,39.893779
2000-01-20,60.4375,60.4375,58.375,58.5625,569700,38.816688
2000-01-21,59.5625,59.5625,58.0625,58.4375,673400,38.733835
2000-01-24,58.4375,58.625,55.5,55.875,656600,37.035346
2000-01-25,57.0,57.25,56.375,56.8125,786800,37.656745
2000-01-26,56.8125,59.0625,56.125,58.25,827400,38.609556
2000-01-27,58.875,60.0,58.375,58.875,641600,39.023821
2000-01-28,59.0,59.0,57.0,57.1875,847200,37.905304
2000-01-31,57.875,59.8125,57.375,59.5625,1001500,39.479513
2000-02-01,59.5,59.625,58.3125,59.0625,473500,39.148101
2000-02-02,58.9375,58.9375,57.375,57.75,410200,38.278143
2000-02-03,57.6875,58.0,55.625,56.375,1068200,37.366759
2000-02-04,56.5,56.5625,55.0,55.0,687200,36.455374
2000-02-07,55.0,55.125,53.375,54.25,614500,35.958256
2000-02-08,54.25,56.4375,54.25,56.125,613300,37.201052
2000-02-09,56.0,56.0,54.0,54.0,439300,35.792549
2000-02-10,54.1875,55.5625,53.0,53.25,1247600,35.295431
2000-02-11,54.0,54.75,53.0,53.375,481800,35.378284
2000-02-14,53.75,54.125,52.3125,52.625,644500,34.881165
2000-02-15,52.75,54.125,52.3125,53.875,479300,35.709696
2000-02-16,54.0,54.8125,52.875,52.9375,582000,35.088298
2000-02-17,53.375,53.625,52.125,52.5625,673600,34.839738
2000-02-18,52.5625,52.625,51.0,51.4375,838000,34.09406
2000-02-22,51.25,52.25,51.0,51.9375,638600,34.425473
2000-02-23,51.375,51.5,50.5,50.625,550600,33.555515
2000-02-24,50.8125,50.8125,48.6875,49.625,698400,32.89269
2000-02-25,49.9375,51.25,49.625,49.8125,504000,33.01697
2000-02-28,49.9375,51.875,49.9375,51.125,572500,34.14052
2000-02-29,50.875,51.0,49.8125,50.8125,906000,33.931837
2000-03-01,50.0,50.875,49.375,50.75,608700,33.8901
2000-03-02,50.6875,50.6875,49.5,50.0625,516400,33.430998
2000-03-03,51.0625,51.875,50.625,50.75,690500,33.8901
2000-03-06,50.25,51.0,49.9375,50.5,466800,33.723154
2000-03-07,50.375,50.375,48.375,48.4375,573400,32.345847
2000-03-08,47.9375,48.0625,47.3125,47.625,663800,31.803271
2000-03-09,47.75,48.4375,47.1875,48.125,952700,32.137164
2000-03-10,48.0,48.3125,47.3125,47.375,557100,31.636325
2000-03-13,46.875,48.9375,46.8125,48.3125,677400,32.262374
2000-03-14,48.125,49.0,47.5625,47.5625,431400,31.761535
2000-03-15,47.625,51.8125,47.375,51.8125,1166500,34.599622
2000-03-16,53.5,58.125,53.1875,56.9375,1450500,38.022021
2000-03-17,56.9375,58.625,55.75,56.3125,1096000,37.604656
2000-03-20,56.875,56.875,54.5,55.4375,966500,37.020344
2000-03-21,55.5,58.8125,55.5,57.8125,727800,38.606333
2000-03-22,57.6875,58.875,56.5,58.625,462300,39.148909
