Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,52.5,52.625,50.5625,50.6875,199800,18.236926
2000-01-04,50.4375,51.25,50.0,50.0625,173400,18.012057
2000-01-05,50.0625,52.9375,50.0625,52.4375,464800,18.866561
2000-01-06,52.1875,53.75,51.8125,51.8125,200000,18.641692
2000-01-07,51.5625,53.625,51.5625,52.9375,222200,19.046457
2000-01-10,52.6875,52.6875,50.5625,50.875,312000,18.304387
2000-01-11,50.75,50.8125,49.75,50.1875,238600,18.057031
2000-01-12,50.25,50.75,50.125,50.6875,314600,18.236926
2000-01-13,51.25,52.875,51.25,52.6875,322400,18.956509
2000-01-14,52.4375,52.5,51.1875,51.1875,276800,18.416822
2000-01-18,50.9375,50.9375,49.3125,49.625,327200,17.854648
2000-01-19,49.875,51.4375,49.875,50.25,204600,18.079518
2000-01-20,50.1875,50.4375,49.5,49.8125,144000,17.922109
2000-01-21,50.125,50.125,48.375,48.75,244000,17.539831
2000-01-24,48.8125,49.3125,47.125,47.5,245600,17.090091
2000-01-25,47.75,48.375,47.125,47.125,183600,16.95517
2000-01-26,47.125,47.1875,45.75,46.5625,340200,16.752787
2000-01-27,46.5,47.1875,46.375,47.0625,205200,16.932683
2000-01-28,47.0625,47.5,46.875,46.875,294200,16.865222
2000-01-31,46.8125,48.625,46.6875,48.5,214000,17.449883
2000-02-01,48.3125,48.75,48.125,48.625,192200,17.494857
2000-02-02,48.75,49.125,48.5,48.5,239600,17.449883
2000-02-03,48.5,50.125,48.5,49.3125,477800,17.742213
2000-02-04,49.1875,49.1875,47.0,47.5,411000,17.090091
2000-02-07,47.5,50.0,47.5,49.25,382400,17.719726
2000-02-08,49.25,49.6875,46.5625,46.8125,187400,16.842735
2000-02-09,47.875,48.5625,47.5,47.6875,320800,17.157552
2000-02-10,47.9375,49.25,47.3125,49.125,501800,17.674752
2000-02-11,49.125,49.4375,48.5,49.1875,303400,17.697239
2000-02-14,50.0,51.125,49.375,49.6875,380000,17.877135
2000-02-15,49.6875,50.5625,48.75,50.5,360000,18.169466
2000-02-16,50.375,50.4375,48.5625,48.625,339000,17.494857
2000-02-17,48.75,49.5,47.375,47.375,215400,17.045117
2000-02-18,47.375,47.5,46.0,46.1875,311800,16.617865
2000-02-22,46.1875,46.1875,44.8125,45.9375,384800,16.527917
2000-02-23,46.3125,46.375,44.875,45.5,259400,16.370509
2000-02-24,45.25,45.25,42.0,42.4375,477400,15.268647
2000-02-25,42.25,42.75,41.4375,41.9375,446000,15.147648
2000-02-28,42.3125,43.625,42.0,43.0625,239600,15.553993
2000-02-29,43.5,44.625,43.5,43.875,408600,15.847465
2000-03-01,44.1875,44.6875,43.375,43.5,231200,15.712016
2000-03-02,43.3125,43.375,42.0625,42.375,268600,15.305671
2000-03-03,42.375,42.5,41.5,42.3125,458000,15.283096
2000-03-06,42.3125,42.3125,41.9375,42.0,319800,15.170222
