Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,80.0,81.3125,78.5,78.6875,653400,49.310688
2000-01-04,77.0,78.5,76.875,77.25,601400,48.409857
2000-01-05,77.25,77.375,75.75,75.875,531300,47.548193
2000-01-06,75.875,76.0,74.1875,75.125,540100,47.078194
2000-01-07,76.0,76.0,74.1875,75.0625,560000,47.039028
2000-01-10,77.4375,79.25,76.5,78.3125,954100,49.075689
2000-01-11,78.3125,81.5625,77.0,77.875,1030500,48.801523
2000-01-12,77.4375,78.4375,76.0,76.0,821300,47.626526
2000-01-13,76.4375,79.0,76.4375,77.3125,546800,48.449024
2000-01-14,75.5625,76.5625,74.0625,74.0625,533400,46.412363
2000-01-18,74.1875,74.1875,70.0,72.75,894200,45.589865
2000-01-19,73.625,73.625,71.75,72.1875,633000,45.237367
2000-01-20,71.9375,73.1875,71.8125,72.75,744500,45.589865
2000-01-21,73.3125,74.4375,73.0625,73.375,729200,45.981531
2000-01-24,72.875,72.9375,70.0,70.4375,872700,44.140703
2000-01-25,70.3125,70.5625,69.375,69.625,1115300,43.631538
2000-01-26,69.0,70.25,68.875,69.0,1507500,43.239872
2000-01-27,69.0,70.0,69.0,69.9375,780300,43.827371
2000-01-28,69.6875,69.875,68.4375,68.5625,1173500,42.965707
2000-01-31,69.0,69.5,68.4375,69.5,908000,43.553205
2000-02-01,69.875,72.0,69.375,70.0,946300,43.866537
2000-02-02,69.8125,71.625,69.75,71.375,894700,44.728201
2000-02-03,71.375,71.9375,70.375,71.8125,1036300,45.002367
2000-02-04,71.8125,72.125,71.3125,72.0625,566300,45.159033
2000-02-07,72.4375,72.4375,69.5625,69.75,1528200,43.709871
2000-02-08,69.9375,70.8125,69.75,70.625,593100,44.258203
2000-02-09,71.0625,71.5625,69.5,69.5,906300,43.553205
2000-02-10,69.5,70.125,68.5,68.75,1083100,43.083206
2000-02-11,68.625,68.625,67.1875,67.625,1733200,42.378208
2000-02-14,67.5625,68.0,67.0,67.125,1051900,42.064876
2000-02-15,66.0,66.0,63.375,64.5,1930400,40.419881
2000-02-16,64.3125,64.5625,63.0,63.609299,1124600,39.86171
2000-02-17,64.3125,64.9375,64.25,64.5625,849400,40.459047
2000-02-18,64.0,64.6875,63.4375,63.9375,2151900,40.067382
2000-02-22,63.9375,65.3125,63.75,64.125,1046500,40.184881
2000-02-23,64.0625,64.1875,62.125,62.875,885700,39.40155
2000-02-24,63.0,63.0625,61.625,62.0625,1323800,38.892385
2000-02-25,62.6875,62.9375,61.75,61.75,804100,38.696552
2000-02-28,61.5,64.0625,61.3125,63.8125,796600,39.989049
2000-02-29,64.0,65.25,64.0,65.1875,885300,40.850713
2000-03-01,65.0,65.375,64.75,65.375,951800,41.100617
2000-03-02,64.75,66.4375,64.625,65.9375,790800,41.454255
2000-03-03,65.0,66.9375,65.0,66.4375,1102800,41.7686
2000-03-06,66.3125,66.4375,65.5,65.875,573500,41.414962
2000-03-07,65.625,66.3125,65.375,65.625,620500,41.257789
2000-03-08,65.375,65.375,64.5,65.125,612700,40.943444
2000-03-09,64.875,66.0625,64.6875,65.9375,408600,41.454255
2000-03-10,65.9375,66.1875,65.5,65.5625,900300,41.218496
2000-03-13,66.25,67.125,65.375,66.0,945600,41.493548
2000-03-14,66.0,67.375,65.5,65.9375,933300,41.454255
2000-03-15,65.1875,66.4375,64.6875,66.4375,1433400,41.7686
2000-03-16,66.5625,71.625,66.0,70.8125,1046300,44.519119
2000-03-17,70.8125,70.8125,69.5625,70.375,1000000,44.244067
2000-03-20,70.375,70.625,69.625,70.625,587500,44.40124
2000-03-21,70.1875,70.6875,69.75,70.5,626000,44.322654
2000-03-22,70.25,71.25,69.9375,71.125,852100,44.715585
2000-03-23,70.9375,72.4375,70.5625,72.125,663100,45.344275
2000-03-24,72.5625,73.9375,71.5625,73.75,1039400,46.365897
2000-03-27,73.0,73.875,71.3125,71.625,580500,45.02993
2000-03-28,71.375,73.5,71.0625,72.125,925000,45.344275
2000-03-29,72.0625,72.0625,69.6875,69.6875,1199800,43.811843
2000-03-30,69.9375,71.0,69.5625,70.375,911600,44.244067
2000-03-31,71.0625,71.1875,70.0,70.375,687600,44.244067
2000-04-03,70.625,71.9375,70.25,71.6875,675100,45.069223
2000-04-04,71.9375,73.875,68.9375,70.3125,885900,44.204774
2000-04-05,70.4375,70.625,69.4375,70.0625,939500,44.047602
2000-04-06,70.0625,70.375,69.4375,69.625,999800,43.77255
2000-04-07,69.875,69.875,68.5625,69.0,610500,43.379619
2000-04-10,69.75,69.75,67.6875,69.0625,767400,43.418912
2000-04-11,68.375,70.0,68.0625,69.375,761800,43.615377
2000-04-12,69.4375,70.25,68.125,68.1875,856700,42.868808
2000-04-13,66.75,67.0,65.75,65.9375,964200,41.454255
2000-04-14,66.0,66.25,63.75,64.1875,1223800,40.354047
2000-04-17,64.4375,66.3125,64.0625,65.5,910900,41.179203
2000-04-18,65.5625,65.8125,64.6875,65.625,897800,41.257789
2000-04-19,65.625,66.0,65.125,65.75,399200,41.336376
2000-04-20,65.875,66.5,65.5625,65.8125,525400,41.375669
2000-04-24,65.5,66.375,64.0,66.0,575500,41.493548
2000-04-25,66.125,66.8125,64.5,65.8125,513100,41.375669
2000-04-26,66.0,66.6875,65.4375,65.4375,651400,41.13991
2000-04-27,65.375,65.375,63.0625,63.6875,788700,40.039702
2000-04-28,64.5,64.75,63.625,63.875,559600,40.157582
2000-05-01,63.625,64.5625,62.625,63.75,1179900,40.078995
2000-05-02,63.5,63.8125,61.75,62.5625,1005800,39.332426
2000-05-03,62.5625,64.125,62.375,62.625,1021300,39.371719
2000-05-04,63.0,63.125,61.8125,62.0625,584700,39.018081
2000-05-05,61.9375,62.125,60.5,60.75,1025600,38.192925
2000-05-08,60.0,60.5,59.4375,60.25,1386700,37.87858
2000-05-09,59.625,60.4375,58.3125,59.25,1740500,37.24989
2000-05-10,59.75,61.0,59.375,60.375,1413700,37.957166
2000-05-11,61.0,61.875,60.5,60.8125,625100,38.232218
2000-05-12,61.25,62.9375,60.9375,61.9375,860600,38.939495
2000-05-15,61.9375,64.375,61.9375,63.5625,695800,39.961116
2000-05-16,63.5625,64.9375,63.0,64.8125,701300,40.746979
2000-05-17,64.0,64.375,62.0,63.0625,726000,39.646771
2000-05-18,62.125,64.0625,62.125,62.375,592900,39.214546
2000-05-19,61.5,61.875,59.875,60.375,553900,37.957166
2000-05-22,62.0,63.0,60.75,61.6875,616900,38.782322
2000-05-23,61.9375,63.875,61.875,62.8125,612400,39.489598
2000-05-24,63.0625,65.0,62.5625,63.5625,628000,39.961116
2000-05-25,63.25,64.8125,63.125,63.625,440700,40.000409
2000-05-26,63.4375,64.5,62.3125,63.0,579500,39.607478
2000-05-30,62.3125,65.25,62.25,64.875,504300,40.786272
2000-05-31,63.9375,65.125,63.5625,64.75,659700,40.707686
2000-06-01,63.875,64.1875,62.8125,63.25,601600,39.76465
2000-06-02,63.375,64.6875,62.5,63.875,586100,40.157582
2000-06-05,64.75,65.0,64.0,64.5625,452100,40.589806
2000-06-06,64.4375,64.625,62.4375,62.75,525300,39.450305
2000-06-07,61.875,62.3125,60.5,61.125,687200,38.55772
2000-06-08,61.625,61.9375,60.3125,61.375,665800,38.71542
2000-06-09,61.125,61.5625,60.3125,60.8125,587400,38.360594
2000-06-12,60.8125,61.4375,60.25,60.8125,1099300,38.360594
