Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,15.0,15.1875,14.6875,15.0,432200,12.523998
2000-01-04,14.875,14.9375,14.3125,14.4375,568400,12.054348
2000-01-05,14.75,14.75,14.3125,14.5625,490800,12.158715
2000-01-06,14.375,14.5625,14.3125,14.5625,561900,12.158715
2000-01-07,14.4375,14.75,14.3125,14.75,266600,12.315265
2000-01-10,14.5625,14.75,14.5,14.625,470000,12.210898
2000-01-11,14.5,14.9375,14.5,14.75,277900,12.315265
2000-01-12,14.75,14.8125,14.0,14.375,432300,12.002165
2000-01-13,14.25,14.9375,14.25,14.875,477500,12.419632
2000-01-14,14.9375,14.9375,14.5625,14.625,274400,12.210898
2000-01-18,14.75,14.75,14.3125,14.4375,520300,12.054348
2000-01-19,14.3125,14.5625,14.1875,14.25,660200,11.897798
2000-01-20,14.3125,14.625,14.3125,14.5,556000,12.106532
2000-01-21,14.5,14.75,14.375,14.4375,1097200,12.054348
2000-01-24,14.5,14.8125,14.4375,14.625,658900,12.210898
2000-01-25,14.5625,15.375,14.5,14.75,878400,12.315265
2000-01-26,14.75,16.125,14.6875,15.5625,1525400,12.993648
2000-01-27,16.25,17.0,16.1875,16.5,1427900,13.776398
2000-01-28,16.125,16.4375,15.75,16.25,723000,13.567665
2000-01-31,16.375,17.8125,16.3125,17.3125,1685700,14.454781
2000-02-01,17.75,17.75,17.0625,17.6875,1874500,14.767881
2000-02-02,17.5,17.5625,17.1875,17.375,750500,14.506965
2000-02-03,17.4375,17.625,17.375,17.5625,629100,14.663515
2000-02-04,17.5,17.75,17.4375,17.4375,841400,14.559148
2000-02-07,17.375,17.875,17.375,17.4375,778700,14.559148
2000-02-08,17.5,17.625,16.75,16.875,684200,14.089498
2000-02-09,16.75,16.8125,16.25,16.5625,482700,13.828581
2000-02-10,16.3125,16.625,16.0625,16.25,320800,13.567665
2000-02-11,16.5,16.5,16.0,16.125,314100,13.463298
2000-02-14,16.0,16.625,15.9375,16.375,455700,13.672031
2000-02-15,16.375,16.8125,16.25,16.625,400600,13.880765
2000-02-16,16.375,16.625,16.25,16.4375,207400,13.724215
2000-02-17,16.3125,16.6875,15.9375,15.9375,301600,13.306748
2000-02-18,16.0625,16.1875,15.4375,15.6875,427300,13.098015
2000-02-22,15.5,16.6875,15.5,16.5,381100,13.776398
2000-02-23,16.375,16.5625,16.125,16.375,279900,13.672031
2000-02-24,16.3125,16.3125,15.5625,16.0625,366700,13.411115
2000-02-25,16.0,16.1875,15.25,15.5625,328400,12.993648
2000-02-28,15.75,15.8125,15.375,15.625,251900,13.045832
2000-02-29,15.4375,15.6875,15.3125,15.625,397900,13.045832
2000-03-01,15.4375,17.25,15.3125,17.25,1992700,14.402598
2000-03-02,17.5,20.75,17.4375,20.125,3375200,16.803031
2000-03-03,20.75,22.125,20.4375,21.9375,2213800,18.316348
2000-03-06,21.9375,22.125,21.3125,21.5625,1332600,18.003248
2000-03-07,22.25,24.3125,22.1875,24.0,3750500,20.038397
2000-03-08,24.875,26.875,24.5625,26.25,4482700,21.916997
2000-03-09,25.75,26.375,24.9375,25.875,2179700,21.603897
2000-03-10,25.75,26.375,25.375,25.8125,1527200,21.551714
2000-03-13,25.0625,25.6875,24.5625,25.0,1948700,20.873331
2000-03-14,24.75,24.75,22.6875,22.9375,1144000,19.151281
2000-03-15,23.5,23.6875,22.75,22.8125,529500,19.046914
2000-03-16,22.9375,23.375,22.875,23.0625,583100,19.255647
2000-03-17,22.8125,22.875,22.25,22.4375,503600,18.733814
2000-03-20,22.25,22.5,22.0625,22.25,475800,18.577264
2000-03-21,22.5,22.75,20.0625,20.9375,1960000,17.481414
2000-03-22,20.75,21.25,20.6875,20.9375,478200,17.481414
2000-03-23,20.9375,22.125,20.8125,21.9375,973700,18.316348
2000-03-24,21.8125,22.0,21.75,21.875,651900,18.264164
2000-03-27,21.75,22.5625,21.0625,21.3125,340600,17.794514
2000-03-28,21.0,21.6875,20.375,20.625,429700,17.220498
2000-03-29,20.5625,20.9375,19.1875,19.6875,926200,16.437748
2000-03-30,19.75,19.75,19.3125,19.625,767300,16.385564
2000-03-31,19.625,20.4375,19.625,20.375,526500,17.011764
2000-04-03,20.125,20.625,20.0,20.0,523900,16.698664
2000-04-04,20.0625,20.3125,18.5,19.5,878500,16.281198
2000-04-05,19.125,19.8125,19.0,19.8125,319700,16.542114
2000-04-06,19.8125,20.5,19.8125,20.125,649600,16.803031
2000-04-07,20.5,21.4375,20.375,21.4375,653000,17.898881
2000-04-10,21.375,21.4375,20.875,21.0625,1075800,17.585781
2000-04-11,21.0625,21.125,20.5,20.625,493500,17.220498
2000-04-12,20.5,20.75,19.625,19.8125,1039300,16.542114
2000-04-13,19.875,20.125,19.6875,19.6875,290800,16.437748
2000-04-14,19.5,19.5625,18.0,18.5,938800,15.446265
2000-04-17,18.3125,18.4375,17.75,18.4375,533300,15.394081
2000-04-18,18.4375,19.0625,18.25,19.0625,364900,15.915915
2000-04-19,19.0,19.5,19.0,19.0625,315700,15.915915
2000-04-20,19.125,19.4375,18.75,19.1875,288300,16.020281
2000-04-24,19.0,19.0625,18.4375,18.8125,876000,15.707181
2000-04-25,18.75,19.875,18.75,19.875,351900,16.594298
2000-04-26,20.0625,20.0625,19.75,19.875,457900,16.594298
2000-04-27,19.5,19.75,19.3125,19.5,334100,16.281198
2000-04-28,19.5,19.6875,19.0625,19.375,675800,16.176831
2000-05-01,19.25,20.25,19.25,19.375,563200,16.176831
2000-05-02,19.4375,20.0625,19.3125,20.0,693800,16.698664
2000-05-03,19.625,19.8125,19.0,19.25,865400,16.072465
2000-05-04,19.1875,20.0,19.1875,19.5625,855100,16.333381
2000-05-05,19.6875,20.0,19.4375,20.0,609600,16.698664
2000-05-08,19.875,19.875,19.25,19.3125,229500,16.124648
2000-05-09,19.375,19.5625,18.75,18.875,413100,15.759365
2000-05-10,18.9375,18.9375,18.0,18.0625,455500,15.080981
2000-05-11,18.0,18.875,18.0,18.75,599100,15.654998
2000-05-12,18.625,19.0625,18.5625,18.6875,776600,15.602815
2000-05-15,18.875,19.0,18.625,18.6875,268300,15.602815
