Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,37.0625,37.25,34.625,35.125,748800,12.225081
2000-01-04,34.6875,35.125,34.0,34.0625,1076200,11.855284
2000-01-05,33.75,34.9375,33.1875,34.0,1050400,11.833531
2000-01-06,33.9375,35.0,33.375,35.0,478200,12.181576
2000-01-07,35.218761,35.5,34.5,34.75,466200,12.094564
2000-01-10,35.3125,35.75,34.875,35.125,407600,12.225081
2000-01-11,35.0,35.5625,34.5625,35.0,402400,12.181576
2000-01-12,35.5625,36.5,35.1875,36.5,717200,12.703643
2000-01-13,36.625,39.6875,36.593761,38.5,1763400,13.399733
2000-01-14,38.75,39.125,38.375,39.0625,1019200,13.595509
2000-01-18,38.8125,38.875,37.1875,37.5625,673600,13.073441
2000-01-19,37.6875,39.25,37.625,38.125,371800,13.269216
2000-01-20,38.5625,38.625,37.75,38.125,379800,13.269216
2000-01-21,38.875,40.1875,38.375,39.9375,1067200,13.900048
2000-01-24,40.125,41.875,39.25,39.5,1131000,13.747778
2000-01-25,39.4375,42.5,38.5,42.375,1019800,14.748408
2000-01-26,42.375,42.625,39.625,42.0,984000,14.617891
2000-01-27,41.875,42.875,39.1875,39.25,1275600,13.660767
2000-01-28,39.375,39.375,36.375,36.5,1215800,12.703643
2000-01-31,36.25,38.875,35.875,38.875,851600,13.53025
2000-02-01,38.625,39.3125,37.375,39.125,807200,13.617261
2000-02-02,39.125,39.75,38.0,39.625,1163000,13.791284
2000-02-03,40.0,40.125,37.5,38.4375,1115800,13.377981
2000-02-04,38.75,38.75,36.8125,37.125,577600,12.921171
2000-02-07,38.8125,38.8125,36.5625,36.6875,576400,12.768902
2000-02-08,37.1875,37.25,36.5,36.6875,549600,12.768902
2000-02-09,36.6875,37.5,35.625,35.9375,597400,12.507868
2000-02-10,36.0,36.875,35.5,35.6875,464200,12.420857
2000-02-11,35.625,36.0,35.0,35.093761,425800,12.214209
2000-02-14,35.343761,35.4375,33.1875,33.6875,1000000,11.724767
2000-02-15,33.5,36.0,33.125,35.3125,758600,12.29034
2000-02-16,35.25,36.0,34.375,35.375,1428800,12.312093
2000-02-17,35.375,35.5625,32.9375,33.3125,753600,11.59425
2000-02-18,33.125,33.5,32.375,32.4375,669800,11.28971
2000-02-22,33.25,33.3125,32.25,32.625,464000,11.354969
2000-02-23,32.4375,33.375,32.25,32.3125,689800,11.246205
2000-02-24,32.5,35.375,32.1875,35.375,1495400,12.312093
2000-02-25,35.4375,35.5,33.875,34.1875,664200,11.898789
2000-02-28,34.3125,34.625,33.1875,34.25,873000,11.920542
2000-02-29,34.25,34.4375,32.875,32.9375,1204600,11.463733
2000-03-01,33.3125,33.8125,32.875,33.3125,791200,11.59425
2000-03-02,33.5,34.5625,32.9375,34.3125,1276600,11.942295
2000-03-03,34.75,34.75,33.75,34.0625,674600,11.855284
2000-03-06,34.0,34.8125,33.5,33.625,633000,11.703014
2000-03-07,34.0,34.0625,32.375,32.5625,781200,11.333216
2000-03-08,32.25,32.3125,30.5,30.875,1486000,10.74589
2000-03-09,30.875,32.375,30.125,31.875,924000,11.093935
2000-03-10,31.4375,33.25,31.3125,32.0625,979200,11.159193
2000-03-13,31.125,31.5,30.6875,30.75,1995200,10.702384
2000-03-14,30.8125,31.0625,30.0625,30.1875,1102600,10.506609
2000-03-15,30.4375,35.0,30.25,34.875,1442200,12.13807
2000-03-16,35.625,36.5625,34.875,36.0,1861600,12.529621
2000-03-17,34.5625,36.5,34.5,36.375,1757800,12.660138
2000-03-20,36.375,37.0,35.875,36.0625,614000,12.551374
2000-03-21,36.0,36.5625,35.625,36.0,430000,12.529621
2000-03-22,35.875,36.0,34.5625,35.0625,599400,12.247557
2000-03-23,34.8125,38.3125,34.375,38.1875,1333400,13.339139
2000-03-24,37.875,39.0,37.5,38.5625,1370800,13.470129
2000-03-27,39.75,39.875,35.6875,36.5,992800,12.749685
2000-03-28,36.1875,36.625,35.125,36.0625,681400,12.596863
2000-03-29,36.8125,38.25,36.1875,36.5625,773000,12.771517
2000-03-30,36.0625,39.125,36.0,38.3125,1047600,13.382803
2000-03-31,38.625,39.625,37.3125,39.5,1248000,13.797604
2000-04-03,39.4375,39.625,38.25,38.4375,775200,13.426466
2000-04-04,38.375,39.1875,35.5,37.125,1198800,12.968001
2000-04-05,37.25,38.9375,36.75,38.5,730800,13.448298
2000-04-06,38.656239,39.875,37.0625,38.5,610600,13.448298
2000-04-07,38.75,41.0625,38.1875,40.4375,2039400,14.125079
2000-04-10,40.625,41.3125,39.375,40.25,710400,14.059584
2000-04-11,40.546879,41.3125,39.0,40.468761,1196600,14.135999
2000-04-12,40.5,41.0,39.25,39.3125,1173200,13.732109
2000-04-13,39.734379,40.125,37.5,37.5,728000,13.098991
2000-04-14,37.125,37.5,33.843761,34.375,1360800,12.007409
