Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,33.25,33.25,32.625,33.0,336400,21.281313
2000-01-04,32.5,33.0,32.1875,32.5625,494400,20.999175
2000-01-05,32.5625,33.3125,32.25,32.3125,736000,20.837953
2000-01-06,32.3125,33.375,31.8125,32.9375,660400,21.241008
2000-01-07,33.4375,34.75,33.3125,34.25,594700,22.087424
2000-01-10,34.75,34.75,33.125,33.625,389900,21.684368
2000-01-11,33.375,33.75,32.875,33.25,812900,21.442535
2000-01-12,33.0,33.625,32.75,33.3125,561500,21.482841
2000-01-13,33.3125,34.1875,33.3125,34.0,589600,21.926202
2000-01-14,33.9375,34.6875,33.625,34.0,599300,21.926202
2000-01-18,33.75,33.75,32.5,32.75,945900,21.120091
2000-01-19,32.5,33.25,32.375,32.8125,988100,21.160397
2000-01-20,32.75,32.8125,32.25,32.625,943400,21.03948
2000-01-21,32.0,32.0625,31.0,31.5,1000300,20.313981
2000-01-24,31.625,32.4375,31.3125,32.125,586500,20.717036
2000-01-25,32.125,32.8125,31.25,31.375,609700,20.23337
2000-01-26,31.4375,32.4375,31.1875,32.375,503300,20.878258
2000-01-27,32.0,32.375,29.8125,30.5625,1316500,19.709398
2000-01-28,30.0625,30.1875,29.3125,30.0,814900,19.346648
2000-01-31,29.8125,30.1875,29.125,30.1875,612200,19.467565
2000-02-01,30.0,30.0,27.5,29.3125,1023000,18.903288
2000-02-02,29.375,29.375,27.5,27.875,1416900,17.976261
2000-02-03,27.875,27.875,26.375,26.625,1374600,17.170151
2000-02-04,26.75,27.1875,25.75,26.75,1507200,17.250762
2000-02-07,26.75,27.0,26.25,26.625,1126800,17.170151
2000-02-08,26.75,26.8125,26.125,26.3125,1073900,16.968623
2000-02-09,26.25,26.4375,25.3125,25.4375,1127900,16.404346
2000-02-10,25.0,25.25,24.1875,24.5,3271100,15.799763
2000-02-11,24.5625,24.75,23.75,24.375,680900,15.719152
2000-02-14,24.25,24.5625,24.0625,24.25,436300,15.638541
2000-02-15,24.5,24.625,24.1875,24.3125,689700,15.678846
2000-02-16,24.3125,24.9375,24.3125,24.5,1297000,15.799763
2000-02-17,24.875,25.125,24.25,24.625,562200,15.880374
2000-02-18,24.5625,24.6875,23.125,23.625,529900,15.235486
2000-02-22,23.625,24.5,23.0625,23.875,966400,15.396708
2000-02-23,23.75,24.125,23.5,23.75,1101500,15.316097
2000-02-24,23.625,23.75,22.25,22.75,803000,14.671208
2000-02-25,23.5,23.75,22.8125,22.875,545200,14.751819
2000-02-28,23.1875,23.625,23.0625,23.0625,971800,14.872736
2000-02-29,23.125,23.5625,22.25,22.375,1211500,14.429375
2000-03-01,22.5,23.25,21.75,22.5625,1397000,14.550292
2000-03-02,22.5625,23.0625,22.0625,22.625,1166300,14.590597
2000-03-03,22.5625,23.4375,22.3125,22.5625,668600,14.550292
2000-03-06,22.3125,22.6875,22.1875,22.4375,793900,14.469681
2000-03-07,22.4375,22.6875,22.0625,22.0625,885100,14.227848
2000-03-08,22.125,22.5,21.375,21.75,661200,14.02632
2000-03-09,21.375,23.1875,21.3125,22.75,1607800,14.671208
2000-03-10,22.75,23.25,22.625,23.0,634300,14.83243
2000-03-13,22.75,22.75,22.25,22.5,1183300,14.509986
2000-03-14,22.5,23.5,22.125,22.3125,1030100,14.38907
2000-03-15,22.75,24.5,22.6875,23.875,853100,15.396708
2000-03-16,24.5,27.375,24.5,27.1875,1798200,17.5329
2000-03-17,27.1875,27.75,26.125,26.625,1410200,17.170151
2000-03-20,26.75,27.0,26.125,26.3125,720700,16.968623
2000-03-21,26.0625,27.75,26.0625,27.5625,934700,17.774733
2000-03-22,27.125,27.875,26.875,27.375,794500,17.653817
2000-03-23,27.0625,29.25,27.0625,28.25,1290000,18.218094
2000-03-24,28.875,29.9375,28.625,29.5,754100,19.024204
2000-03-27,29.25,29.5625,29.0625,29.5,1205100,19.024204
2000-03-28,29.4375,30.8125,29.4375,30.0,1754800,19.346648
2000-03-29,29.625,30.0,29.5625,29.9375,775000,19.481678
2000-03-30,30.5,33.0,30.3125,32.625,1717400,21.230555
2000-03-31,32.6875,34.3125,32.625,34.125,2262800,22.206672
2000-04-03,34.0,34.375,33.4375,34.0,1440600,22.125329
2000-04-04,34.875,35.0,32.8125,33.0,1644700,21.474584
2000-04-05,33.125,33.5,32.6875,32.6875,754000,21.271226
2000-04-06,32.9375,33.0,31.75,32.25,1125800,20.986525
2000-04-07,33.0,33.125,31.625,31.875,626200,20.742496
2000-04-10,32.0,32.3125,31.5,32.125,512100,20.905182
2000-04-11,31.875,32.4375,31.625,32.3125,557300,21.027197
2000-04-12,33.0,33.25,32.5,32.5,1086300,21.149212
2000-04-13,32.75,32.9375,32.125,32.875,729200,21.393241
2000-04-14,32.25,32.25,29.875,30.0,756600,19.522349
2000-04-17,31.0,31.0,29.625,30.0625,996200,19.563021
2000-04-18,30.0,31.0,29.6875,30.875,622600,20.091751
2000-04-19,30.5625,30.625,29.625,29.875,678400,19.441006
2000-04-20,29.75,30.875,29.3125,30.6875,1593500,19.969736
2000-04-24,30.875,31.25,30.25,31.125,1222800,20.254437
2000-04-25,31.125,33.125,31.125,33.0,1421500,21.474584
2000-04-26,33.5,33.5,32.5,32.75,976300,21.311898
2000-04-27,32.25,33.5,31.625,33.25,1988700,21.63727
2000-04-28,33.5,36.375,33.0625,35.625,1365100,23.18279
2000-05-01,35.6875,36.875,34.8125,35.25,1281500,22.93876
2000-05-02,35.5625,35.75,34.875,35.4375,1008000,23.060775
2000-05-03,35.4375,35.5,33.5625,33.625,567800,21.8813
2000-05-04,33.875,34.3125,32.875,33.875,741800,22.043986
2000-05-05,34.0,34.0,32.75,33.6875,385500,21.921971
2000-05-08,33.6875,34.75,33.625,33.8125,552700,22.003314
2000-05-09,34.25,34.5,33.4375,34.0,733000,22.125329
2000-05-10,34.125,34.625,33.5,34.25,460700,22.288015
2000-05-11,34.25,35.375,33.625,35.25,764000,22.93876
2000-05-12,35.4375,35.5,34.5,35.5,706000,23.101447
2000-05-15,35.5625,37.25,35.5,37.0625,1472000,24.118236
2000-05-16,37.125,38.125,36.75,37.75,1424900,24.565623
2000-05-17,37.75,37.75,36.625,36.75,1012400,23.914878
2000-05-18,36.75,37.6875,36.75,37.1875,761900,24.199579
2000-05-19,37.25,37.375,35.875,36.375,687200,23.670848
2000-05-22,36.625,37.75,36.1875,37.625,941300,24.48428
2000-05-23,37.5,37.875,36.8125,37.8125,919900,24.606294
2000-05-24,37.625,38.75,37.625,38.5,1314600,25.053682
2000-05-25,38.3125,38.4375,37.25,37.875,1094300,24.646966
2000-05-26,37.625,37.625,36.875,37.125,669200,24.158907
2000-05-30,37.0,38.1875,36.9375,37.8125,626700,24.606294
2000-05-31,37.875,37.875,36.9375,37.5,860200,24.402937
2000-06-01,37.25,38.5625,36.9375,38.375,1107800,24.972338
2000-06-02,38.625,39.1875,38.5,39.1875,572100,25.501069
2000-06-05,39.0,39.25,38.25,38.75,1033800,25.216368
2000-06-06,38.375,38.75,37.9375,38.625,930900,25.135025
2000-06-07,38.625,39.375,38.625,38.875,914800,25.297711
2000-06-08,38.0,38.625,37.125,37.875,1054300,24.646966
2000-06-09,37.8125,38.4375,37.8125,38.3125,388100,24.931667
2000-06-12,38.5,38.625,37.25,37.40625,449200,24.341929
2000-06-13,37.5,38.0625,37.3125,37.9375,489900,24.687637
2000-06-14,37.9375,37.9375,36.9375,37.5,685200,24.402937
2000-06-15,37.4375,37.8125,36.5625,37.75,788700,24.565623
2000-06-16,37.875,38.1875,37.1875,37.4375,1792400,24.362265
2000-06-19,36.875,38.6875,36.5,37.9375,902700,24.687637
2000-06-20,37.6875,37.6875,35.375,35.375,855300,23.020103
2000-06-21,35.875,36.0625,34.75,34.9375,683800,22.735403
2000-06-22,35.0625,35.125,33.75,34.1875,1187300,22.247344
2000-06-23,34.6875,35.75,34.5625,35.0,569500,22.776074
2000-06-26,34.75,35.5,34.375,34.9375,558200,22.735403
2000-06-27,35.125,35.5625,34.9375,35.0625,1018900,22.816746
2000-06-28,35.0,36.1875,34.875,35.59375,1245100,23.3422
2000-06-29,35.625,36.5,35.3125,36.375,749300,23.85454
2000-06-30,36.125,36.125,33.75,34.125,969700,22.379002
2000-07-03,34.0,35.0,34.0,34.625,376800,22.706899
2000-07-05,34.375,36.0,34.375,35.75,837800,23.444668
2000-07-06,36.0,36.125,34.875,35.5625,435600,23.321707
2000-07-07,35.375,36.5625,35.25,36.5,380900,23.936515
2000-07-10,36.5,37.0625,36.5,36.625,380600,24.018489
2000-07-11,37.0,37.25,36.6875,37.1875,492600,24.387374
2000-07-12,37.5,39.0625,37.4375,38.75,891600,25.412053
2000-07-13,38.625,38.875,37.0625,37.3125,611000,24.469348
2000-07-14,37.5,38.0625,36.875,37.4375,961900,24.551322
2000-07-17,37.4375,37.5625,36.5625,37.4375,738800,24.551322
2000-07-18,37.625,37.9375,37.3125,37.9375,608900,24.87922
2000-07-19,38.125,38.25,37.3125,37.375,510700,24.510335
2000-07-20,37.4375,37.8125,37.375,37.75,1209000,24.756258
2000-07-21,37.75,37.8125,37.0625,37.4375,386200,24.551322
2000-07-24,37.1875,37.5625,36.9375,37.5,324300,24.592309
2000-07-25,37.5,40.5,37.5,40.125,1617000,26.313771
2000-07-26,40.0,43.5,39.875,42.53125,3500300,27.891778
2000-07-27,42.5,44.875,42.5,44.625,2379100,29.264848
2000-07-28,44.625,45.75,44.375,44.75,1823900,29.346823
2000-07-31,44.75,45.3125,44.1875,44.4375,1577600,29.141887
2000-08-01,44.125,44.5,43.75,44.25,847800,29.018925
2000-08-02,43.875,44.1875,43.625,44.0625,1154700,28.895964
2000-08-03,44.0,45.3125,43.625,45.0625,1259100,29.551759
2000-08-04,45.0,47.6875,44.875,47.25,1594900,30.98631
2000-08-07,46.75,49.5625,46.75,48.25,1592200,31.642105
2000-08-08,48.25,48.5,47.3125,48.375,1416200,31.724079
2000-08-09,48.0,48.125,46.125,47.5,1199100,31.150259
2000-08-10,46.75,48.0,46.75,47.3125,1155000,31.027297
2000-08-11,47.5625,47.8125,47.0,47.75,581700,31.314207
2000-08-14,47.5,47.9375,47.0625,47.6875,1072700,31.27322
2000-08-15,47.4375,47.75,46.5,47.0,785900,30.822361
2000-08-16,46.875,46.9375,46.125,46.3125,617100,30.371502
2000-08-17,45.5,47.1875,45.5,46.9375,686000,30.781374
2000-08-18,46.5,47.375,46.375,47.125,567900,30.904336
2000-08-21,47.75,48.0625,47.625,47.875,904800,31.396182
2000-08-22,47.625,48.1875,47.3125,47.8125,637100,31.355195
2000-08-23,47.625,48.3125,46.125,46.6875,820400,30.617425
2000-08-24,46.625,47.0625,46.5625,46.8125,492000,30.6994
2000-08-25,46.3125,46.875,45.5625,45.8125,526600,30.043605
2000-08-28,45.5625,46.8125,45.5625,46.375,438400,30.412489
2000-08-29,46.75,46.75,45.6875,46.25,632000,30.330515
2000-08-30,46.3125,47.5625,46.25,47.25,742900,30.98631
2000-08-31,47.0,48.125,47.0,47.515621,736500,31.160503
2000-09-01,47.3125,48.0,46.5,46.8125,559600,30.6994
2000-09-05,46.375,47.5,46.25,47.125,490200,30.904336
2000-09-06,47.25,48.5,47.25,48.3125,675100,31.683092
2000-09-07,48.3125,48.4375,47.125,48.375,904300,31.724079
