Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,17.0,17.0,15.9375,16.125,57700,12.064787
2000-01-04,15.875,16.6875,15.875,16.0625,73400,12.018024
2000-01-05,16.3125,16.5625,16.0625,16.25,23500,12.158312
2000-01-06,16.1875,16.1875,15.875,16.0,24700,11.971261
2000-01-07,15.875,16.125,15.75,16.125,45200,12.064787
2000-01-10,16.3125,16.5,16.125,16.375,33000,12.251837
2000-01-11,16.25,16.25,15.875,16.125,45100,12.064787
2000-01-12,16.0,16.125,15.75,15.875,40100,11.877736
2000-01-13,16.0,16.3125,15.875,16.125,28800,12.064787
2000-01-14,16.25,16.25,15.8125,15.8125,54400,11.830973
2000-01-18,15.875,16.25,15.75,16.0625,66500,12.018024
2000-01-19,16.0,16.3125,16.0,16.0625,53800,12.018024
2000-01-20,16.0,16.125,15.5,15.625,45500,11.690685
2000-01-21,15.875,16.0,15.5,15.8125,52100,11.830973
2000-01-24,15.9375,16.125,15.5,16.125,80200,12.064787
2000-01-25,16.125,17.3125,16.0,17.125,83500,12.81299
2000-01-26,17.125,17.4375,16.9375,17.125,67900,12.81299
2000-01-27,17.1875,17.3125,16.5625,16.5625,24900,12.392126
2000-01-28,16.75,17.3125,16.75,17.125,35900,12.81299
2000-01-31,17.375,17.375,16.25,16.5,33300,12.345363
2000-02-01,16.4375,18.5,16.3125,18.4375,108500,13.795008
2000-02-02,18.1875,18.1875,17.5,18.125,49800,13.561194
2000-02-03,18.0,18.5625,17.75,18.375,32200,13.748245
2000-02-04,18.5,18.5,17.875,18.0,54400,13.467669
2000-02-07,18.125,18.125,17.75,18.0,19100,13.467669
2000-02-08,17.8125,17.8125,17.5625,17.625,18200,13.187092
2000-02-09,17.5,17.9375,17.0,17.1875,58100,12.859753
2000-02-10,16.9375,17.1875,16.9375,16.9375,33600,12.672702
2000-02-11,17.0,17.125,16.625,16.625,60500,12.438888
2000-02-14,16.5625,16.8125,16.25,16.5625,22300,12.392126
2000-02-15,16.4375,16.625,16.0,16.5625,43900,12.392126
2000-02-16,16.5625,16.5625,16.375,16.375,17900,12.251837
2000-02-17,16.5625,16.625,16.25,16.4375,38700,12.2986
2000-02-18,16.375,16.6875,15.375,16.6875,68200,12.485651
2000-02-22,16.6875,16.8125,15.8125,15.875,18500,11.877736
2000-02-23,15.9375,16.375,15.875,16.3125,38200,12.205075
2000-02-24,16.4375,16.4375,15.9375,16.1875,24900,12.111549
2000-02-25,16.125,16.5625,16.125,16.5,19300,12.345363
2000-02-28,16.4375,16.8125,16.25,16.5,23200,12.345363
2000-02-29,16.5,16.5,15.8125,15.875,37600,11.877736
2000-03-01,15.875,16.6875,15.875,16.1875,40600,12.111549
2000-03-02,16.0625,16.25,15.875,15.875,22000,11.877736
2000-03-03,16.0,16.625,15.9375,16.5,53000,12.345363
2000-03-06,16.4375,16.5,15.875,16.25,22400,12.158312
2000-03-07,16.1875,16.1875,15.5625,15.9375,48300,11.924498
2000-03-08,16.0,16.0,15.5625,15.875,48800,11.877736
2000-03-09,16.0,16.0,15.5625,16.0,60700,11.971261
2000-03-10,15.9375,16.25,15.6875,15.875,29800,11.877736
2000-03-13,15.625,15.75,15.4375,15.625,39000,11.690685
2000-03-14,15.5625,15.625,15.25,15.4375,21600,11.550396
2000-03-15,15.4375,15.75,15.125,15.75,83900,11.78421
2000-03-16,15.6875,16.125,15.6875,16.0625,26600,12.018024
2000-03-17,15.9375,16.0,15.8125,15.9375,27800,11.924498
2000-03-20,15.9375,16.0625,15.375,16.0625,28800,12.018024
2000-03-21,16.0,16.1875,15.9375,16.125,32800,12.072302
2000-03-22,16.75,16.75,15.8125,15.9375,32700,11.931927
2000-03-23,15.9375,16.125,15.875,15.9375,18300,11.931927
2000-03-24,15.9375,16.125,15.6875,15.9375,13500,11.931927
2000-03-27,15.9375,16.0,15.25,15.9375,46800,11.931927
2000-03-28,15.9375,16.0,15.0,15.75,60700,11.791551
2000-03-29,15.875,15.9375,15.6875,15.8125,22800,11.838343
2000-03-30,15.6875,15.875,15.25,15.75,46800,11.791551
2000-03-31,15.75,15.9375,15.625,15.9375,26500,11.931927
2000-04-03,15.9375,17.25,15.75,17.125,108000,12.820972
2000-04-04,17.375,17.375,16.125,16.3125,59200,12.212678
2000-04-05,16.25,16.9375,16.25,16.625,66300,12.446637
2000-04-06,16.8125,17.375,16.8125,17.375,35600,13.00814
2000-04-07,17.375,17.625,17.25,17.5625,38300,13.148516
2000-04-10,17.625,18.125,17.5,17.625,54800,13.195307
2000-04-11,17.5625,18.0,17.5625,17.75,44700,13.288891
2000-04-12,17.625,17.875,17.5,17.625,17200,13.195307
2000-04-13,17.625,17.625,17.125,17.125,23300,12.820972
2000-04-14,17.125,18.0,16.875,17.875,99500,13.382475
2000-04-17,17.8125,18.4375,17.5625,18.375,71800,13.75681
2000-04-18,18.5,18.9375,18.0,18.5,74300,13.850394
2000-04-19,18.375,18.8125,18.375,18.625,36300,13.943977
2000-04-20,18.5,19.125,18.5,18.5625,70500,13.897185
2000-04-24,18.4375,18.5,17.3125,17.5,26700,13.101724
