Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,75.998543,83.373401,74.748567,82.99841,11248300,160.170268
2000-01-04,80.498458,81.998426,76.498532,76.998527,9394000,148.591699
2000-01-05,75.061061,78.560997,71.998623,74.061082,11082600,142.92302
2000-01-06,73.248599,76.24854,67.498708,68.748684,8411900,132.671158
2000-01-07,69.99866,73.998585,69.811159,73.748588,8034300,142.319969
2000-01-10,73.998585,79.998468,70.248652,72.623611,31101900,140.148989
2000-01-11,70.998639,71.498628,62.623797,63.998772,32903500,123.504781
2000-01-12,64.12377,65.061252,58.998867,60.061348,25697700,115.906344
2000-01-13,61.998814,65.998734,60.623839,65.498745,17456100,126.399428
2000-01-14,66.248732,66.248732,62.248806,63.248785,13079200,122.057457
2000-01-18,63.123792,63.873773,60.311345,61.248827,10332900,118.197941
2000-01-19,60.748838,65.498745,60.248849,64.873757,15254900,125.193327
2000-01-20,65.873736,65.998734,62.998793,64.061274,14717900,123.625397
2000-01-21,64.498766,65.436248,63.623781,64.748758,9433100,124.952104
2000-01-24,65.936238,65.936238,60.623839,61.998814,8495000,119.645264
2000-01-25,62.248806,62.623797,60.436344,61.248827,6481300,118.197941
2000-01-26,58.998867,61.936317,58.998867,59.936349,5667200,115.665121
2000-01-27,60.186347,61.998814,59.811356,61.623818,10792700,118.921597
2000-01-28,61.248827,61.623818,58.061385,58.873874,7574200,113.614757
2000-01-31,58.498878,58.998867,55.061444,56.936408,10646900,109.875837
2000-02-01,57.248902,57.498899,54.998947,55.248944,9194900,106.619371
2000-02-02,56.623914,60.99883,55.623935,60.873837,13283300,117.474284
2000-02-03,60.498841,60.811335,58.186384,59.873853,10017600,115.544515
2000-02-04,60.498841,60.498841,56.498915,57.811393,7600200,111.564383
2000-02-07,56.498915,57.811393,56.123924,56.998905,6563000,109.996443
2000-02-08,57.936387,61.998814,57.373901,59.061369,7196800,113.976586
2000-02-09,59.998851,60.248849,56.998905,57.748891,6657300,111.443766
2000-02-10,58.248886,58.686373,57.248902,58.248886,5324700,112.408656
2000-02-11,57.998889,58.498878,56.248923,56.998905,5990800,109.996443
2000-02-14,56.623914,56.873911,54.998947,55.748934,5618600,107.58425
2000-02-15,55.373938,55.623935,53.18648,53.998968,9826000,104.207168
2000-02-16,53.311478,53.87397,51.436514,51.749008,10278200,99.865197
2000-02-17,52.061502,53.998968,51.686506,52.998984,8083600,102.2774
2000-02-18,52.873986,53.498974,50.686527,51.249019,6958600,98.900318
2000-02-22,51.12402,51.374012,48.186575,49.624052,10260600,95.764458
2000-02-23,52.498995,58.998867,52.373996,58.311383,15121800,112.529262
2000-02-24,59.748854,61.998814,58.873874,59.998851,14758200,115.785738
2000-02-25,60.498841,61.748817,58.748875,59.623855,8013800,115.062071
