Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,53.125,54.0625,52.9375,53.75,3431200,6.01083
2000-01-04,53.375,54.25,52.9375,53.0625,5997600,5.933947
2000-01-05,53.125,54.1875,52.625,52.9375,10562400,5.919968
2000-01-06,53.0,55.5,52.875,54.875,15300000,6.136638
2000-01-07,57.5,61.5,56.875,61.3125,16160800,6.85654
2000-01-10,61.8125,61.875,59.8125,60.25,9336000,6.737721
2000-01-11,59.0,61.3125,58.6875,60.375,9988000,6.7517
2000-01-12,59.875,61.0,59.5,59.8125,6378400,6.688796
2000-01-13,60.125,61.9375,59.8125,61.6875,6981600,6.898476
2000-01-14,62.0,62.8125,61.5,61.625,9292800,6.891486
2000-01-18,60.25,61.0,58.25,59.0,5514400,6.597934
2000-01-19,58.5,60.4375,58.5,59.5,7730400,6.653849
2000-01-20,59.5,61.0,58.5,61.0,8457600,6.821593
2000-01-21,61.0,61.0,57.75,58.375,12880800,6.528041
2000-01-24,57.375,58.0625,54.5625,55.1875,9503200,6.171585
2000-01-25,55.5,56.1875,54.5625,55.1875,8416000,6.171585
2000-01-26,54.5,56.3125,54.5,55.0625,8797600,6.157606
2000-01-27,55.0625,55.3125,53.875,54.1875,9053600,6.059755
2000-01-28,52.25,54.625,52.25,52.625,12754400,5.885022
2000-01-31,52.625,55.25,52.5625,53.0,4790400,5.926958
2000-02-01,53.5,55.4375,53.125,54.4375,3984000,6.087713
2000-02-02,54.875,56.5,54.875,55.875,6660000,6.248467
2000-02-03,55.375,56.0,55.0625,55.375,13720800,6.192553
2000-02-04,55.625,56.8125,55.625,56.75,7199200,6.346318
2000-02-07,56.0,58.5,55.8125,58.1875,11616800,6.507073
2000-02-08,56.0,57.125,55.75,56.0,8325600,6.262446
2000-02-09,56.5,56.6875,53.75,53.9375,7526400,6.031798
2000-02-10,57.875,60.4375,57.0625,57.875,20888000,6.472126
2000-02-11,57.125,59.125,55.875,56.0,18896000,6.262446
2000-02-14,56.625,57.5,56.375,56.875,7276000,6.360297
2000-02-15,58.375,61.4375,58.25,59.375,16885600,6.63987
2000-02-16,59.6875,62.5,59.3125,61.3125,16412800,6.85654
2000-02-17,62.0,64.6875,61.875,62.875,12419200,7.031273
2000-02-18,62.125,62.5,57.25,57.875,15170400,6.472126
2000-02-22,58.0,59.625,57.6875,58.8125,5828800,6.576966
2000-02-23,58.25,58.5,56.875,57.25,9806400,6.402233
2000-02-24,56.625,56.75,51.9375,52.625,13012000,5.885022
