Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,44.125,44.125,42.937519,43.062481,4101200,7.891706
2000-01-04,43.062481,43.375,42.625,43.0,4865200,7.880255
2000-01-05,43.0,43.75,42.937519,43.0,3579600,7.880255
2000-01-06,43.0,46.0,43.0,45.625,6216000,8.361317
2000-01-07,45.625,45.687519,44.625,45.312481,3256000,8.304045
2000-01-10,46.375,46.75,45.5,46.375,4311600,8.498764
2000-01-11,46.25,47.187519,46.25,46.75,2384000,8.567487
2000-01-12,46.5,46.812481,45.625,45.812481,2298800,8.395676
2000-01-13,45.812481,47.625,45.375,46.625,3092400,8.544579
2000-01-14,46.75,46.937519,45.687519,46.062481,2435600,8.441491
2000-01-18,45.562481,45.875,44.25,44.375,2967600,8.13224
2000-01-19,43.125,43.687519,42.25,43.625,5771600,7.994794
2000-01-20,44.25,44.812481,40.875,42.0,8070800,7.696994
2000-01-21,42.562481,44.187519,42.5,43.75,5105200,8.017702
2000-01-24,43.812481,44.25,42.375,42.437519,3004000,7.777174
2000-01-25,42.437519,42.687519,40.0,40.937519,5056800,7.502281
2000-01-26,41.0,41.812481,39.937519,41.812481,3849200,7.662629
2000-01-27,42.0,42.0,40.062481,40.25,3670400,7.376286
2000-01-28,40.312481,41.312481,39.75,40.625,3590400,7.445009
2000-01-31,40.625,41.125,39.812481,40.25,3682400,7.376286
2000-02-01,40.0,40.375,39.5,40.312481,2813200,7.387736
2000-02-02,40.125,40.25,38.625,38.75,4220400,7.101393
2000-02-03,39.25,39.562481,39.0,39.312481,3600800,7.204474
2000-02-04,39.75,40.875,39.687519,40.312481,4637200,7.387736
2000-02-07,40.25,40.5,39.5,39.687519,2911200,7.273204
2000-02-08,39.937519,40.0,38.625,38.75,3675200,7.101393
2000-02-09,39.25,40.625,38.812481,38.937519,4865600,7.135758
2000-02-10,38.937519,38.937519,35.875,37.062481,8339600,6.792135
2000-02-11,37.125,37.375,36.625,36.75,3565600,6.734869
2000-02-14,37.25,38.0,36.875,38.0,4377600,6.963947
2000-02-15,38.5,38.812481,37.75,38.812481,7250800,7.112843
2000-02-16,39.0,39.375,37.0,37.375,5134400,6.849408
2000-02-17,37.5,38.0,36.75,37.875,3093600,6.941039
2000-02-18,38.0,38.25,37.437519,37.75,3406800,6.918131
