Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,71.0625,71.125,68.75,69.875,973700,15.480913
2000-01-04,69.75,70.4375,66.5625,67.25,1201700,14.89934
2000-01-05,67.25,70.875,66.9375,70.8125,1184600,15.688617
2000-01-06,71.1875,74.5,70.1875,74.125,1307700,16.422507
2000-01-07,72.0625,73.25,70.6875,71.6875,1728000,15.882475
2000-01-10,72.1875,72.375,70.125,71.375,821900,15.81324
2000-01-11,71.375,72.0,70.125,70.625,677300,15.647076
2000-01-12,69.625,69.875,68.75,68.9375,689400,15.273208
2000-01-13,68.9375,69.375,67.75,68.5625,805000,15.190126
2000-01-14,69.0,69.4375,68.625,69.25,863300,15.342443
2000-01-18,69.0,69.1875,65.8125,66.5625,825700,14.747023
2000-01-19,62.0,64.0625,61.6875,63.5,3095500,14.068522
2000-01-20,63.5,65.1875,62.8125,65.0,2979700,14.400849
2000-01-21,65.0,65.0,62.6875,63.875,1481300,14.151604
2000-01-24,63.875,64.375,59.0625,61.0,1534700,13.514643
2000-01-25,59.5,60.0625,56.125,58.1875,1838000,12.891529
2000-01-26,58.0,60.0,57.5,57.875,2560000,12.91105
2000-01-27,58.0,58.8125,56.5,57.0625,1335000,12.729793
2000-01-28,56.6875,59.5,56.0,59.0625,2502800,13.175963
2000-01-31,58.6875,58.6875,55.3125,57.375,1089600,12.799507
2000-02-01,57.375,58.875,56.3125,57.25,1447500,12.771621
2000-02-02,57.25,57.5,55.25,56.5,2137500,12.604308
2000-02-03,56.0,56.375,54.5625,54.625,1339000,12.186023
2000-02-04,55.25,55.75,54.0,55.0,1950800,12.26968
2000-02-07,54.25,54.5,51.875,52.625,1817800,11.739853
2000-02-08,53.1875,54.1875,52.5,53.6875,2538300,11.976881
2000-02-09,53.0625,54.5,51.5625,51.9375,1426700,11.586482
2000-02-10,51.8125,52.3125,50.3125,52.0,5724400,11.600425
2000-02-11,52.0,52.75,48.875,51.3125,2307200,11.447054
2000-02-14,50.6875,52.375,49.25,52.125,1491200,11.62831
2000-02-15,52.0,54.3125,51.0625,53.625,1670200,11.962938
2000-02-16,52.875,53.9375,51.5625,53.5,1392300,11.935052
2000-02-17,54.75,55.125,51.5,52.8125,1266200,11.781681
2000-02-18,51.625,52.0,47.4375,48.75,1843800,10.875398
2000-02-22,49.1875,51.625,48.0,51.625,1660900,11.516768
2000-02-23,52.0,52.0,49.3125,50.0,994300,11.154255
2000-02-24,49.75,49.8125,48.125,49.6875,1987000,11.08454
2000-02-25,49.625,50.1875,48.4375,49.3125,1077300,11.000884
2000-02-28,49.375,51.25,49.125,50.25,1599600,11.210026
2000-02-29,49.25,51.875,48.0625,51.3125,1345600,11.447054
2000-03-01,53.5,53.9375,51.375,53.4375,2072100,11.92111
2000-03-02,53.1875,53.3125,51.3125,52.5625,816000,11.72591
2000-03-03,52.8125,55.4375,52.4375,53.4375,1520200,11.92111
2000-03-06,54.1875,54.1875,51.625,52.4375,1171700,11.698024
2000-03-07,52.375,52.6875,50.0,50.375,1522600,11.237911
2000-03-08,50.125,53.9375,49.875,52.125,1189800,11.62831
2000-03-09,51.25,51.875,50.625,51.75,1442200,11.544653
2000-03-10,52.3125,55.4375,52.3125,54.4375,887800,12.144195
2000-03-13,52.875,55.3125,52.8125,55.125,1511000,12.297566
2000-03-14,54.375,54.5625,51.8125,52.1875,1132200,11.642253
2000-03-15,52.25,55.375,52.25,54.5,1875200,12.158137
2000-03-16,54.75,59.125,53.5,59.0625,2024100,13.175963
2000-03-17,58.5,58.5,55.625,55.875,1361600,12.464879
2000-03-20,56.125,58.5625,56.125,56.75,814600,12.660079
2000-03-21,56.75,57.8125,55.0625,56.8125,1058500,12.674022
2000-03-22,56.25,56.5,53.75,54.125,1616700,12.074481
2000-03-23,54.0,56.9375,53.75,56.4375,1196800,12.590365
2000-03-24,55.5,55.8125,54.0,55.125,831000,12.297566
2000-03-27,55.25,57.375,54.9375,55.125,602500,12.297566
2000-03-28,54.9375,56.4375,54.9375,55.1875,1002500,12.311508
2000-03-29,55.25,57.0,54.875,56.8125,982800,12.674022
2000-03-30,57.5,59.75,57.0,59.1875,1017400,13.203849
2000-03-31,59.125,60.25,57.0,57.0,1511900,12.71585
2000-04-03,57.875,59.5,56.0,58.4375,1628500,13.036535
2000-04-04,58.6875,59.3125,54.5,56.8125,1177900,12.674022
2000-04-05,56.5,58.375,55.9375,56.75,1117100,12.660079
2000-04-06,56.375,58.625,56.375,57.25,688300,12.771621
