Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,19.625,19.625,18.9375,19.0,2738600,8.665217
2000-01-04,19.0625,19.5,19.0,19.4375,425200,8.864745
2000-01-05,19.4375,20.1875,19.4375,20.1875,500200,9.206793
2000-01-06,20.125,20.125,19.8125,20.0,344100,9.121281
2000-01-07,20.0,20.0,19.875,20.0,469500,9.121281
2000-01-10,20.0625,20.0625,19.875,20.0,522000,9.121281
2000-01-11,19.9375,20.0625,19.9375,20.0,557400,9.121281
2000-01-12,20.0,20.5625,20.0,20.4375,410500,9.320809
2000-01-13,20.375,20.5,20.25,20.375,308000,9.292305
2000-01-14,20.375,20.4375,20.125,20.4375,659100,9.320809
2000-01-18,20.3125,20.3125,19.6875,19.8125,843200,9.035769
2000-01-19,19.75,19.875,19.6875,19.8125,578200,9.035769
2000-01-20,19.8125,19.875,19.5625,19.625,566200,8.950257
2000-01-21,19.625,19.9375,19.625,19.75,1021700,9.007265
2000-01-24,19.75,19.8125,19.625,19.6875,649100,8.978761
2000-01-25,19.6875,19.6875,19.3125,19.5,344900,8.893249
2000-01-26,19.625,19.625,19.0,19.125,1137000,8.722225
2000-01-27,19.25,19.5,19.1875,19.3125,493400,8.807737
2000-01-28,19.3125,19.5,19.25,19.25,289700,8.779233
2000-01-31,19.25,19.375,19.125,19.25,526700,8.779233
2000-02-01,19.375,19.375,19.125,19.25,446600,8.779233
2000-02-02,19.375,19.4375,19.0625,19.0625,313200,8.693721
2000-02-03,19.1875,19.6875,19.1875,19.625,483400,8.950257
2000-02-04,19.625,19.625,19.125,19.3125,336400,8.807737
2000-02-07,19.3125,19.3125,19.0,19.0625,348300,8.693721
2000-02-08,19.0625,19.1875,19.0,19.0625,364900,8.693721
2000-02-09,19.125,19.5,19.0625,19.1875,595500,8.750729
2000-02-10,19.1875,19.3125,18.5625,18.8125,503600,8.579705
2000-02-11,18.9375,18.9375,18.5,18.875,554500,8.608209
2000-02-14,18.8125,18.9375,18.625,18.75,374500,8.551201
2000-02-15,18.5,18.6875,18.375,18.4375,627400,8.408681
2000-02-16,18.5625,18.75,18.5,18.5,284800,8.437185
2000-02-17,18.6875,18.6875,18.3125,18.5625,202600,8.465689
2000-02-18,18.4375,18.5,18.125,18.1875,469100,8.294665
2000-02-22,18.3125,18.5625,18.25,18.3125,477300,8.351673
2000-02-23,18.25,18.3125,18.0,18.0625,306300,8.237657
2000-02-24,18.0625,18.125,17.6875,17.8125,367700,8.123641
2000-02-25,17.875,17.875,17.375,17.5625,477600,8.009625
2000-02-28,17.8125,18.125,17.5625,18.0,505400,8.209153
2000-02-29,17.8125,17.9375,17.5,17.5625,535900,8.009625
2000-03-01,17.625,17.6875,17.0625,17.1875,512300,7.838601
2000-03-02,17.0625,17.25,17.0,17.0625,642200,7.781593
2000-03-03,17.125,17.5625,17.125,17.5,405500,7.981121
2000-03-06,17.375,17.375,16.25,16.4375,967400,7.496553
2000-03-07,16.6875,16.75,16.3125,16.4375,1814900,7.496553
2000-03-08,16.5625,16.8125,16.3125,16.375,1498300,7.468049
2000-03-09,16.5,16.625,16.125,16.25,1129600,7.411041
2000-03-10,16.3125,16.75,16.25,16.625,635300,7.582065
2000-03-13,16.6875,16.9375,16.5625,16.9375,636700,7.724585
2000-03-14,17.1875,17.5,17.125,17.5,873700,7.981121
2000-03-15,17.5,18.625,17.5,18.625,898300,8.494193
2000-03-16,18.875,19.9375,18.75,19.9375,894300,9.092777
2000-03-17,19.9375,20.1875,19.625,19.875,1242200,9.064273
2000-03-20,19.875,19.9375,19.375,19.5,1416800,8.893249
2000-03-21,19.4375,19.4375,18.8125,19.0,639000,8.665217
2000-03-22,18.875,18.9375,18.25,18.5625,367700,8.465689
2000-03-23,18.5625,18.875,18.5625,18.8125,500300,8.579705
2000-03-24,18.6875,18.9375,18.5625,18.875,648100,8.608209
2000-03-27,18.875,19.125,18.8125,18.875,888400,8.608209
2000-03-28,18.8125,19.125,18.8125,18.875,269400,8.608209
2000-03-29,18.875,19.1875,18.8125,19.125,764900,8.722225
2000-03-30,19.25,20.0,19.25,19.875,1726400,9.064273
2000-03-31,19.8125,19.9375,19.625,19.875,566900,9.064273
2000-04-03,19.875,19.9375,19.5,19.75,208100,9.007265
2000-04-04,19.75,20.4375,19.75,20.3125,844900,9.263801
2000-04-05,20.375,21.1875,20.3125,20.5625,495900,9.377817
2000-04-06,20.5,20.8125,20.125,20.25,391900,9.235297
2000-04-07,20.1875,20.25,19.875,20.0625,701300,9.149785
2000-04-10,20.0,20.875,19.9375,20.8125,2409100,9.491833
2000-04-11,20.3125,20.875,20.3125,20.6875,469300,9.602303
2000-04-12,20.75,21.1875,20.3125,20.3125,645400,9.428243
2000-04-13,20.3125,21.0625,20.25,21.0625,492500,9.776362
2000-04-14,21.0,21.0625,20.5,20.625,536600,9.573293
2000-04-17,20.625,20.6875,19.875,20.3125,782800,9.428243
2000-04-18,20.25,20.6875,20.0625,20.25,482100,9.399233
2000-04-19,20.5,20.5,19.8125,19.9375,533000,9.254183
2000-04-20,20.1875,20.5,20.0,20.4375,578100,9.486263
2000-04-24,20.875,21.25,20.75,21.25,657300,9.863392
2000-04-25,21.25,21.9375,21.25,21.875,783700,10.153492
2000-04-26,21.8125,22.3125,21.75,22.25,589200,10.327552
2000-04-27,22.125,22.3125,21.875,22.0625,1041400,10.240522
2000-04-28,22.0625,22.1875,21.5625,21.8125,678100,10.124482
2000-05-01,21.4375,22.1875,21.4375,22.125,615100,10.269532
2000-05-02,22.375,22.4375,21.9375,22.0625,805200,10.240522
2000-05-03,22.0625,22.375,21.75,22.25,778500,10.327552
2000-05-04,22.4375,22.5,21.875,22.4375,771400,10.414582
2000-05-05,22.1875,22.25,21.75,21.9375,521500,10.182502
2000-05-08,21.875,22.9375,21.75,21.9375,840200,10.182502
2000-05-09,22.0625,22.0625,21.8125,22.0,248800,10.211512
2000-05-10,22.0,22.375,21.9375,22.3125,591100,10.356562
2000-05-11,22.3125,22.6875,22.25,22.625,262600,10.501612
2000-05-12,22.625,22.625,22.3125,22.4375,339500,10.414582
2000-05-15,22.4375,23.0,22.4375,22.6875,271000,10.530622
2000-05-16,22.6875,22.75,22.0,22.4375,402100,10.414582
2000-05-17,22.4375,22.5,21.9375,22.0625,364800,10.240522
2000-05-18,22.0625,23.0625,22.0,22.5,289900,10.443592
2000-05-19,22.125,22.5,22.125,22.3125,250600,10.356562
2000-05-22,22.375,23.1875,22.1875,23.0625,352300,10.704682
2000-05-23,23.0,23.1875,22.625,23.125,533300,10.733692
2000-05-24,23.125,23.8125,23.0625,23.6875,569000,10.994781
2000-05-25,23.625,23.625,22.0625,22.25,1557500,10.327552
2000-05-26,22.375,22.75,22.375,22.5625,339600,10.472602
2000-05-30,22.5625,22.5625,21.9375,22.25,331100,10.327552
2000-05-31,22.125,22.4375,22.0,22.125,520000,10.269532
2000-06-01,22.0625,22.125,21.75,21.8125,598100,10.124482
