Date,Open,High,Low,Close,Volume,Adj Close
2001-05-08,188.0,189.0,185.5,187.5,774000,178.15
2001-05-09,186.0,189.0,185.0,187.5,878700,178.15
2001-05-10,188.0,192.0,187.0,191.0,764200,181.47
2001-05-11,188.5,189.0,185.0,186.0,1043300,176.72
2001-05-14,183.5,184.5,174.0,179.0,907000,170.07
2001-05-15,178.0,181.5,177.5,179.5,1209100,170.54
2001-05-16,179.5,184.0,178.0,182.0,423800,172.92
2001-05-17,185.5,189.0,184.0,185.0,844300,175.77
2001-05-18,185.0,190.0,184.0,187.0,1305700,177.67
2001-05-21,187.0,190.0,186.0,189.0,870200,179.57
2001-05-22,191.0,196.0,190.5,194.0,1746100,184.32
2001-05-23,195.0,195.0,192.5,194.5,419900,184.8
2001-05-25,194.5,197.0,194.0,195.0,345300,185.27
2001-05-28,194.5,195.5,192.5,192.5,294300,182.9
2001-05-29,193.5,195.0,191.0,191.0,606400,181.47
2001-05-30,193.0,193.0,189.0,191.5,632700,181.95
2001-05-31,189.5,194.5,189.5,193.0,444000,183.37
2001-06-01,193.0,194.5,192.0,193.0,731800,183.37
2001-06-05,193.0,196.0,192.0,196.0,1085100,186.22
2001-06-06,195.0,195.0,190.0,191.5,657000,181.95
2001-06-07,192.5,194.0,192.0,193.0,349700,183.37
2001-06-08,193.0,194.0,188.0,189.5,546600,180.05
2001-06-11,189.0,189.5,182.5,183.5,714900,174.35
2001-06-12,180.5,181.0,176.0,176.5,688400,167.69
2001-06-13,178.0,180.0,174.5,179.5,705900,170.54
2001-06-14,176.5,176.5,173.5,175.0,537500,166.27
2001-06-15,173.0,173.0,169.0,172.0,624200,163.42
2001-06-18,170.0,171.0,167.0,169.0,277500,160.57
2001-06-19,171.0,174.0,169.0,169.5,379700,161.04
2001-06-20,169.0,169.0,165.0,166.5,430400,158.19
2001-06-21,168.0,168.0,159.0,160.0,684400,152.02
2001-06-25,163.0,164.0,153.0,157.5,882400,149.64
2001-06-26,156.0,156.0,150.5,153.0,1428900,145.37
2001-06-27,152.5,154.5,149.0,152.5,675400,144.89
2001-06-28,149.5,163.0,149.5,162.5,1131600,154.39
2001-06-29,164.0,165.0,159.0,162.5,859100,154.39
2001-07-02,162.0,166.5,158.0,165.0,1106200,156.77
2001-07-03,165.0,168.5,165.0,167.0,608800,158.67
2001-07-04,167.0,168.5,161.0,162.0,454200,153.92
2001-07-05,159.5,160.5,153.0,154.0,540300,146.32
2001-07-06,151.5,152.5,146.0,148.5,2217700,141.09
2001-07-09,149.0,151.0,146.5,146.5,623400,139.19
2001-07-10,148.5,151.5,148.5,150.0,408800,142.52
2001-07-11,149.0,149.0,138.0,143.5,1967500,136.34
2001-07-12,145.0,147.0,140.5,145.5,501500,138.24
2001-07-16,150.5,151.0,146.0,147.0,213300,139.67
2001-07-17,146.0,147.5,144.0,147.5,448700,140.14
2001-07-18,148.5,149.5,141.5,145.0,463700,137.77
2001-07-19,144.5,151.5,140.0,150.0,494400,142.52
2001-07-20,149.5,150.5,146.5,146.5,262500,139.19
2001-07-23,142.5,150.0,141.0,146.0,448100,138.72
2001-07-24,130.0,132.0,119.5,121.0,2871900,114.96
2001-07-25,113.0,117.0,111.0,113.5,2518200,107.84
2001-07-26,114.5,115.0,108.0,108.0,2397100,102.61
2001-07-27,111.0,114.0,111.0,113.0,1066300,107.36
2001-07-30,113.5,115.5,112.5,115.0,1579700,109.26
2001-07-31,114.5,118.5,114.0,117.5,2338800,111.64
2001-08-01,118.0,120.0,118.0,119.5,1358300,113.54
2001-08-02,120.0,123.0,119.0,120.0,1099900,114.01
2001-08-03,120.5,121.0,117.0,119.0,736400,113.06
2001-08-06,119.5,119.5,115.0,119.5,1029300,113.54
2001-08-07,119.0,119.5,117.5,119.5,904600,113.54
2001-08-08,118.0,118.0,116.0,117.5,251000,111.64
2001-08-09,117.0,117.0,114.0,114.0,278300,108.31
2001-08-10,114.0,119.0,114.0,115.5,477700,109.74
2001-08-13,114.5,119.0,113.5,118.0,456400,112.11
2001-08-14,120.0,122.5,120.0,122.5,634000,116.39
2001-08-15,121.5,122.5,119.5,119.5,1060200,113.54
2001-08-16,118.0,120.5,115.0,117.5,880600,111.64
2001-08-17,115.5,116.0,109.5,114.5,1526400,108.79
2001-08-20,112.0,114.5,110.0,113.0,998800,107.36
2001-08-21,114.0,114.0,112.0,114.0,375800,108.31
2001-08-22,113.0,117.0,112.5,115.5,508300,109.74
2001-08-23,116.0,116.5,113.5,115.5,451000,109.74
2001-08-24,117.0,119.5,115.5,118.0,1044000,112.11
2001-08-27,117.5,119.0,114.0,115.0,760700,109.26
2001-08-28,115.5,115.5,113.0,115.0,1024100,109.26
2001-08-29,113.0,115.5,112.0,113.0,1529800,107.36
2001-08-30,113.0,113.5,109.0,109.0,578800,103.56
2001-08-31,109.5,110.5,105.0,107.5,1134900,102.14
2001-09-03,104.5,104.5,102.0,103.0,550800,97.86
2001-09-04,103.5,108.0,100.5,107.5,1280700,102.14
2001-09-05,104.5,107.5,104.0,106.0,1026200,100.71
2001-09-06,107.5,107.5,103.0,104.5,664000,99.29
2001-09-07,104.5,106.0,102.5,102.5,438600,97.39
2001-09-10,100.0,100.0,93.0,97.5,1090500,92.64
2001-09-11,98.0,99.5,84.5,88.0,1002000,83.61
2001-09-12,92.0,93.5,83.5,88.0,1790500,83.61
2001-09-13,87.5,91.0,86.0,90.5,1069200,85.98
2001-09-14,91.0,92.0,85.0,86.0,872600,81.71
2001-09-17,84.0,89.0,81.0,88.5,1427900,84.08
2001-09-18,87.5,89.5,80.5,83.0,1884400,78.86
2001-09-19,81.0,84.0,72.0,75.5,2931100,71.73
2001-09-20,75.0,75.0,70.0,72.5,2428600,68.88
2001-09-21,69.5,72.5,68.0,70.0,5174100,66.51
2001-09-24,72.5,77.0,70.0,77.0,2058800,73.16
2001-09-25,74.0,80.5,73.0,76.0,3062900,72.21
2001-09-26,74.5,77.5,73.5,75.0,1908200,71.26
2001-09-27,75.0,76.0,71.0,73.5,2003000,69.83
2001-10-01,77.0,77.0,72.0,73.0,732100,69.36
2001-10-02,72.5,73.0,65.0,70.0,4508200,66.51
2001-10-03,69.0,74.0,66.0,74.0,3849600,70.31
2001-10-04,74.5,76.0,66.5,69.0,8250800,65.56
2001-10-05,62.0,69.5,59.5,67.5,16788800,64.13
2001-10-08,66.0,66.5,63.5,65.5,2713600,62.23
2001-10-09,64.5,70.0,64.5,69.0,5921900,65.56
2001-10-10,69.5,73.5,69.0,72.5,6455100,68.88
2001-10-11,74.0,77.0,73.5,77.0,5149900,73.16
2001-10-12,78.5,78.5,73.5,73.5,3028000,69.83
2001-10-15,73.5,73.5,70.5,71.5,4224400,67.93
2001-10-17,72.5,75.5,72.0,74.5,4030500,70.78
2001-10-18,72.5,75.5,72.0,75.0,1430800,71.26
2001-10-19,78.0,79.0,74.0,75.5,5193400,71.73
2001-10-22,75.5,77.0,74.0,76.5,1916400,72.68
2001-10-23,78.0,87.5,78.0,87.0,8388100,82.66
2001-10-24,85.5,96.0,85.0,91.0,12391200,86.46
2001-10-25,90.0,90.0,83.0,83.0,4599900,78.86
2001-10-29,91.5,96.0,90.0,90.5,2446800,85.98
2001-10-30,90.0,90.5,86.0,86.5,2128500,82.18
2001-10-31,86.0,92.0,85.0,90.5,1832700,85.98
2001-11-01,90.0,93.0,89.0,92.0,1288300,87.41
2001-11-02,93.0,96.0,93.0,95.5,1611000,90.74
2001-11-05,96.5,99.0,95.0,96.5,1981000,91.69
2001-11-06,97.5,98.0,96.0,96.5,2208700,91.69
2001-11-07,98.0,98.0,95.5,97.0,1720400,92.16
2001-11-08,98.0,103.5,97.0,103.0,4000000,97.86
2001-11-09,100.5,102.5,100.0,100.5,2476000,95.49
2001-11-12,100.5,100.5,95.0,97.0,1591600,92.16
2001-11-13,99.0,105.0,99.0,105.0,2397000,99.76
2001-11-14,105.0,108.5,105.0,107.5,3510700,102.14
2001-11-15,108.0,111.0,107.0,110.0,4933200,104.51
2001-11-16,109.5,117.0,109.5,114.5,4483800,108.79
2001-11-19,116.0,118.5,115.5,118.5,4669200,112.59
2001-11-20,116.5,116.5,110.5,112.5,2241700,106.89
2001-11-21,111.5,117.0,110.5,115.0,3437300,109.26
2001-11-22,118.0,123.0,117.0,122.0,2706500,115.91
2001-11-23,126.0,128.0,120.0,120.5,3439300,114.49
2001-11-26,122.5,123.0,116.0,116.5,1947800,110.69
2001-11-27,117.0,120.0,116.5,117.5,1008900,111.64
2001-11-28,120.5,122.0,112.0,114.5,3044200,108.79
2001-11-29,113.0,113.5,110.5,111.5,1483900,105.94
2001-11-30,113.0,115.5,109.5,112.0,1241900,106.41
2001-12-03,112.0,112.0,106.5,108.5,2390500,103.09
2001-12-04,108.0,113.0,108.0,113.0,1901100,107.36
2001-12-05,114.0,119.0,114.0,117.5,1430900,111.64
2001-12-06,120.5,123.5,119.0,121.0,2900600,114.96
2001-12-07,121.5,122.5,117.0,119.5,2283000,113.54
2001-12-10,111.5,113.0,107.5,108.5,4639000,103.09
2001-12-11,107.5,108.0,104.5,106.5,2800500,101.19
2001-12-12,109.5,110.5,107.0,109.0,2583300,103.56
2001-12-13,109.0,109.5,105.5,106.0,1848400,100.71
2001-12-14,105.5,109.5,104.0,106.5,2127300,101.19
2001-12-17,107.0,108.5,102.5,106.0,2225300,100.71
2001-12-18,106.0,107.5,102.0,102.5,3098800,97.39
2001-12-19,102.5,103.0,98.5,98.5,2696400,93.59
2001-12-20,98.0,99.5,95.5,97.0,2776500,92.16
2001-12-21,97.0,101.5,96.5,101.5,1138300,96.44
2001-12-27,101.5,104.0,99.5,102.0,950300,96.91
2001-12-28,102.0,104.0,100.5,101.0,681600,95.96
2002-01-02,100.5,103.5,99.5,101.5,834900,96.44
2002-01-03,102.5,110.0,102.5,110.0,4045100,104.51
2002-01-04,110.5,114.0,109.5,113.5,2521100,107.84
2002-01-07,115.0,116.0,109.5,112.0,2694900,106.41
2002-01-08,112.0,113.0,110.5,111.0,1587500,105.46
2002-01-09,112.0,115.0,111.0,113.5,2427600,107.84
2002-01-10,112.5,113.5,110.5,111.5,1124400,105.94
2002-01-11,111.0,112.5,110.0,112.0,1189300,106.41
2002-01-14,111.0,113.5,107.5,107.5,2257000,102.14
2002-01-15,106.0,108.0,103.0,108.0,2610600,102.61
2002-01-16,104.5,107.0,103.5,103.5,3262400,98.34
2002-01-17,103.5,107.0,101.5,107.0,4549200,101.66
2002-01-18,107.0,108.5,101.5,102.0,2506200,96.91
2002-01-21,101.0,102.0,99.5,101.5,1160300,96.44
2002-01-22,102.0,103.5,99.5,100.0,2085100,95.01
2002-01-23,101.0,101.0,96.0,98.0,3414000,93.11
2002-01-24,98.5,100.0,98.0,99.5,2416600,94.54
2002-01-25,106.0,107.0,101.0,104.5,5085600,99.29
2002-01-28,105.5,108.0,104.5,105.5,3450900,100.24
2002-01-29,105.5,106.5,103.5,104.0,1726800,98.81
2002-01-30,95.5,98.5,93.0,96.0,8465700,91.21
2002-01-31,95.0,96.0,91.5,92.5,4108800,87.89
